,name,type,x,y,geometry
0,Thomas a Kempisleerhuis,school,5.0867812,52.0953797,POINT (5.0867812 52.0953797)
1,UvA Faculteit der Economische Wetenschappen en Econometrie,university,4.9115429,52.3637734,POINT (4.9115429 52.3637734)
2,OBS IJplein,school,4.9132037,52.3813260,POINT (4.9132037 52.381326)
3,Prins Willem Alexanderschool,school,5.0474497,51.6681381,POINT (5.0474497 51.6681381)
4,Franciscusschool,school,4.8593640,52.0793120,POINT (4.859364 52.079312)
5,Constantijnschool,school,4.8567674,52.0792770,POINT (4.8567674 52.079277)
6,Kalsbeek College Bredius,school,4.8868730,52.0904421,POINT (4.886873 52.0904421)
7,Haarstylisten college,school,5.1032387,52.0942594,POINT (5.1032387 52.0942594)
8,Willem van Oranje college,school,5.0518473,51.6831710,POINT (5.0518473 51.683171)
9,IBS Al Ummah,school,6.8969644,52.2129758,POINT (6.8969644 52.2129758)
10,Olympiaschool,school,4.8622625,52.3433610,POINT (4.8622625 52.343361)
11,Kinderdagverblyf Aspelin,school,5.0886708,52.0943020,POINT (5.0886708 52.094302)
12,OBS de Cirkel,school,5.0860910,52.1143551,POINT (5.086091 52.1143551)
13,,school,4.7991786,52.7970377,POINT (4.7991786 52.7970377)
14,,school,4.8005254,52.7974028,POINT (4.8005254 52.7974028)
15,Minkema College,college,4.9083190,52.0892024,POINT (4.908319 52.0892024)
16,Prinseschool,school,6.9089157,52.2113776,POINT (6.9089157 52.2113776)
17,Drakensteyn,school,6.9091520,52.2105627,POINT (6.909152 52.2105627)
18,Stella Maris College,college,5.8259460,50.8735208,POINT (5.825946 50.8735208)
19,Basisschool De Schakel,school,4.9016975,52.0904839,POINT (4.9016975 52.0904839)
20,Bibliotheek De Beuk,library,4.8829856,52.0866057,POINT (4.8829856 52.0866057)
21,Openbare Bibliotheek,library,4.7911545,51.9351101,POINT (4.7911545 51.9351101)
22,De Visserschool,school,4.8549605,52.3668387,POINT (4.8549605 52.3668387)
23,Universiteitsbibliotheek,library,5.6902818,50.8445507,POINT (5.6902818 50.8445507)
24,Daltonschool Oegstgeest,school,4.4778756,52.1938611,POINT (4.4778756 52.1938611)
25,C.B.S. Joris de Witte,school,4.4777078,52.1944424,POINT (4.4777078 52.1944424)
26,Eerste Westlandse Montessorischool,school,4.1850046,52.0308005,POINT (4.1850046 52.0308005)
27,Oudemanhuispoort (UvA),university,4.8960412,52.3693745,POINT (4.8960412 52.3693745)
28,Bibliotheek TU/e,library,5.4875047,51.4478102,POINT (5.4875047 51.4478102)
29,OBS Brandevoort De Plaetse,school,5.6099596,51.4589022,POINT (5.6099596 51.4589022)
30,ISG Arcus,school,5.4799230,52.5108164,POINT (5.479923 52.5108164)
31,SGL,school,5.4746362,52.5223519,POINT (5.4746362 52.5223519)
32,ROC,college,5.4774706,52.5121868,POINT (5.4774706 52.5121868)
33,OBS It Foarwurk,school,6.2447843,53.0998672,POINT (6.2447843 53.0998672)
34,De Bundertjes,school,5.6610530,51.4988243,POINT (5.661053 51.4988243)
35,Flevomeer Bibliotheek Lelystad,library,5.4747252,52.5078979,POINT (5.4747252 52.5078979)
36,Basisschool De Bron,school,6.5980161,52.4017513,POINT (6.5980161 52.4017513)
37,Bibliotheek Bollenstreek,library,4.4710566,52.1858979,POINT (4.4710566 52.1858979)
38,Agatha Snellen School,school,5.1249635,52.0826736,POINT (5.1249635 52.0826736)
39,Manege Nieuw Amstelland,riding_school,4.8552175,52.3227717,POINT (4.8552175 52.3227717)
40,Montessorischool het Zeggelt,school,6.8939331,52.2341953,POINT (6.8939331 52.2341953)
41,,school,4.9735501,52.2746968,POINT (4.9735501 52.2746968)
42,OBS Roxenisse,school,4.0669083,51.7707954,POINT (4.0669083 51.7707954)
43,Basisschool Sint Trudo,school,5.6154542,51.4863001,POINT (5.6154542 51.4863001)
44,DE Brede School,school,4.9600053,52.3227785,POINT (4.9600053 52.3227785)
45,Jacob Roelandslyceum,school,5.3299547,51.5852699,POINT (5.3299547 51.5852699)
46,Sint Lucas,school,5.3267093,51.5862075,POINT (5.3267093 51.5862075)
47,MediaCollege Amsterdam,school,4.8562558,52.3908710,POINT (4.8562558 52.390871)
48,Basisschool 'De Regenboog',school,5.0003895,52.1755201,POINT (5.0003895 52.1755201)
49,Lyceum Schravenlant,college,4.3916514,51.9247914,POINT (4.3916514 51.9247914)
50,Het Startblok,school,4.3912620,51.9235155,POINT (4.391262 51.9235155)
51,de Meander,school,4.3934735,52.0045902,POINT (4.3934735 52.0045902)
52,Cultura,library,5.6671456,52.0464963,POINT (5.6671456 52.0464963)
53,,college,4.9256779,52.3891543,POINT (4.9256779 52.3891543)
54,Arentheem College,school,5.9266182,51.9944084,POINT (5.9266182 51.9944084)
55,4e Montessorischool De Pinksterbloem,school,4.9084934,52.3547479,POINT (4.9084934 52.3547479)
56,St. Jozef,school,5.5216165,51.4925123,POINT (5.5216165 51.4925123)
