,name,type,x,y,geometry
0,Sint Antonius Woerden,hospital,4.8918902,52.0800905,POINT (4.8918902 52.0800905)
1,Elkerliek Ziekenhuis,hospital,5.6424049,51.4818128,POINT (5.6424049 51.4818128)
2,Huisartsen Gezondheidscentrum Daalmeer Alkmaar,doctors,4.7661343,52.6656476,POINT (4.7661343 52.6656476)
3,Diakonessenhuis,hospital,5.2621641,52.0912691,POINT (5.2621641 52.0912691)
4,"Jeroen Bosch, locatie Liduina",hospital,5.3209513,51.5940047,POINT (5.3209513 51.5940047)
5,,doctors,5.4192884,51.8829090,POINT (5.4192884 51.882909)
6,Gezondheidscentrum Nieuw Rijswijk,doctors,4.2997503,52.0374131,POINT (4.2997503 52.0374131)
7,Havenpolikliniek,hospital,4.4982210,51.9203549,POINT (4.498221 51.9203549)
8,Julius Gezondheidscentrum Terwijde,doctors,5.0395265,52.1016832,POINT (5.0395265 52.1016832)
9,Tandartspraktijk De Fryske Marren,dentist,5.5834914,52.8984861,POINT (5.5834914 52.8984861)
10,Dierenartsenpraktijk West Betuwe,veterinary,5.2877717,51.8693528,POINT (5.2877717 51.8693528)
11,Pantaleon Gezondheidscentrum,clinic,5.9710678,51.3289635,POINT (5.9710678 51.3289635)
12,,doctors,6.8866179,52.6610432,POINT (6.8866179 52.6610432)
13,Respaldo Dr Kingsale,hospital,-70.0581940,12.5434181,POINT (-70.058194 12.5434181)
14,Huisartsenpraktijk Primec,doctors,5.0965767,52.0696213,POINT (5.0965767 52.0696213)
15,Gezondheidscentrum Helmersstraat,doctors,4.8701039,52.3624732,POINT (4.8701039 52.3624732)
16,Gezondheidscentrum Het Zand,doctors,5.0471719,52.0941457,POINT (5.0471719 52.0941457)
17,Dierenartsenpraktijk Dijkshoorn,veterinary,5.2257496,52.0903036,POINT (5.2257496 52.0903036)
18,Gezondheidscentrum Merenwijk,doctors,4.5040126,52.1771258,POINT (4.5040126 52.1771258)
19,Willem Arntsz Huis,hospital,5.1249119,52.0845865,POINT (5.1249119 52.0845865)
20,Heliomare,hospital,4.5936049,52.4973555,POINT (4.5936049 52.4973555)
21,Kortenhoef,veterinary,5.1169571,52.2409916,POINT (5.1169571 52.2409916)
22,Sterk & De Jong,doctors,6.0380699,51.2288747,POINT (6.0380699 51.2288747)
23,Tandartsenpraktijk Groenen,dentist,6.0371835,51.2291540,POINT (6.0371835 51.229154)
24,,doctors,4.2858490,52.0333230,POINT (4.285849 52.033323)
25,Gezondheidscentrum en Apotheek Floriande,doctors,4.6417776,52.3124342,POINT (4.6417776 52.3124342)
26,Gezondheidscentrum Het Kruispunt,doctors,4.3119120,52.0310797,POINT (4.311912 52.0310797)
27,Zorgcentrum Juliana,clinic,5.8282256,50.8684123,POINT (5.8282256 50.8684123)
28,Huisartsenpraktijk Heikant,doctors,5.3931938,51.4275106,POINT (5.3931938 51.4275106)
29,Wijkzorgcentrum Vleuterweide,doctors; pharmacy,4.9983209,52.0984306,POINT (4.9983209 52.0984306)
30,Tandartsenpraktijk De Leeuwenbrug,dentist,6.1626181,52.2560476,POINT (6.1626181 52.2560476)
31,Dierenkliniek Moens,veterinary,4.4954855,52.1547750,POINT (4.4954855 52.154775)
32,Tergooiziekenhuis locatie Blaricum,hospital,5.2077665,52.2675799,POINT (5.2077665 52.2675799)
