,name,type,x,y,geometry
0,Averechts,pub,5.1179062,52.0979188,POINT (5.1179062 52.0979188)
1,Ledig Erf,pub,5.1235152,52.0816566,POINT (5.1235152 52.0816566)
2,De Klinker,pub,5.8659531,51.8438309,POINT (5.8659531 51.8438309)
3,In de blaauwe hand,pub,5.8635052,51.8479247,POINT (5.8635052 51.8479247)
4,De Beurs,pub,5.1190619,52.0928680,POINT (5.1190619 52.092868)
5,De Vingerhoed,cafe,5.1209929,52.0898173,POINT (5.1209929 52.0898173)
6,Kafé België,pub,5.1215186,52.0890362,POINT (5.1215186 52.0890362)
7,De Poort,pub,5.1235891,52.0818883,POINT (5.1235891 52.0818883)
8,'t Oude Pothuys,pub,5.1218902,52.0862082,POINT (5.1218902 52.0862082)
9,Café Wout,restaurant,5.1091575,52.0989986,POINT (5.1091575 52.0989986)
10,O Leary's,pub,5.1155985,52.0991034,POINT (5.1155985 52.0991034)
11,Eetcafé Hagedis,restaurant,4.2928326,52.0784108,POINT (4.2928326 52.0784108)
12,De Drie Dorstige Herten,pub,5.1234338,52.0872993,POINT (5.1234338 52.0872993)
13,Zeebries,pub,4.1029295,51.9862309,POINT (4.1029295 51.9862309)
14,De Windhoek,pub,5.0902081,52.0912299,POINT (5.0902081 52.0912299)
15,IJssalon,pub,4.4839382,51.9229345,POINT (4.4839382 51.9229345)
16,Zomerlust,pub,5.1128989,51.5593818,POINT (5.1128989 51.5593818)
17,Ming Garden,restaurant,4.4665417,51.8975751,POINT (4.4665417 51.8975751)
18,West,restaurant,5.0932616,52.0940454,POINT (5.0932616 52.0940454)
19,Eiburgh Snacks,fast_food,4.9630011,52.3707789,POINT (4.9630011 52.3707789)
20,Kopi Susu,pub,5.0976018,52.0911523,POINT (5.0976018 52.0911523)
21,Boerderij Meerzicht,cafe,4.8206896,52.3262661,POINT (4.8206896 52.3262661)
22,Lombok eten & drinken,restaurant,5.0968016,52.0931656,POINT (5.0968016 52.0931656)
23,Juliana,restaurant,5.0884569,52.1069779,POINT (5.0884569 52.1069779)
24,Pannekoekhuis de Grebbeberg,restaurant,5.5886029,51.9561327,POINT (5.5886029 51.9561327)
25,Bar Botanique Cafe Tropique,pub,4.9303211,52.3634368,POINT (4.9303211 52.3634368)
26,Burger King,fast_food,6.0881405,51.3970999,POINT (6.0881405 51.3970999)
27,Burger King,fast_food,5.4727468,51.5000173,POINT (5.4727468 51.5000173)
28,Burger King,fast_food,5.2947613,51.6901995,POINT (5.2947613 51.6901995)
29,Burger King,fast_food,4.4032107,51.9282955,POINT (4.4032107 51.9282955)
30,Burger King,fast_food,4.3940784,51.9813673,POINT (4.3940784 51.9813673)
31,Burger King,fast_food,4.5565255,51.9511435,POINT (4.5565255 51.9511435)
32,Burger King,fast_food,4.3953820,51.9848153,POINT (4.395382 51.9848153)
33,Burger King,fast_food,5.5551541,52.0407747,POINT (5.5551541 52.0407747)
34,Burger King,fast_food,4.6378141,52.3877579,POINT (4.6378141 52.3877579)
35,Burger King,fast_food,4.3240971,52.0817871,POINT (4.3240971 52.0817871)
36,Burger King,fast_food,4.7624238,52.3098821,POINT (4.7624238 52.3098821)
37,Kiosk,cafe,4.8735401,52.3392121,POINT (4.8735401 52.3392121)
38,Burger King,fast_food,4.8835118,52.3641780,POINT (4.8835118 52.364178)
39,Burger King,fast_food,4.8504678,52.3923260,POINT (4.8504678 52.392326)
40,Burger King,fast_food,4.9181737,52.3463966,POINT (4.9181737 52.3463966)
41,Burger King,fast_food,4.8927282,52.3737828,POINT (4.8927282 52.3737828)
42,Burger King,fast_food,4.8943072,52.3668263,POINT (4.8943072 52.3668263)
43,Burger King,fast_food,5.1091455,52.0894929,POINT (5.1091455 52.0894929)
44,Burger King,fast_food,4.9467114,52.2925820,POINT (4.9467114 52.292582)
45,Burger King,fast_food,5.4729559,52.5078261,POINT (5.4729559 52.5078261)
46,Burger King,fast_food,5.3732999,52.1532875,POINT (5.3732999 52.1532875)
47,King of the Ribs,fast_food,5.2189884,52.3686572,POINT (5.2189884 52.3686572)
48,Het Wapen van Heinenoord,restaurant,4.4742736,51.8259561,POINT (4.4742736 51.8259561)
49,Sizzling Wok,restaurant,4.9475644,52.2929232,POINT (4.9475644 52.2929232)
50,KFC,fast_food,5.4779225,51.4394403,POINT (5.4779225 51.4394403)
51,McDonald's,fast_food,4.2783184,51.4867642,POINT (4.2783184 51.4867642)
52,McDonald's,fast_food,4.7431964,51.4989597,POINT (4.7431964 51.4989597)
53,McDonald's,fast_food,4.7407378,51.4984131,POINT (4.7407378 51.4984131)
54,McDonald's,fast_food,4.3161770,52.0359743,POINT (4.316177 52.0359743)
55,McDonald's,fast_food,4.4756512,51.9218994,POINT (4.4756512 51.9218994)
56,McDonald's,fast_food,4.4800853,51.9183004,POINT (4.4800853 51.9183004)
57,McDonald's,fast_food,4.4835880,51.9203332,POINT (4.483588 51.9203332)
58,McDonald's,fast_food,4.5663321,51.9255727,POINT (4.5663321 51.9255727)
59,McDonald's,fast_food,4.7606842,52.9586181,POINT (4.7606842 52.9586181)
60,De Roode Leeuw,restaurant,4.8935952,52.3737497,POINT (4.8935952 52.3737497)
61,McDonald's,fast_food,4.8934827,52.3666856,POINT (4.8934827 52.3666856)
62,Burger King,fast_food,5.2575690,51.7762604,POINT (5.257569 51.7762604)
63,McDonald's,fast_food,6.1694200,51.3704481,POINT (6.16942 51.3704481)
64,McDonald's,fast_food,5.9062688,51.9816132,POINT (5.9062688 51.9816132)
65,McDonald's,fast_food,5.1173611,52.0919678,POINT (5.1173611 52.0919678)
66,McDonald's,fast_food,5.8613354,51.8433925,POINT (5.8613354 51.8433925)
67,McDonald's,fast_food,5.9316476,52.9651303,POINT (5.9316476 52.9651303)
68,McDonald's,fast_food,6.8798279,53.3186404,POINT (6.8798279 53.3186404)
69,McDonald's,fast_food,6.8988016,52.2188669,POINT (6.8988016 52.2188669)
70,McDonald's,fast_food,6.9286120,52.2850742,POINT (6.928612 52.2850742)
71,Jo Gerris hal,cafe,6.0097266,51.1940225,POINT (6.0097266 51.1940225)
72,Zoet of Zout,restaurant,4.0441555,51.8261205,POINT (4.0441555 51.8261205)
73,Scheepswerf De Delft,restaurant,4.4523723,51.9025340,POINT (4.4523723 51.902534)
74,Barbaar,cafe,4.3540103,52.0115528,POINT (4.3540103 52.0115528)
75,Snackbar City,fast_food,5.5671237,51.4727658,POINT (5.5671237 51.4727658)
76,Roxis,restaurant,5.5472772,51.4736513,POINT (5.5472772 51.4736513)
77,New Oriental,restaurant,5.5527185,51.4742557,POINT (5.5527185 51.4742557)
78,Pizzeria Messina,restaurant,5.5525361,51.4739978,POINT (5.5525361 51.4739978)
79,Joe Mann Paviljoen,restaurant,5.4342708,51.5126203,POINT (5.4342708 51.5126203)
80,Café de Postduif,bar,4.4893273,51.8902042,POINT (4.4893273 51.8902042)
81,Café Ons Dorp,cafe,5.5477154,51.4737183,POINT (5.5477154 51.4737183)
82,Restaurant de Bengel Nuenen,restaurant,5.5528143,51.4746573,POINT (5.5528143 51.4746573)
83,Café Goesting,cafe,5.5490237,51.4733120,POINT (5.5490237 51.473312)
84,Schafrath,cafe,5.5496171,51.4742280,POINT (5.5496171 51.474228)
85,Tong Ah,restaurant,5.5496308,51.4740302,POINT (5.5496308 51.4740302)
86,Anytime Snack & Dine,fast_food,5.4831380,52.4913401,POINT (5.483138 52.4913401)
87,"BIJ René, 't Wapen van Leimuiden",pub,4.6737063,52.2247695,POINT (4.6737063 52.2247695)
88,Elpida,restaurant,5.5468505,51.4733689,POINT (5.5468505 51.4733689)
89,Café-Zaal Berkenbosch,cafe,5.5371987,51.4644784,POINT (5.5371987 51.4644784)
90,SantaLyn,restaurant,5.5471846,51.4736040,POINT (5.5471846 51.473604)
