,name,type,x,y,geometry
0,TU/e ingang De Wielen,bus_stop,5.4922979,51.4458744,POINT (5.4922979 51.4458744)
1,Refeling,bus_stop,5.5525664,51.4654434,POINT (5.5525664 51.4654434)
2,"Nuenen, Park",bus_stop,5.5498220,51.4753772,POINT (5.549822 51.4753772)
3,Vincent van Goghplein,bus_stop,5.5525934,51.4741167,POINT (5.5525934 51.4741167)
4,Alfred Nobelstraat,bus_stop,5.4755226,51.5744881,POINT (5.4755226 51.5744881)
5,Ollandseweg,bus_stop,5.4638707,51.5703449,POINT (5.4638707 51.5703449)
6,Streekweg,bus_stop,5.7817034,51.8204326,POINT (5.7817034 51.8204326)
7,Rijdtsestraat,bus_stop,5.7411737,51.7830081,POINT (5.7411737 51.7830081)
8,Stoofweg,bus_stop,5.7341231,51.7537503,POINT (5.7341231 51.7537503)
9,Rosarium,bus_stop,5.1416232,52.0914794,POINT (5.1416232 52.0914794)
10,Erasmusstraat,bus_stop,5.3237815,51.6849577,POINT (5.3237815 51.6849577)
11,Sint Josephstraat,bus_stop,5.1046722,51.5568439,POINT (5.1046722 51.5568439)
12,Hobbemastraat,bus_stop,5.1431622,52.0848764,POINT (5.1431622 52.0848764)
13,Rijksweg/Veldstraat,bus_stop,5.7266621,50.8370150,POINT (5.7266621 50.837015)
14,Floris V-laan,bus_stop,5.0517676,51.6826127,POINT (5.0517676 51.6826127)
15,Prof. Asserweg,bus_stop,5.0475723,51.6799152,POINT (5.0475723 51.6799152)
16,Station Lunetten,bus_stop,5.1429369,52.0658130,POINT (5.1429369 52.065813)
17,Bunnerveenseweg,bus_stop,6.5172224,53.1120202,POINT (6.5172224 53.1120202)
18,Bunnerveenseweg,bus_stop,6.5171926,53.1122623,POINT (6.5171926 53.1122623)
19,Apollopad,bus_stop,5.3469218,51.5849124,POINT (5.3469218 51.5849124)
20,Artoislaan,bus_stop,5.4508617,51.4828462,POINT (5.4508617 51.4828462)
21,Castiliëlaan,bus_stop,5.4516006,51.4905761,POINT (5.4516006 51.4905761)
22,Hertenkamp,bus_stop,4.8962252,52.0887352,POINT (4.8962252 52.0887352)
23,Hertenkamp,bus_stop,4.8968373,52.0886325,POINT (4.8968373 52.0886325)
24,Schey,bus_stop,5.8219321,50.7735791,POINT (5.8219321 50.7735791)
25,Bergstraat,bus_stop,5.8058252,50.7944398,POINT (5.8058252 50.7944398)
26,Daalhemerweg,bus_stop,5.8184387,50.8483327,POINT (5.8184387 50.8483327)
27,Pastoor Theelenstraat,bus_stop,6.0224950,50.8602984,POINT (6.022495 50.8602984)
28,Heerlerweg,bus_stop,5.9422297,50.8750456,POINT (5.9422297 50.8750456)
29,Overheek,bus_stop,5.8706129,50.8821887,POINT (5.8706129 50.8821887)
30,Wiegershof,bus_stop,5.6946368,50.8827037,POINT (5.6946368 50.8827037)
31,Hartelstein,bus_stop,5.7116324,50.8922876,POINT (5.7116324 50.8922876)
32,Luiperbeekstraat,bus_stop,5.9161918,50.8997479,POINT (5.9161918 50.8997479)
33,Hellebroekerweg,bus_stop,5.8851990,50.9066329,POINT (5.885199 50.9066329)
34,Hommerterweg,bus_stop,5.9220633,50.9335724,POINT (5.9220633 50.9335724)
35,Hoofdstraat,bus_stop,5.5988678,51.2361176,POINT (5.5988678 51.2361176)
36,Prinses Irenestraat,bus_stop,5.5715509,51.2397662,POINT (5.5715509 51.2397662)
37,Stationsweg,bus_stop,5.5653147,51.2457385,POINT (5.5653147 51.2457385)
38,Grootschoterweg,bus_stop,5.5661731,51.2553054,POINT (5.5661731 51.2553054)
39,Kroonwiel,bus_stop,5.7108260,51.2637843,POINT (5.710826 51.2637843)
40,"Nederweert, Carpool",bus_stop,5.7364886,51.2811622,POINT (5.7364886 51.2811622)
41,Doolhof,bus_stop,5.3264115,51.2877730,POINT (5.3264115 51.287773)
42,Schatersdijk,bus_stop,5.3301458,51.2889869,POINT (5.3301458 51.2889869)
43,Mozekesweg,bus_stop,5.3375148,51.2941054,POINT (5.3375148 51.2941054)
44,Loo,bus_stop,5.3444035,51.3129963,POINT (5.3444035 51.3129963)
45,Loo,bus_stop,6.0075313,51.3377045,POINT (6.0075313 51.3377045)
46,Westerhovenseweg,bus_stop,5.4273858,51.3450276,POINT (5.4273858 51.3450276)
47,Brouwerijplein,bus_stop,5.4289953,51.3480853,POINT (5.4289953 51.3480853)
48,Minister Aalbersestraat,bus_stop,5.4447991,51.3507568,POINT (5.4447991 51.3507568)
49,Kerk,bus_stop,5.3860802,51.3523481,POINT (5.3860802 51.3523481)
50,Voortseweg,bus_stop,5.3100390,51.3536742,POINT (5.310039 51.3536742)
51,Ambrosiusdal,bus_stop,5.4357643,51.3553615,POINT (5.4357643 51.3553615)
52,Kortkruisdijk,bus_stop,5.3059486,51.3561534,POINT (5.3059486 51.3561534)
53,Postweg,bus_stop,6.1960241,51.3595275,POINT (6.1960241 51.3595275)
54,Maashofpark,bus_stop,6.1307346,51.3713886,POINT (6.1307346 51.3713886)
55,Dorpstraat/Hazenpad,bus_stop,5.8650656,51.3720412,POINT (5.8650656 51.3720412)
56,Heitrak,bus_stop,5.8591761,51.3751486,POINT (5.8591761 51.3751486)
57,Turfhoeve,bus_stop,5.9840391,51.3808383,POINT (5.9840391 51.3808383)
58,Speelheuvelplein,bus_stop,5.7059275,51.3881582,POINT (5.7059275 51.3881582)
59,Ansbalduslaan,bus_stop,5.4600659,51.3918358,POINT (5.4600659 51.3918358)
60,Kerkhoflaan,bus_stop,5.4727683,51.3966997,POINT (5.4727683 51.3966997)
61,Vessemseweg,bus_stop,5.2653860,51.4008150,POINT (5.265386 51.400815)
62,Missiehuis,bus_stop,5.7411702,51.4009383,POINT (5.7411702 51.4009383)
63,Kerkstraat,bus_stop,5.7454979,51.4022537,POINT (5.7454979 51.4022537)
64,Tuinstraat,bus_stop,5.7483714,51.4037629,POINT (5.7483714 51.4037629)
65,Hagendorenseweg,bus_stop,5.4122517,51.4184010,POINT (5.4122517 51.418401)
66,Steemertseweg,bus_stop,5.6819913,51.4292175,POINT (5.6819913 51.4292175)
67,Volderstraat,bus_stop,5.5640146,51.4307860,POINT (5.5640146 51.430786)
68,Hof van Bethanië,bus_stop,5.6195568,51.4383862,POINT (5.6195568 51.4383862)
69,Rembrandtplein,bus_stop,5.5028678,51.4385598,POINT (5.5028678 51.4385598)
70,Merenweg,bus_stop,5.3250515,51.4388947,POINT (5.3250515 51.4388947)
71,Hertshooi,bus_stop,5.6263296,51.4392159,POINT (5.6263296 51.4392159)
72,Peeleik,bus_stop,5.7009024,51.4568664,POINT (5.7009024 51.4568664)
73,Venweg,bus_stop,4.9450169,51.4574445,POINT (4.9450169 51.4574445)
74,Generaal Coenderslaan,bus_stop,5.4828079,51.4579693,POINT (5.4828079 51.4579693)
75,Cassandraplein,bus_stop,5.4881594,51.4595902,POINT (5.4881594 51.4595902)
76,Drosserstraat,bus_stop,5.4827294,51.4601436,POINT (5.4827294 51.4601436)
77,Snoekstraat,bus_stop,5.6344960,51.4608927,POINT (5.634496 51.4608927)
78,Generaal Hardenbergpad,bus_stop,5.4824250,51.4639739,POINT (5.482425 51.4639739)
79,Deltaweg,bus_stop,5.6991289,51.4712406,POINT (5.6991289 51.4712406)
80,Lagedijk,bus_stop,5.6786344,51.4720605,POINT (5.6786344 51.4720605)
81,Lagedijk,bus_stop,5.6782758,51.4721520,POINT (5.6782758 51.472152)
82,Kwaalburg,bus_stop,4.9523023,51.4741007,POINT (4.9523023 51.4741007)
83,Veluwehof,bus_stop,5.6977881,51.4752258,POINT (5.6977881 51.4752258)
84,Volderhof,bus_stop,5.7025431,51.4777795,POINT (5.7025431 51.4777795)
85,Gelderstraat,bus_stop,5.1388588,51.4820195,POINT (5.1388588 51.4820195)
86,Zuideinde,bus_stop,5.6600906,51.4811224,POINT (5.6600906 51.4811224)
87,Ravensgat,bus_stop,5.7156850,51.4923629,POINT (5.715685 51.4923629)
88,Bosweg,bus_stop,5.5689848,51.4939537,POINT (5.5689848 51.4939537)
89,Bedrijfsweg,bus_stop,5.4050892,51.4969323,POINT (5.4050892 51.4969323)
90,Science Park Oost/5100,bus_stop,5.4598577,51.4981084,POINT (5.4598577 51.4981084)
91,Industrieweg,bus_stop,5.4085280,51.4983618,POINT (5.408528 51.4983618)
92,Bosscheweg,bus_stop,5.6424859,51.5069709,POINT (5.6424859 51.5069709)
93,Deense Hoek,bus_stop,5.5851809,51.5128865,POINT (5.5851809 51.5128865)
94,Brouwerstraat,bus_stop,5.5108748,51.5145051,POINT (5.5108748 51.5145051)
