,name,type,x,y,geometry
0,CBS Het Octaaf,school,6.5298573,52.9873922,POINT (6.5298573 52.9873922)
1,OBS Baggelhuizen,school,6.5292533,52.9871929,POINT (6.5292533 52.9871929)
2,OBS Iemenhof,school,6.8843713,52.6610620,POINT (6.8843713 52.661062)
3,Bibliotheek Schoonebeek,library,6.8812299,52.6630402,POINT (6.8812299 52.6630402)
4,,kindergarten,6.8855355,52.6597316,POINT (6.8855355 52.6597316)
5,Meester Hekmanhoes,school,6.7967785,52.9512221,POINT (6.7967785 52.9512221)
6,Nassaucollege,school,6.7561566,53.0071191,POINT (6.7561566 53.0071191)
7,Bibliotheek Gieten,library,6.7601507,53.0058816,POINT (6.7601507 53.0058816)
8,Kleuterschool de Roezemoes,school,6.7550108,52.7007875,POINT (6.7550108 52.7007875)
9,IKC de Bosvlinder,school,6.5414579,52.9223063,POINT (6.5414579 52.9223063)
10,CJBS de Regenboog,school,6.5774060,52.9885050,POINT (6.577406 52.988505)
11,Vredeveldschool,school,6.5778123,52.9882934,POINT (6.5778123 52.9882934)
12,CBS De Rietzanger,school,6.5396266,53.1793086,POINT (6.5396266 53.1793086)
13,OBS Ter Borch,school,6.5381834,53.1789074,POINT (6.5381834 53.1789074)
14,CDS de Marke,school,6.7711191,53.0016781,POINT (6.7711191 53.0016781)
15,OBS Commissaris Gaarlandt,school,6.1664543,52.7332217,POINT (6.1664543 52.7332217)
16,CBS De Bark,school,6.8966878,52.8448565,POINT (6.8966878 52.8448565)
17,OBS de Linderakkers,school,6.8920047,52.8450120,POINT (6.8920047 52.845012)
18,Obs De Veenvlinder,school,6.5743160,53.1373510,POINT (6.574316 53.137351)
19,OBS De Duinstee,school,6.5929502,53.1169460,POINT (6.5929502 53.116946)
20,Openbare bibliotheek Hoogeveen Hoofdvestiging,library,6.4800902,52.7291871,POINT (6.4800902 52.7291871)
21,,kindergarten,6.5496627,53.1328550,POINT (6.5496627 53.132855)
22,de esborg,school,6.4125093,53.1415092,POINT (6.4125093 53.1415092)
23,,kindergarten,6.5375560,52.7231107,POINT (6.537556 52.7231107)
24,Bibliotheek Assen,library,6.5586830,52.9946471,POINT (6.558683 52.9946471)
25,Mariaschool,school,6.5744547,53.1372440,POINT (6.5744547 53.137244)
26,W.A. van Lieflandschool,school,6.5293699,52.9882665,POINT (6.5293699 52.9882665)
27,OBS Emmermeer,school,6.8965277,52.7983932,POINT (6.8965277 52.7983932)
28,Bibliotheek Havelte,library,6.2335202,52.7737913,POINT (6.2335202 52.7737913)
29,De Weide,library,6.4516511,52.7195593,POINT (6.4516511 52.7195593)
30,Bibliotheek,library,6.5928778,53.1168397,POINT (6.5928778 53.1168397)
31,,library,6.4289035,52.6715388,POINT (6.4289035 52.6715388)
32,Bibliotheek Emmen,library,6.8923492,52.7882204,POINT (6.8923492 52.7882204)
33,Twiespan,school,6.9231463,52.7817315,POINT (6.9231463 52.7817315)
34,OPDC,school,6.9082935,52.7831767,POINT (6.9082935 52.7831767)
35,Esdal College Oosterstraat,school,6.9094663,52.7840785,POINT (6.9094663 52.7840785)
36,SBO de Catamaran,school,6.9283858,52.7778686,POINT (6.9283858 52.7778686)
37,Kinderopvang Kwebbel,kindergarten,6.9072212,52.7306643,POINT (6.9072212 52.7306643)
38,Bibliotheek Rolde,library,6.6427675,52.9902740,POINT (6.6427675 52.990274)
39,Nederlands Instituut voor Verkeersveiligheid,driving_school,6.1998192,52.7121676,POINT (6.1998192 52.7121676)
40,bibliotheek Meppel,library,6.1953349,52.6978892,POINT (6.1953349 52.6978892)
41,Drenthe College,college,6.1941755,52.6976887,POINT (6.1941755 52.6976887)
42,Oosterpoort Opleidingen,driving_school,6.5935625,53.0054683,POINT (6.5935625 53.0054683)
43,,school,6.2057897,52.7730624,POINT (6.2057897 52.7730624)
44,Drenthe College (Atlantis),college,6.9139322,52.7766499,POINT (6.9139322 52.7766499)
45,Rijschool Juma,driving_school,6.5607285,53.0202994,POINT (6.5607285 53.0202994)
46,CBS De Lichtbaak,school,6.5427440,53.0084680,POINT (6.542744 53.008468)
47,OBS Driemaster,school,6.5425170,53.0087140,POINT (6.542517 53.008714)
48,Kinderopvang,kindergarten,6.5395616,52.9207691,POINT (6.5395616 52.9207691)
49,Gomarus College,school,6.5628135,53.0009479,POINT (6.5628135 53.0009479)
50,CBS Het Kompas,school,6.5521974,52.9989803,POINT (6.5521974 52.9989803)
51,De Drift,school,6.6687699,52.9379550,POINT (6.6687699 52.937955)
52,Triangel,school,6.7697951,53.0732275,POINT (6.7697951 53.0732275)
53,KC Het Krijt,school,6.5147449,53.0011027,POINT (6.5147449 53.0011027)
54,IKC Het Sterrenschip,school,6.5139382,53.0011545,POINT (6.5139382 53.0011545)
55,OBS De Vijverstee,school,6.5751423,53.0714936,POINT (6.5751423 53.0714936)
56,De Hekakker,school,6.4623484,53.0648459,POINT (6.4623484 53.0648459)
57,De Hoeksteen,school,6.4079194,53.1361302,POINT (6.4079194 53.1361302)
58,De Valkhof,school,6.4102225,53.1374851,POINT (6.4102225 53.1374851)
59,De Ronerborg,school,6.4131707,53.1397399,POINT (6.4131707 53.1397399)
60,Bibliotheek Roden,library,6.4294479,53.1398510,POINT (6.4294479 53.139851)
61,Openbare Bibliotheek Eelde,library,6.5679262,53.1426195,POINT (6.5679262 53.1426195)
62,Het Kinderkabinet,kindergarten,6.5677284,53.1474293,POINT (6.5677284 53.1474293)
63,cbs Menso Altingschool,school,6.5692608,53.1496143,POINT (6.5692608 53.1496143)
64,AOC Terra,school,6.5719057,53.1402895,POINT (6.5719057 53.1402895)
65,CBS De Braakhekkeschool,school,7.0443765,52.8124879,POINT (7.0443765 52.8124879)
66,Bibliotheek Nieuw-Amsterdam,library,6.8570578,52.7138759,POINT (6.8570578 52.7138759)
67,CBS De Fontein,school,6.8006762,52.7680552,POINT (6.8006762 52.7680552)
68,obs de Esdoorn,school,6.9172748,52.8179085,POINT (6.9172748 52.8179085)
69,Brede School Zuid,school,6.4815680,52.7152012,POINT (6.481568 52.7152012)
70,Kinderbelevingscentrum Bzzzonder Hoogeveen,kindergarten,6.4603761,52.7133124,POINT (6.4603761 52.7133124)
71,CBS De Bron,school,6.1539299,52.8301245,POINT (6.1539299 52.8301245)
72,Wilhelmina Muziek Centrum,music_school,6.4667235,52.7219025,POINT (6.4667235 52.7219025)
73,Liedekeijn,kindergarten,6.6707877,53.0837046,POINT (6.6707877 53.0837046)
74,obs Schuilingsoord,school,6.6753671,53.0946733,POINT (6.6753671 53.0946733)
75,Scala,music_school,6.4794489,52.7282664,POINT (6.4794489 52.7282664)
76,KDV 't Hobbelpaard,kindergarten,6.7003118,53.0742450,POINT (6.7003118 53.074245)
77,Basisschool Mr Siebering,school,6.6054501,52.7682789,POINT (6.6054501 52.7682789)
78,Bibliotheek Beilen,library,6.5127028,52.8605795,POINT (6.5127028 52.8605795)
79,OBS De Kameleon,school,6.8020998,53.0528275,POINT (6.8020998 53.0528275)
80,De Borgh,school,6.7963726,52.9217382,POINT (6.7963726 52.9217382)
81,Bibliotheek Borger,library,6.7968699,52.9215532,POINT (6.7968699 52.9215532)
82,OBS de Buyne,school,6.8369392,52.9306720,POINT (6.8369392 52.930672)
83,Leeszaal,library,6.8454172,52.8506936,POINT (6.8454172 52.8506936)
84,O.B.S. De Weiert,school,6.8528313,52.8523739,POINT (6.8528313 52.8523739)
85,Drenthe College,college,6.2008875,52.6903201,POINT (6.2008875 52.6903201)
86,OBS De Eshoek,school,6.7231128,53.0560818,POINT (6.7231128 53.0560818)
87,OBS De Eshoek,kindergarten,6.7230139,53.0562931,POINT (6.7230139 53.0562931)
88,Openbare Bibliotheek Coevorden,library,6.7428931,52.6611828,POINT (6.7428931 52.6611828)
89,OBS De Benthe,school,7.0429218,52.7991911,POINT (7.0429218 52.7991911)
90,Emmen,school,6.9478923,52.7806689,POINT (6.9478923 52.7806689)
91,Esdal College Oosterstraat,school,6.9095025,52.7835152,POINT (6.9095025 52.7835152)
92,,school,6.4798019,52.7240264,POINT (6.4798019 52.7240264)
93,,library,6.7191091,52.7554839,POINT (6.7191091 52.7554839)
94,Alfa-college,college,6.4715094,52.7387523,POINT (6.4715094 52.7387523)
95,Alfa-college,college,6.5370637,52.9843520,POINT (6.5370637 52.984352)
96,Roelof van Echten College,school,6.4718903,52.7388486,POINT (6.4718903 52.7388486)
97,Kreeft Opleidingen,school,6.4716975,52.7388012,POINT (6.4716975 52.7388012)
98,Drenthe College (Van Schaikweg 94),college,6.9131623,52.7781342,POINT (6.9131623 52.7781342)
99,Drenthe College (Emmalaan),school,6.9053937,52.7787151,POINT (6.9053937 52.7787151)
100,,library,6.2068850,52.8575015,POINT (6.206885 52.8575015)
101,Bibliotheek Diever,library,6.3132890,52.8528604,POINT (6.313289 52.8528604)
102,Burg W A Storkschool,school,6.3580415,52.8326876,POINT (6.3580415 52.8326876)
103,Cbs de Fontein,school,6.3577199,52.8324406,POINT (6.3577199 52.8324406)
104,VSO De Atlas,school,6.9446768,52.7777466,POINT (6.9446768 52.7777466)
105,TechHub Assen,university,6.5703666,52.9992437,POINT (6.5703666 52.9992437)
106,VEC Koops,driving_school,6.5808126,53.0094568,POINT (6.5808126 53.0094568)
107,OBS de Poolster,school,6.3936434,53.1289206,POINT (6.3936434 53.1289206)
108,,library,6.2515855,52.7235509,POINT (6.2515855 52.7235509)
109,Hunebedcentrum Bibliotheek,library,6.7975330,52.9310639,POINT (6.797533 52.9310639)
110,Bibliotheek Vries,library,6.5767137,53.0765251,POINT (6.5767137 53.0765251)
111,,library,6.2909147,52.6767626,POINT (6.2909147 52.6767626)
112,Oosterpoort,driving_school,6.5940082,53.0056034,POINT (6.5940082 53.0056034)
113,Bibliotheek Ruinen,library,6.3522303,52.7590067,POINT (6.3522303 52.7590067)
114,Bouwmensen DNWO,school,6.3631678,52.7633217,POINT (6.3631678 52.7633217)
115,Kindcentrum Woelwater,kindergarten,6.4499686,52.7153854,POINT (6.4499686 52.7153854)
116,BSO De Veldkabouter,kindergarten,6.5437559,52.7042597,POINT (6.5437559 52.7042597)
117,BSO de Bosuil,kindergarten,6.6169582,52.7231733,POINT (6.6169582 52.7231733)
118,Speel-o-theek 'Het Boemeltje',toy_library,6.6645187,53.0877616,POINT (6.6645187 53.0877616)
119,Muziekschool 'de Hoge Noot',music_school,6.6960424,53.0811834,POINT (6.6960424 53.0811834)
120,De Hasselbraam,kindergarten,6.8018517,53.0524842,POINT (6.8018517 53.0524842)
121,Minibieb,library,6.4675999,53.1671855,POINT (6.4675999 53.1671855)
122,Bosbieb,library,6.4623605,53.0758228,POINT (6.4623605 53.0758228)
123,Speel en Leer,school,6.3946484,53.0323824,POINT (6.3946484 53.0323824)
124,‘t Hieker Nust,school,6.4977149,52.8950191,POINT (6.4977149 52.8950191)
125,Bibliotheek Schoonoord,library,6.7587109,52.8462275,POINT (6.7587109 52.8462275)
126,OBS Het Spectrum,school,6.4821489,52.7147738,POINT (6.4821489 52.7147738)
127,Bibliotheek Peize,library,6.4993753,53.1484402,POINT (6.4993753 53.1484402)
128,Bibliotheek Norg,library,6.4616317,53.0675208,POINT (6.4616317 53.0675208)
129,PSG Peuterschoeltje,kindergarten,6.7002647,53.0742994,POINT (6.7002647 53.0742994)
130,Zandpol,school,6.8654390,52.6933276,POINT (6.865439 52.6933276)
131,OBS Tiendeveen,school,6.5428234,52.7448469,POINT (6.5428234 52.7448469)
