,name,type,x,y,geometry
0,Podium Zuidhaege,arts_centre,6.5654310,52.9914620,POINT (6.565431 52.991462)
1,Cultuurpodium VANSLAG,arts_centre,6.7907727,52.9244547,POINT (6.7907727 52.9244547)
2,De Schalm,theatre,6.5645888,52.9914391,POINT (6.5645888 52.9914391)
3,Luxor Theater,cinema,6.4794078,52.7260023,POINT (6.4794078 52.7260023)
4,Theater de Winsinghhof,theatre,6.4336604,53.1354636,POINT (6.4336604 53.1354636)
5,Theater De Tamboer,theatre,6.4779898,52.7273643,POINT (6.4779898 52.7273643)
6,De Nieuwe Kolk,theatre,6.5584687,52.9945383,POINT (6.5584687 52.9945383)
7,De Nieuwe Kolk,cinema,6.5586416,52.9943040,POINT (6.5586416 52.994304)
8,Openluchttheater De Speulkoel,theatre,6.8007632,52.9299608,POINT (6.8007632 52.9299608)
9,De Melkfabriek,theatre,6.5338879,53.1178496,POINT (6.5338879 53.1178496)
10,Filmhuis De Filmfabriek,cinema,6.5338163,53.1178071,POINT (6.5338163 53.1178071)
11,Toneelvereniging Erica,theatre,6.5932937,53.1166289,POINT (6.5932937 53.1166289)
12,Cinema de Winsinghhof,cinema,6.4335741,53.1354511,POINT (6.4335741 53.1354511)
13,Kinepolis,cinema,6.8878295,52.7881640,POINT (6.8878295 52.788164)
14,Luxor,cinema,6.1902773,52.6995062,POINT (6.1902773 52.6995062)
15,Scala Meppel,arts_centre,6.1941196,52.6977191,POINT (6.1941196 52.6977191)
16,Theater Ogterop,theatre,6.1906319,52.6926787,POINT (6.1906319 52.6926787)
17,Galerie De Bun,arts_centre,6.5392487,53.1157681,POINT (6.5392487 53.1157681)
18,Fiberations kunstgalerie,arts_centre,6.5089452,53.1401127,POINT (6.5089452 53.1401127)
19,de Notenkraker,arts_centre,6.5676528,53.1430087,POINT (6.5676528 53.1430087)
20,Het Podium,theatre,6.4754990,52.7200251,POINT (6.475499 52.7200251)
21,Vue,cinema,6.4796601,52.7254514,POINT (6.4796601 52.7254514)
22,De Notenkraker Chr. Muziekvereniging AMDG Beilen,theatre,6.5268090,52.8724124,POINT (6.526809 52.8724124)
23,Coco Maria,theatre,6.3902000,53.0496271,POINT (6.3902 53.0496271)
24,De Noorderbak,theatre,7.0396551,52.8355664,POINT (7.0396551 52.8355664)
25,De Theaterboerderij,theatre,6.6031944,52.9531203,POINT (6.6031944 52.9531203)
26,Atlas Theater,theatre,6.8911670,52.7830595,POINT (6.891167 52.7830595)
27,Boerderij Kamps,theatre,6.6149299,52.9916519,POINT (6.6149299 52.9916519)
28,Stadstheater Emmen,theatre,6.8989754,52.7841564,POINT (6.8989754 52.7841564)
29,Openluchttheater De Baete,theatre,6.3547054,52.7607365,POINT (6.3547054 52.7607365)
30,Openluchttheater,theatre,6.6664449,52.9385788,POINT (6.6664449 52.9385788)
31,Arctic 1,cinema,6.8900015,52.7823173,POINT (6.8900015 52.7823173)
32,Sporthal en theaterzaal 'Hart van Diever',theatre,6.3123665,52.8531355,POINT (6.3123665 52.8531355)
33,De Speulkoel,theatre,6.7016154,53.0483376,POINT (6.7016154 53.0483376)
34,,theatre,6.3778015,52.7009447,POINT (6.3778015 52.7009447)
35,Theaterkuil De Falieberg,theatre,6.4226727,52.6800702,POINT (6.4226727 52.6800702)
