,name,type,x,y,geometry
0,,doctors,6.8866179,52.6610432,POINT (6.8866179 52.6610432)
1,,veterinary,6.4424492,52.9463379,POINT (6.4424492 52.9463379)
2,Tandartspraktijk Klijntunte J P C,dentist,6.4450157,52.9452374,POINT (6.4450157 52.9452374)
3,Huisartsenpraktijk Smilde,doctors,6.4450800,52.9453086,POINT (6.44508 52.9453086)
4,Dienartspraktijk de Weide,veterinary,6.4521125,52.7198810,POINT (6.4521125 52.719881)
5,Sensodent,dentist,6.8992793,52.7976888,POINT (6.8992793 52.7976888)
6,Arts&Dier Emmen,veterinary,6.8950767,52.7760374,POINT (6.8950767 52.7760374)
7,Van Netten,dentist,6.8810000,52.7597857,POINT (6.881 52.7597857)
8,Tandarts Engelbertink,dentist,6.8828982,52.7544872,POINT (6.8828982 52.7544872)
9,,dentist,6.8886077,52.7507547,POINT (6.8886077 52.7507547)
10,,doctors,6.8812941,52.7479303,POINT (6.8812941 52.7479303)
11,GGD-testlocatie Assen,doctors,6.5684734,53.0234045,POINT (6.5684734 53.0234045)
12,Slotplantsoen,dentist,6.1919635,52.6984439,POINT (6.1919635 52.6984439)
13,Orthodontistenpraktijk Meppel,dentist,6.1935915,52.6985045,POINT (6.1935915 52.6985045)
14,Orthodontist Munninghoff,dentist,6.1950859,52.6924204,POINT (6.1950859 52.6924204)
15,Dierenkliniek Meppel,veterinary,6.1905818,52.6936942,POINT (6.1905818 52.6936942)
16,Gezondheidscentrum Ruinerwold,doctors,6.2531379,52.7257010,POINT (6.2531379 52.725701)
17,Tandartspraktijk Ruinen,dentist,6.3581414,52.7591674,POINT (6.3581414 52.7591674)
18,Huisartsenpraktijk Havelte,doctors,6.2393593,52.7748311,POINT (6.2393593 52.7748311)
19,Elementen mondzorg,dentist,6.7854274,52.9206074,POINT (6.7854274 52.9206074)
20,Atik,dentist,6.5671271,52.9935631,POINT (6.5671271 52.9935631)
21,De Jong,dentist,6.5618582,52.9859760,POINT (6.5618582 52.985976)
22,Huisartsenpraktijk Rolde,doctors,6.6431823,52.9888198,POINT (6.6431823 52.9888198)
23,Tandartsenpratijk Keur-Barkhuis,dentist,6.5137572,52.9995362,POINT (6.5137572 52.9995362)
24,Huisartsenpraktijk Heijstra & Kremer,doctors,6.4625227,53.0666094,POINT (6.4625227 53.0666094)
25,,veterinary,6.4315068,53.1452879,POINT (6.4315068 53.1452879)
26,,dentist,6.4377733,53.1460688,POINT (6.4377733 53.1460688)
27,,dentist,6.4379343,53.1461997,POINT (6.4379343 53.1461997)
28,Huisarts,doctors,6.4053700,53.1562874,POINT (6.40537 53.1562874)
29,Tandartspraktijken Beugeling & Lawant,dentist,6.5461599,53.1743889,POINT (6.5461599 53.1743889)
30,Dierenartsenpraktijk Ommelanden,veterinary,6.5642690,53.1389351,POINT (6.564269 53.1389351)
31,Orthodontiepraktijk Paterswolde,dentist,6.5657017,53.1447485,POINT (6.5657017 53.1447485)
32,Huisartsenpraktijk: De Fontein,doctors,6.5678031,53.1506893,POINT (6.5678031 53.1506893)
33,Huisarts,doctors,7.0063942,52.8070957,POINT (7.0063942 52.8070957)
34,Tandartspratijk Marsdijk,dentist,6.5867855,53.0177851,POINT (6.5867855 53.0177851)
35,,doctors,6.5870216,53.0177019,POINT (6.5870216 53.0177019)
36,,dentist,6.5874089,53.0177730,POINT (6.5874089 53.017773)
37,,doctors,6.5877246,53.0177937,POINT (6.5877246 53.0177937)
38,Arts & Dier,veterinary,6.9868961,52.7249552,POINT (6.9868961 52.7249552)
39,Huisartsenpraktijk Dalen,doctors,6.7578647,52.7005875,POINT (6.7578647 52.7005875)
40,Gezondheidscentrum De Veltstroom,clinic,6.7474173,52.6615849,POINT (6.7474173 52.6615849)
41,Huisartsenpraktijk Meander,doctors,6.7457595,52.6623161,POINT (6.7457595 52.6623161)
42,Tandartsenpraktijk Zuidwolde,dentist,6.4298670,52.6742920,POINT (6.429867 52.674292)
43,Qaudratand,dentist,6.4283141,52.6627083,POINT (6.4283141 52.6627083)
44,tandarts + mondhygiëne,dentist,6.3673711,52.8320828,POINT (6.3673711 52.8320828)
45,Dierengeneeskundig Centrum Zuid-Oost Drenthe,veterinary,6.7942794,52.7707010,POINT (6.7942794 52.770701)
46,Huisartsenpraktijk Ettenheim,doctors,6.5386205,52.7261832,POINT (6.5386205 52.7261832)
47,Hyperbare Geneeskunde,clinic,6.4577330,52.7265224,POINT (6.457733 52.7265224)
48,Dierenartsenpraktijk de Hondsrug,veterinary,6.6742520,53.1129669,POINT (6.674252 53.1129669)
49,R.G. Tuinman,doctors,6.6721582,53.0911760,POINT (6.6721582 53.091176)
50,Huisartsenpraktijk Albronda,doctors,6.6914011,53.0912892,POINT (6.6914011 53.0912892)
51,Huidtherapiepraktijk v.d. Werff,doctors,6.6634822,53.0915923,POINT (6.6634822 53.0915923)
