,name,type,x,y,geometry
0,Beefeater,pub,6.5634113,52.9947745,POINT (6.5634113 52.9947745)
1,Brasserie Magnefique,restaurant,6.5623491,52.9948519,POINT (6.5623491 52.9948519)
2,Snackcorner Maja,fast_food,6.5342461,52.9839177,POINT (6.5342461 52.9839177)
3,Happy Garden,restaurant,6.5340360,52.9836040,POINT (6.534036 52.983604)
4,De Drie Provinciën,restaurant,6.3113239,53.0886558,POINT (6.3113239 53.0886558)
5,Norgerhout,restaurant,6.4553074,53.0587380,POINT (6.4553074 53.058738)
6,Hotel Wesseling,restaurant,6.3659778,52.8343237,POINT (6.3659778 52.8343237)
7,Hotel De Brink,cafe,6.3653976,52.8345109,POINT (6.3653976 52.8345109)
8,Restaurant-Bar de Riete,pub,6.3665717,52.8335495,POINT (6.3665717 52.8335495)
9,Kwalitaria van der Laan,fast_food,6.3667007,52.8335795,POINT (6.3667007 52.8335795)
10,Pannenkoekenboerderij in de Zaagkoele,restaurant,6.3651916,52.8336283,POINT (6.3651916 52.8336283)
11,Onder de Eiken,restaurant,6.3673703,52.8312547,POINT (6.3673703 52.8312547)
12,'t Hof van Dwingeloo,fast_food,6.3680545,52.8313931,POINT (6.3680545 52.8313931)
13,Hui Mao,restaurant,6.3414693,52.8470120,POINT (6.3414693 52.847012)
14,De Muzikant,restaurant,6.5628000,52.9933330,POINT (6.5628 52.993333)
15,De Witte Bal,pub,6.5625174,52.9941904,POINT (6.5625174 52.9941904)
16,De Witterbrug,restaurant,6.5511924,52.9942136,POINT (6.5511924 52.9942136)
17,De Buur'n,pub,6.8824628,52.6624595,POINT (6.8824628 52.6624595)
18,De Aole Kroeg,fast_food,6.8826888,52.6618871,POINT (6.8826888 52.6618871)
19,Snackpoint,fast_food,6.8825261,52.6625027,POINT (6.8825261 52.6625027)
20,De Lange Muur,restaurant,6.8828554,52.6618618,POINT (6.8828554 52.6618618)
21,Sunrise-Stables,restaurant,6.5234337,52.9835862,POINT (6.5234337 52.9835862)
22,Cnossen,restaurant,6.4233026,53.1762834,POINT (6.4233026 53.1762834)
23,Robin Hood Ribhouse,restaurant,6.7881294,52.9574506,POINT (6.7881294 52.9574506)
24,Hotel-Restaurant Karsten,restaurant,6.4603004,53.0664909,POINT (6.4603004 53.0664909)
25,Bospaviljoen De Norgerberg,restaurant,6.4481734,53.0779403,POINT (6.4481734 53.0779403)
26,Wegrestaurant Huizebareveld,restaurant,6.8452936,53.0505461,POINT (6.8452936 53.0505461)
27,Snackbar Royal Noorderschut,fast_food,6.5354971,52.7242697,POINT (6.5354971 52.7242697)
28,Café 't Keerpunt,cafe,6.7647471,53.0763599,POINT (6.7647471 53.0763599)
29,Theehuis,cafe,6.8329735,52.9857612,POINT (6.8329735 52.9857612)
30,Chinees restaurant Lotus,restaurant,6.5627599,53.1579144,POINT (6.5627599 53.1579144)
31,PeGe Cafe,pub,6.7577981,53.0039289,POINT (6.7577981 53.0039289)
32,Restaurant 't Oelnbret,restaurant,6.7560995,52.6974101,POINT (6.7560995 52.6974101)
33,Delifrance,cafe,6.4679733,52.7192735,POINT (6.4679733 52.7192735)
34,Da Peppino,restaurant,6.7937684,52.9751495,POINT (6.7937684 52.9751495)
35,Bar & Grill De Pelikaan,cafe,6.5518532,52.9937407,POINT (6.5518532 52.9937407)
36,Isola Bella,restaurant,6.5603428,52.9938455,POINT (6.5603428 52.9938455)
37,City Snack,fast_food,6.5614059,52.9957289,POINT (6.5614059 52.9957289)
38,China,restaurant,6.4629690,53.0670151,POINT (6.462969 53.0670151)
39,De Baander,fast_food,6.4658262,53.0672933,POINT (6.4658262 53.0672933)
40,Theehuys Anserdennen,cafe,6.3558229,52.7911923,POINT (6.3558229 52.7911923)
41,BBQ en Eetcafé Boszicht,pub,6.5428787,52.9255532,POINT (6.5428787 52.9255532)
42,Café Het Rode Hert,cafe,6.4701830,53.1683674,POINT (6.470183 53.1683674)
43,Zalencentrum van Veen,pub,6.5214041,52.9778742,POINT (6.5214041 52.9778742)
44,De Snackerij,fast_food,6.2354402,52.7714519,POINT (6.2354402 52.7714519)
45,Kota Radja,restaurant,6.5173750,52.8589190,POINT (6.517375 52.858919)
46,Il Gusto,restaurant,6.4770340,52.7263184,POINT (6.477034 52.7263184)
47,Boschzicht,restaurant,6.4007676,52.7074318,POINT (6.4007676 52.7074318)
48,De Haven,restaurant,6.7573709,52.8467756,POINT (6.7573709 52.8467756)
49,Kwalitaria,fast_food,6.7913424,52.9234552,POINT (6.7913424 52.9234552)
50,Theatercafé G&A Boelens,cafe,6.5637151,53.1345571,POINT (6.5637151 53.1345571)
51,Café de Babbelaar,bar,6.5641322,53.1336466,POINT (6.5641322 53.1336466)
