,name,type,x,y,geometry
0,Bunnerveenseweg,bus_stop,6.5172224,53.1120202,POINT (6.5172224 53.1120202)
1,Bunnerveenseweg,bus_stop,6.5171926,53.1122623,POINT (6.5171926 53.1122623)
2,Broeklaan,bus_stop,6.3691400,52.8340647,POINT (6.36914 52.8340647)
3,Brink,bus_stop,6.3657585,52.8340301,POINT (6.3657585 52.8340301)
4,Brink,bus_stop,6.3657524,52.8338951,POINT (6.3657524 52.8338951)
5,Weverslaan,bus_stop,6.3724399,52.8362843,POINT (6.3724399 52.8362843)
6,Valderseweg,bus_stop,6.3753303,52.8379615,POINT (6.3753303 52.8379615)
7,Brinkweg,bus_stop,6.3655851,52.8363749,POINT (6.3655851 52.8363749)
8,Stevensweg,bus_stop,6.3546515,52.8430276,POINT (6.3546515 52.8430276)
9,Stevensweg,bus_stop,6.3558273,52.8424233,POINT (6.3558273 52.8424233)
10,Nieuw Veste,bus_stop,6.7536563,52.6591520,POINT (6.7536563 52.659152)
11,Hortensiaweg,bus_stop,6.5592259,53.1417165,POINT (6.5592259 53.1417165)
12,Henri Dunantweg,bus_stop,6.5642972,53.1416643,POINT (6.5642972 53.1416643)
13,Sternmesschen,bus_stop,6.5923298,53.0242939,POINT (6.5923298 53.0242939)
14,Sternmesschen,bus_stop,6.5917489,53.0243741,POINT (6.5917489 53.0243741)
15,Fuutmesschen,bus_stop,6.5960714,53.0228813,POINT (6.5960714 53.0228813)
16,Fuutmesschen,bus_stop,6.5956183,53.0235663,POINT (6.5956183 53.0235663)
17,Enkeerdhamel,bus_stop,6.5954313,53.0201841,POINT (6.5954313 53.0201841)
18,Enkeerdhamel,bus_stop,6.5958801,53.0201815,POINT (6.5958801 53.0201815)
19,Gersthullen,bus_stop,6.5923392,53.0161763,POINT (6.5923392 53.0161763)
20,Gersthullen,bus_stop,6.5940156,53.0166395,POINT (6.5940156 53.0166395)
21,Meentgoorn,bus_stop,6.5900118,53.0145440,POINT (6.5900118 53.014544)
22,Meentgoorn,bus_stop,6.5906589,53.0155031,POINT (6.5906589 53.0155031)
23,Westeind,bus_stop,6.4580144,53.0668120,POINT (6.4580144 53.066812)
24,Europaweg 140,bus_stop,6.8806154,52.6635396,POINT (6.8806154 52.6635396)
25,Bosschasteeg,bus_stop,6.1543795,52.8299596,POINT (6.1543795 52.8299596)
26,Bosschasteeg,bus_stop,6.1552825,52.8303062,POINT (6.1552825 52.8303062)
27,Schoolweg,bus_stop,6.1663013,52.8366859,POINT (6.1663013 52.8366859)
28,Schoolweg,bus_stop,6.1663989,52.8365923,POINT (6.1663989 52.8365923)
29,De Delle,bus_stop,6.1778262,52.8413189,POINT (6.1778262 52.8413189)
30,De Delle,bus_stop,6.1773016,52.8413546,POINT (6.1773016 52.8413546)
31,Beukenlaan,bus_stop,6.1859169,52.8441620,POINT (6.1859169 52.844162)
32,Beukenlaan,bus_stop,6.1854357,52.8439939,POINT (6.1854357 52.8439939)
33,De Menning,bus_stop,6.1656265,52.8584466,POINT (6.1656265 52.8584466)
34,De Menning,bus_stop,6.1651811,52.8590850,POINT (6.1651811 52.859085)
35,Prins Hendriklaan,bus_stop,6.1845987,52.8482825,POINT (6.1845987 52.8482825)
36,Prins Hendriklaan,bus_stop,6.1840012,52.8486758,POINT (6.1840012 52.8486758)
37,Wittewijk,bus_stop,6.4294612,52.9349700,POINT (6.4294612 52.93497)
38,Wittewijk,bus_stop,6.4296512,52.9359579,POINT (6.4296512 52.9359579)
39,Wittewijk,bus_stop,6.4296250,52.9352944,POINT (6.429625 52.9352944)
40,Wittewijk,bus_stop,6.4295481,52.9360967,POINT (6.4295481 52.9360967)
41,Vroomsdraai,bus_stop,6.4343812,52.9394504,POINT (6.4343812 52.9394504)
42,Vroomsdraai,bus_stop,6.4341937,52.9394437,POINT (6.4341937 52.9394437)
43,Veenhoopsbrug,bus_stop,6.4398616,52.9442164,POINT (6.4398616 52.9442164)
44,Veenhoopsbrug,bus_stop,6.4397123,52.9439305,POINT (6.4397123 52.9439305)
45,Centrum,bus_stop,6.4440864,52.9481549,POINT (6.4440864 52.9481549)
46,Centrum,bus_stop,6.4442348,52.9480270,POINT (6.4442348 52.948027)
47,Polakkenbrug,bus_stop,6.4476535,52.9514232,POINT (6.4476535 52.9514232)
48,Polakkenbrug,bus_stop,6.4490418,52.9525598,POINT (6.4490418 52.9525598)
49,Jonkersbrug,bus_stop,6.4567641,52.9598781,POINT (6.4567641 52.9598781)
50,Jonkersbrug,bus_stop,6.4570754,52.9600020,POINT (6.4570754 52.960002)
51,Grietmansbrug,bus_stop,6.4664879,52.9688660,POINT (6.4664879 52.968866)
52,Grietmansbrug,bus_stop,6.4676103,52.9696823,POINT (6.4676103 52.9696823)
53,Meestersbrug,bus_stop,6.4758948,52.9776250,POINT (6.4758948 52.977625)
54,Meestersbrug,bus_stop,6.4770127,52.9784913,POINT (6.4770127 52.9784913)
55,Schoolstraat,bus_stop,6.4778253,52.9793976,POINT (6.4778253 52.9793976)
56,Schoolstraat,bus_stop,6.4789623,52.9802638,POINT (6.4789623 52.9802638)
57,Van Liersbrug,bus_stop,6.4854308,52.9862263,POINT (6.4854308 52.9862263)
58,Van Liersbrug,bus_stop,6.4848729,52.9858725,POINT (6.4848729 52.9858725)
59,Kerklaan,bus_stop,6.3941068,53.0299469,POINT (6.3941068 53.0299469)
60,Friesche Schut,bus_stop,6.3741425,53.0368883,POINT (6.3741425 53.0368883)
61,Generaal van de Boschweg,bus_stop,6.3842124,53.0333725,POINT (6.3842124 53.0333725)
62,Generaal van de Boschweg,bus_stop,6.3845963,53.0333524,POINT (6.3845963 53.0333524)
63,Kerklaan,bus_stop,6.3946433,53.0298775,POINT (6.3946433 53.0298775)
64,Haulerwijksterweg,bus_stop,6.3935060,53.0722284,POINT (6.393506 53.0722284)
65,Haulerwijksterweg,bus_stop,6.3938215,53.0722601,POINT (6.3938215 53.0722601)
66,De Fledders,bus_stop,6.4421760,53.0150155,POINT (6.442176 53.0150155)
67,De Fledders,bus_stop,6.4407934,53.0150624,POINT (6.4407934 53.0150624)
68,Norgerhaven,bus_stop,6.4178111,53.0219017,POINT (6.4178111 53.0219017)
