,name,type,x,y,geometry
0,Coevorden,station,6.7360253,52.6630362,POINT (6.7360253 52.6630362)
1,,station,7.0274062,52.7560972,POINT (7.0274062 52.7560972)
2,Hoogeveen,station,6.4729673,52.7335031,POINT (6.4729673 52.7335031)
3,Nieuw Amsterdam,station,6.8488011,52.7183661,POINT (6.8488011 52.7183661)
4,Assen,station,6.5712455,52.9922650,POINT (6.5712455 52.992265)
5,Emmen,station,6.8997205,52.7906288,POINT (6.8997205 52.7906288)
6,Emmen Zuid,station,6.8743301,52.7487147,POINT (6.8743301 52.7487147)
7,Dalen,station,6.7585202,52.6946895,POINT (6.7585202 52.6946895)
8,Beilen,station,6.5213108,52.8550649,POINT (6.5213108 52.8550649)
9,Meppel,station,6.1979382,52.6919049,POINT (6.1979382 52.6919049)
