,name,type,x,y,geometry
0,ISG Arcus,school,5.4799230,52.5108164,POINT (5.479923 52.5108164)
1,SGL,school,5.4746362,52.5223519,POINT (5.4746362 52.5223519)
2,ROC,college,5.4774706,52.5121868,POINT (5.4774706 52.5121868)
3,Flevomeer Bibliotheek Lelystad,library,5.4747252,52.5078979,POINT (5.4747252 52.5078979)
4,Reformatische Basisschool Timotheus,school,5.4877801,52.5189965,POINT (5.4877801 52.5189965)
5,De Rede,school,5.4756180,52.5286660,POINT (5.475618 52.528666)
6,Doktor Herman Bekiusschool,school,5.4741932,52.5284675,POINT (5.4741932 52.5284675)
7,RKBS Leatare,school,5.4800591,52.5228842,POINT (5.4800591 52.5228842)
8,OBS de Tjotter,school,5.4684711,52.5029053,POINT (5.4684711 52.5029053)
9,Daltonschool de Tjalk,school,5.4660335,52.5003764,POINT (5.4660335 52.5003764)
10,PCBS 3sprong,school,5.4995762,52.4935085,POINT (5.4995762 52.4935085)
11,Katholieke Jenaplanschool De Lispeltuut,school,5.4993024,52.4932282,POINT (5.4993024 52.4932282)
12,PCBS De Schakel,school,5.4611924,52.5028457,POINT (5.4611924 52.5028457)
13,OBS Het Spectrum,school,5.4975988,52.5028027,POINT (5.4975988 52.5028027)
14,OBS De Driemaster,school,5.4890854,52.5074593,POINT (5.4890854 52.5074593)
15,OBS De Grundel,school,5.4554152,52.5098426,POINT (5.4554152 52.5098426)
16,PCBS Horizon,school,5.4903568,52.5072405,POINT (5.4903568 52.5072405)
17,'t Schrijverke,school,5.4905374,52.5043179,POINT (5.4905374 52.5043179)
18,SBO De Vogelveste,school,5.4753072,52.5172914,POINT (5.4753072 52.5172914)
19,PCBS De Schakel,school,5.4559669,52.4949862,POINT (5.4559669 52.4949862)
20,OBS De Tjotter (Hoofdgebouw),school,5.4564459,52.4950311,POINT (5.4564459 52.4950311)
21,ROC Flevoland,school,5.2775300,52.3919025,POINT (5.27753 52.3919025)
22,Bredeschool Het Vlechtwerk,school,5.3147003,52.4042754,POINT (5.3147003 52.4042754)
23,K.B.S. Klimboom,school,5.6940541,52.5345373,POINT (5.6940541 52.5345373)
24,"De Nieuwe Bibliotheek, afdeling Stad",library,5.2206906,52.3713218,POINT (5.2206906 52.3713218)
25,P.C. Basisschool De Zeester,school,5.8624419,52.7120163,POINT (5.8624419 52.7120163)
26,Bibliotheek,library,5.6428296,52.5713382,POINT (5.6428296 52.5713382)
27,Zuyderzee College,college,5.7552258,52.7042442,POINT (5.7552258 52.7042442)
28,PCBS De Zevensprong,school,5.6941185,52.5349614,POINT (5.6941185 52.5349614)
