,name,type,x,y,geometry
0,"Agora Theater, Bioscoop en Congrescentrum",theatre,5.4762413,52.5110254,POINT (5.4762413 52.5110254)
1,Kinepolis,cinema,5.2189614,52.3687701,POINT (5.2189614 52.3687701)
2,Kunstlinie,theatre,5.2191822,52.3669292,POINT (5.2191822 52.3669292)
3,Studio CE,theatre,5.1934800,52.3513545,POINT (5.19348 52.3513545)
4,"Agora Theater, Bioscoop en Congrescentrum",cinema,5.4761834,52.5109958,POINT (5.4761834 52.5109958)
5,Theater en expo Corrosia,theatre,5.2185948,52.3363234,POINT (5.2185948 52.3363234)
6,Benedenverdieping: Atelier Jan Steen,arts_centre,5.2178756,52.3355992,POINT (5.2178756 52.3355992)
7,'t Voorhuys,theatre,5.7532444,52.7113618,POINT (5.7532444 52.7113618)
8,Movieskoop Cinemas Emmeloord,cinema,5.7535135,52.7113520,POINT (5.7535135 52.711352)
9,Nirwana,arts_centre,5.7047212,52.5233329,POINT (5.7047212 52.5233329)
10,Podium De Meester,theatre,5.2170713,52.3734920,POINT (5.2170713 52.373492)
11,Creative Artlabs Almere,arts_centre,5.2176452,52.3351983,POINT (5.2176452 52.3351983)
12,Odelein Atelier,arts_centre,5.2212339,52.3364524,POINT (5.2212339 52.3364524)
13,Trapnotov,arts_centre,5.2204240,52.3351332,POINT (5.220424 52.3351332)
14,Studio TekenIng,arts_centre,5.2288674,52.3363818,POINT (5.2288674 52.3363818)
15,De Blauwe Reiger,arts_centre,5.2217845,52.3522395,POINT (5.2217845 52.3522395)
16,Theather Posa,theatre,5.4590007,52.5190124,POINT (5.4590007 52.5190124)
17,De Meerpaal,cinema,5.7197551,52.5236259,POINT (5.7197551 52.5236259)
18,De Meerpaal,theatre,5.7198724,52.5237433,POINT (5.7198724 52.5237433)
19,Balletschool La Coppelia,arts_centre,5.2837293,52.3575167,POINT (5.2837293 52.3575167)
20,Stichting de 4 elementen,arts_centre,5.2226479,52.3512784,POINT (5.2226479 52.3512784)
21,Theatergezelschap Vis à Vis,theatre,5.1459019,52.3343894,POINT (5.1459019 52.3343894)
22,,theatre,5.2552042,52.3512414,POINT (5.2552042 52.3512414)
