,name,type,x,y,geometry
0,Centrale Huisartsenpost,doctors,5.4762929,52.5047314,POINT (5.4762929 52.5047314)
1,Gezondheidscentrum De Compagnie,doctors,5.2991477,52.4012479,POINT (5.2991477 52.4012479)
2,Medimere stad,doctors,5.1884385,52.3675454,POINT (5.1884385 52.3675454)
3,MTC Lelystad,dentist,5.4742966,52.4967435,POINT (5.4742966 52.4967435)
4,Huisartsen De Haven,doctors,5.4192608,52.4998310,POINT (5.4192608 52.499831)
5,Dierenkliniek Vrieze,veterinary,5.2279351,52.3813333,POINT (5.2279351 52.3813333)
6,Dierenkliniek Almere-Haven,veterinary,5.2188645,52.3377869,POINT (5.2188645 52.3377869)
7,Gezondheidscentrum De Haak,clinic,5.2194059,52.3369410,POINT (5.2194059 52.336941)
8,Tandartspraktijk De Waterval,dentist,5.2160178,52.3354045,POINT (5.2160178 52.3354045)
9,Medi-Mere Haven,clinic,5.2214996,52.3352343,POINT (5.2214996 52.3352343)
10,Achterwerf Tandartsen,dentist,5.2280075,52.3342674,POINT (5.2280075 52.3342674)
11,Dierenkliniek Beter Dier,veterinary,5.1836888,52.3627688,POINT (5.1836888 52.3627688)
12,Dierenziekenhuis Almere,veterinary,5.1471527,52.3465034,POINT (5.1471527 52.3465034)
13,Dokter J.H. Jansencentrum,clinic,5.7441352,52.7074262,POINT (5.7441352 52.7074262)
14,Prüst,dentist,5.4829868,52.4978834,POINT (5.4829868 52.4978834)
15,Prüst,veterinary,5.4830887,52.4978736,POINT (5.4830887 52.4978736)
16,M.A. Wiewel Tandarts,dentist,5.1858071,52.3765562,POINT (5.1858071 52.3765562)
17,Polikliniek Dronten,clinic,5.7031078,52.5377429,POINT (5.7031078 52.5377429)
18,Tandarts Biddinghuizen,dentist,5.6882274,52.4524975,POINT (5.6882274 52.4524975)
19,Huisartsenpraktijk Biddinghuizen,doctors,5.6890859,52.4528818,POINT (5.6890859 52.4528818)
20,Gezondheidscentrum De Spil,doctors,5.2053504,52.3604228,POINT (5.2053504 52.3604228)
21,Dierenkliniek Amersfoortweg,veterinary,5.2036326,52.3659408,POINT (5.2036326 52.3659408)
22,TandProthetische Praktijk Almere,dentist,5.2184582,52.3338194,POINT (5.2184582 52.3338194)
23,Dierenkliniek Hof,veterinary,5.2164687,52.3348499,POINT (5.2164687 52.3348499)
24,Huisartsenpraktijk Arendshorst & Arendshorst,doctors,5.4465999,52.5104648,POINT (5.4465999 52.5104648)
25,Dierenartsencentrum Lelystad,veterinary,5.4588633,52.5175351,POINT (5.4588633 52.5175351)
26,Medisch Centrum Pandion,doctors,5.4615901,52.5036160,POINT (5.4615901 52.503616)
27,Dierenkliniek Batavia,veterinary,5.5011338,52.5329049,POINT (5.5011338 52.5329049)
28,Cool Dental Clinic,dentist,5.6128750,52.6589838,POINT (5.612875 52.6589838)
29,Huisartsenpraktijk Nobelhorst,doctors,5.2848212,52.3582986,POINT (5.2848212 52.3582986)
30,Dr. Michaël,doctors,5.7405233,52.7031923,POINT (5.7405233 52.7031923)
31,Jonker,dentist,5.7502193,52.7103651,POINT (5.7502193 52.7103651)
32,Diergeneeskundig Centrum Noord-Nederland,veterinary,5.7431339,52.7216896,POINT (5.7431339 52.7216896)
33,Laarhof,clinic,5.4801298,52.5064246,POINT (5.4801298 52.5064246)
34,,doctors,5.1537547,52.3557059,POINT (5.1537547 52.3557059)
35,EHBO,doctors,5.7675270,52.4408744,POINT (5.767527 52.4408744)
36,Huisartsenpraktijk Dronten-Zuid,doctors,5.7199336,52.5127047,POINT (5.7199336 52.5127047)
37,R.A.E. de Vries,dentist,5.1890773,52.3559666,POINT (5.1890773 52.3559666)
38,Huisartsenpraktijk,doctors,5.6020081,52.6652098,POINT (5.6020081 52.6652098)
39,,veterinary,5.1756667,52.3918186,POINT (5.1756667 52.3918186)
40,Hartkliniek,clinic,5.4741167,52.5045009,POINT (5.4741167 52.5045009)
41,De Heelhoek,doctors,5.4871291,52.5205672,POINT (5.4871291 52.5205672)
42,,doctors,5.4853888,52.5190824,POINT (5.4853888 52.5190824)
43,GGD-testlocatie Zeewolde,doctors,5.5443795,52.3312657,POINT (5.5443795 52.3312657)
44,GGD-testlocatie Dronten,doctors,5.7144047,52.5308374,POINT (5.7144047 52.5308374)
45,GGD-testlocatie Emmeloord,doctors,5.7691634,52.7088157,POINT (5.7691634 52.7088157)
46,GGD-testlocatie Almere,doctors,5.2700901,52.3651249,POINT (5.2700901 52.3651249)
47,GGD-testlocatie Lelystad,doctors,5.4579949,52.5192192,POINT (5.4579949 52.5192192)
48,,clinic,5.2281216,52.3562903,POINT (5.2281216 52.3562903)
