,name,type,x,y,geometry
0,Burger King,fast_food,5.4729559,52.5078261,POINT (5.4729559 52.5078261)
1,King of the Ribs,fast_food,5.2189884,52.3686572,POINT (5.2189884 52.3686572)
2,Anytime Snack & Dine,fast_food,5.4831380,52.4913401,POINT (5.483138 52.4913401)
3,Hajé - Restaurant de Lepelaar,restaurant,5.4245113,52.4332455,POINT (5.4245113 52.4332455)
4,Het Gouden Huis,restaurant,5.4829053,52.5200969,POINT (5.4829053 52.5200969)
5,Cafetaria Netwerk,fast_food,5.4714359,52.5001527,POINT (5.4714359 52.5001527)
6,,public_bookcase,5.7683095,52.5768150,POINT (5.7683095 52.576815)
7,Eetcafe Full House,pub,5.4768871,52.5185648,POINT (5.4768871 52.5185648)
8,Cafe Mokum,pub,5.4768375,52.5185644,POINT (5.4768375 52.5185644)
9,V.o.f. Aan Ut Water,restaurant,5.4602078,52.5516276,POINT (5.4602078 52.5516276)
10,La Place,restaurant,5.4366096,52.5230406,POINT (5.4366096 52.5230406)
11,Eethuis Misto,restaurant,5.4745958,52.5132473,POINT (5.4745958 52.5132473)
12,Sorrento,restaurant,5.4747229,52.5131309,POINT (5.4747229 52.5131309)
13,Snackbar Nelis,fast_food,5.4745885,52.5134774,POINT (5.4745885 52.5134774)
14,de Lantaarn,pub,5.4745830,52.5133354,POINT (5.474583 52.5133354)
15,Bar Amigues,pub,5.4745830,52.5135509,POINT (5.474583 52.5135509)
16,Bistro la Route,restaurant,5.4747824,52.5136215,POINT (5.4747824 52.5136215)
17,La Plaza,pub,5.4749471,52.5136249,POINT (5.4749471 52.5136249)
18,Kwalitaria,fast_food,5.7187129,52.5239975,POINT (5.7187129 52.5239975)
19,De Lange Muur,restaurant,5.7540038,52.7112172,POINT (5.7540038 52.7112172)
20,Rodon Upscale Dining,restaurant,5.7562028,52.7115791,POINT (5.7562028 52.7115791)
21,Le Mirage,restaurant,5.7539284,52.7112164,POINT (5.7539284 52.7112164)
22,Tasty Wok,restaurant,5.4770396,52.5102427,POINT (5.4770396 52.5102427)
23,Eethuisje de Gordiaan,restaurant,5.4774020,52.5099814,POINT (5.477402 52.5099814)
24,KFC,fast_food,5.2190334,52.3685264,POINT (5.2190334 52.3685264)
25,FEBO,fast_food,5.2196206,52.3750322,POINT (5.2196206 52.3750322)
26,Subway,fast_food,5.2197271,52.3748828,POINT (5.2197271 52.3748828)
