,name,type,x,y,geometry
0,Lelycentre,bus_stop,5.4846367,52.5207175,POINT (5.4846367 52.5207175)
1,Kraggenburg,bus_stop,5.8982963,52.6643656,POINT (5.8982963 52.6643656)
2,Singel,bus_stop,5.6032257,52.6609885,POINT (5.6032257 52.6609885)
3,De Kemphaan,bus_stop,5.2642775,52.3420522,POINT (5.2642775 52.3420522)
4,Batavia Stad,bus_stop,5.4381140,52.5216979,POINT (5.438114 52.5216979)
5,Station Buiten,bus_stop,5.2780615,52.3937176,POINT (5.2780615 52.3937176)
6,Espel,bus_stop,5.6455772,52.7247383,POINT (5.6455772 52.7247383)
7,Noordermiddenweg,bus_stop,5.6664298,52.7244603,POINT (5.6664298 52.7244603)
8,Noordermiddenweg,bus_stop,5.6670039,52.7245673,POINT (5.6670039 52.7245673)
9,Weg van Ongenade,bus_stop,5.6898295,52.7243726,POINT (5.6898295 52.7243726)
10,Weg van Ongenade,bus_stop,5.6919768,52.7242260,POINT (5.6919768 52.724226)
11,Espelerweg,bus_stop,5.7105139,52.7241745,POINT (5.7105139 52.7241745)
12,Dr. W.M. Verhaarlaan,bus_stop,5.7438904,52.7215221,POINT (5.7438904 52.7215221)
13,Dr. W.M. Verhaarlaan,bus_stop,5.7441493,52.7214710,POINT (5.7441493 52.721471)
14,Begraafplaats,bus_stop,5.7472229,52.7160166,POINT (5.7472229 52.7160166)
15,Begraafplaats,bus_stop,5.7464566,52.7176688,POINT (5.7464566 52.7176688)
16,Het Waterland,bus_stop,5.7535225,52.7271634,POINT (5.7535225 52.7271634)
17,Het Waterland,bus_stop,5.7538839,52.7265280,POINT (5.7538839 52.726528)
18,Onderduikerspad,bus_stop,5.6452074,52.7383310,POINT (5.6452074 52.738331)
19,Onderduikerspad,bus_stop,5.6454926,52.7396400,POINT (5.6454926 52.73964)
20,Klutenpad,bus_stop,5.6487093,52.7520446,POINT (5.6487093 52.7520446)
21,Klutenpad,bus_stop,5.6499493,52.7531038,POINT (5.6499493 52.7531038)
22,Creil,bus_stop,5.6595587,52.7634866,POINT (5.6595587 52.7634866)
23,Creil,bus_stop,5.6595719,52.7635309,POINT (5.6595719 52.7635309)
24,Wrakkenpad,bus_stop,5.6734138,52.7780275,POINT (5.6734138 52.7780275)
25,Wrakkenpad,bus_stop,5.6746355,52.7789753,POINT (5.6746355 52.7789753)
26,IJzerpad,bus_stop,5.6860740,52.7902334,POINT (5.686074 52.7902334)
27,IJzerpad,bus_stop,5.6872943,52.7911840,POINT (5.6872943 52.791184)
28,Lemsterpoort,bus_stop,5.6978131,52.8052636,POINT (5.6978131 52.8052636)
29,Lemsterpoort,bus_stop,5.6980989,52.8054028,POINT (5.6980989 52.8054028)
30,Noordermeerweg,bus_stop,5.6979726,52.8249963,POINT (5.6979726 52.8249963)
31,Noordermeerweg,bus_stop,5.6981876,52.8260921,POINT (5.6981876 52.8260921)
32,Lemsterweg,bus_stop,5.7118575,52.8332863,POINT (5.7118575 52.8332863)
33,Lemsterweg,bus_stop,5.7126496,52.8344067,POINT (5.7126496 52.8344067)
34,Medisch Centrum,bus_stop,5.7431198,52.7082950,POINT (5.7431198 52.708295)
35,Domineesweg,bus_stop,5.6745481,52.6466556,POINT (5.6745481 52.6466556)
36,Medisch Centrum,bus_stop,5.7446566,52.7084188,POINT (5.7446566 52.7084188)
37,Domineesweg,bus_stop,5.6749966,52.6462643,POINT (5.6749966 52.6462643)
38,Lange Dreef,bus_stop,5.7626920,52.7106079,POINT (5.762692 52.7106079)
39,Steenwijkerdwarsweg,bus_stop,5.8985340,52.7169427,POINT (5.898534 52.7169427)
40,Kettingstraat,bus_stop,5.7592898,52.7103187,POINT (5.7592898 52.7103187)
41,Boslaan,bus_stop,5.8540112,52.7076947,POINT (5.8540112 52.7076947)
42,Orchideeënhoeve,bus_stop,5.8363066,52.7562822,POINT (5.8363066 52.7562822)
43,Luttelgeesterweg,bus_stop,5.8588287,52.7371434,POINT (5.8588287 52.7371434)
44,Repelweg,bus_stop,5.9395522,52.6811270,POINT (5.9395522 52.681127)
45,Schansweg,bus_stop,5.8334108,52.7690482,POINT (5.8334108 52.7690482)
46,H.D. Louweshoeve,bus_stop,5.8191199,52.7092179,POINT (5.8191199 52.7092179)
47,Boslaan,bus_stop,5.8549031,52.7078038,POINT (5.8549031 52.7078038)
48,Busstation,bus_stop,5.8673751,52.7120465,POINT (5.8673751 52.7120465)
49,Vollenhoverweg/NOP,bus_stop,5.9448766,52.6852916,POINT (5.9448766 52.6852916)
50,Brink,bus_stop,5.8562489,52.7421807,POINT (5.8562489 52.7421807)
51,Luttelgeesterweg,bus_stop,5.8361148,52.7080420,POINT (5.8361148 52.708042)
52,Lindeweg,bus_stop,5.8438270,52.7519414,POINT (5.843827 52.7519414)
