,name,type,x,y,geometry
0,OBS It Foarwurk,school,6.2447843,53.0998672,POINT (6.2447843 53.0998672)
1,CBS de Fjouwerhoeke,school,5.9810207,53.3628266,POINT (5.9810207 53.3628266)
2,cbs De Eker,school,6.1284276,53.3725176,POINT (6.1284276 53.3725176)
3,CBS Eben Haezer,school,5.9989064,53.3311692,POINT (5.9989064 53.3311692)
4,De Twine,school,5.9977378,53.3304945,POINT (5.9977378 53.3304945)
5,PCBO De Voorde,school,6.0730423,53.0995603,POINT (6.0730423 53.0995603)
6,PCBO 't Foarhus,school,6.0559793,53.0936023,POINT (6.0559793 53.0936023)
7,PCBO Het Anker,school,6.0838130,53.1199275,POINT (6.083813 53.1199275)
8,PCBO Het Mozaïek,school,6.1097502,53.1089878,POINT (6.1097502 53.1089878)
9,PCBO It Ambyld,school,6.0935818,53.1128777,POINT (6.0935818 53.1128777)
10,OBS De Bolder,school,6.0847223,53.1201619,POINT (6.0847223 53.1201619)
11,OBS De Kameleon,school,6.1097663,53.1088139,POINT (6.1097663 53.1088139)
12,OBS De Meander,school,6.0729556,53.0990767,POINT (6.0729556 53.0990767)
13,OBS De Swetten,school,6.0943329,53.1108490,POINT (6.0943329 53.110849)
14,OBS De Tille,school,6.0910176,53.0981729,POINT (6.0910176 53.0981729)
15,OBS 't Tweespan,school,6.0551548,53.0935383,POINT (6.0551548 53.0935383)
16,Montessorischool Drachten,school,6.0676373,53.0976137,POINT (6.0676373 53.0976137)
17,Rooms-Katholieke Jenaplanschool De Wiekslag,school,6.1116763,53.1116278,POINT (6.1116763 53.1116278)
18,Rooms-Katholieke Jenaplanschool St. Lukas,school,6.0946225,53.1042860,POINT (6.0946225 53.104286)
19,OBS It Heechhôf,school,6.0876059,53.1128004,POINT (6.0876059 53.1128004)
20,SBO PCBO Sjalom,school,6.1034416,53.0974836,POINT (6.1034416 53.0974836)
21,CBS De Gearing,school,6.0984791,53.3299310,POINT (6.0984791 53.329931)
22,Bibliotheek Terschelling,library,5.2863639,53.3808159,POINT (5.2863639 53.3808159)
23,Buitenschoolse opvang De bijenkorf,kindergarten,5.9221988,52.9653258,POINT (5.9221988 52.9653258)
24,Peuterspeelzaal Us Earste Begjin,school,5.8971321,53.3719521,POINT (5.8971321 53.3719521)
25,Bibliotheek Sneek,library,5.6576311,53.0332367,POINT (5.6576311 53.0332367)
26,It Bijehûs,kindergarten,6.2442009,53.1018590,POINT (6.2442009 53.101859)
27,Primary school 'Skeakel',school,5.4875397,53.2185403,POINT (5.4875397 53.2185403)
28,Kindergarten and pre-post school daycare 'It Waednest',kindergarten,5.4865124,53.2182652,POINT (5.4865124 53.2182652)
29,OSG Sevenwolden,school,5.8260440,53.0889511,POINT (5.826044 53.0889511)
30,dbieb Grou,library,5.8260318,53.0890882,POINT (5.8260318 53.0890882)
31,,kindergarten,5.8955748,53.0472019,POINT (5.8955748 53.0472019)
32,De Boarne,school,5.8961885,53.0477697,POINT (5.8961885 53.0477697)
33,De Samensprong,school,6.3340373,53.0666784,POINT (6.3340373 53.0666784)
34,,kindergarten,6.3343047,53.0666065,POINT (6.3343047 53.0666065)
35,Bibliotheek Vlieland,library,5.0723972,53.2993906,POINT (5.0723972 53.2993906)
36,Bibliotheek Drachten,library,6.0985811,53.1044000,POINT (6.0985811 53.1044)
37,Het Slingertouw,school,5.9494945,52.9597383,POINT (5.9494945 52.9597383)
38,Bibliotheek Akkrum,library,5.8350119,53.0497747,POINT (5.8350119 53.0497747)
39,Sinne Jacobijnerkerkhof,kindergarten,5.7976929,53.2038225,POINT (5.7976929 53.2038225)
40,Sinne Cornelis Trooststraat,kindergarten,5.7865354,53.1899264,POINT (5.7865354 53.1899264)
41,CBS Nijdjip,school,5.8260800,53.0900025,POINT (5.82608 53.0900025)
42,"OBS ""It Bynt""",school,5.6357921,53.1507396,POINT (5.6357921 53.1507396)
43,Bibliotheek Joure,library,5.8012189,52.9648462,POINT (5.8012189 52.9648462)
44,Tjalling Koopmanscollege,school,5.9435877,53.2136136,POINT (5.9435877 53.2136136)
45,It Oerset,school,5.9150536,52.9659788,POINT (5.9150536 52.9659788)
46,Bibliotheek Balk,library,5.5833658,52.8988808,POINT (5.5833658 52.8988808)
47,Bibliotheek Ameland (Hollum),library,5.6358029,53.4409689,POINT (5.6358029 53.4409689)
48,OBS de Lamer,school,5.9324366,52.8729224,POINT (5.9324366 52.8729224)
49,,kindergarten,6.0117499,52.8778831,POINT (6.0117499 52.8778831)
50,OBS Heidepolle,school,5.9907118,52.8699928,POINT (5.9907118 52.8699928)
51,CBS De Wegwijzer,school,5.9903923,52.8694845,POINT (5.9903923 52.8694845)
52,Doomijn Kinderdagverblijf,kindergarten,5.9903369,52.8698002,POINT (5.9903369 52.8698002)
53,De Knuffelbeer Anna Schotanus,kindergarten,5.9489226,52.9415775,POINT (5.9489226 52.9415775)
54,Kinderopvang De Akkers,kindergarten,5.9372154,52.9467310,POINT (5.9372154 52.946731)
55,Lappelijn Stukje bij beetje,kindergarten,5.9269738,52.9602966,POINT (5.9269738 52.9602966)
56,Sint Jozefschool,school,5.9216367,52.9580284,POINT (5.9216367 52.9580284)
57,Bibliotheek Heerenveen,library,5.9284099,52.9573089,POINT (5.9284099 52.9573089)
58,Bibliotheek Bolsward,library,5.5205588,53.0615279,POINT (5.5205588 53.0615279)
59,Bibliotheek Schiermonnikoog,library,6.1594271,53.4802846,POINT (6.1594271 53.4802846)
60,Maritiem Instituut Willem Barentsz,college,5.2318711,53.3663985,POINT (5.2318711 53.3663985)
61,Prokino,kindergarten,5.2863992,53.3818245,POINT (5.2863992 53.3818245)
62,CBS De Rank,school,6.0670789,53.3620823,POINT (6.0670789 53.3620823)
63,Kunstacademie Foudgumse school,college,5.9607052,53.3443799,POINT (5.9607052 53.3443799)
64,Bibliotheek Buitenpost,library,6.1447421,53.2522263,POINT (6.1447421 53.2522263)
65,Autorijschool Geert de Bruin,driving_school,6.1648641,53.1799956,POINT (6.1648641 53.1799956)
66,Bibliotheek Surhuisterveen,library,6.1657560,53.1804668,POINT (6.165756 53.1804668)
67,it Skriuwboerd,school,6.1661770,53.1802222,POINT (6.166177 53.1802222)
68,Autorijschool de Wind,driving_school,6.1771519,53.1826225,POINT (6.1771519 53.1826225)
69,CBS De Hoekstien,school,6.1657043,53.1788407,POINT (6.1657043 53.1788407)
70,Autorijschool Jan van Dijk,driving_school,6.1751305,53.1792704,POINT (6.1751305 53.1792704)
71,Bibliotheek Kollum,library,6.1456862,53.2807561,POINT (6.1456862 53.2807561)
72,Basisschool Op de Hoogte,school,6.2280326,53.2736713,POINT (6.2280326 53.2736713)
73,De Petteflet / Pinkelotje,kindergarten,6.2319209,53.2749665,POINT (6.2319209 53.2749665)
74,Bibliotheek Hurdegaryp,library,5.9417194,53.2135675,POINT (5.9417194 53.2135675)
75,OBS Hurdegaryp,school,5.9442401,53.2163414,POINT (5.9442401 53.2163414)
76,CBS de Winde,school,5.9439267,53.2164237,POINT (5.9439267 53.2164237)
77,dbieb Gytsjerk,library,5.8922686,53.2411023,POINT (5.8922686 53.2411023)
78,dbieb Burgum,library,5.9919202,53.1928014,POINT (5.9919202 53.1928014)
79,O.B.S. de Riemsloot,school,6.3572618,52.9529016,POINT (6.3572618 52.9529016)
80,Bibliotheek Haulerwijk,library,6.3341600,53.0667174,POINT (6.33416 53.0667174)
81,CBS In De Kring,school,6.2914382,52.9841524,POINT (6.2914382 52.9841524)
82,Bibliotheek Noordwolde,library,6.1430019,52.8915490,POINT (6.1430019 52.891549)
83,Obs de Klaeter,school,6.0900831,52.8870339,POINT (6.0900831 52.8870339)
84,Bibliotheek Jubbega,library,6.1254503,53.0028592,POINT (6.1254503 53.0028592)
85,De Twirre,school,6.0625165,53.1755652,POINT (6.0625165 53.1755652)
86,Villa Kino,kindergarten,5.7033251,52.8452016,POINT (5.7033251 52.8452016)
87,Bibliotheek Lemmer,library,5.7175292,52.8473333,POINT (5.7175292 52.8473333)
88,It Toanhûs,school,5.7996401,52.9622554,POINT (5.7996401 52.9622554)
89,De Toverbal,kindergarten,6.0649391,53.0062944,POINT (6.0649391 53.0062944)
90,Bibliotheek Gorredijk,library,6.0654527,53.0039864,POINT (6.0654527 53.0039864)
91,Bibliotheek Ureterp,library,6.1723703,53.0951479,POINT (6.1723703 53.0951479)
92,CBS De Opdracht,school,6.1700284,53.0981507,POINT (6.1700284 53.0981507)
93,Friese Poort,school,6.1138967,53.1067380,POINT (6.1138967 53.106738)
94,,school,6.1206134,53.1038929,POINT (6.1206134 53.1038929)
95,De Zwaai,school,6.1112528,53.1043427,POINT (6.1112528 53.1043427)
96,ROC Friese Poort,school,6.1140295,53.1046721,POINT (6.1140295 53.1046721)
97,CSO De Rank,school,6.0980614,53.1156182,POINT (6.0980614 53.1156182)
98,"Singelland, Locatie Van Haersmasingel",school,6.1009577,53.1130520,POINT (6.1009577 53.113052)
99,PCBO 'it Maitiidslibben',school,6.0589914,53.1326263,POINT (6.0589914 53.1326263)
100,Sws de Diamant,school,5.9954931,53.1254223,POINT (5.9954931 53.1254223)
101,OBS De Twa Fisken,school,5.8258383,53.0902399,POINT (5.8258383 53.0902399)
102,Teake Jan Roordaskoalle,school,5.7810359,53.1407351,POINT (5.7810359 53.1407351)
103,Trije Doarpen Skoalle,school,5.7838674,53.1184872,POINT (5.7838674 53.1184872)
104,It Pikepôltsje,kindergarten,5.6360068,53.1507755,POINT (5.6360068 53.1507755)
105,O.B.S It Pertoer,school,5.7413271,53.1443415,POINT (5.7413271 53.1443415)
106,Bibliotheek Wommels,library,5.5908168,53.1111493,POINT (5.5908168 53.1111493)
107,Bloei,school,5.7828340,53.0396159,POINT (5.782834 53.0396159)
108,Op´e Hichte,school,5.6791300,53.0596913,POINT (5.67913 53.0596913)
109,Bibliotheek Koudum,library,5.4541625,52.9156353,POINT (5.4541625 52.9156353)
110,Bibliotheek Makkum,library,5.4027516,53.0562830,POINT (5.4027516 53.056283)
111,Surf`nSail Makkum,surf_school,5.3787008,53.0536810,POINT (5.3787008 53.053681)
112,,school,5.7878188,53.0118302,POINT (5.7878188 53.0118302)
113,,school,5.7880832,53.0120167,POINT (5.7880832 53.0120167)
