,name,type,x,y,geometry
0,Posthuis Theater,theatre,5.9209188,52.9604346,POINT (5.9209188 52.9604346)
1,De Bios,cinema,6.1074724,53.1081163,POINT (6.1074724 53.1081163)
2,Cinesneek,cinema,5.6603358,53.0319096,POINT (5.6603358 53.0319096)
3,Dorpshuis It Waed,theatre,5.4866829,53.2183038,POINT (5.4866829 53.2183038)
4,Kees Kooy Gallery,arts_centre,5.3588644,52.8849394,POINT (5.3588644 52.8849394)
5,Muziekcentrum Schaaf,theatre,5.7990111,53.2041320,POINT (5.7990111 53.204132)
6,de Treemter,theatre,5.5828412,52.8976972,POINT (5.5828412 52.8976972)
7,Spoonk,theatre,5.7940816,53.2018686,POINT (5.7940816 53.2018686)
8,Theater Sneek,theatre,5.6562252,53.0317815,POINT (5.6562252 53.0317815)
9,Beeldende kunst & educatie,arts_centre,5.9984551,52.8941926,POINT (5.9984551 52.8941926)
10,Ateliers Majeur De Rinkelbom,arts_centre,5.9162436,52.9496847,POINT (5.9162436 52.9496847)
11,"De Bios ,bioscoop",cinema,5.9271334,52.9575753,POINT (5.9271334 52.9575753)
12,De Colle,theatre,6.1455696,53.2805282,POINT (6.1455696 53.2805282)
13,It Maskelyn,arts_centre,5.9433814,53.2139415,POINT (5.9433814 53.2139415)
14,Glinstra State,arts_centre,5.9958275,53.1940888,POINT (5.9958275 53.1940888)
15,Le Brocope,theatre,6.1311410,52.9390166,POINT (6.131141 52.9390166)
16,Stadsschouwburg de Harmonie,theatre,5.7900791,53.2001284,POINT (5.7900791 53.2001284)
17,Slieker Film,cinema,5.7945135,53.1996715,POINT (5.7945135 53.1996715)
18,MFC Ons Huis,arts_centre,5.6611339,53.2750593,POINT (5.6611339 53.2750593)
19,Paardenreddingsboot,theatre,5.6292516,53.4310035,POINT (5.6292516 53.4310035)
20,de Koornbeurs,theatre,5.5431954,53.1876098,POINT (5.5431954 53.1876098)
21,West-End,theatre,5.2157536,53.3588207,POINT (5.2157536 53.3588207)
22,Filmhuis Kollum,cinema,6.1505740,53.2793252,POINT (6.150574 53.2793252)
23,Bostheater,theatre,5.2983160,53.3939075,POINT (5.298316 53.3939075)
24,Theaterkerk Nes,theatre,6.0456427,53.3963792,POINT (6.0456427 53.3963792)
25,Etalagetheater,theatre,5.7986903,53.2050980,POINT (5.7986903 53.205098)
26,,arts_centre,6.2102272,53.4805618,POINT (6.2102272 53.4805618)
