,name,type,x,y,geometry
0,Tandartspraktijk De Fryske Marren,dentist,5.5834914,52.8984861,POINT (5.5834914 52.8984861)
1,Tandartspraktijk MENO,dentist,5.9085578,53.3684644,POINT (5.9085578 53.3684644)
2,,dentist,5.6566089,53.0344297,POINT (5.6566089 53.0344297)
3,,doctors,5.6651796,53.0322511,POINT (5.6651796 53.0322511)
4,J.J.M. Jansen,doctors,5.7202686,53.0676815,POINT (5.7202686 53.0676815)
5,,dentist,5.7868898,53.3048761,POINT (5.7868898 53.3048761)
6,Huisartsenpraktijk 'De Kern',doctors,6.3308317,53.0656987,POINT (6.3308317 53.0656987)
7,Huisartsenpraktijk,doctors,5.8365169,53.0918808,POINT (5.8365169 53.0918808)
8,Dierenartsen,veterinary,5.9258825,52.9478755,POINT (5.9258825 52.9478755)
9,Dierenartsenpraktijk Terschelling,veterinary,5.2833490,53.3816198,POINT (5.283349 53.3816198)
10,Tandartspraktijk t olde wold,dentist,5.9990670,52.9030260,POINT (5.999067 52.903026)
11,Tandarts Heij,dentist,5.9441688,52.9421661,POINT (5.9441688 52.9421661)
12,,dentist,5.9148053,52.9641195,POINT (5.9148053 52.9641195)
13,De Skoal,doctors,5.7679672,53.4472421,POINT (5.7679672 53.4472421)
14,Ekhart,dentist,6.0010886,52.8771540,POINT (6.0010886 52.877154)
15,Bergman Clinics,clinic,5.9417977,52.9405326,POINT (5.9417977 52.9405326)
16,Gezondheidscentrum Schoterpoort,doctors,5.9389317,52.9465143,POINT (5.9389317 52.9465143)
17,Huisartsenpraktijk Schiermonnikoog,doctors,6.1640644,53.4785117,POINT (6.1640644 53.4785117)
18,,doctors,5.0667456,53.2959945,POINT (5.0667456 53.2959945)
19,Huisartsenpraktijk West,doctors,5.2154907,53.3640868,POINT (5.2154907 53.3640868)
20,Huisartsenpraktijk Midsland,doctors,5.2840445,53.3803103,POINT (5.2840445 53.3803103)
21,Tandartspraktijk Herbig,dentist,6.0653188,53.3602463,POINT (6.0653188 53.3602463)
22,Huisartspraktijk Ternaard,doctors,5.9703124,53.3822785,POINT (5.9703124 53.3822785)
23,Huisartsenpraktijk De Vlecke,doctors,6.1666495,53.1841972,POINT (6.1666495 53.1841972)
24,Tandartspraktijk Hovinga,dentist,6.1615956,53.1780697,POINT (6.1615956 53.1780697)
25,Tandartspraktijk Ria van der Meer,dentist,6.1816751,53.1833127,POINT (6.1816751 53.1833127)
26,Tusken Diken en Feanen,veterinary,6.1785256,53.1853166,POINT (6.1785256 53.1853166)
27,Huisartspraktijk J. de Waard,doctors,6.1467475,53.2797761,POINT (6.1467475 53.2797761)
28,Huisartspraktijk M. Bergervoet,doctors,6.1494750,53.2808119,POINT (6.149475 53.2808119)
29,Huisartspraktijk W. Douma,doctors,6.1495199,53.2807192,POINT (6.1495199 53.2807192)
30,Dental Clinics Hardegarijp,dentist,5.9378809,53.2165864,POINT (5.9378809 53.2165864)
31,W. Feenstra,dentist,5.9316896,53.2123464,POINT (5.9316896 53.2123464)
32,Dierenartsenpraktijk Giekerk Hardegarijp Veenwouden,veterinary,5.9336010,53.2143505,POINT (5.933601 53.2143505)
33,huisartsenpraktijk oenkerk,doctors,5.8986484,53.2518813,POINT (5.8986484 53.2518813)
34,,dentist,5.8984916,53.2518048,POINT (5.8984916 53.2518048)
35,Apotheekhoudende huisartsenpraktijk Oldeberkoop,doctors,6.1288369,52.9378262,POINT (6.1288369 52.9378262)
36,Dierenkliniek Noordwolde,veterinary,6.1403962,52.8900157,POINT (6.1403962 52.8900157)
37,Huisartsenpraktijk Wiersema,doctors,6.0618237,53.1745915,POINT (6.0618237 53.1745915)
38,Tandtechnisch centrum,dentist,5.6571048,53.0301018,POINT (5.6571048 53.0301018)
39,Huisartsenpraktijk Lennemere,doctors,5.7138486,52.8475812,POINT (5.7138486 52.8475812)
40,Huisartsenpraktijk Arentsen & Groeneveld,doctors,5.7125494,52.8438242,POINT (5.7125494 52.8438242)
41,Dierenartsenpraktijk Zuid West-Friesland,veterinary,5.7156494,52.8478557,POINT (5.7156494 52.8478557)
42,Dental Clinics,dentist,5.7108676,52.8502847,POINT (5.7108676 52.8502847)
43,Hillenius,dentist,5.6469554,52.8944142,POINT (5.6469554 52.8944142)
44,,doctors,5.5807463,52.8963004,POINT (5.5807463 52.8963004)
45,Bouma,doctors,5.7985642,52.9658424,POINT (5.7985642 52.9658424)
46,,doctors,5.3628514,52.8800239,POINT (5.3628514 52.8800239)
47,Huisartsenpraktijk Eikesingel,doctors,6.0978393,53.0961323,POINT (6.0978393 53.0961323)
48,Willems,dentist,6.1070516,53.1035362,POINT (6.1070516 53.1035362)
49,Tandartspraktijk Bouriciuslaan,dentist,6.0856605,53.0970378,POINT (6.0856605 53.0970378)
50,Tandart's,dentist,6.0884095,53.1122586,POINT (6.0884095 53.1122586)
51,Huisartsenpraktijk Bult,doctors,6.0994202,53.1094326,POINT (6.0994202 53.1094326)
52,elke,veterinary,6.0963086,53.1081163,POINT (6.0963086 53.1081163)
53,Tandartspraktijk Fennepark,dentist,6.0985139,53.1192879,POINT (6.0985139 53.1192879)
54,Huisartsenpraktijk It Kleaster,doctors,5.7845024,53.1416130,POINT (5.7845024 53.141613)
55,Huisartsenpraktijk Bergwerff,doctors,5.7185770,53.1308068,POINT (5.718577 53.1308068)
56,Tandartsen,dentist,5.7194831,53.1308023,POINT (5.7194831 53.1308023)
57,It Griene Hert,veterinary,5.4733287,53.1079058,POINT (5.4733287 53.1079058)
58,Huisartsenpraktijk De Tjasker,doctors,5.4708963,53.1001327,POINT (5.4708963 53.1001327)
59,Van Asperen,dentist,5.5379527,53.0605529,POINT (5.5379527 53.0605529)
60,Huisartsenpraktijk,doctors,5.4492990,52.9753064,POINT (5.449299 52.9753064)
61,GGZ Friesland,clinic,5.4489593,52.9766556,POINT (5.4489593 52.9766556)
62,Huisartsenpraktijk T. Gerling,doctors,5.4500837,52.9841351,POINT (5.4500837 52.9841351)
63,Huisartsenpraktijk Het Zevenblad,doctors,5.8278403,53.1891809,POINT (5.8278403 53.1891809)
64,Huisartsenpraktijk Aldlân,doctors,5.8281740,53.1886996,POINT (5.828174 53.1886996)
65,Boersma Tandprothetische Praktijk,dentist,5.8275058,53.1889923,POINT (5.8275058 53.1889923)
66,Huisartsenpraktijk Nij Franjum,doctors,5.7262571,53.2117937,POINT (5.7262571 53.2117937)
67,Huisartsenpraktijk Hallum,doctors,5.7856962,53.3057289,POINT (5.7856962 53.3057289)
68,Parodontologie Praktijk Friesland,dentist,5.7968411,53.1789325,POINT (5.7968411 53.1789325)
69,Orthodontiepraktijk Leeuwarden,dentist,5.7985918,53.1957578,POINT (5.7985918 53.1957578)
70,Huisartsenpratkijk Nylân,doctors,5.7826095,53.1855516,POINT (5.7826095 53.1855516)
71,Voetzorg Friesland,clinic,5.7673882,53.1937085,POINT (5.7673882 53.1937085)
72,Tandartsencentrum Camminghaburen,dentist,5.8365887,53.2110507,POINT (5.8365887 53.2110507)
73,Huisarts Joeloemsingh,doctors,5.8127877,53.2067089,POINT (5.8127877 53.2067089)
74,Huisartsenpraktijk J.W. de With,doctors,5.8127993,53.2066502,POINT (5.8127993 53.2066502)
75,JTV Mondzorg voor kids,dentist,5.7911109,53.2152782,POINT (5.7911109 53.2152782)
76,Tandheelkundig Centrum Bilgaard TOM,dentist,5.7974002,53.2149654,POINT (5.7974002 53.2149654)
77,Gezondheidscentrum,clinic,5.7710911,53.2207809,POINT (5.7710911 53.2207809)
