,name,type,x,y,geometry
0,McDonald's,fast_food,5.9316476,52.9651303,POINT (5.9316476 52.9651303)
1,Hotel Restaurant De Stripe,restaurant,6.2298439,53.0697166,POINT (6.2298439 53.0697166)
2,Hof van de Koning,restaurant,5.9434580,52.9482443,POINT (5.943458 52.9482443)
3,De Blauwe Kater,pub,5.9219251,52.9605586,POINT (5.9219251 52.9605586)
4,Hennie Ris,fast_food,5.9218358,52.9606547,POINT (5.9218358 52.9606547)
5,Het Hoekske,fast_food,5.9204203,52.9617173,POINT (5.9204203 52.9617173)
6,Mangerie,fast_food,5.9255855,52.9610265,POINT (5.9255855 52.9610265)
7,Eetcafé De Lachende Koe,restaurant,5.9220870,52.9608656,POINT (5.922087 52.9608656)
8,Bleeker,pub,5.9222914,52.9607317,POINT (5.9222914 52.9607317)
9,Paolo,restaurant,5.9223784,52.9605622,POINT (5.9223784 52.9605622)
10,Cafe Bak,pub,5.9224087,52.9605142,POINT (5.9224087 52.9605142)
11,De Buurman,restaurant,5.9217684,52.9605078,POINT (5.9217684 52.9605078)
12,Toro Pinto,restaurant,5.9213718,52.9604074,POINT (5.9213718 52.9604074)
13,Chinees Restaurant Nin Hao,restaurant,5.9245430,52.9605422,POINT (5.924543 52.9605422)
14,'t Kannet,pub,5.9255961,52.9608173,POINT (5.9255961 52.9608173)
15,het Stamcafe,pub,5.9261187,52.9609588,POINT (5.9261187 52.9609588)
16,Pizzeria Etna,restaurant,5.9262006,52.9609697,POINT (5.9262006 52.9609697)
17,De Swetser,pub,5.9221077,52.9603387,POINT (5.9221077 52.9603387)
18,'t Skoffeltsje,pub,5.9254499,52.9610337,POINT (5.9254499 52.9610337)
19,De Gouden Stek,restaurant,6.1622756,53.3791876,POINT (6.1622756 53.3791876)
20,De Deurbraak,restaurant,5.9988698,53.3247774,POINT (5.9988698 53.3247774)
21,Van der Valk,restaurant,6.0216497,52.8797126,POINT (6.0216497 52.8797126)
22,Spannenburg,restaurant,5.6989767,52.9118302,POINT (5.6989767 52.9118302)
23,Galamadammen,restaurant,5.4622511,52.8998005,POINT (5.4622511 52.8998005)
24,,fast_food,6.1569562,53.4079306,POINT (6.1569562 53.4079306)
25,De Dwaler,restaurant,6.2657925,53.0816373,POINT (6.2657925 53.0816373)
26,De Koevoet,restaurant,5.6927565,52.9352857,POINT (5.6927565 52.9352857)
27,Badmeester Keimpe,restaurant,5.5978126,52.9064252,POINT (5.5978126 52.9064252)
28,Eatcorner Potmarge,fast_food,5.8164792,53.1947992,POINT (5.8164792 53.1947992)
29,Paviljoen de Leyen,restaurant,6.0814034,53.1565202,POINT (6.0814034 53.1565202)
30,De Groene Ster,restaurant,5.8731078,53.2145276,POINT (5.8731078 53.2145276)
31,De Piraat,restaurant,5.7751240,53.4383528,POINT (5.775124 53.4383528)
32,Paal 8,restaurant,5.2543641,53.3989053,POINT (5.2543641 53.3989053)
33,Keetje van Greetje,fast_food,5.2523768,53.4001937,POINT (5.2523768 53.4001937)
34,De Heeren van der Schelling,restaurant,5.3803260,53.4044565,POINT (5.380326 53.4044565)
35,D' Drie Grapen,restaurant,5.2843518,53.3901100,POINT (5.2843518 53.39011)
36,Patatelier Prell,fast_food,5.2842194,53.3914059,POINT (5.2842194 53.3914059)
37,Van Dijk,fast_food,5.2160829,53.3576258,POINT (5.2160829 53.3576258)
38,Hans en Grietje,restaurant,5.2856248,53.3830844,POINT (5.2856248 53.3830844)
39,Strandpaviloen De Marlijn,restaurant,6.1882879,53.4972668,POINT (6.1882879 53.4972668)
40,Koffiemolen,cafe,5.3043330,53.3891354,POINT (5.304333 53.3891354)
41,Strandpaviljoen Kaap Hoorn,restaurant,5.3431534,53.4138644,POINT (5.3431534 53.4138644)
42,Snackbar De Bakkerij,fast_food,5.7979947,53.4472632,POINT (5.7979947 53.4472632)
43,Cafetaria Smik en Smak,fast_food,5.8361991,53.0493856,POINT (5.8361991 53.0493856)
44,Konditorei de Jong,cafe,5.7720785,53.4451997,POINT (5.7720785 53.4451997)
45,De Gekroonde Leeuw,restaurant,5.4746341,53.1304110,POINT (5.4746341 53.130411)
46,De Gouden Klok,pub,5.8988356,53.3691695,POINT (5.8988356 53.3691695)
47,De Stelp,fast_food,5.9017559,53.3699616,POINT (5.9017559 53.3699616)
48,De Steeg,pub,5.8986157,53.3683821,POINT (5.8986157 53.3683821)
49,De Gouden Klok,restaurant,5.8988142,53.3692239,POINT (5.8988142 53.3692239)
50,Sailors Inn,restaurant,5.4052175,52.9447516,POINT (5.4052175 52.9447516)
51,Snackbar by ús Thús,fast_food,5.5480042,52.9924261,POINT (5.5480042 52.9924261)
52,Herberch by ús Thús,restaurant,5.5479126,52.9924247,POINT (5.5479126 52.9924247)
53,nn,restaurant,5.5418618,52.9279925,POINT (5.5418618 52.9279925)
54,Het Amelander Veerhuis,pub,5.8980363,53.3694480,POINT (5.8980363 53.369448)
55,Ponte Vecchio,restaurant,5.5233350,53.0626143,POINT (5.523335 53.0626143)
56,Nieuw Azie,restaurant,5.6629172,53.0323170,POINT (5.6629172 53.032317)
57,La Bamba,fast_food,5.6610258,53.0325910,POINT (5.6610258 53.032591)
58,Kreta,restaurant,5.6580816,53.0337659,POINT (5.6580816 53.0337659)
59,Texas steakhouse (closed?),restaurant,5.6574392,53.0335427,POINT (5.6574392 53.0335427)
60,"Trattoria Pizzeria Venezia ""Da Nino""",restaurant,5.6573354,53.0336238,POINT (5.6573354 53.0336238)
61,Shooters,bar,5.6579583,53.0329734,POINT (5.6579583 53.0329734)
62,Ludiek,bar,5.6607025,53.0333286,POINT (5.6607025 53.0333286)
63,Sing King Ling,restaurant,5.6604496,53.0322160,POINT (5.6604496 53.032216)
64,de Mangerie,fast_food,5.6573862,53.0335385,POINT (5.6573862 53.0335385)
65,Neighbours,bar,5.6599100,53.0330577,POINT (5.65991 53.0330577)
66,Witte kat,bar,5.6585267,53.0334144,POINT (5.6585267 53.0334144)
67,Mootz,bar,5.6587180,53.0334263,POINT (5.658718 53.0334263)
68,De Walrus,restaurant,5.6599364,53.0320071,POINT (5.6599364 53.0320071)
69,'t Vaticaan,restaurant,5.6616024,53.0318258,POINT (5.6616024 53.0318258)
70,Long Shu,restaurant,5.6613080,53.0300562,POINT (5.661308 53.0300562)
71,,fast_food,5.5767844,53.0508268,POINT (5.5767844 53.0508268)
72,Het Weeshuys,restaurant,5.5254831,53.0638810,POINT (5.5254831 53.063881)
73,De 2 Gemeenten,fast_food,5.7940231,53.0830136,POINT (5.7940231 53.0830136)
74,Istanbul,fast_food,5.6597600,53.0327916,POINT (5.65976 53.0327916)
75,Irish Pub De Poort Van Cleef,pub,5.6597583,53.0325220,POINT (5.6597583 53.032522)
76,Snackpoint,fast_food,5.6569557,53.0266800,POINT (5.6569557 53.02668)
77,Pinokkio,fast_food,5.6528843,53.0258623,POINT (5.6528843 53.0258623)
78,Wibo's Eatcounter,fast_food,5.6628532,53.0180840,POINT (5.6628532 53.018084)
79,Wok Bolsward,restaurant,5.5373231,53.0565890,POINT (5.5373231 53.056589)
80,Eetcafe Baba,restaurant,5.5183380,53.0622592,POINT (5.518338 53.0622592)
81,Hong Kong,restaurant,5.5181469,53.0623116,POINT (5.5181469 53.0623116)
82,Henriettes Friethuis,fast_food,5.6606740,53.0335353,POINT (5.660674 53.0335353)
83,Sjuul,pub,5.6095491,52.9679049,POINT (5.6095491 52.9679049)
84,,fast_food,5.9925508,53.3234436,POINT (5.9925508 53.3234436)
85,Tjeerd patat,fast_food,5.9993937,53.3241221,POINT (5.9993937 53.3241221)
86,de Polle,fast_food,5.6620312,53.0336400,POINT (5.6620312 53.03364)
87,Ristorante Pizzeria Il Nuraghe,restaurant,5.6621926,53.0332353,POINT (5.6621926 53.0332353)
88,La Gondola,restaurant,5.7091551,52.8448479,POINT (5.7091551 52.8448479)
89,'t Golfje,restaurant,5.2851044,53.3872750,POINT (5.2851044 53.387275)
90,Cafetaria 't Pleintje,fast_food,5.9271024,52.9520171,POINT (5.9271024 52.9520171)
91,CoCo Fresh Tea & Juice,cafe,5.5179248,53.0620878,POINT (5.5179248 53.0620878)
92,Miedema Fish & Chips,fast_food,5.5258209,53.0622197,POINT (5.5258209 53.0622197)
93,Café Zevenwouden,pub,5.7836410,53.0395992,POINT (5.783641 53.0395992)
94,De Pastorij,fast_food,5.7819976,53.0402862,POINT (5.7819976 53.0402862)
95,De Gouden Leeuw,restaurant,5.7804670,53.0413786,POINT (5.780467 53.0413786)
96,'t Far eetcafé,restaurant,5.7803919,53.0410887,POINT (5.7803919 53.0410887)
97,Het Meer van Lenten,restaurant,5.7791545,53.0333007,POINT (5.7791545 53.0333007)
98,Eetcafé Portunus,restaurant,5.7737102,53.0423398,POINT (5.7737102 53.0423398)
99,Il Leone d'Oro,restaurant,5.7805251,53.0412764,POINT (5.7805251 53.0412764)
100,Eatcounter De Rondweg,fast_food,5.8194369,53.2082008,POINT (5.8194369 53.2082008)
101,Suri's Afhaalcenter,fast_food,5.8121869,53.2068239,POINT (5.8121869 53.2068239)
102,Stadswaag Leeuwarden,restaurant,5.7959593,53.2007519,POINT (5.7959593 53.2007519)
103,De Klokkenstoel,restaurant,5.7698610,53.0100263,POINT (5.769861 53.0100263)
104,'t Oude Vat,bar,5.6660126,53.0338285,POINT (5.6660126 53.0338285)
105,De Oorsprong,restaurant,5.7555035,52.9351005,POINT (5.7555035 52.9351005)
106,Hotel restaurant Het Witte Huis,restaurant,6.1041867,53.0665639,POINT (6.1041867 53.0665639)
107,Hotel Restaurant De Harmonie,restaurant,5.4853132,53.2172235,POINT (5.4853132 53.2172235)
108,Snackbar 'De Lantaarn' (part of HCR Harmonie),fast_food,5.4853179,53.2171763,POINT (5.4853179 53.2171763)
