,name,type,x,y,geometry
0,Trekschuit,bus_stop,5.9014262,52.9636514,POINT (5.9014262 52.9636514)
1,Heechein,bus_stop,5.8396907,53.0537093,POINT (5.8396907 53.0537093)
2,Hunneschans,bus_stop,6.3082365,53.0946014,POINT (6.3082365 53.0946014)
3,Nieuw Oostenburg,bus_stop,6.1539886,53.2841391,POINT (6.1539886 53.2841391)
4,Verbindingsweg,bus_stop,5.7637417,53.4459560,POINT (5.7637417 53.445956)
5,Strand Nes,bus_stop,5.7773668,53.4577199,POINT (5.7773668 53.4577199)
6,Gedempte Haven,bus_stop,5.7814961,53.3060159,POINT (5.7814961 53.3060159)
7,Gedempte Haven,bus_stop,5.7813317,53.3060883,POINT (5.7813317 53.3060883)
8,Offingaweg,bus_stop,5.7827457,53.3081503,POINT (5.7827457 53.3081503)
9,Centrum/VVV,bus_stop,6.1609739,53.4779062,POINT (6.1609739 53.4779062)
10,Centrum/VVV,bus_stop,6.1611306,53.4779317,POINT (6.1611306 53.4779317)
11,Duinzicht,bus_stop,6.1603079,53.4818066,POINT (6.1603079 53.4818066)
12,Duinzicht,bus_stop,6.1602517,53.4816478,POINT (6.1602517 53.4816478)
13,Vita Maris/Camping,bus_stop,6.1580452,53.4842424,POINT (6.1580452 53.4842424)
14,Vita Maris/Camping,bus_stop,6.1578424,53.4842033,POINT (6.1578424 53.4842033)
15,Strandresort,bus_stop,6.1561395,53.4859526,POINT (6.1561395 53.4859526)
16,Strandresort,bus_stop,6.1559028,53.4863257,POINT (6.1559028 53.4863257)
17,Vuurtorenpad/Boszicht,bus_stop,6.1530945,53.4880395,POINT (6.1530945 53.4880395)
18,Vuurtorenpad/Boszicht,bus_stop,6.1534328,53.4879609,POINT (6.1534328 53.4879609)
19,Strandhotel,bus_stop,6.1499026,53.4899751,POINT (6.1499026 53.4899751)
20,Badstrand,bus_stop,6.1871635,53.4966720,POINT (6.1871635 53.496672)
21,Veerdam,bus_stop,6.2014416,53.4686926,POINT (6.2014416 53.4686926)
22,Geitenwei,bus_stop,5.2763886,53.3899780,POINT (5.2763886 53.389978)
23,Blokhuisplein,bus_stop,5.7996525,53.1997182,POINT (5.7996525 53.1997182)
24,Walpert,bus_stop,5.5912941,53.1122480,POINT (5.5912941 53.112248)
25,Hervormde Kerk,bus_stop,5.7033579,53.2798021,POINT (5.7033579 53.2798021)
26,Attesweg,bus_stop,5.6990459,53.2794888,POINT (5.6990459 53.2794888)
27,Vrouwenparochie,bus_stop,5.7114048,53.2802841,POINT (5.7114048 53.2802841)
28,Vrouwbuurtstermolen,bus_stop,5.7217175,53.2771388,POINT (5.7217175 53.2771388)
29,Dokkumer Nieuwe Zijlen,bus_stop,6.1573457,53.3189844,POINT (6.1573457 53.3189844)
30,Molenbuurt,bus_stop,6.1472875,53.3236436,POINT (6.1472875 53.3236436)
31,Engwierum,bus_stop,6.1375140,53.3210687,POINT (6.137514 53.3210687)
32,Eesterweg,bus_stop,6.1235451,53.3243983,POINT (6.1235451 53.3243983)
33,Branbuorren,bus_stop,6.1050356,53.3299088,POINT (6.1050356 53.3299088)
34,Ee,bus_stop,6.0994780,53.3317820,POINT (6.099478 53.331782)
35,Medhuizen,bus_stop,6.0887055,53.3410983,POINT (6.0887055 53.3410983)
36,Paesens,bus_stop,6.0860891,53.4015459,POINT (6.0860891 53.4015459)
37,Moddergat,bus_stop,6.0778805,53.4046310,POINT (6.0778805 53.404631)
38,Harddraversdijk,bus_stop,6.0167554,53.3261289,POINT (6.0167554 53.3261289)
39,De Polle,bus_stop,5.9010055,53.3700872,POINT (5.9010055 53.3700872)
40,Veerdam,bus_stop,5.8803450,53.3941930,POINT (5.880345 53.394193)
41,Holwerd Provincialeweg,bus_stop,5.8958378,53.3680827,POINT (5.8958378 53.3680827)
42,Veerhaven,bus_stop,5.7746979,53.4344862,POINT (5.7746979 53.4344862)
43,Stationsweg,bus_stop,5.9027612,53.3673890,POINT (5.9027612 53.367389)
44,Goutum,bus_stop,5.7952809,53.1769640,POINT (5.7952809 53.176964)
45,Goutum,bus_stop,5.7964517,53.1819446,POINT (5.7964517 53.1819446)
46,Oostergoplein,bus_stop,5.7966591,53.1857922,POINT (5.7966591 53.1857922)
47,Oostergoplein,bus_stop,5.7971286,53.1861147,POINT (5.7971286 53.1861147)
48,Aldlânsdyk,bus_stop,5.8006257,53.1863561,POINT (5.8006257 53.1863561)
49,Aldlânsdyk,bus_stop,5.7998187,53.1872456,POINT (5.7998187 53.1872456)
50,Borniastraat,bus_stop,5.7997640,53.1903979,POINT (5.799764 53.1903979)
51,Borniastraat,bus_stop,5.8001491,53.1900768,POINT (5.8001491 53.1900768)
52,Klanderij,bus_stop,5.8003224,53.1974795,POINT (5.8003224 53.1974795)
53,Klanderij,bus_stop,5.8008552,53.1973064,POINT (5.8008552 53.1973064)
54,Station Grou-Jirnsum,bus_stop,5.8203193,53.0897491,POINT (5.8203193 53.0897491)
