,name,type,x,y,geometry
0,Leeuwarden,station,5.7929849,53.1964772,POINT (5.7929849 53.1964772)
1,Stavoren,station,5.3598000,52.8866043,POINT (5.3598 52.8866043)
2,Koudum-Molkwerum,station,5.4107682,52.9024767,POINT (5.4107682 52.9024767)
3,Buitenpost,station,6.1452078,53.2563902,POINT (6.1452078 53.2563902)
4,Mantgum,station,5.7132668,53.1297366,POINT (5.7132668 53.1297366)
5,Wolvega,station,6.0047673,52.8802422,POINT (6.0047673 52.8802422)
6,Heerenveen,station,5.9154132,52.9606524,POINT (5.9154132 52.9606524)
7,Akkrum,station,5.8433715,53.0473583,POINT (5.8433715 53.0473583)
8,Grou-Jirnsum,station,5.8222898,53.0898834,POINT (5.8222898 53.0898834)
9,Harlingen Haven,station,5.4114962,53.1746159,POINT (5.4114962 53.1746159)
10,Harlingen,station,5.4252094,53.1703923,POINT (5.4252094 53.1703923)
11,Franeker,station,5.5498510,53.1824012,POINT (5.549851 53.1824012)
12,Dronryp,station,5.6347677,53.1777182,POINT (5.6347677 53.1777182)
13,Deinum,station,5.7280592,53.1887582,POINT (5.7280592 53.1887582)
14,Leeuwarden Camminghaburen,station,5.8425552,53.2021437,POINT (5.8425552 53.2021437)
15,Hurdegaryp,station,5.9348527,53.2190082,POINT (5.9348527 53.2190082)
16,Feanwâlden,station,5.9897322,53.2350543,POINT (5.9897322 53.2350543)
17,De Westereen,station,6.0354836,53.2482864,POINT (6.0354836 53.2482864)
18,Hindeloopen,station,5.4231314,52.9464538,POINT (5.4231314 52.9464538)
19,Workum,station,5.4565133,52.9720548,POINT (5.4565133 52.9720548)
20,IJlst,station,5.6161316,53.0147424,POINT (5.6161316 53.0147424)
21,Sneek,station,5.6518895,53.0326201,POINT (5.6518895 53.0326201)
22,Sneek Noord,station,5.6627300,53.0401281,POINT (5.66273 53.0401281)
