,name,type,x,y,geometry
0,Cultura,library,5.6671456,52.0464963,POINT (5.6671456 52.0464963)
1,Arentheem College,school,5.9266182,51.9944084,POINT (5.9266182 51.9944084)
2,Basisschool Calluna,school,5.6805246,52.0402441,POINT (5.6805246 52.0402441)
3,Bieb,library,5.6500161,52.0178120,POINT (5.6500161 52.017812)
4,Edese Montessorischool,school,5.6387649,52.0239873,POINT (5.6387649 52.0239873)
5,Katholieke Basisschool Panta Rhei,school,5.6380923,52.0214444,POINT (5.6380923 52.0214444)
6,Scholengemeenschap Slingerbos,school,5.6155355,52.3326697,POINT (5.6155355 52.3326697)
7,OBS Jan Harmenshof,school,5.2937442,51.8814034,POINT (5.2937442 51.8814034)
8,BSO Baloe,school,5.2933235,51.8812102,POINT (5.2933235 51.8812102)
9,Basisschool Talent,school,5.8684956,51.8708578,POINT (5.8684956 51.8708578)
10,kinderdagverblijd de Goudwinde,kindergarten,5.8677472,51.8709401,POINT (5.8677472 51.8709401)
11,Peuterspeelzaal Goudwinde,kindergarten,5.8686632,51.8706938,POINT (5.8686632 51.8706938)
12,De Oversteek,school,5.8438520,51.8769511,POINT (5.843852 51.8769511)
13,KION Kinderopvang Nijmegen,kindergarten,5.8433164,51.8777900,POINT (5.8433164 51.87779)
14,Bibliotheek Elst,library,5.8440970,51.9172790,POINT (5.844097 51.917279)
15,De Imme,kindergarten,5.9463004,52.1790510,POINT (5.9463004 52.179051)
16,Calvijnschool,school,5.5748075,52.0591706,POINT (5.5748075 52.0591706)
17,ArtEZ Academie voor Theater / Dansacademie,university,5.8933516,51.9841517,POINT (5.8933516 51.9841517)
18,School met de Bijbel,school,5.1094546,51.8806834,POINT (5.1094546 51.8806834)
19,Stedelijk Gymnasium Nijmegen,school,5.8557653,51.8472931,POINT (5.8557653 51.8472931)
20,Centrale bibliotheek De Mariënburg,library,5.8668600,51.8453713,POINT (5.86686 51.8453713)
21,Het Assink Lyceum,school,6.6184445,52.1344320,POINT (6.6184445 52.134432)
22,De Ruitenberg,school,5.6335856,52.1229330,POINT (5.6335856 52.122933)
23,De Arendhorst obs,school,5.5978574,52.2940348,POINT (5.5978574 52.2940348)
24,Koningin Julianaschool,school,5.6029652,52.2924078,POINT (5.6029652 52.2924078)
25,De Ruitenbeek,school,5.6336121,52.1230674,POINT (5.6336121 52.1230674)
26,Bibliotheek Muntweg,library,5.8352615,51.8304025,POINT (5.8352615 51.8304025)
27,Bibliotheek Zwanenveld,library,5.7977373,51.8238279,POINT (5.7977373 51.8238279)
28,De Bellefleur,school,5.6600398,51.9116198,POINT (5.6600398 51.9116198)
29,CBS 't Mozaiek,school,5.9563359,52.2841830,POINT (5.9563359 52.284183)
30,,school,6.0421997,52.3924908,POINT (6.0421997 52.3924908)
31,Prins Claus School,school,5.8126311,51.8020219,POINT (5.8126311 51.8020219)
32,Basisschool C.N.S. 't Loo,school,5.9455850,52.4483800,POINT (5.945585 52.44838)
33,de Elskamp,school,5.6533082,52.0180588,POINT (5.6533082 52.0180588)
34,Rijn IJssel,school,6.0742422,51.9230483,POINT (6.0742422 51.9230483)
35,Prins Willem Alexanderschool,school,5.5860785,52.1330286,POINT (5.5860785 52.1330286)
36,Oost Achterhoek/Ruurlo,library,6.4487928,52.0875003,POINT (6.4487928 52.0875003)
37,CBS Wonderwijs,school,6.4484567,52.0895481,POINT (6.4484567 52.0895481)
38,Kerst Zwartschool,school,6.4460493,52.0870842,POINT (6.4460493 52.0870842)
39,ds. Jonkersschool,school,6.0202902,51.9857850,POINT (6.0202902 51.985785)
40,Het Spelhuis,kindergarten,5.6195677,52.3038042,POINT (5.6195677 52.3038042)
41,KDV De Dijkgraaf,kindergarten,5.6530942,51.9833316,POINT (5.6530942 51.9833316)
42,Dr A. Verschoorschool,school,5.8000119,52.3703901,POINT (5.8000119 52.3703901)
43,De Hoeksteen Christelijke Basisschool,school,5.0156752,51.8569384,POINT (5.0156752 51.8569384)
44,Pieter de Jongschool,school,5.8942251,51.9405598,POINT (5.8942251 51.9405598)
45,Het Klinket,school,5.8941071,51.9409071,POINT (5.8941071 51.9409071)
46,CompaNanny,kindergarten,5.8419295,51.9854254,POINT (5.8419295 51.9854254)
47,Bibliotheek Giesbeek,library,6.0716067,51.9971371,POINT (6.0716067 51.9971371)
48,Chr. College Nassau-Veluwe,school,5.6214099,52.3397104,POINT (5.6214099 52.3397104)
49,De Klinkertjes,kindergarten,5.8525384,51.7802802,POINT (5.8525384 51.7802802)
50,De Tovercirkel,school,5.8519805,51.7764766,POINT (5.8519805 51.7764766)
51,De Komeet,school,5.8502322,51.7802935,POINT (5.8502322 51.7802935)
52,De Tovercirkel,school,5.8502644,51.7797429,POINT (5.8502644 51.7797429)
53,Okidoki,kindergarten,5.8494270,51.7804661,POINT (5.849427 51.7804661)
54,De Marker,school,6.6122874,52.1376179,POINT (6.6122874 52.1376179)
55,Dr Ariënsschool,school,6.6017302,52.1361099,POINT (6.6017302 52.1361099)
56,RK st Jozefschool,school,6.6622274,52.1410173,POINT (6.6622274 52.1410173)
57,Roncallischool (basisschool),school,6.2600572,51.9010889,POINT (6.2600572 51.9010889)
58,Kindercentrum Villa BonBini,kindergarten,6.6218247,52.1360428,POINT (6.6218247 52.1360428)
59,De Viersprong,school,5.7322927,51.8062361,POINT (5.7322927 51.8062361)
60,,kindergarten,5.7215252,51.8154913,POINT (5.7215252 51.8154913)
61,,kindergarten,5.7275437,51.8151744,POINT (5.7275437 51.8151744)
62,,school,5.6294822,51.8249034,POINT (5.6294822 51.8249034)
63,,school,5.6692218,51.7960089,POINT (5.6692218 51.7960089)
64,,school,5.7070302,51.8114534,POINT (5.7070302 51.8114534)
65,,kindergarten,5.7370050,51.8222332,POINT (5.737005 51.8222332)
66,,school,5.7104045,51.8066045,POINT (5.7104045 51.8066045)
67,,school,5.7225924,51.8003218,POINT (5.7225924 51.8003218)
68,Kindercentrum Broekie,kindergarten,5.8021024,51.8314696,POINT (5.8021024 51.8314696)
69,Zorgboerderij,school,5.5814475,52.3108108,POINT (5.5814475 52.3108108)
70,Dansschool,dancing_school,6.2600235,51.9034991,POINT (6.2600235 51.9034991)
71,Goede Herderderschool,school,5.5800670,52.3042095,POINT (5.580067 52.3042095)
72,,kindergarten,5.9981186,52.2361091,POINT (5.9981186 52.2361091)
73,CODA Dok Zuid,library,5.9735679,52.1923006,POINT (5.9735679 52.1923006)
74,o.b.s de Bogerd,school,5.3265434,51.8043638,POINT (5.3265434 51.8043638)
75,Bibliotheek Oosterhout,library,5.8435964,51.8773336,POINT (5.8435964 51.8773336)
76,,kindergarten,6.0330968,52.0052084,POINT (6.0330968 52.0052084)
77,De Cantharel,school,5.6364492,52.2945163,POINT (5.6364492 52.2945163)
78,Citadel College,school,5.8577374,51.8653220,POINT (5.8577374 51.865322)
79,Kinderdagverblijf De Hobbit,kindergarten,5.8894766,51.8918996,POINT (5.8894766 51.8918996)
80,IKC De Regenboog,school,5.8891598,51.8920585,POINT (5.8891598 51.8920585)
81,AOC Oost,college,6.5128910,52.1078043,POINT (6.512891 52.1078043)
82,De Regenboog,school,5.6777642,52.0367093,POINT (5.6777642 52.0367093)
83,OBS 't Palet,school,5.6599889,52.0160500,POINT (5.6599889 52.01605)
84,De Toekomst,school,5.6726570,52.0529263,POINT (5.672657 52.0529263)
85,Jan Ligthartschool,school,5.9127653,51.9891269,POINT (5.9127653 51.9891269)
86,Bibliotheek Lingewaard,library,5.9705598,51.8765160,POINT (5.9705598 51.876516)
87,De Meiboom,school,5.7946503,51.8106638,POINT (5.7946503 51.8106638)
88,de Bibliotheek Gorssel,library,6.1995443,52.1996712,POINT (6.1995443 52.1996712)
89,Lek en Linge Hoofdlocatie,school,5.2345657,51.9459134,POINT (5.2345657 51.9459134)
90,Cultura,library,5.6186459,52.0860969,POINT (5.6186459 52.0860969)
91,De Wegwijzer,school,5.6197592,52.0805804,POINT (5.6197592 52.0805804)
92,CNS de Triangel,school,5.6199094,52.0802868,POINT (5.6199094 52.0802868)
93,RSG Noord Oost Veluwe,school,5.9776954,52.3498326,POINT (5.9776954 52.3498326)
94,Van Heemstra School,school,6.0649719,52.4765463,POINT (6.0649719 52.4765463)
95,De Zaaier,school,6.0565477,52.4766859,POINT (6.0565477 52.4766859)
96,Het Palet,school,6.0620257,52.4748442,POINT (6.0620257 52.4748442)
97,Eben-Haëzerschool,school,5.6653572,52.0015345,POINT (5.6653572 52.0015345)
98,Peuterspeelzaal Ot en Sien,kindergarten,6.3141332,52.1042463,POINT (6.3141332 52.1042463)
99,Jeugdbibliotheek Rheden,library,6.0227332,52.0059558,POINT (6.0227332 52.0059558)
100,Nassauschool,school,6.0228942,52.4738260,POINT (6.0228942 52.473826)
101,Agnieten College,school,6.0031023,52.4706292,POINT (6.0031023 52.4706292)
102,cbs de Meidoorn,school,6.0021108,52.4614319,POINT (6.0021108 52.4614319)
103,Bibliotheek West Achterhoek (Hengelo gld),library,6.3080054,52.0525209,POINT (6.3080054 52.0525209)
104,Bernardusschool,school,6.2956536,52.0297813,POINT (6.2956536 52.0297813)
105,CBS de Fontein,school,5.5866243,52.1330809,POINT (5.5866243 52.1330809)
106,De Bron,school,5.5802122,52.1429523,POINT (5.5802122 52.1429523)
107,Johannes Fontanus College,school,5.5806926,52.1493060,POINT (5.5806926 52.149306)
108,Bibliotheek Barneveld,library,5.5877823,52.1403331,POINT (5.5877823 52.1403331)
109,Antoniusschool,school,5.5833777,52.1385969,POINT (5.5833777 52.1385969)
110,De Spreng,school,5.5795007,52.1435323,POINT (5.5795007 52.1435323)
111,De Meerwaarde,school,5.6006129,52.1312585,POINT (5.6006129 52.1312585)
112,Hervormde basisschool Willem van Oranje,school,5.6060222,52.1386670,POINT (5.6060222 52.138667)
113,ODB De Branink,school,6.3692790,52.1930767,POINT (6.369279 52.1930767)
114,cbs Prins Willem Alexanderschool,school,6.3696888,52.1930913,POINT (6.3696888 52.1930913)
115,De Kraanvogel,school,6.3603735,52.0996341,POINT (6.3603735 52.0996341)
116,Schildersvakopleiding,school,6.1959884,52.1487150,POINT (6.1959884 52.148715)
117,Orthopedagogisch centrum Zozijn,kindergarten,6.2009838,52.1328665,POINT (6.2009838 52.1328665)
118,Julianaschool,school,6.3021664,52.1569378,POINT (6.3021664 52.1569378)
119,Ludger College (Hoofdgebouw ),school,6.3004610,51.9698159,POINT (6.300461 51.9698159)
120,OBS Hagen,school,6.2898055,51.9774251,POINT (6.2898055 51.9774251)
121,Graafschap College - Grutbroek,school,6.2741440,51.9730143,POINT (6.274144 51.9730143)
122,Graafschap College,college,6.2746191,51.9697960,POINT (6.2746191 51.969796)
123,Graafschap College Sector Zorg & Welzijn,college,6.2708521,51.9719474,POINT (6.2708521 51.9719474)
124,,school,6.2492697,51.9650433,POINT (6.2492697 51.9650433)
125,,school,6.2499446,51.9650512,POINT (6.2499446 51.9650512)
126,,school,6.2503640,51.9648419,POINT (6.250364 51.9648419)
127,Openbare Basisschool Mozaïek,school,6.2639350,51.9522235,POINT (6.263935 51.9522235)
128,Christelijke Basisschool 't Prisma,school,6.2630202,51.9521815,POINT (6.2630202 51.9521815)
129,Katholieke Basisschool Dichterbij,school,6.2638251,51.9518260,POINT (6.2638251 51.951826)
130,Fabrieksstraat Sector Techniek en Informatica,school,6.2997287,51.9557628,POINT (6.2997287 51.9557628)
131,Ludger College (Willibrordgebouw ),school,6.3004407,51.9622290,POINT (6.3004407 51.962229)
132,Graafschap College,college,6.2971647,51.9607242,POINT (6.2971647 51.9607242)
133,Montessori Basisschool de Pas,school,6.2954374,51.9614602,POINT (6.2954374 51.9614602)
134,Kookstudio75,cooking_school,6.2116546,51.9613293,POINT (6.2116546 51.9613293)
135,Dynamiek,school,6.3493399,51.9223441,POINT (6.3493399 51.9223441)
136,Basisschool St. Martinus,school,6.3496336,51.9383105,POINT (6.3496336 51.9383105)
137,Gaanderwijs,school,6.3434221,51.9345588,POINT (6.3434221 51.9345588)
138,Anton Tijdink,school,6.3694402,51.9203637,POINT (6.3694402 51.9203637)
139,Almende College,school,6.3830999,51.9096977,POINT (6.3830999 51.9096977)
140,Almende College,school,6.3731156,51.9131799,POINT (6.3731156 51.9131799)
141,Autorijschool De Eglantier,driving_school,6.0062765,52.1935687,POINT (6.0062765 52.1935687)
142,Pcbs Regenboog,school,6.0084405,52.2148675,POINT (6.0084405 52.2148675)
143,Het Kroonpad,school,5.9986397,52.2360579,POINT (5.9986397 52.2360579)
144,PCBS De Diamant,school,5.9964855,52.2354389,POINT (5.9964855 52.2354389)
145,OBS de Vliegenier,school,5.9974363,52.2351689,POINT (5.9974363 52.2351689)
146,De Zonnehoek,school,5.9976718,52.2365197,POINT (5.9976718 52.2365197)
147,Eloy,school,5.9486422,52.1836168,POINT (5.9486422 52.1836168)
148,Pianokids,music_school,5.9610009,52.1942924,POINT (5.9610009 52.1942924)
149,Apeldoorn & Bloemzaad,driving_school,5.9884776,52.1884044,POINT (5.9884776 52.1884044)
150,Villa IN Kleur,kindergarten,5.9909453,52.1996449,POINT (5.9909453 52.1996449)
151,Coda De Maten,library,6.0037069,52.1935377,POINT (6.0037069 52.1935377)
152,Openbare Basisschool de Bundel,school,5.9967018,52.2153906,POINT (5.9967018 52.2153906)
153,CODA Prinses Margrietschool,library,5.9832914,52.2253072,POINT (5.9832914 52.2253072)
154,De Kangoeroe,kindergarten,5.9829844,52.2204380,POINT (5.9829844 52.220438)
155,Tim Koldenhof Producties,music_school,5.9718636,52.2265020,POINT (5.9718636 52.226502)
156,CODA Centrale Bibliotheek,library,5.9586617,52.2154345,POINT (5.9586617 52.2154345)
157,MAM's Kinderopvang,kindergarten,5.9346969,52.2086233,POINT (5.9346969 52.2086233)
158,Winford,school,5.9552448,52.2181647,POINT (5.9552448 52.2181647)
159,Learn2Study,school,5.9411610,52.2146601,POINT (5.941161 52.2146601)
160,Les is More,driving_school,5.9631037,52.1976139,POINT (5.9631037 52.1976139)
161,Wittenborg University,university,5.9717767,52.2100106,POINT (5.9717767 52.2100106)
162,Fotovakschool,university,5.9725457,52.2099695,POINT (5.9725457 52.2099695)
163,Saxion,university,5.9732228,52.2095517,POINT (5.9732228 52.2095517)
164,St. Jorisschool,school,6.5530048,51.9802802,POINT (6.5530048 51.9802802)
165,Paulusschool,school,6.0718166,51.9970483,POINT (6.0718166 51.9970483)
166,Het Kompas,school,5.0464351,51.8241958,POINT (5.0464351 51.8241958)
167,Bibliotheek Wapenveld (Noord-Veluwe),library,6.0691886,52.4289062,POINT (6.0691886 52.4289062)
168,van Lodenstein College,school,5.4486564,52.1695509,POINT (5.4486564 52.1695509)
169,Schimmelpenninck van der Oye,school,5.4600373,52.1759208,POINT (5.4600373 52.1759208)
170,'t Blokhuus,school,5.4629996,52.1727102,POINT (5.4629996 52.1727102)
171,Willem Farelschool,school,5.4638435,52.1704268,POINT (5.4638435 52.1704268)
172,Kinderdagverblijf ’t Klimrek,kindergarten,5.4684732,52.2168639,POINT (5.4684732 52.2168639)
173,CBS Holk,school,5.4565716,52.2179028,POINT (5.4565716 52.2179028)
174,Villa Vrolijk,kindergarten,5.4742268,52.2275669,POINT (5.4742268 52.2275669)
175,Bibliotheek Nijkerk,library,5.4825416,52.2204748,POINT (5.4825416 52.2204748)
176,De Open Kring,school,5.4970876,52.2193214,POINT (5.4970876 52.2193214)
177,Hervormde basisschool De Zaaier,school,5.5174312,52.1653015,POINT (5.5174312 52.1653015)
178,Kentalis Dr. P.C.M. Bosschool,school,5.9181914,51.9942901,POINT (5.9181914 51.9942901)
179,Guido,school,5.9437606,52.0028375,POINT (5.9437606 52.0028375)
180,Rijn IJssel CIOS,college,5.9290715,52.0043107,POINT (5.9290715 52.0043107)
181,Ixperium Arnhem,university,5.9480119,51.9884085,POINT (5.9480119 51.9884085)
182,Briant College,school,5.9602357,51.9782293,POINT (5.9602357 51.9782293)
183,HAN Automotive,university,5.9481230,51.9892128,POINT (5.948123 51.9892128)
184,ROC Rijn IJssel (administratie & ondernemerschap),college,5.9567795,51.9836170,POINT (5.9567795 51.983617)
185,De Sterrenkring,school,5.9165951,51.9813838,POINT (5.9165951 51.9813838)
186,Rijnijssel locatie Thorbeckestraat,school,5.9263381,51.9811562,POINT (5.9263381 51.9811562)
187,De Holle Boom,kindergarten,5.8869232,51.9924811,POINT (5.8869232 51.9924811)
188,Basisschool t' Panorama,school,5.8768815,51.9972104,POINT (5.8768815 51.9972104)
189,Pieter Breughelschool,school,5.8876176,51.9913302,POINT (5.8876176 51.9913302)
190,GetCertified Opleidingen,school,5.9069455,51.9830907,POINT (5.9069455 51.9830907)
191,RijnIJssel Retail Leerlab,college,5.9095544,51.9827951,POINT (5.9095544 51.9827951)
