,name,type,x,y,geometry
0,Cultura,theatre,5.6672796,52.0465614,POINT (5.6672796 52.0465614)
1,Lux,cinema,5.8671388,51.8450176,POINT (5.8671388 51.8450176)
2,Theothorne,arts_centre,6.1011198,52.0511201,POINT (6.1011198 52.0511201)
3,Movie Unlimited Bioscoop Zevenaar,cinema,6.0758973,51.9264417,POINT (6.0758973 51.9264417)
4,Openluchttheater Eibergen,theatre,6.6483585,52.1039839,POINT (6.6483585 52.1039839)
5,,arts_centre,6.2928916,51.9619453,POINT (6.2928916 51.9619453)
6,Theater de Wilde Wereld,theatre,5.6643771,51.9649104,POINT (5.6643771 51.9649104)
7,de Lindenberg,theatre,5.8683001,51.8474844,POINT (5.8683001 51.8474844)
8,Musiater,theatre,6.0798749,51.9312952,POINT (6.0798749 51.9312952)
9,De Dialoog,theatre,5.6176346,52.3004479,POINT (5.6176346 52.3004479)
10,Rembrandt,cinema,5.9121043,51.9844058,POINT (5.9121043 51.9844058)
11,Cine-Twins,cinema,5.8507255,51.7808676,POINT (5.8507255 51.7808676)
12,,theatre,5.7369046,51.8025608,POINT (5.7369046 51.8025608)
13,Vue Nijmegen Walstraat,cinema,5.8661020,51.8442330,POINT (5.866102 51.844233)
14,Schouwburg Arnhem,theatre,5.9134020,51.9808167,POINT (5.913402 51.9808167)
15,Catharinakapel,theatre,5.6182070,52.3479829,POINT (5.618207 52.3479829)
16,Theater de Klif,theatre,5.8433229,51.8772302,POINT (5.8433229 51.8772302)
17,De Poorterij,theatre,5.2505247,51.8112953,POINT (5.2505247 51.8112953)
18,Skopein,cinema,6.7202677,51.9727955,POINT (6.7202677 51.9727955)
19,Openluchttheater,theatre,6.1986006,52.2036394,POINT (6.1986006 52.2036394)
20,Schouwburg,theatre,6.4177153,52.1601205,POINT (6.4177153 52.1601205)
21,Dat Bolwerck,arts_centre,6.1972415,52.1394645,POINT (6.1972415 52.1394645)
22,Hanzehof,theatre,6.2012777,52.1484585,POINT (6.2012777 52.1484585)
23,Filmtheater Luxor,cinema,6.1961892,52.1410447,POINT (6.1961892 52.1410447)
24,Jansstheater,theatre,6.4185381,52.1580225,POINT (6.4185381 52.1580225)
25,Filmhuis en Poppodium Gigant,cinema,5.9586080,52.2157240,POINT (5.958608 52.215724)
26,Orpheus,theatre,5.9529526,52.2197051,POINT (5.9529526 52.2197051)
27,De Mattelier,arts_centre,6.6186643,52.0416131,POINT (6.6186643 52.0416131)
28,Theater de Leeuw,theatre,5.9276087,51.9889649,POINT (5.9276087 51.9889649)
29,Arnhems Keramiek Atelier,arts_centre,5.9140984,51.9851389,POINT (5.9140984 51.9851389)
30,Theater het Hof,theatre,5.9166321,51.9823950,POINT (5.9166321 51.982395)
31,Theater aan de Rijn,theatre,5.9060476,51.9812441,POINT (5.9060476 51.9812441)
32,Luxor Live,theatre,5.9044769,51.9835992,POINT (5.9044769 51.9835992)
33,Create Wise,arts_centre,5.6738172,51.9962099,POINT (5.6738172 51.9962099)
34,Pathé Ede,cinema,5.6481435,52.0157120,POINT (5.6481435 52.015712)
35,Artist in Residence,arts_centre,5.1903637,51.9590238,POINT (5.1903637 51.9590238)
36,de Fransche School,theatre,5.2229374,51.9594852,POINT (5.2229374 51.9594852)
37,Badhuis,theatre,5.8766374,51.8372466,POINT (5.8766374 51.8372466)
38,Theaterwerkplaats Roest,theatre,5.8777750,51.8478021,POINT (5.877775 51.8478021)
39,Concertgebouw de Vereeniging,theatre,5.8611299,51.8412654,POINT (5.8611299 51.8412654)
40,Stadsschouwburg,theatre,5.8581336,51.8426611,POINT (5.8581336 51.8426611)
