,name,type,x,y,geometry
0,,doctors,5.4192884,51.8829090,POINT (5.4192884 51.882909)
1,Dierenartsenpraktijk West Betuwe,veterinary,5.2877717,51.8693528,POINT (5.2877717 51.8693528)
2,Tandartspraktijk Overasselt,dentist,5.7855076,51.7633357,POINT (5.7855076 51.7633357)
3,DAP Nunspeet,veterinary,5.7833438,52.3828063,POINT (5.7833438 52.3828063)
4,Dierenkliniek Bakker,veterinary,5.8728531,51.8427458,POINT (5.8728531 51.8427458)
5,Dierenkliniek Kruizinga,veterinary,5.6597293,52.0348599,POINT (5.6597293 52.0348599)
6,"Huisartsenpraktijk ""De Koppel""",doctors,5.4568899,52.1765720,POINT (5.4568899 52.176572)
7,Veldwijk,hospital,5.6176678,52.3029515,POINT (5.6176678 52.3029515)
8,A.G.M. van Doormalen & A.E.M. van Eijkeren-Reijth,doctors,5.2629444,51.7439512,POINT (5.2629444 51.7439512)
9,Huisartsenpraktijk 'De Dennenkamp West',doctors,5.8402184,51.9891337,POINT (5.8402184 51.9891337)
10,Bleekveld Tiel - Praktijk voor Fysiotherapie,doctors,5.4187526,51.8833800,POINT (5.4187526 51.88338)
11,,dentist,5.8402588,51.9890950,POINT (5.8402588 51.989095)
12,Wentsel de groot,dentist,5.6051240,52.2571760,POINT (5.605124 52.257176)
13,Huisartsenpraktijk De Lindeboom,doctors,5.6092285,52.2587650,POINT (5.6092285 52.258765)
14,DierenkliniekErmelo.nl,veterinary,5.6197351,52.3037860,POINT (5.6197351 52.303786)
15,,dentist,5.2592377,51.7545411,POINT (5.2592377 51.7545411)
16,Ziekenhuis Rijnstate Arnhem-Zuid,hospital,5.8846486,51.9493504,POINT (5.8846486 51.9493504)
17,Huisartsenpraktijk Hierden,doctors,5.6681863,52.3559197,POINT (5.6681863 52.3559197)
18,De Klomp Dierenartsen,veterinary,5.5732711,52.0478970,POINT (5.5732711 52.047897)
19,,veterinary,5.7208114,51.8081367,POINT (5.7208114 51.8081367)
20,,veterinary,5.7231932,51.7991342,POINT (5.7231932 51.7991342)
21,Dierenkliniek Zeddam,veterinary,6.2654196,51.8995212,POINT (6.2654196 51.8995212)
22,,veterinary,5.2401880,51.8024726,POINT (5.240188 51.8024726)
23,,dentist,5.2423922,51.8004158,POINT (5.2423922 51.8004158)
24,,doctors,5.2421671,51.7997753,POINT (5.2421671 51.7997753)
25,Dierenkliniek Veluwezoom,veterinary,6.0322688,52.0078192,POINT (6.0322688 52.0078192)
26,Huisartsenpraktijk Voorst,doctors,6.1448603,52.1694985,POINT (6.1448603 52.1694985)
27,tandartspraktijk C. Valkenburg,dentist,6.1425079,52.1693184,POINT (6.1425079 52.1693184)
28,Huisartsenpraktijk De Linie,doctors,6.1345387,52.0095463,POINT (6.1345387 52.0095463)
29,Tandartspraktijk Morssinkhof,dentist,6.1267144,52.0027564,POINT (6.1267144 52.0027564)
30,Tandartspraktijk Rossum,dentist,5.3323403,51.8032458,POINT (5.3323403 51.8032458)
31,Huisartsenpraktijk,doctors,5.6221571,52.0847570,POINT (5.6221571 52.084757)
32,Huisartsenpraktijk Marktplein,doctors,6.1571496,52.0870430,POINT (6.1571496 52.087043)
33,Huisartsenpraktijk de Zegerij,doctors,6.1581020,52.0885260,POINT (6.158102 52.088526)
34,Dierenarts,veterinary,5.5232112,51.8809941,POINT (5.5232112 51.8809941)
35,Huisartsen Albers en Tanis,doctors,6.3091636,52.1046479,POINT (6.3091636 52.1046479)
36,Huisarts de Jong,doctors,6.3092064,52.1046376,POINT (6.3092064 52.1046376)
37,Ergotherapie Lammers,doctors,6.3091138,52.1046538,POINT (6.3091138 52.1046538)
38,Mondzorg Vorden,dentist,6.3105721,52.1029556,POINT (6.3105721 52.1029556)
39,Mijn Dierenarts Oosterbeek,veterinary,5.8444144,51.9891592,POINT (5.8444144 51.9891592)
40,Dierenkliniek Pietersberg,veterinary,5.8381340,51.9873208,POINT (5.838134 51.9873208)
41,Jansen van de Berg Fysio Therapie,doctors,6.3090717,52.1046616,POINT (6.3090717 52.1046616)
42,Huisartsenpraktijk De Pelikaan,doctors,6.3591101,52.0052931,POINT (6.3591101 52.0052931)
43,Burger en van der Wielen,doctors,6.3590350,52.0051316,POINT (6.359035 52.0051316)
44,Tandarts B.L. van Norden,dentist,6.3590276,52.0049946,POINT (6.3590276 52.0049946)
45,Tandarts O.J. de Jong,dentist,6.3526013,52.0055704,POINT (6.3526013 52.0055704)
46,Huisartspraktijk Medisch Centrum Oud-West,doctors,5.8409389,51.8454257,POINT (5.8409389 51.8454257)
47,De Graafschap Dierenartsen Locatie Hengelo,veterinary,6.3107614,52.0471393,POINT (6.3107614 52.0471393)
