,name,type,x,y,geometry
0,De Klinker,pub,5.8659531,51.8438309,POINT (5.8659531 51.8438309)
1,In de blaauwe hand,pub,5.8635052,51.8479247,POINT (5.8635052 51.8479247)
2,Burger King,fast_food,5.2575690,51.7762604,POINT (5.257569 51.7762604)
3,McDonald's,fast_food,5.9062688,51.9816132,POINT (5.9062688 51.9816132)
4,McDonald's,fast_food,5.8613354,51.8433925,POINT (5.8613354 51.8433925)
5,'t Pakhuis,fast_food,5.5974244,52.0337983,POINT (5.5974244 52.0337983)
6,Pannenkoekenboerderij Kernhem,restaurant,5.6565821,52.0525148,POINT (5.6565821 52.0525148)
7,Amadeus,restaurant,5.6890814,52.0660376,POINT (5.6890814 52.0660376)
8,De Vink,pub,5.6641024,52.0395483,POINT (5.6641024 52.0395483)
9,Het Pomphuis,restaurant,5.6719110,52.0399519,POINT (5.671911 52.0399519)
10,Kerkemeijer,restaurant,6.7150093,52.0930454,POINT (6.7150093 52.0930454)
11,De Koffiekamer,cafe,5.6781097,52.0147295,POINT (5.6781097 52.0147295)
12,Eethuys Airborne,fast_food,5.7448183,51.9871180,POINT (5.7448183 51.987118)
13,Montaza,restaurant,5.7311430,51.9771529,POINT (5.731143 51.9771529)
14,De Citadel,fast_food,5.7311617,51.9772186,POINT (5.7311617 51.9772186)
15,Belvédère,restaurant,5.8725172,51.8474251,POINT (5.8725172 51.8474251)
16,,restaurant,5.9317065,51.7768152,POINT (5.9317065 51.7768152)
17,Corfu,restaurant,5.8661479,51.8489385,POINT (5.8661479 51.8489385)
18,Loburg,pub,5.6649962,51.9667551,POINT (5.6649962 51.9667551)
19,Safari Restaurant,restaurant,5.8993149,52.0103908,POINT (5.8993149 52.0103908)
20,Bush Restaurant,restaurant,5.8993667,52.0102312,POINT (5.8993667 52.0102312)
21,De Refter / Universiteits restaurant,restaurant,5.8654335,51.8190833,POINT (5.8654335 51.8190833)
22,Odessa,restaurant,5.8675221,51.8478409,POINT (5.8675221 51.8478409)
23,Tante Blanche,restaurant,6.1554749,52.0861933,POINT (6.1554749 52.0861933)
24,Proeflokaal & Gastrobar 't Kromhout,restaurant,6.1574740,52.0872604,POINT (6.157474 52.0872604)
25,De Paddestoel,fast_food,6.1563146,52.0866755,POINT (6.1563146 52.0866755)
26,Beckson,fast_food,6.1544702,52.0994752,POINT (6.1544702 52.0994752)
27,Hong Kong,restaurant,6.1538573,52.0981476,POINT (6.1538573 52.0981476)
28,Eetcafé 't Zwientje,cafe,6.1526143,52.0967611,POINT (6.1526143 52.0967611)
29,Stadsvilla Sonsbeek,restaurant,5.9052579,51.9895520,POINT (5.9052579 51.989552)
30,Het Ooievaarsnest,restaurant,6.1465458,52.1136264,POINT (6.1465458 52.1136264)
31,Restaurant Boshuis,restaurant,5.8654165,52.0306215,POINT (5.8654165 52.0306215)
32,Grand Café Métropole,cafe,5.9188916,51.9841249,POINT (5.9188916 51.9841249)
33,Cafe Vrijdag,pub,5.9152091,51.9820578,POINT (5.9152091 51.9820578)
34,goed proeven,cafe,5.9159677,51.9860235,POINT (5.9159677 51.9860235)
35,De Waagh,restaurant,5.8637325,51.8478043,POINT (5.8637325 51.8478043)
36,Cafetaria Lent,fast_food,5.8663745,51.8628793,POINT (5.8663745 51.8628793)
37,Café Eten en Drinken Lent,pub,5.8651472,51.8630212,POINT (5.8651472 51.8630212)
38,De Spin,cafe,5.2474123,51.8139160,POINT (5.2474123 51.813916)
39,Pizzeria Perla di Cairo,fast_food,5.2488742,51.8136729,POINT (5.2488742 51.8136729)
40,De Stapelbakker,restaurant,5.1984542,51.8941802,POINT (5.1984542 51.8941802)
41,China Garden,fast_food,5.8252992,51.8813718,POINT (5.8252992 51.8813718)
42,Shi Woo,restaurant,5.6604922,52.0424876,POINT (5.6604922 52.0424876)
43,Efes grillroom pizzeria,restaurant,5.9012957,51.8928999,POINT (5.9012957 51.8928999)
44,Zijdewinde,restaurant,5.8828654,51.8670191,POINT (5.8828654 51.8670191)
45,Victoria,fast_food,6.1980237,52.1449545,POINT (6.1980237 52.1449545)
46,De Bonte Koe,fast_food,5.7887299,51.7611154,POINT (5.7887299 51.7611154)
47,VVV-ANWB,cafe,5.7835612,52.3711749,POINT (5.7835612 52.3711749)
48,De Revolutie,restaurant,6.0757471,51.9264550,POINT (6.0757471 51.926455)
49,Speeltuin Nederhemert-Zuid,restaurant,5.1491449,51.7497967,POINT (5.1491449 51.7497967)
50,China Palace,restaurant,6.0043090,52.0051436,POINT (6.004309 52.0051436)
51,Restaurant Bronckhorst,restaurant,6.0067914,52.0053394,POINT (6.0067914 52.0053394)
52,Pannekoekhuis Strijland,restaurant,6.0310174,52.0106703,POINT (6.0310174 52.0106703)
53,De Peerdestal,restaurant,6.0876981,52.0337528,POINT (6.0876981 52.0337528)
54,Kersebloesem,restaurant,6.1429345,52.0745605,POINT (6.1429345 52.0745605)
55,Ter Voert,cafe,6.3924565,51.8382556,POINT (6.3924565 51.8382556)
56,De Kievit,cafe,6.3947223,51.8375413,POINT (6.3947223 51.8375413)
57,De Waag,pub,6.1343621,52.0150995,POINT (6.1343621 52.0150995)
58,Houtplaats,restaurant,6.0300869,52.0154149,POINT (6.0300869 52.0154149)
59,Brasserie Veluwezoom,cafe,6.0249432,52.0157786,POINT (6.0249432 52.0157786)
60,De Deel,restaurant,6.0250159,52.0173609,POINT (6.0250159 52.0173609)
61,De Ruif,restaurant,6.0247153,52.0176450,POINT (6.0247153 52.017645)
62,Mijn Vriend,restaurant,6.1037969,52.0407855,POINT (6.1037969 52.0407855)
63,Het wapen van Athlone,restaurant,6.0620782,52.0202798,POINT (6.0620782 52.0202798)
64,Hotel Restaurant de Vossenberg,restaurant,5.8298954,52.3319070,POINT (5.8298954 52.331907)
65,La Strada IJssalon/Lunchroom,cafe,5.8456417,51.9187490,POINT (5.8456417 51.918749)
66,Lef,restaurant,5.8442146,51.9179328,POINT (5.8442146 51.9179328)
67,Café 't Fort,pub,5.8441958,51.9175986,POINT (5.8441958 51.9175986)
68,L'Italiano,restaurant,5.8414567,51.9189205,POINT (5.8414567 51.9189205)
69,Cafetaria Van Burk,fast_food,5.8405795,51.9190520,POINT (5.8405795 51.919052)
70,Lunchroom Van Hulzen,fast_food,5.8437106,51.9186270,POINT (5.8437106 51.918627)
