,name,type,x,y,geometry
0,Streekweg,bus_stop,5.7817034,51.8204326,POINT (5.7817034 51.8204326)
1,Rijdtsestraat,bus_stop,5.7411737,51.7830081,POINT (5.7411737 51.7830081)
2,Wielewaallaan,bus_stop,5.3185666,51.8100339,POINT (5.3185666 51.8100339)
3,Molenlaan,bus_stop,5.0483734,51.8267780,POINT (5.0483734 51.826778)
4,Irenestraat,bus_stop,5.1761206,51.8297135,POINT (5.1761206 51.8297135)
5,Brakelseveer,bus_stop,5.0899385,51.8346448,POINT (5.0899385 51.8346448)
6,Veesteeg,bus_stop,5.5315230,51.8805790,POINT (5.531523 51.880579)
7,Lingecollege,bus_stop,5.4277356,51.8828881,POINT (5.4277356 51.8828881)
8,Rauwenhof,bus_stop,5.4107715,51.8890312,POINT (5.4107715 51.8890312)
9,Vrijthof,bus_stop,5.4099945,51.8914367,POINT (5.4099945 51.8914367)
10,De Essenpas,bus_stop,5.9184368,51.8930908,POINT (5.9184368 51.8930908)
11,Hoog Kellenseweg,bus_stop,5.4449786,51.9026918,POINT (5.4449786 51.9026918)
12,Voorstraat,bus_stop,5.4950609,51.9115266,POINT (5.4950609 51.9115266)
13,Industrieweg,bus_stop,5.7233814,51.9134708,POINT (5.7233814 51.9134708)
14,'t Hanenest,bus_stop,5.3242795,51.9253756,POINT (5.3242795 51.9253756)
15,Kerkpad,bus_stop,5.3133068,51.9306830,POINT (5.3133068 51.930683)
16,Station,bus_stop,5.5832775,51.9316474,POINT (5.5832775 51.9316474)
17,Het Molenhuis,bus_stop,5.3002211,51.9473302,POINT (5.3002211 51.9473302)
18,Station,bus_stop,5.2270025,51.9472652,POINT (5.2270025 51.9472652)
19,Stationssingel,bus_stop,5.2262235,51.9503717,POINT (5.2262235 51.9503717)
20,Hamseweg,bus_stop,5.2549681,51.9629629,POINT (5.2549681 51.9629629)
21,Hamseweg,bus_stop,5.2551144,51.9629361,POINT (5.2551144 51.9629361)
22,Muziektent,bus_stop,5.4549943,51.9686645,POINT (5.4549943 51.9686645)
23,van Wassenaerlaan,bus_stop,6.2990649,52.1583903,POINT (6.2990649 52.1583903)
24,Eendrachtstraat,bus_stop,5.9598463,52.1988694,POINT (5.9598463 52.1988694)
25,Rode Kruis Gebouw,bus_stop,5.2905310,51.8772220,POINT (5.290531 51.877222)
26,Zorgcentrum,bus_stop,5.2876749,51.8788867,POINT (5.2876749 51.8788867)
27,Schaapsweg / Molenstraat,bus_stop,5.6572961,52.0461616,POINT (5.6572961 52.0461616)
28,Laan van Westenenk,bus_stop,5.9622243,52.1799541,POINT (5.9622243 52.1799541)
29,Station Lent,bus_stop,5.8615495,51.8631822,POINT (5.8615495 51.8631822)
30,Dopheidelaan,bus_stop,5.7545268,51.9836272,POINT (5.7545268 51.9836272)
31,Niels Bohrstraat,bus_stop,5.6302314,52.0280671,POINT (5.6302314 52.0280671)
32,Lumierestraat,bus_stop,5.6377511,52.0269566,POINT (5.6377511 52.0269566)
33,Viaductweg,bus_stop,5.7976890,51.8255646,POINT (5.797689 51.8255646)
34,Viaductweg,bus_stop,5.7960109,51.8255803,POINT (5.7960109 51.8255803)
35,De Wacht,shelter,6.0543452,52.2368830,POINT (6.0543452 52.236883)
36,'t Wezeveld,bus_stop,6.0801180,52.2373394,POINT (6.080118 52.2373394)
37,Schumanpark,bus_stop,5.9413913,52.1951748,POINT (5.9413913 52.1951748)
38,Laan van Erica,bus_stop,5.9979515,52.2019087,POINT (5.9979515 52.2019087)
39,Rijksstraatweg,bus_stop,6.0475177,52.2346487,POINT (6.0475177 52.2346487)
40,'t Wezeveld,bus_stop,6.0793428,52.2375075,POINT (6.0793428 52.2375075)
