,name,type,x,y,geometry
0,Nijmegen,station,5.8530913,51.8431362,POINT (5.8530913 51.8431362)
1,Elst,station,5.8549331,51.9172427,POINT (5.8549331 51.9172427)
2,Zetten-Andelst,station,5.7233591,51.9197801,POINT (5.7233591 51.9197801)
3,Hemmen-Dodewaard,station,5.6736223,51.9224135,POINT (5.6736223 51.9224135)
4,Zevenaar,station,6.0719818,51.9231973,POINT (6.0719818 51.9231973)
5,Opheusden,station,5.6374111,51.9260391,POINT (5.6374111 51.9260391)
6,Duiven,station,6.0144531,51.9434452,POINT (6.0144531 51.9434452)
7,Arnhem Centraal,station,5.9011598,51.9844332,POINT (5.9011598 51.9844332)
8,Arnhem Velperpoort,station,5.9199033,51.9851244,POINT (5.9199033 51.9851244)
9,Wolfheze,station,5.7923944,52.0056717,POINT (5.7923944 52.0056717)
10,Ede-Wageningen,station,5.6722729,52.0277348,POINT (5.6722729 52.0277348)
11,Brummen,station,6.1470590,52.0907483,POINT (6.147059 52.0907483)
12,Tiel Passewaaij,station,5.3918894,51.8736724,POINT (5.3918894 51.8736724)
13,Arnhem Zuid,station,5.8519491,51.9544945,POINT (5.8519491 51.9544945)
14,Tiel,station,5.4232131,51.8896753,POINT (5.4232131 51.8896753)
15,Wijchen,station,5.7297547,51.8112191,POINT (5.7297547 51.8112191)
16,Diensthalte,tram_stop,5.9075431,52.0084996,POINT (5.9075431 52.0084996)
17,Landgoed,tram_stop,5.9128030,52.0086802,POINT (5.912803 52.0086802)
18,Entree,tram_stop,5.9074663,52.0101206,POINT (5.9074663 52.0101206)
19,Erven,tram_stop,5.9089048,52.0120834,POINT (5.9089048 52.0120834)
20,Lint - Tuinen,tram_stop,5.9145699,52.0099989,POINT (5.9145699 52.0099989)
21,Platteland,tram_stop,5.9140919,52.0116118,POINT (5.9140919 52.0116118)
22,Dorp,tram_stop,5.9117079,52.0120402,POINT (5.9117079 52.0120402)
23,Westervoort,station,5.9692518,51.9629903,POINT (5.9692518 51.9629903)
24,Beekbergen,station,5.9866783,52.1599795,POINT (5.9866783 52.1599795)
25,Immenbergweg,station,6.0039910,52.1482881,POINT (6.003991 52.1482881)
26,Loenen,station,6.0293573,52.1293679,POINT (6.0293573 52.1293679)
27,Apeldoorn,station,5.9697859,52.2089862,POINT (5.9697859 52.2089862)
