,name,type,x,y,geometry
0,Openbare Bibliotheek,library,6.9570287,52.9883544,POINT (6.9570287 52.9883544)
1,De Tamarisk,school,6.5626032,53.2014967,POINT (6.5626032 53.2014967)
2,OBS Prinses Beatrix,school,6.7406455,53.3335513,POINT (6.7406455 53.3335513)
3,Cbs De Bron,school,7.0275627,53.2755040,POINT (7.0275627 53.275504)
4,OBS De Bouwsteen,school,7.0816443,53.1865782,POINT (7.0816443 53.1865782)
5,Noorderpoort College Euroborg,college,6.5927346,53.2064087,POINT (6.5927346 53.2064087)
6,Groninger Archieven,library,6.5606836,53.2118136,POINT (6.5606836 53.2118136)
7,OBS Abt Emo,school,6.7110458,53.3453610,POINT (6.7110458 53.345361)
8,Luzac College,school,6.5662321,53.2172499,POINT (6.5662321 53.2172499)
9,MKD Cantersveen,school,6.6328412,53.1704199,POINT (6.6328412 53.1704199)
10,Bibliotheek Haren,library,6.6055380,53.1732298,POINT (6.605538 53.1732298)
11,CBS De Borg,school,6.6204806,53.1765319,POINT (6.6204806 53.1765319)
12,OBS De Wissel,school,6.6271830,53.1720893,POINT (6.627183 53.1720893)
13,Jenaplanschool Peter Petersen,school,6.6135527,53.1772008,POINT (6.6135527 53.1772008)
14,Mytylschool Prins Johan Friso,school,6.5969928,53.1853407,POINT (6.5969928 53.1853407)
15,Zernike College - Harens Lyceym,school,6.6144990,53.1775239,POINT (6.614499 53.1775239)
16,Bibliotheek Warffum,library,6.5533901,53.3918428,POINT (6.5533901 53.3918428)
17,Bibliotheek,library,6.5141149,53.3634121,POINT (6.5141149 53.3634121)
18,Bibliotheek Uithuizen,library,6.6768382,53.4061469,POINT (6.6768382 53.4061469)
19,Erasmusschool,school,6.5452119,53.2119274,POINT (6.5452119 53.2119274)
20,SWS de Zoutkamperril,school,6.3077242,53.3373087,POINT (6.3077242 53.3373087)
21,Pinokkio Peuterspeelzaal,kindergarten,6.3026853,53.3376480,POINT (6.3026853 53.337648)
22,Bibliotheek Oude Schans,library,6.9268466,53.3300842,POINT (6.9268466 53.3300842)
23,SWS de Gavelander,school,6.4383209,53.1993402,POINT (6.4383209 53.1993402)
24,Openbare Basisschool Onnema,school,6.6812755,53.3856688,POINT (6.6812755 53.3856688)
25,Samenwerkingsschool Meeroevers,school,6.6564030,53.2197944,POINT (6.656403 53.2197944)
26,OB Groningen filiaal Hoogkerk,library,6.5033773,53.2056575,POINT (6.5033773 53.2056575)
27,Bibliotheek Zuidhorn,library,6.4033804,53.2445961,POINT (6.4033804 53.2445961)
28,Bibliotheek Finsterwolde,library,7.0817392,53.1864827,POINT (7.0817392 53.1864827)
29,CBS Annewieke,school,6.9680178,53.1732158,POINT (6.9680178 53.1732158)
30,Eexterbasisschool,school,6.9753851,53.1721445,POINT (6.9753851 53.1721445)
31,Dollard College,school,7.0241150,53.1511596,POINT (7.024115 53.1511596)
32,Dollard College,school,7.0236840,53.1512514,POINT (7.023684 53.1512514)
33,OBS de Kleine Dollard,school,7.0330656,53.1572788,POINT (7.0330656 53.1572788)
34,Open Universiteit,university,6.5531445,53.2041494,POINT (6.5531445 53.2041494)
35,van heemskerckschool,school,6.7578457,53.1617440,POINT (6.7578457 53.161744)
36,,kindergarten,6.7576526,53.1617247,POINT (6.7576526 53.1617247)
37,Brederoschool,school,6.5718762,53.1893086,POINT (6.5718762 53.1893086)
38,CBS De meander,school,6.5369302,53.2940982,POINT (6.5369302 53.2940982)
39,Bibliotheek en VVV,library,6.6960079,53.2766876,POINT (6.6960079 53.2766876)
40,Digital Society Hub,university,6.5344112,53.2447961,POINT (6.5344112 53.2447961)
41,Faculty of Science and Engineering,university,6.5378718,53.2386274,POINT (6.5378718 53.2386274)
42,SKSG Lancelot,kindergarten,6.5065470,53.2309529,POINT (6.506547 53.2309529)
43,Noorderpoort,college,6.5286213,53.2181555,POINT (6.5286213 53.2181555)
44,Simon van Hasselt,school,6.5282480,53.2186947,POINT (6.528248 53.2186947)
45,CBS De Hoeksteen,school,6.5252068,53.2247611,POINT (6.5252068 53.2247611)
46,SKSG Toermalijn,kindergarten,6.5247058,53.2247984,POINT (6.5247058 53.2247984)
47,Groninger Forum Vinkhuizen,library,6.5249567,53.2248388,POINT (6.5249567 53.2248388)
48,OBS De Ploeg,school,6.5073008,53.2084958,POINT (6.5073008 53.2084958)
49,SKSG Toverlantaarn Christoffel,kindergarten,6.5584328,53.2009876,POINT (6.5584328 53.2009876)
50,Het Helpernest,kindergarten,6.5803362,53.1972636,POINT (6.5803362 53.1972636)
51,Klavertje 6,kindergarten,6.5639552,53.1950586,POINT (6.5639552 53.1950586)
52,Groningse Schoolvereniging,school,6.5756866,53.1968219,POINT (6.5756866 53.1968219)
53,SKSG DoReMi,kindergarten,6.5838699,53.2042802,POINT (6.5838699 53.2042802)
54,Joseph Haydnschool,school,6.5853988,53.2001221,POINT (6.5853988 53.2001221)
55,Noorderpoort College,college,6.5861146,53.2095126,POINT (6.5861146 53.2095126)
56,Kinderopvang Poppejans,kindergarten,6.6292989,53.2317959,POINT (6.6292989 53.2317959)
57,Kinderopvang Poppejans,kindergarten,6.6266713,53.2315904,POINT (6.6266713 53.2315904)
58,Kinderopvang Poppejans,kindergarten,6.6348232,53.2330799,POINT (6.6348232 53.2330799)
59,CSG De Kluiverboom,school,6.6068098,53.2345799,POINT (6.6068098 53.2345799)
60,Werkman VMBO,school,6.6072275,53.2340214,POINT (6.6072275 53.2340214)
61,Heyerdahl College,school,6.6076895,53.2336585,POINT (6.6076895 53.2336585)
62,Hamertje Tik,kindergarten,6.5870946,53.2475942,POINT (6.5870946 53.2475942)
63,SKSG Rode Pimpernel,kindergarten,6.5941779,53.2477283,POINT (6.5941779 53.2477283)
