,name,type,x,y,geometry
0,Kinepolis Groningen,cinema,6.5904946,53.2057697,POINT (6.5904946 53.2057697)
1,Theater Geert Teis,theatre,6.9531889,52.9900226,POINT (6.9531889 52.9900226)
2,Smoky,cinema,6.9514899,52.9895919,POINT (6.9514899 52.9895919)
3,Pathe,cinema,6.5660355,53.2143098,POINT (6.5660355 53.2143098)
4,NNT,theatre,6.5689309,53.2235983,POINT (6.5689309 53.2235983)
5,Kruithuis,theatre,6.5722772,53.2209405,POINT (6.5722772 53.2209405)
6,VRIJDAG theater,theatre,6.5589512,53.2280685,POINT (6.5589512 53.2280685)
7,USVA,theatre,6.5621875,53.2154566,POINT (6.5621875 53.2154566)
8,Noorderlicht,arts_centre,6.5632163,53.2164504,POINT (6.5632163 53.2164504)
9,Platformtheater,theatre,6.5641319,53.2240259,POINT (6.5641319 53.2240259)
10,De Molenberg,theatre,6.9262885,53.3303412,POINT (6.9262885 53.3303412)
11,Grand Theatre,theatre,6.5686783,53.2182818,POINT (6.5686783 53.2182818)
12,ORKZ-bios,cinema,6.5817440,53.1976556,POINT (6.581744 53.1976556)
13,Vera / Club for the International Pop Underground,theatre,6.5700870,53.2170549,POINT (6.570087 53.2170549)
14,Galerie Het Raadhuis,arts_centre,6.4577863,53.3637938,POINT (6.4577863 53.3637938)
15,Onderneming op Kunstgebied,arts_centre,6.6117156,53.2114996,POINT (6.6117156 53.2114996)
16,De Oosterpoort,theatre,6.5759285,53.2142393,POINT (6.5759285 53.2142393)
17,Grafisch Centrum Groningen,arts_centre,6.5776325,53.2113393,POINT (6.5776325 53.2113393)
18,Het Viadukt,arts_centre,6.6001050,53.2194344,POINT (6.600105 53.2194344)
19,Galerie Mooi Man,arts_centre,6.5588461,53.2289162,POINT (6.5588461 53.2289162)
20,Klassieke Academie,arts_centre,6.5837497,53.2312836,POINT (6.5837497 53.2312836)
21,Y2,arts_centre,6.5905926,53.2223374,POINT (6.5905926 53.2223374)
22,Jeugdcircus Santelli,theatre,6.5825315,53.2217179,POINT (6.5825315 53.2217179)
23,Le petit théâtre,theatre,6.5676704,53.2239877,POINT (6.5676704 53.2239877)
24,VRIJDAG kunstencentrum,arts_centre,6.5715600,53.2221880,POINT (6.57156 53.222188)
25,Institut français in Groningen,arts_centre,6.5619778,53.2190892,POINT (6.5619778 53.2190892)
26,VRIJDAG,arts_centre,6.5704788,53.2194430,POINT (6.5704788 53.219443)
27,Andledon,theatre,6.5132850,53.3914063,POINT (6.513285 53.3914063)
28,'t Waarhuis,arts_centre,6.4678137,53.3196310,POINT (6.4678137 53.319631)
29,,theatre,6.4652940,53.3064892,POINT (6.465294 53.3064892)
30,Onderneming Op Kunstgebied,arts_centre,6.6194304,53.1702322,POINT (6.6194304 53.1702322)
31,Bernleftheater,theatre,6.6161717,53.3926819,POINT (6.6161717 53.3926819)
32,Kunsthuis Oal Eer,arts_centre,6.8155361,53.3729519,POINT (6.8155361 53.3729519)
33,Theater vanBeresteyn,theatre,6.8762488,53.1075353,POINT (6.8762488 53.1075353)
34,Openluchttheater Leek,theatre,6.3925556,53.1654474,POINT (6.3925556 53.1654474)
35,Centrum Cabzeël,theatre,6.8604692,53.3211037,POINT (6.8604692 53.3211037)
36,Der Aa Theater,theatre,6.5624110,53.2174244,POINT (6.562411 53.2174244)
37,Vue Hoogezand,cinema,6.7558606,53.1546455,POINT (6.7558606 53.1546455)
38,Baron,theatre,6.1991128,53.1744136,POINT (6.1991128 53.1744136)
39,Cultuur historisch centrum Oldambt,arts_centre,6.9721849,53.1761874,POINT (6.9721849 53.1761874)
40,Forum Groningen,cinema,6.5699939,53.2189665,POINT (6.5699939 53.2189665)
41,MartiniPlaza,theatre,6.5540124,53.2022688,POINT (6.5540124 53.2022688)
42,Klassieke Academie voor Beeldende Kunst,arts_centre,6.5617487,53.2168605,POINT (6.5617487 53.2168605)
