,name,type,x,y,geometry
0,De Verbetering,dentist,6.5092579,53.2081758,POINT (6.5092579 53.2081758)
1,Dierenziekenhuis Groningen,veterinary,6.5698029,53.2078640,POINT (6.5698029 53.207864)
2,Medisch Centrum de Vecht,doctors,6.5692654,53.2077302,POINT (6.5692654 53.2077302)
3,HuisartspraktijkHet Hogeland,doctors,6.7627617,53.4209213,POINT (6.7627617 53.4209213)
4,Huisartsenpraktijk Van Lune,doctors,6.7453758,53.3333858,POINT (6.7453758 53.3333858)
5,A. Booij huisarts,doctors,6.7468156,53.3341276,POINT (6.7468156 53.3341276)
6,Huisartsen Boterdiep,doctors,6.5621149,53.2263612,POINT (6.5621149 53.2263612)
7,Dijkstra Tandheelkunde,dentist,6.5296755,53.2257081,POINT (6.5296755 53.2257081)
8,A.F. Bruining-Gelderblom,dentist,6.5284318,53.3379308,POINT (6.5284318 53.3379308)
9,Tandartspraktijk Baflo,dentist,6.5138529,53.3631438,POINT (6.5138529 53.3631438)
10,Huisartsen Reitdiep,doctors,6.4417793,53.3090880,POINT (6.4417793 53.309088)
11,,doctors,6.3016005,53.3395059,POINT (6.3016005 53.3395059)
12,Huisartsenpraktijk Baflo,doctors,6.5136368,53.3636802,POINT (6.5136368 53.3636802)
13,Huisartsenpraktijk Winsum,doctors,6.5285256,53.3285195,POINT (6.5285256 53.3285195)
14,Huisartsenpraktijk Warffum,doctors,6.5632517,53.3923644,POINT (6.5632517 53.3923644)
15,Gezondheidscentrum,doctors,6.9699479,53.1744089,POINT (6.9699479 53.1744089)
16,Gezondheidscentrum Grootegast,doctors,6.2774477,53.2131072,POINT (6.2774477 53.2131072)
17,Huisartsengroepspraktijk Hommesplein,doctors,7.0399440,53.1458366,POINT (7.039944 53.1458366)
18,Huisartsenpraktijk van Eenrum,doctors,6.4578388,53.3633067,POINT (6.4578388 53.3633067)
19,MaxiDier,veterinary,6.5633545,53.2386540,POINT (6.5633545 53.238654)
20,Huisartsen De Vuursteen,doctors,6.5325198,53.2268816,POINT (6.5325198 53.2268816)
21,Tandartspraktijk Vinkhuizen,dentist,6.5211571,53.2318913,POINT (6.5211571 53.2318913)
22,Huisartsenpraktijk Smith,doctors,6.5094035,53.2047311,POINT (6.5094035 53.2047311)
23,Huisartsenpraktijk Boddeus & Steenbergen,doctors,6.5075722,53.2024266,POINT (6.5075722 53.2024266)
24,Tandartspraktijk Kooistra,dentist,6.4975495,53.2105540,POINT (6.4975495 53.210554)
25,Dierenkliniek,veterinary,6.5088741,53.2082033,POINT (6.5088741 53.2082033)
26,OMC HanzeKliniek,clinic,6.5447212,53.1913452,POINT (6.5447212 53.1913452)
27,HartKliniek,clinic,6.5461785,53.1900097,POINT (6.5461785 53.1900097)
28,Tandartspraktijk DTG,dentist,6.5599617,53.2006112,POINT (6.5599617 53.2006112)
29,De Kattenkliniek,veterinary,6.5676689,53.1982807,POINT (6.5676689 53.1982807)
30,Tandartspraktijk M. de Groot,dentist,6.5675525,53.1986075,POINT (6.5675525 53.1986075)
31,Tandartspraktijk Schepman-Drenth,dentist,6.5860817,53.1930874,POINT (6.5860817 53.1930874)
32,Mondzorg Noord,dentist,6.6128476,53.2063532,POINT (6.6128476 53.2063532)
33,tandartspraktijk B.J. Tuik,dentist,6.6155624,53.2415416,POINT (6.6155624 53.2415416)
34,tandartsenpraktijk Lewenborg,dentist,6.6113496,53.2319174,POINT (6.6113496 53.2319174)
35,Huisartsen Beijum,doctors,6.5950639,53.2477320,POINT (6.5950639 53.247732)
36,Dierenartspraktijk Beijum,veterinary,6.5905423,53.2465952,POINT (6.5905423 53.2465952)
37,Tandheelkundig Team Beijum,dentist,6.5945751,53.2479365,POINT (6.5945751 53.2479365)
38,Tandartspraktijk de Hunze,dentist,6.5783592,53.2450928,POINT (6.5783592 53.2450928)
39,Jorien Kiewiet Mondhygiënist,dentist,6.6020479,53.2266528,POINT (6.6020479 53.2266528)
40,Praktijk voor mondhygiene Selma Burrekers,dentist,6.6030430,53.2334716,POINT (6.603043 53.2334716)
41,tandartsen Dethmers en Munneke,dentist,6.5977195,53.2332628,POINT (6.5977195 53.2332628)
42,Tandartspraktijk Meijer & Meijer,dentist,6.5542445,53.2379570,POINT (6.5542445 53.237957)
43,Dierenkliniek Eikenlaan,veterinary,6.5488849,53.2322381,POINT (6.5488849 53.2322381)
