,name,type,x,y,geometry
0,McDonald's,fast_food,6.8798279,53.3186404,POINT (6.8798279 53.3186404)
1,Mr. Mofongo,cafe,6.5641350,53.2193887,POINT (6.564135 53.2193887)
2,Het Booze Wijf,restaurant,6.2110181,53.4039880,POINT (6.2110181 53.403988)
3,Restaurant De Ruiten Aa,restaurant,7.1382513,52.9545003,POINT (7.1382513 52.9545003)
4,Poort van Groningen,restaurant,7.2153975,53.1788151,POINT (7.2153975 53.1788151)
5,Cafetaria Gruno,fast_food,6.5446558,53.2156333,POINT (6.5446558 53.2156333)
6,Pelukan - De Omhelzing,fast_food,6.5449286,53.2156991,POINT (6.5449286 53.2156991)
7,Papipa,restaurant,6.5089011,53.2066119,POINT (6.5089011 53.2066119)
8,Ou Hai,restaurant,6.5553289,53.2122045,POINT (6.5553289 53.2122045)
9,La Trattoria,restaurant,6.5557607,53.2122527,POINT (6.5557607 53.2122527)
10,Sassenhein,cafe,6.6084157,53.1579571,POINT (6.6084157 53.1579571)
11,,restaurant,6.3902150,53.1619981,POINT (6.390215 53.1619981)
12,Gasterij De Driesprong,restaurant,6.8087435,53.2173973,POINT (6.8087435 53.2173973)
13,Eetcafé Neptunus,restaurant,6.3302568,53.3597542,POINT (6.3302568 53.3597542)
14,Westerhof,cafe,6.5977883,53.2260089,POINT (6.5977883 53.2260089)
15,,restaurant,6.4049442,53.3871718,POINT (6.4049442 53.3871718)
16,Zondag Noorderplantsoen,restaurant,6.5556094,53.2245342,POINT (6.5556094 53.2245342)
17,De zevende hemel,restaurant,6.5630194,53.2233081,POINT (6.5630194 53.2233081)
18,Visrestaurant Landman,restaurant,7.0412278,53.2985394,POINT (7.0412278 53.2985394)
19,Old Inn,pub,7.0304058,53.2725592,POINT (7.0304058 53.2725592)
20,De Drie Uiltjes,pub,6.5664190,53.2205676,POINT (6.566419 53.2205676)
21,Quick'n tasty,fast_food,6.5677489,53.2078502,POINT (6.5677489 53.2078502)
22,Restaurant de Ringweg,restaurant,6.5955080,53.2118647,POINT (6.595508 53.2118647)
23,Julia's,fast_food,6.5650926,53.2109245,POINT (6.5650926 53.2109245)
24,Bij Bob,fast_food,6.5503414,53.2355171,POINT (6.5503414 53.2355171)
25,Paviljoen Appelbergen,cafe,6.6395672,53.1365413,POINT (6.6395672 53.1365413)
26,De Kornuiten,restaurant,6.5557796,53.2121179,POINT (6.5557796 53.2121179)
27,Ons Moeke,fast_food,6.5559434,53.2119070,POINT (6.5559434 53.211907)
28,Welkom,fast_food,6.5025170,53.2130247,POINT (6.502517 53.2130247)
29,Harry's Café,pub,6.6482948,53.2075848,POINT (6.6482948 53.2075848)
30,Hoek,fast_food,6.5688649,53.2182837,POINT (6.5688649 53.2182837)
31,'t Pakhuis,bar,6.5711590,53.2179544,POINT (6.571159 53.2179544)
32,Hasret,fast_food,6.5577031,53.2165469,POINT (6.5577031 53.2165469)
33,Café De Beurs,cafe,6.5638943,53.2166259,POINT (6.5638943 53.2166259)
34,Paul’s snacks en broodjes,fast_food,6.6038640,53.1725562,POINT (6.603864 53.1725562)
35,Pizzaria Ristorante Sa Cappana,restaurant,6.6016559,53.1736739,POINT (6.6016559 53.1736739)
36,Frietambt,fast_food,7.0468044,53.1436059,POINT (7.0468044 53.1436059)
37,,fast_food,6.8657863,53.0856143,POINT (6.8657863 53.0856143)
38,,fast_food,6.8589911,53.0957956,POINT (6.8589911 53.0957956)
39,Wok Golden City,restaurant,6.8618348,53.0960195,POINT (6.8618348 53.0960195)
40,De Rode Loper,restaurant,6.9872833,52.9865526,POINT (6.9872833 52.9865526)
41,Cafetaria The Corner,fast_food,6.5764755,53.2288201,POINT (6.5764755 53.2288201)
42,Na Sao,fast_food,6.5479534,53.2209411,POINT (6.5479534 53.2209411)
43,Hong Fong,restaurant,7.0847982,52.8495625,POINT (7.0847982 52.8495625)
44,Eetcounter de Banjer,fast_food,6.5001753,53.2160524,POINT (6.5001753 53.2160524)
45,Smulhuis Zuiderweg,restaurant,6.5010408,53.2155609,POINT (6.5010408 53.2155609)
46,Eetcafé de Stadstuin,restaurant,6.5723539,53.2092880,POINT (6.5723539 53.209288)
47,Veerhuis,fast_food,6.8325111,53.4567464,POINT (6.8325111 53.4567464)
48,De Negende Cirkel,bar,6.5706544,53.2182137,POINT (6.5706544 53.2182137)
49,Huize Maas,bar,6.5645896,53.2168220,POINT (6.5645896 53.216822)
50,Shooters,bar,6.5707023,53.2181100,POINT (6.5707023 53.21811)
51,Sunny Beach,bar,6.5710832,53.2172533,POINT (6.5710832 53.2172533)
52,Max,fast_food,6.5707443,53.2180579,POINT (6.5707443 53.2180579)
53,24/7,pub,6.5636775,53.2165946,POINT (6.5636775 53.2165946)
54,De Drie Gezusters,pub,6.5683210,53.2182667,POINT (6.568321 53.2182667)
55,Stadtlander,cafe,6.5711668,53.2183038,POINT (6.5711668 53.2183038)
56,Streetlife,pub,6.5710519,53.2176511,POINT (6.5710519 53.2176511)
57,Chupitos,cafe,6.5706047,53.2180028,POINT (6.5706047 53.2180028)
58,Warhol,bar,6.5702904,53.2174683,POINT (6.5702904 53.2174683)
59,Het Feest,bar,6.5705477,53.2180876,POINT (6.5705477 53.2180876)
60,Dokjard,restaurant,6.5570918,53.2198466,POINT (6.5570918 53.2198466)
61,The Dog’s Bollocks,pub,6.5646362,53.2193748,POINT (6.5646362 53.2193748)
62,De Kaptein,fast_food,6.5707357,53.2275297,POINT (6.5707357 53.2275297)
63,Napoli,restaurant,6.5585019,53.2166875,POINT (6.5585019 53.2166875)
64,De Kleine Moghul,restaurant,6.5591567,53.2240823,POINT (6.5591567 53.2240823)
65,het Vinkennest,fast_food,6.5291627,53.2256053,POINT (6.5291627 53.2256053)
66,Vinkenbar,pub,6.5294007,53.2256563,POINT (6.5294007 53.2256563)
67,Der Witz,pub,6.5671516,53.2180034,POINT (6.5671516 53.2180034)
