,name,type,x,y,geometry
0,Melkweg,bus_stop,6.8389717,53.3916247,POINT (6.8389717 53.3916247)
1,Elzenlaan,bus_stop,6.5487892,53.2320967,POINT (6.5487892 53.2320967)
2,Brandweer,bus_stop,6.5905902,53.2189146,POINT (6.5905902 53.2189146)
3,IKEA,bus_stop,6.5867545,53.2175538,POINT (6.5867545 53.2175538)
4,Noorderplantsoen,bus_stop,6.5602958,53.2274072,POINT (6.5602958 53.2274072)
5,Nijenborgh,bus_stop,6.5358932,53.2403015,POINT (6.5358932 53.2403015)
6,Verlengde Visserstraat,bus_stop,6.5563622,53.2179668,POINT (6.5563622 53.2179668)
7,Metaallaan,bus_stop,6.5295489,53.2211743,POINT (6.5295489 53.2211743)
8,Goudlaan,bus_stop,6.5351736,53.2222019,POINT (6.5351736 53.2222019)
9,Het Roege Bos,bus_stop,6.5183878,53.2228471,POINT (6.5183878 53.2228471)
10,Verzetstrijderslaan,bus_stop,6.5497128,53.2094380,POINT (6.5497128 53.209438)
11,Paal 7,bus_stop,6.8062301,53.0906121,POINT (6.8062301 53.0906121)
12,Paal 7,bus_stop,6.8053177,53.0921544,POINT (6.8053177 53.0921544)
13,Overwinningsplein,bus_stop,6.5577709,53.1980795,POINT (6.5577709 53.1980795)
14,Corpus den Hoorn Zuid,bus_stop,6.5556091,53.1944880,POINT (6.5556091 53.194488)
15,Verzetstrijderslaan,bus_stop,6.5502418,53.2094756,POINT (6.5502418 53.2094756)
16,Botanicuslaan,bus_stop,6.5990505,53.1774935,POINT (6.5990505 53.1774935)
17,Scholthuizen,bus_stop,6.8750811,53.1174868,POINT (6.8750811 53.1174868)
18,Brug Westerbroek,bus_stop,6.6802243,53.1789935,POINT (6.6802243 53.1789935)
19,Brug Westerbroek,bus_stop,6.6831323,53.1782634,POINT (6.6831323 53.1782634)
20,Paterswoldseweg,bus_stop,6.5569839,53.2102757,POINT (6.5569839 53.2102757)
21,Paterswoldseweg,bus_stop,6.5575025,53.2102007,POINT (6.5575025 53.2102007)
22,Borgweg,bus_stop,6.3346769,53.3593409,POINT (6.3346769 53.3593409)
23,Atoomweg,bus_stop,6.5392464,53.2129306,POINT (6.5392464 53.2129306)
24,Abeelstraat,bus_stop,6.5532963,53.2321245,POINT (6.5532963 53.2321245)
25,Station Noord,bus_stop,6.5556647,53.2299665,POINT (6.5556647 53.2299665)
26,Zwaagweg,bus_stop,7.0283861,53.2732849,POINT (7.0283861 53.2732849)
27,A E Weg,bus_stop,7.0277404,53.2677717,POINT (7.0277404 53.2677717)
28,AE Gorterweg,bus_stop,7.0316665,53.2757042,POINT (7.0316665 53.2757042)
29,Riouwstraat,bus_stop,6.5625994,53.2274245,POINT (6.5625994 53.2274245)
30,Floresplein,bus_stop,6.5714251,53.2314382,POINT (6.5714251 53.2314382)
31,Grote Beerstraat,bus_stop,6.5445789,53.2269814,POINT (6.5445789 53.2269814)
32,Winkelcentrum Paddepoel,bus_stop,6.5430874,53.2283268,POINT (6.5430874 53.2283268)
33,De Trefkoel,bus_stop,6.5414696,53.2312847,POINT (6.5414696 53.2312847)
34,Kometenstraat,bus_stop,6.5395726,53.2343730,POINT (6.5395726 53.234373)
35,Crematoriumlaan,bus_stop,6.5375240,53.2380147,POINT (6.537524 53.2380147)
