,name,type,x,y,geometry
0,Stadskanaal,station,6.9356835,52.9962170,POINT (6.9356835 52.996217)
1,Appingedam,station,6.8620060,53.3257678,POINT (6.862006 53.3257678)
2,Bareveld,station,6.8502230,53.0535756,POINT (6.850223 53.0535756)
3,Veendam,station,6.8849785,53.1039225,POINT (6.8849785 53.1039225)
4,Groningen,station,6.5641028,53.2109237,POINT (6.5641028 53.2109237)
5,Wildervank,station,6.8707393,53.0838251,POINT (6.8707393 53.0838251)
6,Haren,station,6.6180871,53.1748630,POINT (6.6180871 53.174863)
7,Zuidhorn,station,6.4067456,53.2481468,POINT (6.4067456 53.2481468)
8,Winschoten,station,7.0356099,53.1391510,POINT (7.0356099 53.139151)
9,Groningen Noord,station,6.5565819,53.2301283,POINT (6.5565819 53.2301283)
10,Groningen Europapark,station,6.5858210,53.2047056,POINT (6.585821 53.2047056)
11,Martenshoek,station,6.7405089,53.1608102,POINT (6.7405089 53.1608102)
12,Kropswolde,station,6.7229343,53.1615882,POINT (6.7229343 53.1615882)
13,Sauwerd,station,6.5404090,53.2915652,POINT (6.540409 53.2915652)
14,Bedum,station,6.5927288,53.3069316,POINT (6.5927288 53.3069316)
15,Warffum,station,6.5668637,53.3901502,POINT (6.5668637 53.3901502)
16,Winsum,station,6.5203056,53.3300930,POINT (6.5203056 53.330093)
17,Usquert,station,6.6095178,53.4009642,POINT (6.6095178 53.4009642)
18,Stedum,station,6.6873925,53.3263606,POINT (6.6873925 53.3263606)
19,Loppersum,station,6.7474514,53.3347918,POINT (6.7474514 53.3347918)
20,Delfzijl West,station,6.9070228,53.3320112,POINT (6.9070228 53.3320112)
21,Delfzijl,station,6.9237352,53.3337339,POINT (6.9237352 53.3337339)
22,Roodeschool,station,6.7583767,53.4210157,POINT (6.7583767 53.4210157)
23,Baflo,station,6.5188465,53.3610540,POINT (6.5188465 53.361054)
24,Uithuizen,station,6.6746834,53.4096293,POINT (6.6746834 53.4096293)
25,Uithuizermeeden,station,6.7202534,53.4139462,POINT (6.7202534 53.4139462)
26,Eemshaven,station,6.8308031,53.4586109,POINT (6.8308031 53.4586109)
27,Hoogezand-Sappemeer,station,6.7709176,53.1597953,POINT (6.7709176 53.1597953)
28,Scheemda,station,6.9779590,53.1654348,POINT (6.977959 53.1654348)
29,Zuidbroek,station,6.8667625,53.1593423,POINT (6.8667625 53.1593423)
30,Veendam,station,6.8862686,53.1049958,POINT (6.8862686 53.1049958)
31,Bad Nieuweschans,station,7.2005246,53.1847702,POINT (7.2005246 53.1847702)
32,Grijpskerk,station,6.3098856,53.2557864,POINT (6.3098856 53.2557864)
33,Nieuw Buinen,station,6.9668054,52.9688917,POINT (6.9668054 52.9688917)
