,name,type,x,y,geometry
0,Stella Maris College,college,5.8259460,50.8735208,POINT (5.825946 50.8735208)
1,Universiteitsbibliotheek,library,5.6902818,50.8445507,POINT (5.6902818 50.8445507)
2,Kreeftje,school,5.6793437,50.9707897,POINT (5.6793437 50.9707897)
3,Department of Knowledge Engineering,university,5.6874182,50.8471314,POINT (5.6874182 50.8471314)
4,De Regenboog,school,5.4392889,51.2469646,POINT (5.4392889 51.2469646)
5,St@rtbaan,school,5.3416866,50.9920841,POINT (5.3416866 50.9920841)
6,De Kleurdoos,school,5.3637932,50.9920320,POINT (5.3637932 50.992032)
7,Bibliotheek Tongeren,library,5.4618415,50.7756846,POINT (5.4618415 50.7756846)
8,Openbare Bibliotheek Voerendaal,library,5.9273594,50.8821417,POINT (5.9273594 50.8821417)
9,Gesubsidieerde Vrije Basisschool Bokrijk,school,5.4220775,50.9537745,POINT (5.4220775 50.9537745)
10,Bibliotheek Venlo,library,6.1700734,51.3694814,POINT (6.1700734 51.3694814)
11,,school,5.9296382,50.7973150,POINT (5.9296382 50.797315)
12,Kiekeboe,kindergarten,6.0344240,51.2275282,POINT (6.034424 51.2275282)
13,Basisschool Sint Pieter,school,5.6911667,50.8371505,POINT (5.6911667 50.8371505)
14,Provinciale Secundaire School,school,5.7550519,50.7535199,POINT (5.7550519 50.7535199)
15,,school,5.7287747,50.8476818,POINT (5.7287747 50.8476818)
16,De Bibliotheek Maasbree,library,6.0477799,51.3573961,POINT (6.0477799 51.3573961)
17,,library,5.4851862,50.8501450,POINT (5.4851862 50.850145)
18,Gesubsidieerde Vrije Basisschool Hoeselt,school,5.4826300,50.8502396,POINT (5.48263 50.8502396)
19,"Gemeentelijke basisschool Piringen ""De Zevensprong""",school,5.4223005,50.7847514,POINT (5.4223005 50.7847514)
20,Vrije basisschool Jeugdland (Lauw),school,5.4154334,50.7403445,POINT (5.4154334 50.7403445)
21,Broederschool,school,5.5163419,50.8732951,POINT (5.5163419 50.8732951)
22,,school,5.7208185,51.0119296,POINT (5.7208185 51.0119296)
23,cnme,school,5.6797039,50.8515473,POINT (5.6797039 50.8515473)
24,Basisschool de Krullevaer,school,6.0340649,51.4105952,POINT (6.0340649 51.4105952)
25,R.K. Lambertusschool,school,5.8014833,51.1665385,POINT (5.8014833 51.1665385)
26,,school,5.8114654,51.1888553,POINT (5.8114654 51.1888553)
27,,school,5.8185636,51.1712395,POINT (5.8185636 51.1712395)
28,Gemeentelijke Basisschool Alken,school,5.3076731,50.8749947,POINT (5.3076731 50.8749947)
29,'t Schommelbootje,school,5.3027782,50.8755422,POINT (5.3027782 50.8755422)
30,Gemeentelijke Openbare Bibliotheek,library,5.3069249,50.8730167,POINT (5.3069249 50.8730167)
31,Vrije Basisschool 't Laantje,school,5.3077108,50.8745478,POINT (5.3077108 50.8745478)
32,,school,5.7309677,50.7624607,POINT (5.7309677 50.7624607)
33,Bernardinus,school,5.9846578,50.8820008,POINT (5.9846578 50.8820008)
34,Bibliotheek Hechtel,library,5.3633116,51.1253297,POINT (5.3633116 51.1253297)
35,Op gen Hei basisschool,school,6.0274373,50.9087711,POINT (6.0274373 50.9087711)
36,,school,5.5176462,51.0960307,POINT (5.5176462 51.0960307)
37,,school,5.5179681,51.0952828,POINT (5.5179681 51.0952828)
38,,school,5.5185904,51.0954512,POINT (5.5185904 51.0954512)
39,Maria Goretti,school,5.9773834,51.6985523,POINT (5.9773834 51.6985523)
40,,school,5.9791464,51.6871640,POINT (5.9791464 51.687164)
41,Yuverta vmbo Horst,school,6.0374818,51.4295790,POINT (6.0374818 51.429579)
42,Dendron college,school,6.0492977,51.4643982,POINT (6.0492977 51.4643982)
43,Openbare Bibliotheek Roermond,library,5.9857281,51.1942990,POINT (5.9857281 51.194299)
44,ROER College Schöndeln,school,6.0016111,51.1707674,POINT (6.0016111 51.1707674)
45,OBS De Perroen,school,5.7283513,50.8265563,POINT (5.7283513 50.8265563)
46,OBS Binnenstad,school,5.6930252,50.8449352,POINT (5.6930252 50.8449352)
47,Toneelacademie,school,5.6876698,50.8464803,POINT (5.6876698 50.8464803)
48,Basisschool Driehoeven,school,5.4926130,51.0036847,POINT (5.492613 51.0036847)
49,Basisschool Op de Top,school,5.9636514,50.7884117,POINT (5.9636514 50.7884117)
50,Brede School,school,6.0140576,50.7752613,POINT (6.0140576 50.7752613)
51,De Vlinderboom,school,5.7328412,50.8398988,POINT (5.7328412 50.8398988)
52,Basisschool de Regenboog,school,5.7217997,50.8506564,POINT (5.7217997 50.8506564)
