,name,type,x,y,geometry
0,Dok 6,theatre,5.9806827,51.3283715,POINT (5.9806827 51.3283715)
1,Dok 6,cinema,5.9806856,51.3282709,POINT (5.9806856 51.3282709)
2,Lumière,cinema,5.6911022,50.8566802,POINT (5.6911022 50.8566802)
3,Royal Theater BV,cinema,5.9910426,51.1926789,POINT (5.9910426 51.1926789)
4,Euroscoop,cinema,5.4921654,50.9816704,POINT (5.4921654 50.9816704)
5,Openluchttheater De Doolhof,theatre,6.1458686,51.3378349,POINT (6.1458686 51.3378349)
6,Theater Heerlen,theatre,5.9724748,50.8865573,POINT (5.9724748 50.8865573)
7,UGC,cinema,5.3082706,51.2318148,POINT (5.3082706 51.2318148)
8,Adelberg,theatre,5.3082461,51.2321147,POINT (5.3082461 51.2321147)
9,"Keramiek Galerie & Atelier ""Groot Welsden""",arts_centre,5.8165955,50.8305437,POINT (5.8165955 50.8305437)
10,Theater Landgraaf,theatre,6.0508851,50.9175509,POINT (6.0508851 50.9175509)
11,'t Raodhoes,theatre,6.1527720,51.3654760,POINT (6.152772 51.365476)
12,Cultureel Centrum Peer,theatre,5.4494192,51.1320409,POINT (5.4494192 51.1320409)
13,Quatro Cinema,cinema,5.9785607,50.8871445,POINT (5.9785607 50.8871445)
14,"Cultureel Centrum ""De Markthallen""",theatre,5.1659504,50.9400918,POINT (5.1659504 50.9400918)
15,de binger,theatre,5.8883999,51.3432424,POINT (5.8883999 51.3432424)
16,Luxor Venray,cinema,5.9734620,51.5248729,POINT (5.973462 51.5248729)
17,Schouwburg Venray,theatre,5.9737094,51.5251416,POINT (5.9737094 51.5251416)
18,Openluchttheater Bourgogne (voormalig),theatre,5.8442842,50.9324668,POINT (5.8442842 50.9324668)
19,Filmhuis De Spiegel/Royal,cinema,5.9753954,50.8898919,POINT (5.9753954 50.8898919)
20,Jerusalem,arts_centre,5.9751710,51.5297103,POINT (5.975171 51.5297103)
21,Zaal Pica Mari,theatre,5.9764242,51.6991816,POINT (5.9764242 51.6991816)
22,ASTA Cultuurcentrum,theatre,5.7954173,50.9402933,POINT (5.7954173 50.9402933)
23,,arts_centre,5.6768822,50.8484579,POINT (5.6768822 50.8484579)
24,Theater aan het Vrijthof,theatre,5.6879791,50.8502223,POINT (5.6879791 50.8502223)
25,Bonbonniere,theatre,5.6917086,50.8479140,POINT (5.6917086 50.847914)
26,Intro,theatre,5.6870346,50.8514886,POINT (5.6870346 50.8514886)
27,D'n Hook,arts_centre,5.8600834,51.0658323,POINT (5.8600834 51.0658323)
28,Cultureel Centrum De Borenburg,arts_centre,5.9267751,50.8821526,POINT (5.9267751 50.8821526)
29,Vue,cinema,6.0032082,50.8578752,POINT (6.0032082 50.8578752)
30,Gotcha! Cinema Weert,cinema,5.7055047,51.2558244,POINT (5.7055047 51.2558244)
31,Buurtcentrum Moesel,arts_centre,5.7112575,51.2444679,POINT (5.7112575 51.2444679)
32,Munttheater,theatre,5.7046882,51.2539916,POINT (5.7046882 51.2539916)
33,Forum Sittard,theatre,5.8656968,50.9967871,POINT (5.8656968 50.9967871)
34,Toon Hermans Theater,theatre,5.8612019,50.9987922,POINT (5.8612019 50.9987922)
35,CityCinema Venlo,cinema,6.1718920,51.3685994,POINT (6.171892 51.3685994)
36,De Maaspoort,theatre,6.1678835,51.3703643,POINT (6.1678835 51.3703643)
37,Filmtheater De Nieuwe Scene,cinema,6.1695426,51.3685045,POINT (6.1695426 51.3685045)
38,Domani,theatre,6.1696691,51.3679653,POINT (6.1696691 51.3679653)
39,Foroxity Filmarena,cinema,5.9859636,51.1982763,POINT (5.9859636 51.1982763)
40,Theaterhotel De Oranjerie,theatre,5.9896043,51.1916778,POINT (5.9896043 51.1916778)
41,Luxor,cinema,6.0786033,51.2838374,POINT (6.0786033 51.2838374)
42,Royal Echt,cinema,5.8707359,51.1019785,POINT (5.8707359 51.1019785)
43,Theater Kerkrade,theatre,6.0622307,50.8661339,POINT (6.0622307 50.8661339)
44,De Schakel,theatre,6.0809697,51.2828921,POINT (6.0809697 51.2828921)
45,Openluchttheater Velden,theatre,6.1745208,51.4291272,POINT (6.1745208 51.4291272)
46,De Muziekgieterij,theatre,5.6907465,50.8570178,POINT (5.6907465 50.8570178)
47,Openluchttheater Valkenburg,theatre,5.8254886,50.8646141,POINT (5.8254886 50.8646141)
48,Walkino,cinema,5.5961227,51.1422749,POINT (5.5961227 51.1422749)
49,Breughelzaal,theatre,5.6003852,51.1410413,POINT (5.6003852 51.1410413)
50,Theaterzaal Gildenzaal,theatre,5.4177564,50.9073595,POINT (5.4177564 50.9073595)
51,The Roxy Theatre,cinema,5.2723591,51.0572251,POINT (5.2723591 51.0572251)
52,,theatre,5.9286056,50.7955293,POINT (5.9286056 50.7955293)
53,De Reppe,arts_centre,5.4296939,51.2116759,POINT (5.4296939 51.2116759)
54,Magiezijn,theatre,5.9829972,51.3976594,POINT (5.9829972 51.3976594)
55,Toos Tovershow,theatre,5.9861574,51.3971165,POINT (5.9861574 51.3971165)
56,De Nieuwe Zaal - Nieuwstedelijk,theatre,5.3418325,50.9301599,POINT (5.3418325 50.9301599)
57,De Binnentuin,theatre,5.6912600,50.8573101,POINT (5.69126 50.8573101)
58,Bioscoop Cinema Cameo,cinema,5.1872373,50.8125480,POINT (5.1872373 50.812548)
59,Nos Jungunt Rosae,theatre,6.1617129,51.4692097,POINT (6.1617129 51.4692097)
60,De Bunker,arts_centre,5.4297962,51.2115401,POINT (5.4297962 51.2115401)
61,Breed,arts_centre,5.4918116,50.9872846,POINT (5.4918116 50.9872846)
