,name,type,x,y,geometry
0,,veterinary,5.2754535,51.1673410,POINT (5.2754535 51.167341)
1,Pantaleon Gezondheidscentrum,clinic,5.9710678,51.3289635,POINT (5.9710678 51.3289635)
2,Sterk & De Jong,doctors,6.0380699,51.2288747,POINT (6.0380699 51.2288747)
3,Tandartsenpraktijk Groenen,dentist,6.0371835,51.2291540,POINT (6.0371835 51.229154)
4,Zorgcentrum Juliana,clinic,5.8282256,50.8684123,POINT (5.8282256 50.8684123)
5,Dr. Schutyser,doctors,5.3601172,51.1257466,POINT (5.3601172 51.1257466)
6,Huisartsenpraktijk 'De Zorgboom',doctors,5.3622574,51.1235514,POINT (5.3622574 51.1235514)
7,Bvba Henckens-Agten,dentist,5.4549078,51.1298011,POINT (5.4549078 51.1298011)
8,Habets,doctors,5.7660962,50.7949404,POINT (5.7660962 50.7949404)
9,,dentist,6.0111409,51.2017388,POINT (6.0111409 51.2017388)
10,Dr. Kampil,doctors,5.4533151,50.7768503,POINT (5.4533151 50.7768503)
11,Huisartsenwachtpost,doctors,5.3406639,50.9259348,POINT (5.3406639 50.9259348)
12,,doctors,5.4182907,50.9366898,POINT (5.4182907 50.9366898)
13,Zuyderland Kerkrade,clinic,6.0607227,50.8661334,POINT (6.0607227 50.8661334)
14,Nieuw Huys,doctors,6.0457905,51.4498487,POINT (6.0457905 51.4498487)
15,Dokter De Laat & Vliegen,doctors,5.4402696,51.2243791,POINT (5.4402696 51.2243791)
16,,dentist,5.8547545,51.0641521,POINT (5.8547545 51.0641521)
17,Huisartsenpost OZL,clinic,5.9766440,50.8696047,POINT (5.976644 50.8696047)
18,Huisartsenpraktijk Grubbenvorst,doctors,6.1459474,51.4197826,POINT (6.1459474 51.4197826)
19,Dierenarts Bruckers,veterinary,5.7422730,51.1454585,POINT (5.742273 51.1454585)
20,Verloskundigenpraktijk Grevenbicht e.o.,clinic,5.7812279,51.0354898,POINT (5.7812279 51.0354898)
21,Tandartspraktijk Bongaerts,dentist,5.7921637,50.9415566,POINT (5.7921637 50.9415566)
22,Dierenkliniek 't Hoogveld,veterinary,5.8922207,51.1011092,POINT (5.8922207 51.1011092)
23,Sint Jans Gasthuis,hospital,5.7132511,51.2546458,POINT (5.7132511 51.2546458)
24,Reizigerskliniek Dr. P de Beer,clinic,5.7165469,50.8575799,POINT (5.7165469 50.8575799)
25,Back2Balance,clinic,5.7964571,50.9376797,POINT (5.7964571 50.9376797)
26,Tandprothetisch centr. E. Houben,dentist,5.7970951,50.9404029,POINT (5.7970951 50.9404029)
27,J. Kusters,veterinary,5.7060882,50.8317336,POINT (5.7060882 50.8317336)
28,Dierenkliniek Boskamp,veterinary,5.7905549,50.9390023,POINT (5.7905549 50.9390023)
29,Guy Ernon,doctors,5.7508168,50.7611004,POINT (5.7508168 50.7611004)
30,Huisartsenpraktijk Reinoud,doctors,5.8555705,51.0642567,POINT (5.8555705 51.0642567)
31,Huisartsenpraktijk Wijnhoven,doctors,5.8529850,51.0647575,POINT (5.852985 51.0647575)
32,Huisartsenpraktijk Macco,doctors,5.8506952,51.0627828,POINT (5.8506952 51.0627828)
33,Dierenarts Hilde Witters,veterinary,5.4563510,51.1311297,POINT (5.456351 51.1311297)
34,DAP Argus,veterinary,5.5066085,50.9679639,POINT (5.5066085 50.9679639)
35,Bergers-Holdorp,doctors,5.8899283,51.1018731,POINT (5.8899283 51.1018731)
36,Medisch Centrum Sittard Oost,doctors,5.8892207,50.9973247,POINT (5.8892207 50.9973247)
37,,veterinary,6.0095947,51.1996905,POINT (6.0095947 51.1996905)
38,Philippe Hauglustaine,veterinary,5.3283968,50.9277657,POINT (5.3283968 50.9277657)
39,Mitralis Diagnostisch Centrum,clinic,6.0075049,50.8572165,POINT (6.0075049 50.8572165)
40,Huisartsen,doctors,5.1598801,50.9412186,POINT (5.1598801 50.9412186)
41,Huisartsenpraktijk De Meerkant,doctors,5.1945375,50.9534068,POINT (5.1945375 50.9534068)
42,Huisartsen Buitenlust,doctors,5.9858568,51.5381667,POINT (5.9858568 51.5381667)
43,Tandheelkunde Venray,dentist,5.9860263,51.5382162,POINT (5.9860263 51.5382162)
44,Tandartspraktijk de Brier,dentist,5.9805953,51.5165449,POINT (5.9805953 51.5165449)
45,Huisartsenpraktijk Antoniusveld,doctors,5.9917792,51.5284577,POINT (5.9917792 51.5284577)
46,MC de Wieënhof,doctors,5.9803306,51.5158667,POINT (5.9803306 51.5158667)
47,Tandartspraktijk Prime Dent,dentist,5.9773949,51.5289998,POINT (5.9773949 51.5289998)
48,Orthodontistenpraktijk Venray,dentist,5.9818816,51.5318053,POINT (5.9818816 51.5318053)
49,Tandartsenpraktijk Venray,dentist,5.9788652,51.5268873,POINT (5.9788652 51.5268873)
