,name,type,x,y,geometry
0,Burger King,fast_food,6.0881405,51.3970999,POINT (6.0881405 51.3970999)
1,McDonald's,fast_food,6.1694200,51.3704481,POINT (6.16942 51.3704481)
2,Jo Gerris hal,cafe,6.0097266,51.1940225,POINT (6.0097266 51.1940225)
3,Slices,pub,5.3392672,50.9311267,POINT (5.3392672 50.9311267)
4,'t Dwaallicht,pub,5.3394465,50.9301984,POINT (5.3394465 50.9301984)
5,De Club,cafe,5.4390455,51.2461401,POINT (5.4390455 51.2461401)
6,Dionysos,restaurant,5.8293405,50.8625648,POINT (5.8293405 50.8625648)
7,'t Cadetje,restaurant,5.8317604,50.8630009,POINT (5.8317604 50.8630009)
8,Frituur Pierrot,fast_food,5.4600481,50.7800502,POINT (5.4600481 50.7800502)
9,Brouwershuis,cafe,5.1467788,51.1012539,POINT (5.1467788 51.1012539)
10,De Snelle Vlucht,pub,5.1637841,51.1040096,POINT (5.1637841 51.1040096)
11,La Place,restaurant,5.9850710,51.3795627,POINT (5.985071 51.3795627)
12,De Turfhoeve,restaurant,5.9834933,51.3785645,POINT (5.9834933 51.3785645)
13,Retro Velinx,restaurant,5.4630763,50.7755935,POINT (5.4630763 50.7755935)
14,Ambi Kwik,fast_food,5.4605802,50.7803270,POINT (5.4605802 50.780327)
15,'t Poorthuis,pub,5.4712664,50.7792821,POINT (5.4712664 50.7792821)
16,'t Marktcafe,pub,5.4637143,50.7804445,POINT (5.4637143 50.7804445)
17,Gerechtshof,pub,5.4650417,50.7803641,POINT (5.4650417 50.7803641)
18,Het Hof,pub,5.4654339,50.7800773,POINT (5.4654339 50.7800773)
19,De Ezel...,pub,5.4653507,50.7800401,POINT (5.4653507 50.7800401)
20,Moustache,cafe,5.4682122,50.7818962,POINT (5.4682122 50.7818962)
21,'t Sweert,cafe,5.4679255,50.7822581,POINT (5.4679255 50.7822581)
22,De Kempen,cafe,5.4678398,50.7823340,POINT (5.4678398 50.782334)
23,Infirmerie,restaurant,5.4695626,50.7788009,POINT (5.4695626 50.7788009)
24,Frituur Camping Colmont,fast_food,5.9343093,50.8521623,POINT (5.9343093 50.8521623)
25,De Leuf,restaurant,5.9521683,50.8526226,POINT (5.9521683 50.8526226)
26,Le Montagnard,restaurant,5.9477184,50.8534820,POINT (5.9477184 50.853482)
27,Cafetaria Ubachsberg,fast_food,5.9474117,50.8532361,POINT (5.9474117 50.8532361)
28,The Pub,pub,5.4633421,50.7809827,POINT (5.4633421 50.7809827)
29,Ben's Cafe,pub,5.4632118,50.7808870,POINT (5.4632118 50.780887)
30,Cafe Central,pub,5.4631499,50.7808631,POINT (5.4631499 50.7808631)
31,Au Phare,cafe,5.4630103,50.7804075,POINT (5.4630103 50.7804075)
32,Café Doré,pub,5.4634909,50.7803247,POINT (5.4634909 50.7803247)
