,name,type,x,y,geometry
0,Rijksweg/Veldstraat,bus_stop,5.7266621,50.8370150,POINT (5.7266621 50.837015)
1,Schey,bus_stop,5.8219321,50.7735791,POINT (5.8219321 50.7735791)
2,Bergstraat,bus_stop,5.8058252,50.7944398,POINT (5.8058252 50.7944398)
3,Daalhemerweg,bus_stop,5.8184387,50.8483327,POINT (5.8184387 50.8483327)
4,Pastoor Theelenstraat,bus_stop,6.0224950,50.8602984,POINT (6.022495 50.8602984)
5,Heerlerweg,bus_stop,5.9422297,50.8750456,POINT (5.9422297 50.8750456)
6,Overheek,bus_stop,5.8706129,50.8821887,POINT (5.8706129 50.8821887)
7,Wiegershof,bus_stop,5.6946368,50.8827037,POINT (5.6946368 50.8827037)
8,Hartelstein,bus_stop,5.7116324,50.8922876,POINT (5.7116324 50.8922876)
9,Luiperbeekstraat,bus_stop,5.9161918,50.8997479,POINT (5.9161918 50.8997479)
10,Hellebroekerweg,bus_stop,5.8851990,50.9066329,POINT (5.885199 50.9066329)
11,Hommerterweg,bus_stop,5.9220633,50.9335724,POINT (5.9220633 50.9335724)
12,Kroonwiel,bus_stop,5.7108260,51.2637843,POINT (5.710826 51.2637843)
13,"Nederweert, Carpool",bus_stop,5.7364886,51.2811622,POINT (5.7364886 51.2811622)
14,Loo,bus_stop,6.0075313,51.3377045,POINT (6.0075313 51.3377045)
15,Postweg,bus_stop,6.1960241,51.3595275,POINT (6.1960241 51.3595275)
16,Maashofpark,bus_stop,6.1307346,51.3713886,POINT (6.1307346 51.3713886)
17,Turfhoeve,bus_stop,5.9840391,51.3808383,POINT (5.9840391 51.3808383)
18,Witte Vennenweg,bus_stop,6.0248583,51.5212570,POINT (6.0248583 51.521257)
19,Oostsingel,bus_stop,5.9855207,51.5222681,POINT (5.9855207 51.5222681)
20,Gemeentehuis,bus_stop,5.8819687,51.7507481,POINT (5.8819687 51.7507481)
21,Rijksweg/Veldweg,bus_stop,5.8767385,51.7552078,POINT (5.8767385 51.7552078)
22,Meidoornstraat,bus_stop,5.8080496,50.9829833,POINT (5.8080496 50.9829833)
23,Kerk,bus_stop,5.8098760,50.7897460,POINT (5.809876 50.789746)
24,Kerkhoven Maaldersweg,bus_stop,5.2777884,51.1681533,POINT (5.2777884 51.1681533)
25,Eksel Marktplein kapel,bus_stop,5.3869620,51.1487857,POINT (5.386962 51.1487857)
26,Eksel Splitsing,bus_stop,5.3909058,51.1531035,POINT (5.3909058 51.1531035)
27,Herk-de-Stad Gemeenschapsschool,bus_stop,5.1660479,50.9388545,POINT (5.1660479 50.9388545)
28,Herk-de-Stad TI Amandina,bus_stop,5.1680737,50.9393632,POINT (5.1680737 50.9393632)
29,Schulen Weg op Beringen,bus_stop,5.1781224,50.9448547,POINT (5.1781224 50.9448547)
30,Schulen Sint-Jansstraat,bus_stop,5.1783780,50.9538512,POINT (5.178378 50.9538512)
31,Schulen Kerk,bus_stop,5.1771823,50.9563231,POINT (5.1771823 50.9563231)
32,Schulen Station,bus_stop,5.1848624,50.9641440,POINT (5.1848624 50.964144)
33,Lummen Pastoor Winterstraat,bus_stop,5.1906934,50.9815187,POINT (5.1906934 50.9815187)
34,Lummen Het Klaverblad,bus_stop,5.1977075,50.9951948,POINT (5.1977075 50.9951948)
35,Herk-de-Stad Zeven Heldenlaan,bus_stop,5.1507478,50.9430724,POINT (5.1507478 50.9430724)
36,Donk Grote Baan,bus_stop,5.1438143,50.9443950,POINT (5.1438143 50.944395)
37,Linkhout Vlootbrug,bus_stop,5.1161761,50.9604005,POINT (5.1161761 50.9604005)
38,Zelem Heidestraat,bus_stop,5.1157500,50.9654662,POINT (5.11575 50.9654662)
39,Zelem Kruisstraat,bus_stop,5.1166918,50.9726057,POINT (5.1166918 50.9726057)
40,Zelem Stationstraat,bus_stop,5.1172050,50.9764784,POINT (5.117205 50.9764784)
41,Zelem Station,bus_stop,5.1223996,50.9781881,POINT (5.1223996 50.9781881)
42,Zelem Meldertsestraat,bus_stop,5.1264663,50.9820223,POINT (5.1264663 50.9820223)
43,Zelem Tuinwijkstraat,bus_stop,5.1277931,50.9856028,POINT (5.1277931 50.9856028)
44,Zelem Bakelstraat,bus_stop,5.1262795,50.9894964,POINT (5.1262795 50.9894964)
45,Meldert Otterberg,bus_stop,5.1285461,50.9930396,POINT (5.1285461 50.9930396)
46,Meldert Langendries,bus_stop,5.1353152,50.9957913,POINT (5.1353152 50.9957913)
47,Engsbergen Vlassen,bus_stop,5.0630640,51.0270321,POINT (5.063064 51.0270321)
48,Engsbergen Lindenstraat,bus_stop,5.0527115,51.0340786,POINT (5.0527115 51.0340786)
49,Tessenderlo Ponderosa,bus_stop,5.0524905,51.0409022,POINT (5.0524905 51.0409022)
50,Tessenderlo Jagersweg,bus_stop,5.0501346,51.0505715,POINT (5.0501346 51.0505715)
51,Tessenderlo Zavelberg,bus_stop,5.0481670,51.0541833,POINT (5.048167 51.0541833)
52,Schoot Baan,bus_stop,5.0444415,51.0595808,POINT (5.0444415 51.0595808)
53,Schoot Kruispunt,bus_stop,5.0387381,51.0680450,POINT (5.0387381 51.068045)
54,Wilderen Militaire Wijk,bus_stop,5.1422747,50.8117353,POINT (5.1422747 50.8117353)
55,Sint-Truiden Leeuwerweg,bus_stop,5.1511151,50.8126047,POINT (5.1511151 50.8126047)
56,Sint-Truiden S.T.V.V.,bus_stop,5.1672496,50.8143418,POINT (5.1672496 50.8143418)
57,Diepenbeek Universiteit,bus_stop,5.3914303,50.9267507,POINT (5.3914303 50.9267507)
58,Boschstraat/Markt,bus_stop,5.6900623,50.8525973,POINT (5.6900623 50.8525973)
59,Boschstraat/Maagdendries,bus_stop,5.6898801,50.8545300,POINT (5.6898801 50.85453)
60,Berg Kerk,bus_stop,5.7836599,50.8599312,POINT (5.7836599 50.8599312)
61,Berg Kerk,bus_stop,5.7848172,50.8600935,POINT (5.7848172 50.8600935)
62,Lindenstraat,bus_stop,5.7935736,50.8590673,POINT (5.7935736 50.8590673)
63,Lindenstraat,bus_stop,5.7936032,50.8589319,POINT (5.7936032 50.8589319)
64,Vinkenweg,bus_stop,5.8079518,50.8577375,POINT (5.8079518 50.8577375)
65,Vinkenweg,bus_stop,5.8072426,50.8576657,POINT (5.8072426 50.8576657)
66,Cauberg,bus_stop,5.8218772,50.8585237,POINT (5.8218772 50.8585237)
67,Cauberg,bus_stop,5.8219734,50.8582684,POINT (5.8219734 50.8582684)
68,Steenkolenmijn,bus_stop,5.8275867,50.8582028,POINT (5.8275867 50.8582028)
69,Steenkolenmijn,bus_stop,5.8273929,50.8577373,POINT (5.8273929 50.8577373)
70,Gasthuis,bus_stop,5.7874295,50.8433907,POINT (5.7874295 50.8433907)
71,Kwaadmechelen Autosnelweg,bus_stop,5.1234784,51.0883354,POINT (5.1234784 51.0883354)
72,Kwaadmechelen Processiestraat,bus_stop,5.1397217,51.0997363,POINT (5.1397217 51.0997363)
73,Kwaadmechelen Processiestraat,bus_stop,5.1400386,51.0997010,POINT (5.1400386 51.099701)
74,Kwaadmechelen Kerk,bus_stop,5.1470257,51.1015513,POINT (5.1470257 51.1015513)
75,Kwaadmechelen Kerk,bus_stop,5.1487948,51.1018532,POINT (5.1487948 51.1018532)
76,Oostham Weg op Station,bus_stop,5.1705399,51.1034329,POINT (5.1705399 51.1034329)
77,Louwel Weg naar Aartschouw,bus_stop,5.6268225,51.0560194,POINT (5.6268225 51.0560194)
78,Louwel Weg naar Dorne,bus_stop,5.6170162,51.0531242,POINT (5.6170162 51.0531242)
79,Opglabbeek Heerstraat,bus_stop,5.6004508,51.0497870,POINT (5.6004508 51.049787)
80,Wijer Kerk,bus_stop,5.2241769,50.8987516,POINT (5.2241769 50.8987516)
81,Wijer Weg naar Stevoort,bus_stop,5.2255448,50.9007529,POINT (5.2255448 50.9007529)
82,Bernardusplein,bus_stop,5.9476578,50.8519659,POINT (5.9476578 50.8519659)
83,Monseigneur Vranckenplein,bus_stop,5.6544044,50.8343896,POINT (5.6544044 50.8343896)
84,Medoclaan/Emilionlaan,bus_stop,5.6618621,50.8365445,POINT (5.6618621 50.8365445)
85,Medoclaan/Campagne,bus_stop,5.6677613,50.8390787,POINT (5.6677613 50.8390787)
86,Aramislaan,bus_stop,5.6736318,50.8393066,POINT (5.6736318 50.8393066)
87,St. Gerlach 2,bus_stop,5.8034260,50.8718064,POINT (5.803426 50.8718064)
88,St. Gerlach 2,bus_stop,5.8031175,50.8718711,POINT (5.8031175 50.8718711)
89,Strabeek Kapel,bus_stop,5.8113692,50.8717414,POINT (5.8113692 50.8717414)
90,Strabeek Kapel,bus_stop,5.8118156,50.8717341,POINT (5.8118156 50.8717341)
91,Kerkhoven Broekstraat,bus_stop,5.2782715,51.1615861,POINT (5.2782715 51.1615861)
