,name,type,x,y,geometry
0,Schin op Geul,station,5.8714734,50.8559809,POINT (5.8714734 50.8559809)
1,Heerlen,station,5.9751061,50.8908484,POINT (5.9751061 50.8908484)
2,Susteren,station,5.8629282,51.0609667,POINT (5.8629282 51.0609667)
3,Bilzen,station,5.5095108,50.8684996,POINT (5.5095108 50.8684996)
4,Meerssen,station,5.7506465,50.8827737,POINT (5.7506465 50.8827737)
5,Schinnen,station,5.8745796,50.9390309,POINT (5.8745796 50.9390309)
6,Neerpelt,station,5.4372387,51.2218575,POINT (5.4372387 51.2218575)
7,Wijlre,station,5.8980547,50.8330395,POINT (5.8980547 50.8330395)
8,Simpelveld,station,5.9784646,50.8315487,POINT (5.9784646 50.8315487)
9,Bocholtz,station,6.0055661,50.8170574,POINT (6.0055661 50.8170574)
10,Kerkrade ZLSM,station,6.0566467,50.8590632,POINT (6.0566467 50.8590632)
11,Valkenburg,station,5.8328817,50.8692901,POINT (5.8328817 50.8692901)
12,Nuth,station,5.8926700,50.9198085,POINT (5.89267 50.9198085)
13,Venray,station,6.0142546,51.5264540,POINT (6.0142546 51.526454)
14,Eygelshoven Markt,station,6.0577972,50.8961030,POINT (6.0577972 50.896103)
15,Heerlen Woonboulevard,station,5.9527975,50.8961435,POINT (5.9527975 50.8961435)
16,Roermond,station,5.9938511,51.1925659,POINT (5.9938511 51.1925659)
17,Sittard,station,5.8588913,51.0020038,POINT (5.8588913 51.0020038)
18,Weert,station,5.7041339,51.2486962,POINT (5.7041339 51.2486962)
19,Venlo,station,6.1714330,51.3650504,POINT (6.171433 51.3650504)
20,Blerick,station,6.1552960,51.3724162,POINT (6.155296 51.3724162)
21,Horst-Sevenum,station,6.0413246,51.4270926,POINT (6.0413246 51.4270926)
22,Maastricht,station,5.7052501,50.8501783,POINT (5.7052501 50.8501783)
23,Kerkrade Centrum,station,6.0572213,50.8613851,POINT (6.0572213 50.8613851)
24,Landgraaf,station,6.0196861,50.8964910,POINT (6.0196861 50.896491)
25,Tongeren,station,5.4735866,50.7840282,POINT (5.4735866 50.7840282)
26,Hasselt,station,5.3275497,50.9309341,POINT (5.3275497 50.9309341)
27,Alken,station,5.2925362,50.8867147,POINT (5.2925362 50.8867147)
28,Sint-Truiden,station,5.1759902,50.8172129,POINT (5.1759902 50.8172129)
29,Genk,station,5.4962955,50.9670710,POINT (5.4962955 50.967071)
30,Hamont,station,5.5425301,51.2461291,POINT (5.5425301 51.2461291)
31,Leopoldsburg,station,5.2580336,51.1173328,POINT (5.2580336 51.1173328)
32,Eygelshoven,station,6.0456023,50.8901122,POINT (6.0456023 50.8901122)
33,Chevremont,station,6.0595563,50.8762291,POINT (6.0595563 50.8762291)
34,Beek-Elsloo,station,5.7872368,50.9477918,POINT (5.7872368 50.9477918)
35,Maastricht Randwyck,station,5.7176213,50.8376341,POINT (5.7176213 50.8376341)
36,Hoensbroek,station,5.9302573,50.9055737,POINT (5.9302573 50.9055737)
37,Eijsden,station,5.7100788,50.7720454,POINT (5.7100788 50.7720454)
38,Mook Molenhoek,station,5.8789752,51.7665425,POINT (5.8789752 51.7665425)
39,Tegelen,station,6.1433761,51.3392858,POINT (6.1433761 51.3392858)
40,Reuver,station,6.0794073,51.2829798,POINT (6.0794073 51.2829798)
41,Swalmen,station,6.0315749,51.2354149,POINT (6.0315749 51.2354149)
42,Geleen Oost,station,5.8435398,50.9675045,POINT (5.8435398 50.9675045)
43,Geleen-Lutterade,station,5.8244583,50.9753479,POINT (5.8244583 50.9753479)
44,Echt,station,5.8788214,51.1001607,POINT (5.8788214 51.1001607)
45,Maastricht Noord,station,5.7175501,50.8705194,POINT (5.7175501 50.8705194)
46,Bunde,station,5.7366435,50.8967761,POINT (5.7366435 50.8967761)
47,Houthem-Sint Gerlach,station,5.7966263,50.8733866,POINT (5.7966263 50.8733866)
48,Voerendaal,station,5.9294168,50.8868406,POINT (5.9294168 50.8868406)
49,Klimmen-Ransdaal,station,5.8901666,50.8662625,POINT (5.8901666 50.8662625)
50,Schin op Geul,station,5.8720575,50.8562824,POINT (5.8720575 50.8562824)
51,Spaubeek,station,5.8495905,50.9434247,POINT (5.8495905 50.9434247)
