,name,type,x,y,geometry
0,Prins Willem Alexanderschool,school,5.0474497,51.6681381,POINT (5.0474497 51.6681381)
1,Willem van Oranje college,school,5.0518473,51.6831710,POINT (5.0518473 51.683171)
2,Bibliotheek TU/e,library,5.4875047,51.4478102,POINT (5.4875047 51.4478102)
3,OBS Brandevoort De Plaetse,school,5.6099596,51.4589022,POINT (5.6099596 51.4589022)
4,De Bundertjes,school,5.6610530,51.4988243,POINT (5.661053 51.4988243)
5,Basisschool Sint Trudo,school,5.6154542,51.4863001,POINT (5.6154542 51.4863001)
6,Jacob Roelandslyceum,school,5.3299547,51.5852699,POINT (5.3299547 51.5852699)
7,Sint Lucas,school,5.3267093,51.5862075,POINT (5.3267093 51.5862075)
8,St. Jozef,school,5.5216165,51.4925123,POINT (5.5216165 51.4925123)
9,,school,5.5263154,51.4488554,POINT (5.5263154 51.4488554)
10,Montessori school Oosterhout,school,4.8594368,51.6613865,POINT (4.8594368 51.6613865)
11,Basisschool Pater van der Geld,school,5.0663595,51.6798928,POINT (5.0663595 51.6798928)
12,Openbare basisschool van der Heijden,school,5.0661036,51.6798576,POINT (5.0661036 51.6798576)
13,ROC ter Aa,college,5.6578553,51.4866370,POINT (5.6578553 51.486637)
14,Vrije School Peelland,school,5.6582573,51.4886930,POINT (5.6582573 51.488693)
15,"Chr. Basisschool ""De Rank""",school,5.6624036,51.4898746,POINT (5.6624036 51.4898746)
16,Basisschool Dierdonk,school,5.6935045,51.4950536,POINT (5.6935045 51.4950536)
17,Basisschool 't Vijfblad,school,5.5594586,51.4293767,POINT (5.5594586 51.4293767)
18,St. Odulfusschool,school,5.6332515,51.4673093,POINT (5.6332515 51.4673093)
19,,school,5.6157064,51.4885258,POINT (5.6157064 51.4885258)
20,Wethouder van Eupenschool,school,5.4927608,51.4639259,POINT (5.4927608 51.4639259)
21,,school,5.6399189,51.5114688,POINT (5.6399189 51.5114688)
22,,school,5.6386013,51.5071199,POINT (5.6386013 51.5071199)
23,De Driehoek,school,5.6408102,51.5079001,POINT (5.6408102 51.5079001)
24,Wilhelminaschool,school,5.6465804,51.4855057,POINT (5.6465804 51.4855057)
25,Emiliusschool,school,5.4909185,51.5071668,POINT (5.4909185 51.5071668)
26,,school,5.5547458,51.4213776,POINT (5.5547458 51.4213776)
27,Theek5,library,4.8608678,51.6458408,POINT (4.8608678 51.6458408)
28,Sterrendonk,school,4.8660518,51.6559539,POINT (4.8660518 51.6559539)
29,Florijn College,school,4.8731027,51.6550624,POINT (4.8731027 51.6550624)
30,Rubenshof,school,4.8763246,51.6587872,POINT (4.8763246 51.6587872)
31,Den Omgang,school,5.6263838,51.7484782,POINT (5.6263838 51.7484782)
32,R.K. Basisschool De Windroos,school,5.5682487,51.4244876,POINT (5.5682487 51.4244876)
33,De Hobbit,kindergarten,5.5468646,51.4116255,POINT (5.5468646 51.4116255)
34,,library,4.6401207,51.5719569,POINT (4.6401207 51.5719569)
35,Driestam,school,5.4767361,51.4521359,POINT (5.4767361 51.4521359)
36,ROC,college,5.4947439,51.4667389,POINT (5.4947439 51.4667389)
37,Praktijkschool De Zwaaikom,school,4.8458794,51.6424346,POINT (4.8458794 51.6424346)
38,OBS de Pionier,school,4.8360068,51.6438650,POINT (4.8360068 51.643865)
39,De Meander,school,4.8357668,51.6522032,POINT (4.8357668 51.6522032)
40,Mgr. Frencken College,college,4.8586653,51.6346836,POINT (4.8586653 51.6346836)
41,Hanze Colege,college,4.8522391,51.6353939,POINT (4.8522391 51.6353939)
42,de Kameleon,school,4.8626925,51.6384316,POINT (4.8626925 51.6384316)
43,Praktijkschool Helmond,school,5.6801363,51.4815476,POINT (5.6801363 51.4815476)
44,voor- en basisschool St Jan,school,4.9020171,51.6443293,POINT (4.9020171 51.6443293)
45,De Ontdekking,school,4.8558024,51.6211170,POINT (4.8558024 51.621117)
46,Menorah,school,4.8448301,51.6253223,POINT (4.8448301 51.6253223)
47,De Beiaard,school,4.8441949,51.6250520,POINT (4.8441949 51.625052)
48,Erica's,kindergarten,5.5455041,51.4642735,POINT (5.5455041 51.4642735)
49,Basisschool De Schakel,school,5.4364822,51.4439869,POINT (5.4364822 51.4439869)
50,Hoogakker,school,5.4362900,51.7271846,POINT (5.43629 51.7271846)
51,OBS De Hasselbraam,school,5.8117218,51.4645988,POINT (5.8117218 51.4645988)
52,D'n Heiakker,school,5.8078415,51.4653130,POINT (5.8078415 51.465313)
53,O.B.S. De Wingerd,school,4.4320736,51.5109887,POINT (4.4320736 51.5109887)
54,Petrus en Paulusschool,school,4.3711163,51.6384943,POINT (4.3711163 51.6384943)
55,Peuterspeelzaal 'de Dobbelsteen',school,4.3705375,51.6383051,POINT (4.3705375 51.6383051)
56,Groen van Prinstererschool,school,4.3692415,51.6327222,POINT (4.3692415 51.6327222)
57,OBS de Regenboog,school,4.3646581,51.6378097,POINT (4.3646581 51.6378097)
58,OBS De Kleine beer,school,5.4010527,51.6752263,POINT (5.4010527 51.6752263)
59,Bibliotheek,library,5.4044808,51.6767117,POINT (5.4044808 51.6767117)
60,De Bolster,school,5.3376894,51.6415122,POINT (5.3376894 51.6415122)
61,De Bibliotheek Eindhoven,library,5.4744395,51.4390734,POINT (5.4744395 51.4390734)
62,Openbare Bibliotheek Eindhoven filiaal Gestel,library,5.4418057,51.4189154,POINT (5.4418057 51.4189154)
63,Rennevoirt,school,5.1404407,51.5831264,POINT (5.1404407 51.5831264)
64,Bibliotheek Son en Breugel,library,5.4938248,51.5099063,POINT (5.4938248 51.5099063)
65,Olof Palme,school,5.1229486,51.6828801,POINT (5.1229486 51.6828801)
66,Bibliotheek Boekel,library,5.6716203,51.6030201,POINT (5.6716203 51.6030201)
67,Obs De Krullevaar,school,4.9798357,51.6791420,POINT (4.9798357 51.679142)
68,Educatie en Inburgering,college,5.1000257,51.5770498,POINT (5.1000257 51.5770498)
69,,library,5.4581376,51.4114422,POINT (5.4581376 51.4114422)
70,De Rietvest,school,4.5370580,51.6625310,POINT (4.537058 51.662531)
71,Het Bastion,school,4.5304333,51.6646743,POINT (4.5304333 51.6646743)
72,CBS De Molenvliet,school,4.5390915,51.6673458,POINT (4.5390915 51.6673458)
73,Luzac College,school,5.3130727,51.6988704,POINT (5.3130727 51.6988704)
74,Basisschool Atalanta,school,5.4688990,51.4617600,POINT (5.468899 51.46176)
75,Jenaplanschool Antonius Abt,school,5.2556563,51.7287913,POINT (5.2556563 51.7287913)
76,Stichting Kinderopvang en PeuterPlus,school,5.7325093,51.7566513,POINT (5.7325093 51.7566513)
77,,school,4.4391864,51.5143038,POINT (4.4391864 51.5143038)
78,Het Makiezaat,library,4.2859508,51.4954501,POINT (4.2859508 51.4954501)
79,RKBS Achterberg,school,4.9502709,51.6231465,POINT (4.9502709 51.6231465)
80,Yuverta MBO Den Bosch,college,5.2834460,51.6860339,POINT (5.283446 51.6860339)
81,O.B.S. de Blaak,school,5.0452817,51.5459761,POINT (5.0452817 51.5459761)
82,,school,5.0899195,51.5719967,POINT (5.0899195 51.5719967)
83,Bibliotheek Hoogerheide,library,4.3255204,51.4232902,POINT (4.3255204 51.4232902)
84,Kinderdagverblijf Billies,kindergarten,5.4963157,51.4709359,POINT (5.4963157 51.4709359)
85,Christoffelschool Waalre,school,5.4917870,51.3954540,POINT (5.491787 51.395454)
86,,kindergarten,5.4863050,51.3964397,POINT (5.486305 51.3964397)
87,St Joris College,school,5.4888960,51.4110437,POINT (5.488896 51.4110437)
88,,kindergarten,5.4313898,51.6153239,POINT (5.4313898 51.6153239)
89,De Klimboom,school,5.3754249,51.5021758,POINT (5.3754249 51.5021758)
90,Dommeltoren,kindergarten,5.4623011,51.5687848,POINT (5.4623011 51.5687848)
91,RK Basisschool Oda,school,5.4617111,51.5688915,POINT (5.4617111 51.5688915)
92,Sint-Anthoniussschool Nijnsel,school,5.4872377,51.5516241,POINT (5.4872377 51.5516241)
93,Bibliotheek Veldhoven,library,5.4041785,51.4209084,POINT (5.4041785 51.4209084)
94,,school,4.6978212,51.5147613,POINT (4.6978212 51.5147613)
95,,library,4.6985830,51.5143874,POINT (4.698583 51.5143874)
96,De Bengelberg,kindergarten,5.4593615,51.4318336,POINT (5.4593615 51.4318336)
97,Theek 5 Rijen,library,4.9070978,51.5893378,POINT (4.9070978 51.5893378)
98,,kindergarten,4.9065400,51.5905159,POINT (4.90654 51.5905159)
99,Sint Jozefschool,school,4.9207858,51.5903965,POINT (4.9207858 51.5903965)
100,d'Uylenborch Lagere school,school,4.9591256,51.7717605,POINT (4.9591256 51.7717605)
101,Basisschool De Biezen,school,4.3973873,51.3621763,POINT (4.3973873 51.3621763)
102,Amaliaschool,school,5.3175945,51.5971510,POINT (5.3175945 51.597151)
103,Bibliotheek Best,library,5.3963636,51.5116031,POINT (5.3963636 51.5116031)
104,"basisschool ""de Zevensprong""",school,5.3951907,51.5066135,POINT (5.3951907 51.5066135)
105,OBS de Wildert,school,4.7384604,51.6226618,POINT (4.7384604 51.6226618)
106,Basisschool 't Oventje,school,5.6749518,51.6785094,POINT (5.6749518 51.6785094)
107,Centrum voor pop- en jazzonderwijs,school,5.4415599,51.4390547,POINT (5.4415599 51.4390547)
108,Fontys Hogeschool voor de Kunsten,university,5.0849215,51.5534014,POINT (5.0849215 51.5534014)
109,Basisschool De Zevensprong,school,5.4037494,51.5072449,POINT (5.4037494 51.5072449)
110,Basisschool Weilust,school,4.8196699,51.5866768,POINT (4.8196699 51.5866768)
111,Regionaal Archief Tilburg,library,5.0941016,51.5559157,POINT (5.0941016 51.5559157)
112,,school,5.3747631,51.5025766,POINT (5.3747631 51.5025766)
113,Bibliotheek Geldrop,library,5.5600526,51.4226798,POINT (5.5600526 51.4226798)
114,"Antonius Abt, locatie Engelerpark",school,5.2662972,51.7174177,POINT (5.2662972 51.7174177)
115,Kabouters,kindergarten,5.4769429,51.4650845,POINT (5.4769429 51.4650845)
116,Korein Kinderplein,kindergarten,5.4845374,51.4717489,POINT (5.4845374 51.4717489)
117,Kruimel Eindhoven,kindergarten,5.4788006,51.4707989,POINT (5.4788006 51.4707989)
118,Kinderdagverblijf De Bloemenkinderen,kindergarten,5.4801890,51.4923709,POINT (5.480189 51.4923709)
119,Kinderstad,kindergarten,5.4915260,51.3958586,POINT (5.491526 51.3958586)
120,Openbare basisschool Ekenrooi,school,5.4918656,51.3959719,POINT (5.4918656 51.3959719)
121,Stichting Peuterspeelzalen,school,5.4914951,51.3956833,POINT (5.4914951 51.3956833)
122,NBS de Burgst,school,4.7285834,51.6230578,POINT (4.7285834 51.6230578)
123,Basisschool De Schelp,school,5.4639189,51.4775056,POINT (5.4639189 51.4775056)
124,De wichelroede Bovenbouw,school,5.1406408,51.6099858,POINT (5.1406408 51.6099858)
125,Bibliotheek Udenhout,library,5.1425866,51.6097923,POINT (5.1425866 51.6097923)
126,De Wichelroede onderbouw,school,5.1354265,51.6087995,POINT (5.1354265 51.6087995)
127,peuterplaza,kindergarten,5.1400194,51.5832233,POINT (5.1400194 51.5832233)
128,de kleine wereld,kindergarten,5.1415322,51.5859333,POINT (5.1415322 51.5859333)
129,Bibliotheek VANnU Oud Gastel,library,4.4601522,51.5877437,POINT (4.4601522 51.5877437)
130,Educatiecentrum De Parasol,school,5.4004240,51.4108243,POINT (5.400424 51.4108243)
131,Het Palet,school,5.2537475,51.3696969,POINT (5.2537475 51.3696969)
132,J.J. Anspachschool,school,4.9366244,51.6223510,POINT (4.9366244 51.622351)
133,Theek 5,library,4.9263588,51.4414079,POINT (4.9263588 51.4414079)
134,De Akkerwinde,school,4.9263631,51.4465904,POINT (4.9263631 51.4465904)
135,Wijkcentrum Heyhoef,library,5.0055210,51.5785098,POINT (5.005521 51.5785098)
136,Tilburg University Library,library,5.0436445,51.5636360,POINT (5.0436445 51.563636)
137,BS Het Slingertouw,school,5.3987074,51.4374771,POINT (5.3987074 51.4374771)
138,Beertjeshuis,kindergarten,5.3992887,51.6832943,POINT (5.3992887 51.6832943)
139,Basisschool Jeroen Bosch,school,5.3422152,51.6961195,POINT (5.3422152 51.6961195)
140,Basisschool de Vlieger,school,5.3420542,51.6966879,POINT (5.3420542 51.6966879)
141,kinderdagverblijf 't Hooibergje,kindergarten,5.5858909,51.7350032,POINT (5.5858909 51.7350032)
142,Bibliotheek Reusel,library,5.1626081,51.3615374,POINT (5.1626081 51.3615374)
143,Bibliotheek Valkenswaard,library,5.4603938,51.3497590,POINT (5.4603938 51.349759)
144,Bibliotheek VANnU,library,4.5338537,51.6630103,POINT (4.5338537 51.6630103)
145,SBO Het Palet,school,4.5291321,51.6635936,POINT (4.5291321 51.6635936)
146,Autorijschool Elsenaar,driving_school,5.5495753,51.4252793,POINT (5.5495753 51.4252793)
147,KluppluZ,school,5.4536766,51.4309022,POINT (5.4536766 51.4309022)
148,Korein Kindcentrum Theresia Zeelsterstraat,school,5.4394109,51.4378346,POINT (5.4394109 51.4378346)
149,De Schakel,school,5.3870304,51.5064487,POINT (5.3870304 51.5064487)
150,Yuverta vmbo Eindhoven,school,5.4487083,51.4148712,POINT (5.4487083 51.4148712)
151,Prinsentuin van Cooth,school,4.7530411,51.5804135,POINT (4.7530411 51.5804135)
152,Curio Techniek en Technologie,college,4.7780558,51.6062543,POINT (4.7780558 51.6062543)
153,De Fontein,school,4.7920692,51.6055751,POINT (4.7920692 51.6055751)
154,Prinsentuin College,school,4.8027764,51.5998124,POINT (4.8027764 51.5998124)
155,Woelewippie,kindergarten,4.7707936,51.5971227,POINT (4.7707936 51.5971227)
156,Saltoschool De Startbaan,school,5.4115478,51.4425412,POINT (5.4115478 51.4425412)
157,Alhadaf,school,4.8073119,51.5907374,POINT (4.8073119 51.5907374)
158,OBS De Tweesprong,school,4.8138802,51.5892007,POINT (4.8138802 51.5892007)
159,Rijschool Look,driving_school,4.7647310,51.5866291,POINT (4.764731 51.5866291)
160,Bibliotheek Breda Noord,library,4.7432848,51.6238150,POINT (4.7432848 51.623815)
161,OBS Het Rondeel,school,5.3285339,51.6932746,POINT (5.3285339 51.6932746)
162,,kindergarten,5.4922430,51.4761608,POINT (5.492243 51.4761608)
163,Basisschool St. Antonius,school,5.3752607,51.5027300,POINT (5.3752607 51.50273)
164,Rijschool Peter Hoek,driving_school,5.3457427,51.7007562,POINT (5.3457427 51.7007562)
165,R.K. Basisschool De Heydonck,school,5.3748105,51.5019510,POINT (5.3748105 51.501951)
166,International School Eindhoven,school,5.4307856,51.4598267,POINT (5.4307856 51.4598267)
167,Kindergarden,kindergarten,4.8005810,51.5683455,POINT (4.800581 51.5683455)
168,Curio De Rotonde,college,4.7925964,51.5723895,POINT (4.7925964 51.5723895)
169,De Burchtgaarde,school,4.8085716,51.5707307,POINT (4.8085716 51.5707307)
170,Kbs Jacinta,school,4.7937474,51.5751869,POINT (4.7937474 51.5751869)
171,Openbare bibliotheek 's-Hertogenbosch Centrum,library,5.3079671,51.6888757,POINT (5.3079671 51.6888757)
172,Heerbeeck Junior College,school,5.3841422,51.5004805,POINT (5.3841422 51.5004805)
173,Heerbeeck College,school,5.3831417,51.5000761,POINT (5.3831417 51.5000761)
174,Jheronimus Academy of Data Science,university,5.2985396,51.6882045,POINT (5.2985396 51.6882045)
175,de Klokkebei,school,4.8059960,51.5463896,POINT (4.805996 51.5463896)
176,De Rosmolen,school,4.7995411,51.5475876,POINT (4.7995411 51.5475876)
177,KBS Petrus en Paulus,school,4.7675154,51.5762901,POINT (4.7675154 51.5762901)
178,,school,4.7651567,51.5760436,POINT (4.7651567 51.5760436)
179,AKV | St. Joost (Avans Hogeschool),university,4.8109620,51.5794365,POINT (4.810962 51.5794365)
180,CompaNanny,kindergarten,4.7867167,51.5681249,POINT (4.7867167 51.5681249)
181,Montessori+,school,4.7749284,51.5783737,POINT (4.7749284 51.5783737)
182,Kbs Laurentius,school,4.7875632,51.5705295,POINT (4.7875632 51.5705295)
183,Nutsbasisschool Boeimeer,school,4.7743897,51.5791063,POINT (4.7743897 51.5791063)
184,Altijd Lente Kinderopvang,kindergarten,4.7773414,51.5803628,POINT (4.7773414 51.5803628)
185,Nutsbasisschool Dirk van Veen,school,4.7868681,51.5773724,POINT (4.7868681 51.5773724)
186,Dr. de Visserschool,school,4.7801275,51.5701413,POINT (4.7801275 51.5701413)
187,De Zandberg,school,4.7891054,51.5780427,POINT (4.7891054 51.5780427)
188,Scala,school,4.8157441,51.6011156,POINT (4.8157441 51.6011156)
189,Koning Willen I College - Campus Onderwijsboulevard,college,5.2867530,51.6910315,POINT (5.286753 51.6910315)
190,De Regenboog,school,5.4964554,51.4216522,POINT (5.4964554 51.4216522)
191,Sprankel speciaal basisonderwijs,school,5.2737971,51.6944315,POINT (5.2737971 51.6944315)
192,SALTO-school De Klimboom Eindhoven,school,5.5002693,51.4260707,POINT (5.5002693 51.4260707)
193,Mytylschool Eindhoven,school,5.4536211,51.4888926,POINT (5.4536211 51.4888926)
194,EC Sparrenbos,school,5.3793544,51.7153132,POINT (5.3793544 51.7153132)
195,Korein Kinderplein,kindergarten,5.4600090,51.4322073,POINT (5.460009 51.4322073)
196,Kindergarden,kindergarten,5.4659912,51.4283731,POINT (5.4659912 51.4283731)
197,Yuverta vmbo Den Bosch,school,5.3247598,51.7029572,POINT (5.3247598 51.7029572)
198,Munnikenheide College,school,4.6614805,51.5712332,POINT (4.6614805 51.5712332)
199,Vincent van Goghschool,school,4.6369018,51.5729512,POINT (4.6369018 51.5729512)
200,Katholieke Scholengemeenschap Etten-Leur,school,4.6483577,51.5673701,POINT (4.6483577 51.5673701)
201,Pro College Boxmeer,school,5.9429449,51.6418052,POINT (5.9429449 51.6418052)
202,Metameer locatie Jenaplan Boxmeer,school,5.9440997,51.6405731,POINT (5.9440997 51.6405731)
203,Fonys Hogeschool,university,5.3114573,51.7048418,POINT (5.3114573 51.7048418)
204,Dekker,driving_school,5.4854125,51.4326676,POINT (5.4854125 51.4326676)
205,De Parel School,school,5.4020296,51.6774270,POINT (5.4020296 51.677427)
206,Life Dance,dancing_school,5.3728438,51.6568490,POINT (5.3728438 51.656849)
207,Van den Dungen Muziekproducties,music_school,5.3525431,51.6484163,POINT (5.3525431 51.6484163)
208,Design Academy Eindhoven,university,5.4748953,51.4397207,POINT (5.4748953 51.4397207)
209,Summa College,college,5.4963967,51.4665988,POINT (5.4963967 51.4665988)
210,Korein Kinderplein Urkhovenseweg,kindergarten,5.5225792,51.4447909,POINT (5.5225792 51.4447909)
211,'t Karregat,school,5.5223680,51.4446946,POINT (5.522368 51.4446946)
212,Rapenland,school,5.4792430,51.4640834,POINT (5.479243 51.4640834)
213,Maurick College,school,5.2806546,51.6509214,POINT (5.2806546 51.6509214)
214,Regina Coeli Taleninstituut,college,5.2784403,51.6512552,POINT (5.2784403 51.6512552)
215,Basisschool De Piramide,school,5.2857866,51.6534330,POINT (5.2857866 51.653433)
216,Basisschool De Schalm,school,5.2831669,51.6523526,POINT (5.2831669 51.6523526)
217,Zuiderbos,school,5.3028693,51.6465270,POINT (5.3028693 51.646527)
218,'t Kasteeltje,kindergarten,5.2962363,51.6489549,POINT (5.2962363 51.6489549)
219,'t Kasteeltje,kindergarten,5.2929915,51.6433520,POINT (5.2929915 51.643352)
220,Korein Kinderplein,kindergarten,5.4723097,51.4460329,POINT (5.4723097 51.4460329)
221,De Rooi Pannen,college,5.4758437,51.4563990,POINT (5.4758437 51.456399)
222,Basisschool Vinkenbos,school,4.6018327,51.5371817,POINT (4.6018327 51.5371817)
223,Bibliotheek Rucphen,library,4.5786417,51.5387389,POINT (4.5786417 51.5387389)
224,Munnikenheidecollege,school,4.5670385,51.5326071,POINT (4.5670385 51.5326071)
225,Mariadonk,school,4.5141297,51.5555022,POINT (4.5141297 51.5555022)
226,Openbare Bibliotheek De Meijerij,library,5.3253714,51.5875276,POINT (5.3253714 51.5875276)
227,Yuverta MBO Boxtel,college,5.3095036,51.5848845,POINT (5.3095036 51.5848845)
228,Bibliotheek Schijndel,library,5.4352126,51.6189580,POINT (5.4352126 51.618958)
229,Openbare basisschool De Springplank,school,5.4565204,51.5723391,POINT (5.4565204 51.5723391)
230,Basisschool Boskant,school,5.4228322,51.5502791,POINT (5.4228322 51.5502791)
231,Bibliotheek Heeswijk-Dinther,library,5.4744330,51.6500051,POINT (5.474433 51.6500051)
232,Bibliotheek Heesch,library,5.5280453,51.7341031,POINT (5.5280453 51.7341031)
233,Bibliotheek Nistelrode,library,5.5616320,51.7018340,POINT (5.561632 51.701834)
234,De Krommen Hoek,school,5.5059848,51.5173205,POINT (5.5059848 51.5173205)
235,Bibliotheek & UITpunt Veghel,library,5.5422706,51.6159543,POINT (5.5422706 51.6159543)
236,Het Markiezaat Bibliotheek,library,4.3714555,51.6365009,POINT (4.3714555 51.6365009)
237,De Ieme,school,5.5642064,51.6269733,POINT (5.5642064 51.6269733)
238,PABO Veghel,university,5.5622811,51.6208724,POINT (5.5622811 51.6208724)
239,"Bibliotheek Veghel, Servicepunt Zijtaart",library,5.5416807,51.5929740,POINT (5.5416807 51.592974)
240,"Bibliotheek Veghel, Servicepunt Keldonk",library,5.5871485,51.5872288,POINT (5.5871485 51.5872288)
241,"Bibliotheek Veghel, Servicepunt Boerdonk",library,5.6266316,51.5607190,POINT (5.6266316 51.560719)
242,Bibliotheek Erp,library,5.6055755,51.5993574,POINT (5.6055755 51.5993574)
243,OBS De Klimop,school,5.1621163,51.3675472,POINT (5.1621163 51.3675472)
244,Basisschool de Leilinde,school,5.1622330,51.3568820,POINT (5.162233 51.356882)
245,Rijschool Reniers,driving_school,5.1707892,51.3649210,POINT (5.1707892 51.364921)
246,Beestenboel,kindergarten,5.1355592,51.3522525,POINT (5.1355592 51.3522525)
247,De Torelaar,school,5.1667277,51.3665607,POINT (5.1667277 51.3665607)
248,Clemensschool,school,5.1784140,51.3881592,POINT (5.178414 51.3881592)
249,Tiat Europe,school,4.4461562,51.5439503,POINT (4.4461562 51.5439503)
250,,driving_school,4.4610287,51.5378761,POINT (4.4610287 51.5378761)
251,KPO Basisschool Jeroen Bosch,school,4.4583804,51.5357486,POINT (4.4583804 51.5357486)
252,Openbare Montessori Basisschool (OMBS) Ziezo,school,4.4800022,51.5202130,POINT (4.4800022 51.520213)
253,De Fakkel,school,4.4763033,51.5310902,POINT (4.4763033 51.5310902)
254,PCB De Kroevendonk,school,4.4683669,51.5173891,POINT (4.4683669 51.5173891)
255,KPO Basisschool Het Talent,school,4.4744228,51.5175881,POINT (4.4744228 51.5175881)
256,Rijschool Ildes,driving_school,4.4723800,51.5166099,POINT (4.47238 51.5166099)
257,KPO Basisschool Lavoor-Morelberg,school,4.4337774,51.5239644,POINT (4.4337774 51.5239644)
258,KPO Basisschool De Vlindertuin,school,4.4767492,51.5437149,POINT (4.4767492 51.5437149)
259,Bibliotheek West-Brabant,library,4.4548139,51.5332389,POINT (4.4548139 51.5332389)
260,KPO Basisschool Vondel,school,4.4539971,51.5215735,POINT (4.4539971 51.5215735)
