,name,type,x,y,geometry
0,Het Klooster,theatre,5.5481784,51.4744097,POINT (5.5481784 51.4744097)
1,Pathé Eindhoven,cinema,5.4807205,51.4408406,POINT (5.4807205 51.4408406)
2,Het Vestzaktheater,theatre,5.4936473,51.5094507,POINT (5.4936473 51.5094507)
3,De Bussel,theatre,4.8611258,51.6462571,POINT (4.8611258 51.6462571)
4,Nieuwe Nobelaer,arts_centre,4.6403380,51.5717097,POINT (4.640338 51.5717097)
5,PopEI,arts_centre,5.4576571,51.4492626,POINT (5.4576571 51.4492626)
6,Pathé Helmond,cinema,5.6510663,51.4781128,POINT (5.6510663 51.4781128)
7,Filmhuis,cinema,5.6507316,51.4781181,POINT (5.6507316 51.4781181)
8,Podium de Azijnfabriek,theatre,5.3082758,51.6860467,POINT (5.3082758 51.6860467)
9,,cinema,5.3088210,51.6870223,POINT (5.308821 51.6870223)
10,Efteling Theater 'Theatershow CARO',theatre,5.0436061,51.6484310,POINT (5.0436061 51.648431)
11,De Maagd,theatre,4.2861404,51.4942671,POINT (4.2861404 51.4942671)
12,LAB-1,cinema,5.4777406,51.4370340,POINT (5.4777406 51.437034)
13,Willem Twee Concertzaal,theatre,5.3036935,51.6858972,POINT (5.3036935 51.6858972)
14,De Nieuwe Veste,theatre,4.7785567,51.5877072,POINT (4.7785567 51.5877072)
15,Markant,theatre,5.6174239,51.6571579,POINT (5.6174239 51.6571579)
16,Hollywoud,cinema,4.9419171,51.7707468,POINT (4.9419171 51.7707468)
17,BioBest,cinema,5.3899432,51.5098666,POINT (5.3899432 51.5098666)
18,Concertzaal,theatre,5.0845974,51.5538994,POINT (5.0845974 51.5538994)
19,De Nieuwe Vorst,theatre,5.0864301,51.5570215,POINT (5.0864301 51.5570215)
20,Raveleijn,theatre,5.0459306,51.6530910,POINT (5.0459306 51.653091)
21,W2 poppodium,theatre,5.2969271,51.6955492,POINT (5.2969271 51.6955492)
22,Podium Bloos,theatre,4.7704482,51.5992269,POINT (4.7704482 51.5992269)
23,Servicebioscoop Industry,cinema,5.5308805,51.6152763,POINT (5.5308805 51.6152763)
24,Carrousel Theater,theatre,5.0485132,51.6511305,POINT (5.0485132 51.6511305)
25,"Wim Van Hassel, Beeldend Kunstenaar",arts_centre,5.3070020,51.7078210,POINT (5.307002 51.707821)
26,Vue Den Bosch,cinema,5.3013425,51.6931021,POINT (5.3013425 51.6931021)
27,MADspace,arts_centre,5.4766388,51.4344322,POINT (5.4766388 51.4344322)
28,Gallerie De Rooy - Taen,arts_centre,5.5845378,51.4298884,POINT (5.5845378 51.4298884)
29,Electron Breda,arts_centre,4.7686374,51.5990974,POINT (4.7686374 51.5990974)
30,Mezz,theatre,4.7787461,51.5837820,POINT (4.7787461 51.583782)
31,Pathé Breda,cinema,4.7851819,51.5893385,POINT (4.7851819 51.5893385)
32,Theater de Avenue,theatre,4.7746182,51.5865228,POINT (4.7746182 51.5865228)
33,Chassé Theater,theatre,4.7821816,51.5874733,POINT (4.7821816 51.5874733)
34,Predikheerenpoort Artemis,theatre,5.3074304,51.6893050,POINT (5.3074304 51.689305)
35,De Muzerije,arts_centre,5.3084196,51.6888256,POINT (5.3084196 51.6888256)
36,Openluchttheater 'Naat Piek',theatre,5.6425830,51.6799246,POINT (5.642583 51.6799246)
37,Cultureel centrum Zundert,theatre,4.6643599,51.4719511,POINT (4.6643599 51.4719511)
38,Perron 3,theatre,5.3704174,51.7159656,POINT (5.3704174 51.7159656)
39,Cineservice,cinema,4.6347563,51.5695149,POINT (4.6347563 51.5695149)
40,De Weijer,arts_centre,5.9506596,51.6493864,POINT (5.9506596 51.6493864)
41,Pand P,theatre,5.4891089,51.4271073,POINT (5.4891089 51.4271073)
42,Fidei et Arti,theatre,4.5282244,51.5894415,POINT (4.5282244 51.5894415)
43,Muziekgebouw Frits Philips Eindhoven,theatre,5.4796781,51.4386716,POINT (5.4796781 51.4386716)
44,Vue Cinema,cinema,5.4762650,51.4401717,POINT (5.476265 51.4401717)
45,"CKE Eindhoven: Muziekschool, Dansschool",arts_centre,5.4746623,51.4450980,POINT (5.4746623 51.445098)
46,Van Beek Graphics Art Supplies,arts_centre,5.4755634,51.4470997,POINT (5.4755634 51.4470997)
47,Stichting Dwaalhaas,arts_centre,5.4566530,51.4542089,POINT (5.456653 51.4542089)
48,Mariëndael,theatre,5.4580783,51.5596127,POINT (5.4580783 51.5596127)
49,Openluchttheater Kersouwe,theatre,5.4505378,51.6672516,POINT (5.4505378 51.6672516)
50,Schouwburg De Kring,theatre,4.4586306,51.5333416,POINT (4.4586306 51.5333416)
51,Tiliander,theatre,5.1967464,51.5821076,POINT (5.1967464 51.5821076)
52,De Muzenval,theatre,5.3108091,51.3571987,POINT (5.3108091 51.3571987)
53,De Kattendans,theatre,5.3595365,51.3240607,POINT (5.3595365 51.3240607)
54,Hofmanheide Creatief - Beeldhouw Paradijs,arts_centre,5.3911851,51.2739992,POINT (5.3911851 51.2739992)
55,De Kunstpraktijk,arts_centre,5.3974964,51.4025531,POINT (5.3974964 51.4025531)
