,name,type,x,y,geometry
0,Elkerliek Ziekenhuis,hospital,5.6424049,51.4818128,POINT (5.6424049 51.4818128)
1,"Jeroen Bosch, locatie Liduina",hospital,5.3209513,51.5940047,POINT (5.3209513 51.5940047)
2,Huisartsenpraktijk Heikant,doctors,5.3931938,51.4275106,POINT (5.3931938 51.4275106)
3,Huisartsenpraktijk Den Bosch Oost,doctors,5.3345443,51.6973004,POINT (5.3345443 51.6973004)
4,Gezondheidscentrum Strijp,doctors,5.4413316,51.4432346,POINT (5.4413316 51.4432346)
5,Huisartsenpraktijk Zuiderhoed,doctors,5.3255132,51.6812685,POINT (5.3255132 51.6812685)
6,Tandartsenpraktijk Het Steenen Huys,dentist,5.5671266,51.4730351,POINT (5.5671266 51.4730351)
7,B-Strong,clinic,5.9362361,51.6978693,POINT (5.9362361 51.6978693)
8,Huisartsenpraktijk Rosmalen Centrum,doctors,5.3629260,51.7158550,POINT (5.362926 51.715855)
9,Dierenkliniek Vos,veterinary,5.3055149,51.7061645,POINT (5.3055149 51.7061645)
10,,doctors,5.4209847,51.3273847,POINT (5.4209847 51.3273847)
11,Medisch Centrum,doctors,5.3719466,51.5701017,POINT (5.3719466 51.5701017)
12,Kraamzorg Homecare,doctors,5.4704880,51.4607170,POINT (5.470488 51.460717)
13,Huisartsenpraktijk Kummeling,doctors,5.4282721,51.4788562,POINT (5.4282721 51.4788562)
14,Dieren Kliniek Nuenen,veterinary,5.5515334,51.4743763,POINT (5.5515334 51.4743763)
15,Medisch Centrum Brink 4,clinic,5.3266469,51.7301747,POINT (5.3266469 51.7301747)
16,Dierenartspraktijk 's-Hertogenbosch,veterinary,5.3141299,51.7229415,POINT (5.3141299 51.7229415)
17,Huisartsenpraktijk Empel,doctors,5.3246433,51.7298939,POINT (5.3246433 51.7298939)
18,Huisartsenpraktijk Duin en Wiel,doctors,5.1310360,51.6868471,POINT (5.131036 51.6868471)
19,Meermond,dentist,5.4157075,51.4133303,POINT (5.4157075 51.4133303)
20,Huisartsenpraktijk Blessing & Helmers,doctors,5.1867770,51.5454328,POINT (5.186777 51.5454328)
21,,veterinary,5.0909744,51.5473192,POINT (5.0909744 51.5473192)
22,Huisartenpost Maxima Medisch Centrum,doctors,5.4175874,51.4056265,POINT (5.4175874 51.4056265)
23,Dierenartsencentrum De Peelhorst,veterinary,5.6302587,51.6622075,POINT (5.6302587 51.6622075)
24,Via Sana,clinic,5.7783140,51.6873015,POINT (5.778314 51.6873015)
25,Huisartsengroep Nieuw Gastel,doctors,4.4603122,51.5877894,POINT (4.4603122 51.5877894)
26,Tandheelkundig centrum Moergestel,dentist,5.1868154,51.5454257,POINT (5.1868154 51.5454257)
27,Huisartsen praktijk,doctors,4.7840738,51.6103751,POINT (4.7840738 51.6103751)
28,DierenDokters Den Bosch,veterinary,5.3174825,51.6916907,POINT (5.3174825 51.6916907)
29,Tandprothetischepraktijk Vos,dentist,5.3330124,51.6966221,POINT (5.3330124 51.6966221)
30,Dierenkliniek Hoogveld,veterinary,5.3386360,51.6992462,POINT (5.338636 51.6992462)
31,,doctors,4.9609679,51.7703515,POINT (4.9609679 51.7703515)
32,Dierenartsenpraktijk Schijndel,veterinary,5.4276597,51.6178103,POINT (5.4276597 51.6178103)
33,Huisartsencentrum Mierlo,doctors,5.6194244,51.4387555,POINT (5.6194244 51.4387555)
34,Huisartsenpraktijk De Clundert,doctors,4.5333343,51.6624066,POINT (4.5333343 51.6624066)
35,Medipark,doctors,5.6239391,51.6616095,POINT (5.6239391 51.6616095)
36,Dermapark,doctors,5.6247210,51.6615210,POINT (5.624721 51.661521)
37,Huisartsenpraktijk Giessen – Rijswijk,doctors,5.0322789,51.7911482,POINT (5.0322789 51.7911482)
38,Huisartsenpraktijk Hendriksen,doctors,5.3982086,51.5127010,POINT (5.3982086 51.512701)
39,Osteopathie van Eijck,doctors,5.3921662,51.5070758,POINT (5.3921662 51.5070758)
40,Huisartsenpraktijken Mulder en Peulen,doctors,5.3947968,51.5106408,POINT (5.3947968 51.5106408)
41,Huisartsenpraktijk van den Aker,doctors,5.3879562,51.5057895,POINT (5.3879562 51.5057895)
42,Huisarts J.J. van der Horst,doctors,5.3905599,51.5064654,POINT (5.3905599 51.5064654)
43,Medicentrum Princenhage,clinic,4.7394373,51.5806562,POINT (4.7394373 51.5806562)
44,Dierenkliniek Princenhage,veterinary,4.7319391,51.5778814,POINT (4.7319391 51.5778814)
45,Dierenkliniek De Heuvel,veterinary,4.7511099,51.5781398,POINT (4.7511099 51.5781398)
46,Huisartsenpraktijk Bakers & Verhaegen,doctors,4.7431175,51.5771251,POINT (4.7431175 51.5771251)
47,Medisch centrum Magnolia,doctors,4.7539244,51.5854005,POINT (4.7539244 51.5854005)
48,Huisartsen Hoge Vucht,doctors,4.7902681,51.6073457,POINT (4.7902681 51.6073457)
49,Mondzorg,dentist,4.7925812,51.5987031,POINT (4.7925812 51.5987031)
50,Dental Clinics Breda Belcrum Linietel,dentist,4.7869965,51.5973299,POINT (4.7869965 51.5973299)
51,AniCura Dierenziekenhuis Breda,veterinary,4.8108225,51.5987110,POINT (4.8108225 51.598711)
52,Dierenartspraktijk Timmers,veterinary,4.7796086,51.5690198,POINT (4.7796086 51.5690198)
53,Xpert Clinics Handtherapy,clinic,5.3167897,51.6803976,POINT (5.3167897 51.6803976)
54,GGD-testlocatie Breda Heerbaan,doctors,4.8203005,51.5840983,POINT (4.8203005 51.5840983)
55,Tandartspraktijk Manie,dentist,4.8252161,51.5711240,POINT (4.8252161 51.571124)
56,Tandarts Zweverink,dentist,4.8262937,51.5684536,POINT (4.8262937 51.5684536)
57,Dierenkliniek De Baronie,veterinary,4.7178274,51.6042425,POINT (4.7178274 51.6042425)
58,Veltman kliniek,clinic,5.4291768,51.4388021,POINT (5.4291768 51.4388021)
