,name,type,x,y,geometry
0,Zomerlust,pub,5.1128989,51.5593818,POINT (5.1128989 51.5593818)
1,Burger King,fast_food,5.4727468,51.5000173,POINT (5.4727468 51.5000173)
2,Burger King,fast_food,5.2947613,51.6901995,POINT (5.2947613 51.6901995)
3,KFC,fast_food,5.4779225,51.4394403,POINT (5.4779225 51.4394403)
4,McDonald's,fast_food,4.2783184,51.4867642,POINT (4.2783184 51.4867642)
5,McDonald's,fast_food,4.7431964,51.4989597,POINT (4.7431964 51.4989597)
6,McDonald's,fast_food,4.7407378,51.4984131,POINT (4.7407378 51.4984131)
7,Snackbar City,fast_food,5.5671237,51.4727658,POINT (5.5671237 51.4727658)
8,Roxis,restaurant,5.5472772,51.4736513,POINT (5.5472772 51.4736513)
9,New Oriental,restaurant,5.5527185,51.4742557,POINT (5.5527185 51.4742557)
10,Pizzeria Messina,restaurant,5.5525361,51.4739978,POINT (5.5525361 51.4739978)
11,Joe Mann Paviljoen,restaurant,5.4342708,51.5126203,POINT (5.4342708 51.5126203)
12,Café Ons Dorp,cafe,5.5477154,51.4737183,POINT (5.5477154 51.4737183)
13,Restaurant de Bengel Nuenen,restaurant,5.5528143,51.4746573,POINT (5.5528143 51.4746573)
14,Café Goesting,cafe,5.5490237,51.4733120,POINT (5.5490237 51.473312)
15,Schafrath,cafe,5.5496171,51.4742280,POINT (5.5496171 51.474228)
16,Tong Ah,restaurant,5.5496308,51.4740302,POINT (5.5496308 51.4740302)
17,Elpida,restaurant,5.5468505,51.4733689,POINT (5.5468505 51.4733689)
18,Café-Zaal Berkenbosch,cafe,5.5371987,51.4644784,POINT (5.5371987 51.4644784)
19,SantaLyn,restaurant,5.5471846,51.4736040,POINT (5.5471846 51.473604)
20,De Karseboom,restaurant,5.4775844,51.4364808,POINT (5.4775844 51.4364808)
21,Dorpscafé Bij van Dijk,bar,5.6392433,51.5100290,POINT (5.6392433 51.510029)
22,Café René,cafe,5.5475999,51.4736375,POINT (5.5475999 51.4736375)
23,Becoloth,cafe,5.3275983,51.5878221,POINT (5.3275983 51.5878221)
24,Le Temps Perdu,bar,5.3266133,51.5883143,POINT (5.3266133 51.5883143)
25,Lotus,restaurant,5.3198912,51.5874404,POINT (5.3198912 51.5874404)
26,Comigo,restaurant,5.5496042,51.4746594,POINT (5.5496042 51.4746594)
27,Odysseus,restaurant,5.5523918,51.4740328,POINT (5.5523918 51.4740328)
28,Ratatouille Nuenen,restaurant,5.5488828,51.4734089,POINT (5.5488828 51.4734089)
29,Adana Kebabhuis,fast_food,5.5476864,51.4736733,POINT (5.5476864 51.4736733)
30,Bar van Gogh,pub,5.5487510,51.4735191,POINT (5.548751 51.4735191)
31,Oase,restaurant,5.5524665,51.4740146,POINT (5.5524665 51.4740146)
32,De Warande,restaurant,5.6404708,51.4860422,POINT (5.6404708 51.4860422)
33,Café Restaurant De Cuijt,restaurant,5.6041681,51.4477974,POINT (5.6041681 51.4477974)
34,OJA,public_building,5.6406086,51.5107572,POINT (5.6406086 51.5107572)
35,De Vresselse Hut,restaurant,5.5037113,51.5396663,POINT (5.5037113 51.5396663)
36,Herberg In Den Anker,cafe,4.6115733,51.4841507,POINT (4.6115733 51.4841507)
37,De Villa,restaurant,4.9627588,51.4887324,POINT (4.9627588 51.4887324)
38,'t Vermaek,pub,4.9266830,51.5766245,POINT (4.926683 51.5766245)
39,Van der Valk - Hotel Gilze Rijen,restaurant,4.9445567,51.5531216,POINT (4.9445567 51.5531216)
40,The Mart,restaurant,5.4562199,51.4102990,POINT (5.4562199 51.410299)
41,Alfresco,restaurant,5.4589372,51.4107646,POINT (5.4589372 51.4107646)
42,The Lounge,restaurant,5.4566438,51.4103643,POINT (5.4566438 51.4103643)
43,LOKL coffee and more,cafe,5.4573413,51.4105789,POINT (5.4573413 51.4105789)
44,Nieuw Schaijk,restaurant,5.6355972,51.7369499,POINT (5.6355972 51.7369499)
45,De Brug,cafe,5.6447507,51.7771102,POINT (5.6447507 51.7771102)
46,Kota Radja,restaurant,5.6355824,51.7379248,POINT (5.6355824 51.7379248)
47,Hi-Lite,pub,5.6352554,51.7379548,POINT (5.6352554 51.7379548)
48,In den Molen,cafe,4.6545481,51.6091600,POINT (4.6545481 51.60916)
49,Herberg 't Pannehuske,restaurant,4.5921345,51.4702950,POINT (4.5921345 51.470295)
50,Heerendonck,restaurant,5.5244503,51.4918436,POINT (5.5244503 51.4918436)
51,Herberg De Gouden Leeuw,pub,5.2889776,51.4193331,POINT (5.2889776 51.4193331)
52,"Cafe van de Ven, 'De Kuiper'",pub,5.2877624,51.4195016,POINT (5.2877624 51.4195016)
53,Gemeenschapshuis de Lievendaal,cafe,5.4348468,51.4424406,POINT (5.4348468 51.4424406)
54,Wolfslaar Restaurant,restaurant,4.8048901,51.5606887,POINT (4.8048901 51.5606887)
55,'t Centrum,pub,5.4622915,51.7994742,POINT (5.4622915 51.7994742)
56,De Oude Maas,restaurant,5.5417921,51.7933106,POINT (5.5417921 51.7933106)
57,Pannekoekenhuis De Rode Haktol,restaurant,5.2828761,51.5393308,POINT (5.2828761 51.5393308)
58,Quatre Bras,restaurant,5.3999773,51.5158972,POINT (5.3999773 51.5158972)
59,Net Iets Anders,restaurant,5.2289914,51.5726688,POINT (5.2289914 51.5726688)
60,Boshuys Hermitage,restaurant,5.2290796,51.5763273,POINT (5.2290796 51.5763273)
61,De Posthoorn,restaurant,5.2305428,51.5754723,POINT (5.2305428 51.5754723)
62,Pannenkoeckershuys,restaurant,4.8083854,51.6464520,POINT (4.8083854 51.646452)
63,Tea at Hamtingh,cafe,5.3394714,51.4416825,POINT (5.3394714 51.4416825)
64,De Zwarte Doos,restaurant,5.4842430,51.4463815,POINT (5.484243 51.4463815)
65,Plaza De Heikant,fast_food,5.3921851,51.4273107,POINT (5.3921851 51.4273107)
66,Cafetaria De Lievendaal,fast_food,5.4353458,51.4430604,POINT (5.4353458 51.4430604)
67,Lambert,restaurant,5.6560146,51.4787371,POINT (5.6560146 51.4787371)
68,,fast_food,5.6563174,51.4802006,POINT (5.6563174 51.4802006)
69,Stationneke,fast_food,5.6582001,51.4800447,POINT (5.6582001 51.4800447)
70,De Bank,restaurant,5.6520284,51.4791313,POINT (5.6520284 51.4791313)
71,Sicilia,restaurant,5.6506613,51.4790567,POINT (5.6506613 51.4790567)
72,De Braak,fast_food,5.6764573,51.4880192,POINT (5.6764573 51.4880192)
73,Kilsdonkse Molen,cafe,5.5041404,51.6370153,POINT (5.5041404 51.6370153)
74,'t Gabbertje,fast_food,4.3287999,51.4263720,POINT (4.3287999 51.426372)
75,'t Huukske,fast_food,5.4572042,51.5717748,POINT (5.4572042 51.5717748)
76,Cafe Oud Rooij,cafe,5.4612198,51.5642741,POINT (5.4612198 51.5642741)
77,De Beurs,restaurant,5.4591808,51.5623286,POINT (5.4591808 51.5623286)
78,'t Zusje Sint Oedenrode,restaurant,5.4597708,51.5624118,POINT (5.4597708 51.5624118)
79,Pastorie Brasserie,restaurant,5.4599562,51.5638198,POINT (5.4599562 51.5638198)
80,Cafetaria De Mert,fast_food,5.4605374,51.5638671,POINT (5.4605374 51.5638671)
