,name,type,x,y,geometry
0,TU/e ingang De Wielen,bus_stop,5.4922979,51.4458744,POINT (5.4922979 51.4458744)
1,Refeling,bus_stop,5.5525664,51.4654434,POINT (5.5525664 51.4654434)
2,"Nuenen, Park",bus_stop,5.5498220,51.4753772,POINT (5.549822 51.4753772)
3,Vincent van Goghplein,bus_stop,5.5525934,51.4741167,POINT (5.5525934 51.4741167)
4,Alfred Nobelstraat,bus_stop,5.4755226,51.5744881,POINT (5.4755226 51.5744881)
5,Ollandseweg,bus_stop,5.4638707,51.5703449,POINT (5.4638707 51.5703449)
6,Stoofweg,bus_stop,5.7341231,51.7537503,POINT (5.7341231 51.7537503)
7,Erasmusstraat,bus_stop,5.3237815,51.6849577,POINT (5.3237815 51.6849577)
8,Sint Josephstraat,bus_stop,5.1046722,51.5568439,POINT (5.1046722 51.5568439)
9,Floris V-laan,bus_stop,5.0517676,51.6826127,POINT (5.0517676 51.6826127)
10,Prof. Asserweg,bus_stop,5.0475723,51.6799152,POINT (5.0475723 51.6799152)
11,Apollopad,bus_stop,5.3469218,51.5849124,POINT (5.3469218 51.5849124)
12,Artoislaan,bus_stop,5.4508617,51.4828462,POINT (5.4508617 51.4828462)
13,Castiliëlaan,bus_stop,5.4516006,51.4905761,POINT (5.4516006 51.4905761)
14,Hoofdstraat,bus_stop,5.5988678,51.2361176,POINT (5.5988678 51.2361176)
15,Prinses Irenestraat,bus_stop,5.5715509,51.2397662,POINT (5.5715509 51.2397662)
16,Stationsweg,bus_stop,5.5653147,51.2457385,POINT (5.5653147 51.2457385)
17,Grootschoterweg,bus_stop,5.5661731,51.2553054,POINT (5.5661731 51.2553054)
18,Doolhof,bus_stop,5.3264115,51.2877730,POINT (5.3264115 51.287773)
19,Schatersdijk,bus_stop,5.3301458,51.2889869,POINT (5.3301458 51.2889869)
20,Mozekesweg,bus_stop,5.3375148,51.2941054,POINT (5.3375148 51.2941054)
21,Loo,bus_stop,5.3444035,51.3129963,POINT (5.3444035 51.3129963)
22,Westerhovenseweg,bus_stop,5.4273858,51.3450276,POINT (5.4273858 51.3450276)
23,Brouwerijplein,bus_stop,5.4289953,51.3480853,POINT (5.4289953 51.3480853)
24,Minister Aalbersestraat,bus_stop,5.4447991,51.3507568,POINT (5.4447991 51.3507568)
25,Kerk,bus_stop,5.3860802,51.3523481,POINT (5.3860802 51.3523481)
26,Voortseweg,bus_stop,5.3100390,51.3536742,POINT (5.310039 51.3536742)
27,Ambrosiusdal,bus_stop,5.4357643,51.3553615,POINT (5.4357643 51.3553615)
28,Kortkruisdijk,bus_stop,5.3059486,51.3561534,POINT (5.3059486 51.3561534)
29,Dorpstraat/Hazenpad,bus_stop,5.8650656,51.3720412,POINT (5.8650656 51.3720412)
30,Heitrak,bus_stop,5.8591761,51.3751486,POINT (5.8591761 51.3751486)
31,Speelheuvelplein,bus_stop,5.7059275,51.3881582,POINT (5.7059275 51.3881582)
32,Ansbalduslaan,bus_stop,5.4600659,51.3918358,POINT (5.4600659 51.3918358)
33,Kerkhoflaan,bus_stop,5.4727683,51.3966997,POINT (5.4727683 51.3966997)
34,Vessemseweg,bus_stop,5.2653860,51.4008150,POINT (5.265386 51.400815)
35,Missiehuis,bus_stop,5.7411702,51.4009383,POINT (5.7411702 51.4009383)
36,Kerkstraat,bus_stop,5.7454979,51.4022537,POINT (5.7454979 51.4022537)
37,Tuinstraat,bus_stop,5.7483714,51.4037629,POINT (5.7483714 51.4037629)
38,Hagendorenseweg,bus_stop,5.4122517,51.4184010,POINT (5.4122517 51.418401)
39,Steemertseweg,bus_stop,5.6819913,51.4292175,POINT (5.6819913 51.4292175)
40,Volderstraat,bus_stop,5.5640146,51.4307860,POINT (5.5640146 51.430786)
41,Hof van Bethanië,bus_stop,5.6195568,51.4383862,POINT (5.6195568 51.4383862)
42,Rembrandtplein,bus_stop,5.5028678,51.4385598,POINT (5.5028678 51.4385598)
43,Merenweg,bus_stop,5.3250515,51.4388947,POINT (5.3250515 51.4388947)
44,Hertshooi,bus_stop,5.6263296,51.4392159,POINT (5.6263296 51.4392159)
45,Peeleik,bus_stop,5.7009024,51.4568664,POINT (5.7009024 51.4568664)
46,Venweg,bus_stop,4.9450169,51.4574445,POINT (4.9450169 51.4574445)
47,Generaal Coenderslaan,bus_stop,5.4828079,51.4579693,POINT (5.4828079 51.4579693)
48,Cassandraplein,bus_stop,5.4881594,51.4595902,POINT (5.4881594 51.4595902)
49,Drosserstraat,bus_stop,5.4827294,51.4601436,POINT (5.4827294 51.4601436)
50,Snoekstraat,bus_stop,5.6344960,51.4608927,POINT (5.634496 51.4608927)
51,Generaal Hardenbergpad,bus_stop,5.4824250,51.4639739,POINT (5.482425 51.4639739)
52,Deltaweg,bus_stop,5.6991289,51.4712406,POINT (5.6991289 51.4712406)
53,Lagedijk,bus_stop,5.6786344,51.4720605,POINT (5.6786344 51.4720605)
54,Lagedijk,bus_stop,5.6782758,51.4721520,POINT (5.6782758 51.472152)
55,Kwaalburg,bus_stop,4.9523023,51.4741007,POINT (4.9523023 51.4741007)
56,Veluwehof,bus_stop,5.6977881,51.4752258,POINT (5.6977881 51.4752258)
57,Volderhof,bus_stop,5.7025431,51.4777795,POINT (5.7025431 51.4777795)
58,Gelderstraat,bus_stop,5.1388588,51.4820195,POINT (5.1388588 51.4820195)
59,Zuideinde,bus_stop,5.6600906,51.4811224,POINT (5.6600906 51.4811224)
60,Ravensgat,bus_stop,5.7156850,51.4923629,POINT (5.715685 51.4923629)
61,Bosweg,bus_stop,5.5689848,51.4939537,POINT (5.5689848 51.4939537)
62,Bedrijfsweg,bus_stop,5.4050892,51.4969323,POINT (5.4050892 51.4969323)
63,Science Park Oost/5100,bus_stop,5.4598577,51.4981084,POINT (5.4598577 51.4981084)
64,Industrieweg,bus_stop,5.4085280,51.4983618,POINT (5.408528 51.4983618)
65,Bosscheweg,bus_stop,5.6424859,51.5069709,POINT (5.6424859 51.5069709)
66,Deense Hoek,bus_stop,5.5851809,51.5128865,POINT (5.5851809 51.5128865)
67,Brouwerstraat,bus_stop,5.5108748,51.5145051,POINT (5.5108748 51.5145051)
68,Heuvel,bus_stop,5.5954417,51.5178361,POINT (5.5954417 51.5178361)
69,Servaasplein,bus_stop,5.5999587,51.5187019,POINT (5.5999587 51.5187019)
70,De Hommel,bus_stop,5.6403114,51.5198558,POINT (5.6403114 51.5198558)
71,Pallaspad,bus_stop,5.5135510,51.5200281,POINT (5.513551 51.5200281)
72,Dorpsplein,bus_stop,5.0230016,51.5236968,POINT (5.0230016 51.5236968)
73,Orchideestraat,bus_stop,5.6291950,51.5262320,POINT (5.629195 51.526232)
74,Oude Molenweg 58,bus_stop,5.7105572,51.5379071,POINT (5.7105572 51.5379071)
75,Piet van Thielplein,bus_stop,5.6303284,51.5388423,POINT (5.6303284 51.5388423)
76,Sint Gerardusplein,bus_stop,5.6919014,51.5541086,POINT (5.6919014 51.5541086)
77,Trivium,bus_stop,4.6634459,51.5721894,POINT (4.6634459 51.5721894)
78,Peelkanaalweg,bus_stop,5.8288183,51.5753255,POINT (5.8288183 51.5753255)
79,Merletgaarde,bus_stop,6.0067708,51.5964294,POINT (6.0067708 51.5964294)
80,Bergstraat,bus_stop,5.6770805,51.5972628,POINT (5.6770805 51.5972628)
81,Kerk,bus_stop,5.8743504,51.6087666,POINT (5.8743504 51.6087666)
82,Galvaniweg,bus_stop,5.4721885,51.6130945,POINT (5.4721885 51.6130945)
83,Den Hoek,bus_stop,5.8863749,51.6165283,POINT (5.8863749 51.6165283)
84,Peelse Huis,bus_stop,5.6655175,51.6234192,POINT (5.6655175 51.6234192)
85,Lepelstraat,bus_stop,5.8838406,51.6235376,POINT (5.8838406 51.6235376)
86,Kolonel Silvertoplaan,bus_stop,5.8839889,51.6256588,POINT (5.8839889 51.6256588)
87,Brabantstraat,bus_stop,5.6645841,51.6297724,POINT (5.6645841 51.6297724)
88,Philips de Tweedestraat,bus_stop,5.3150822,51.6811806,POINT (5.3150822 51.6811806)
89,Sonhofweg,bus_stop,5.5930262,51.6818830,POINT (5.5930262 51.681883)
90,Simon Stevinweg,bus_stop,5.2824014,51.6906787,POINT (5.2824014 51.6906787)
91,Simon Stevinweg,bus_stop,5.2816392,51.6909798,POINT (5.2816392 51.6909798)
92,Kapelaan Koopmansplein,bus_stop,5.3102873,51.6936584,POINT (5.3102873 51.6936584)
93,Rubensstraat,bus_stop,5.3254906,51.6964238,POINT (5.3254906 51.6964238)
94,Aartshertogenlaan,bus_stop,5.3185170,51.6991753,POINT (5.318517 51.6991753)
