,name,type,x,y,geometry
0,Helmond Brouwhuis,station,5.7013700,51.4706226,POINT (5.70137 51.4706226)
1,Roosendaal,station,4.4584702,51.5403292,POINT (4.4584702 51.5403292)
2,Tilburg Universiteit,station,5.0516776,51.5652341,POINT (5.0516776 51.5652341)
3,Gilze-Rijen,station,4.9242259,51.5840224,POINT (4.9242259 51.5840224)
4,Vierlingsbeek,station,5.9970961,51.5920221,POINT (5.9970961 51.5920221)
5,Breda,station,4.7800231,51.5951433,POINT (4.7800231 51.5951433)
6,Boxmeer,station,5.9395217,51.6444304,POINT (5.9395217 51.6444304)
7,Ravenstein,station,5.6377036,51.7947915,POINT (5.6377036 51.7947915)
8,Geldrop,station,5.5502017,51.4202890,POINT (5.5502017 51.420289)
9,Rosmalen,station,5.3695820,51.7151523,POINT (5.369582 51.7151523)
10,Tilburg Reeshof,station,4.9934935,51.5736650,POINT (4.9934935 51.573665)
11,Helmond 't Hout,station,5.6312015,51.4681099,POINT (5.6312015 51.4681099)
12,Helmond,station,5.6616714,51.4755665,POINT (5.6616714 51.4755665)
13,Oss West,station,5.5069444,51.7584414,POINT (5.5069444 51.7584414)
14,Etten-Leur,station,4.6364804,51.5752127,POINT (4.6364804 51.5752127)
15,Tilburg,station,5.0837293,51.5605310,POINT (5.0837293 51.560531)
16,Vught,station,5.2921212,51.6555908,POINT (5.2921212 51.6555908)
17,Eindhoven Strijp-S,station,5.4570165,51.4503696,POINT (5.4570165 51.4503696)
18,Boxtel,station,5.3190301,51.5844429,POINT (5.3190301 51.5844429)
19,'s-Hertogenbosch,station,5.2937086,51.6905164,POINT (5.2937086 51.6905164)
20,Helmond Brandevoort,station,5.6088392,51.4624634,POINT (5.6088392 51.4624634)
21,Deurne,station,5.7878984,51.4562278,POINT (5.7878984 51.4562278)
22,Best,station,5.3892206,51.5098165,POINT (5.3892206 51.5098165)
23,Bergen op Zoom,station,4.2961899,51.4947862,POINT (4.2961899 51.4947862)
24,Eindhoven Centraal,station,5.4795265,51.4429623,POINT (5.4795265 51.4429623)
25,Oudenbosch,station,4.5334608,51.5878989,POINT (4.5334608 51.5878989)
26,Zevenbergen,station,4.6100851,51.6413438,POINT (4.6100851 51.6413438)
27,Maarheeze,station,5.6303829,51.3042309,POINT (5.6303829 51.3042309)
28,Heeze,station,5.5694204,51.3853329,POINT (5.5694204 51.3853329)
29,Lage Zwaluwe,station,4.6637116,51.6901564,POINT (4.6637116 51.6901564)
30,Breda-Prinsenbeek,station,4.7214222,51.6057193,POINT (4.7214222 51.6057193)
31,Oisterwijk,station,5.1938980,51.5821442,POINT (5.193898 51.5821442)
32,Oss,station,5.5312710,51.7652868,POINT (5.531271 51.7652868)
33,Cuijk,station,5.8741958,51.7266248,POINT (5.8741958 51.7266248)
34,'s-Hertogenbosch Oost,station,5.3191158,51.7005543,POINT (5.3191158 51.7005543)
