,name,type,x,y,geometry
0,UvA Faculteit der Economische Wetenschappen en Econometrie,university,4.9115429,52.3637734,POINT (4.9115429 52.3637734)
1,OBS IJplein,school,4.9132037,52.3813260,POINT (4.9132037 52.381326)
2,Olympiaschool,school,4.8622625,52.3433610,POINT (4.8622625 52.343361)
3,,school,4.7991786,52.7970377,POINT (4.7991786 52.7970377)
4,,school,4.8005254,52.7974028,POINT (4.8005254 52.7974028)
5,De Visserschool,school,4.8549605,52.3668387,POINT (4.8549605 52.3668387)
6,Oudemanhuispoort (UvA),university,4.8960412,52.3693745,POINT (4.8960412 52.3693745)
7,Manege Nieuw Amstelland,riding_school,4.8552175,52.3227717,POINT (4.8552175 52.3227717)
8,DE Brede School,school,4.9600053,52.3227785,POINT (4.9600053 52.3227785)
9,MediaCollege Amsterdam,school,4.8562558,52.3908710,POINT (4.8562558 52.390871)
10,,college,4.9256779,52.3891543,POINT (4.9256779 52.3891543)
11,4e Montessorischool De Pinksterbloem,school,4.9084934,52.3547479,POINT (4.9084934 52.3547479)
12,OBA Oosterdok,library,4.9081983,52.3762463,POINT (4.9081983 52.3762463)
13,De Lispeltuut dependance,school,4.7726376,52.6546808,POINT (4.7726376 52.6546808)
14,Hippe,driving_school,4.8890750,52.3523587,POINT (4.889075 52.3523587)
15,Bibl. Olympisch Kwartier,library,4.8557800,52.3453125,POINT (4.85578 52.3453125)
16,Centrale Bibliotheek Purmerend,library,4.9576187,52.5049071,POINT (4.9576187 52.5049071)
17,Bibliotheek Roelof Hartplein,library,4.8825724,52.3525874,POINT (4.8825724 52.3525874)
18,Spui25,university,4.8896879,52.3685931,POINT (4.8896879 52.3685931)
19,Christelijke Scholengemeenschap Buitenveldert,school,4.8676061,52.3233121,POINT (4.8676061 52.3233121)
20,TeC,school,4.8354225,52.3465856,POINT (4.8354225 52.3465856)
21,Curtevenneschool,school,5.1136862,52.2420883,POINT (5.1136862 52.2420883)
22,Olleke Bolleke,kindergarten,5.1130711,52.2425488,POINT (5.1130711 52.2425488)
23,De Regenboog,school,5.1139689,52.2426394,POINT (5.1139689 52.2426394)
24,De Brandaris,school,4.6401219,52.3060545,POINT (4.6401219 52.3060545)
25,Klavertje vier,school,4.6397120,52.3058374,POINT (4.639712 52.3058374)
26,Maas en Waalschool,school,4.9005271,52.3435061,POINT (4.9005271 52.3435061)
27,Bibl. Buitenveldert,library,4.8759451,52.3326071,POINT (4.8759451 52.3326071)
28,Merkelbachschool,school,4.8781709,52.3326919,POINT (4.8781709 52.3326919)
29,Fluxus,school,4.8198047,52.4449538,POINT (4.8198047 52.4449538)
30,r.k. basisschool De Rietvink,school,4.8006626,52.4480167,POINT (4.8006626 52.4480167)
31,Yuverta vmbo Amsterdam-West,school,4.7953374,52.3498157,POINT (4.7953374 52.3498157)
32,LLC,library,4.9114441,52.3635334,POINT (4.9114441 52.3635334)
33,Ruimtelijke Wetenschappen (FMG),university,4.9123502,52.3642070,POINT (4.9123502 52.364207)
34,Universiteitsbibliotheek,library,4.8897127,52.3676855,POINT (4.8897127 52.3676855)
35,Pancratiusschool,school,5.2890778,52.7029806,POINT (5.2890778 52.7029806)
36,De Triangel,school,4.8256760,52.2803009,POINT (4.825676 52.2803009)
37,Karel Eykman School,school,4.8215961,52.2790633,POINT (4.8215961 52.2790633)
38,Triangel (Karelrijk),school,4.8217464,52.2788639,POINT (4.8217464 52.2788639)
39,Berlitz School of Languages,school,4.8880600,52.3299920,POINT (4.88806 52.329992)
40,Dr. Rijk Kramerschool,school,4.8743934,52.3738312,POINT (4.8743934 52.3738312)
41,Bibliotheek Kersenboogerd,library,5.0855652,52.6531693,POINT (5.0855652 52.6531693)
42,Alexander Roozendaalschool,school,4.8358589,52.3612913,POINT (4.8358589 52.3612913)
43,SOB,school,4.8673517,52.3654230,POINT (4.8673517 52.365423)
44,UvA Faculteit der Maatschappij-en Gedragswetenschappen,university,4.9116802,52.3627042,POINT (4.9116802 52.3627042)
45,"De Talamander, De Bolderwagen",kindergarten,5.1742152,52.2690219,POINT (5.1742152 52.2690219)
46,Jozefschool,school,5.1033890,52.7617620,POINT (5.103389 52.761762)
47,Basischool Het Koggeschip,school,5.1091371,52.7648192,POINT (5.1091371 52.7648192)
48,Basisschool De meridiaan,school,5.1054293,52.7629080,POINT (5.1054293 52.762908)
49,Maria Bernadette school,school,5.1026299,52.7718709,POINT (5.1026299 52.7718709)
50,Bibliotheek Medemblik,library,5.1021154,52.7707704,POINT (5.1021154 52.7707704)
51,RSG Wiringherlant,school,5.0241082,52.8460061,POINT (5.0241082 52.8460061)
52,Cygnus Gymnasium,school,4.9254819,52.3530386,POINT (4.9254819 52.3530386)
53,CIOS,school,4.6269852,52.3999219,POINT (4.6269852 52.3999219)
54,GSG,school,4.8042992,52.7828114,POINT (4.8042992 52.7828114)
55,12e Montessorischool De Stern,school,4.8776023,52.3327246,POINT (4.8776023 52.3327246)
56,A. Roland Holst College,school,5.1566662,52.2286843,POINT (5.1566662 52.2286843)
57,Bibliotheek Anna Paulowna,library,4.8177223,52.8613601,POINT (4.8177223 52.8613601)
