,name,type,x,y,geometry
0,De Beun,theatre,4.7132399,52.6066340,POINT (4.7132399 52.606634)
1,Pathé de Munt,cinema,4.8934706,52.3664519,POINT (4.8934706 52.3664519)
2,Koninklijk Theater Carré,theatre,4.9039264,52.3623349,POINT (4.9039264 52.3623349)
3,Rialto,cinema,4.8939884,52.3529636,POINT (4.8939884 52.3529636)
4,Kriterion,cinema,4.9106624,52.3624717,POINT (4.9106624 52.3624717)
5,Vue,cinema,4.9567252,52.5038082,POINT (4.9567252 52.5038082)
6,Retort,arts_centre,4.8478748,52.3477964,POINT (4.8478748 52.3477964)
7,de Levante,arts_centre,4.8861493,52.3586056,POINT (4.8861493 52.3586056)
8,Kunstkerk,arts_centre,4.8867391,52.3854142,POINT (4.8867391 52.3854142)
9,Cinema Amstelveen,cinema,4.8590117,52.3026524,POINT (4.8590117 52.3026524)
10,Schouwburg Amstelveen,theatre,4.8587909,52.3024087,POINT (4.8587909 52.3024087)
11,de Appel,arts_centre,4.8897178,52.3648025,POINT (4.8897178 52.3648025)
12,AFAS Live,theatre,4.9442166,52.3122606,POINT (4.9442166 52.3122606)
13,Muziektent,theatre,4.6429920,52.4593926,POINT (4.642992 52.4593926)
14,De Meerse,theatre,4.6967355,52.3011132,POINT (4.6967355 52.3011132)
15,RAI Theater,theatre,4.8878649,52.3415865,POINT (4.8878649 52.3415865)
16,WG Kunst,arts_centre,4.8704463,52.3633344,POINT (4.8704463 52.3633344)
17,SBK / Galerie59,arts_centre,4.8740344,52.3574281,POINT (4.8740344 52.3574281)
18,Singer (theater),theatre,5.2223127,52.2595168,POINT (5.2223127 52.2595168)
19,Poppodium P60,theatre,4.8587559,52.3026981,POINT (4.8587559 52.3026981)
20,DeLaMar theater,theatre,4.8809077,52.3643916,POINT (4.8809077 52.3643916)
21,Opera & Ballet,theatre,4.9012206,52.3674313,POINT (4.9012206 52.3674313)
22,Meervaart Theater,theatre,4.8073957,52.3589481,POINT (4.8073957 52.3589481)
23,Spant!,theatre,5.1751674,52.2700169,POINT (5.1751674 52.2700169)
24,Ketelhuis,cinema,4.8736349,52.3863104,POINT (4.8736349 52.3863104)
25,Muziektent,theatre,4.9533482,52.4641441,POINT (4.9533482 52.4641441)
26,Studio/K,cinema,4.9359245,52.3651201,POINT (4.9359245 52.3651201)
27,Platform 21,arts_centre,4.8802926,52.3414559,POINT (4.8802926 52.3414559)
28,CBK,arts_centre,4.9323245,52.3568405,POINT (4.9323245 52.3568405)
