,name,type,x,y,geometry
0,Huisartsen Gezondheidscentrum Daalmeer Alkmaar,doctors,4.7661343,52.6656476,POINT (4.7661343 52.6656476)
1,Gezondheidscentrum Helmersstraat,doctors,4.8701039,52.3624732,POINT (4.8701039 52.3624732)
2,Heliomare,hospital,4.5936049,52.4973555,POINT (4.5936049 52.4973555)
3,Kortenhoef,veterinary,5.1169571,52.2409916,POINT (5.1169571 52.2409916)
4,Gezondheidscentrum en Apotheek Floriande,doctors,4.6417776,52.3124342,POINT (4.6417776 52.3124342)
5,Tergooiziekenhuis locatie Blaricum,hospital,5.2077665,52.2675799,POINT (5.2077665 52.2675799)
6,,dentist,4.9092907,52.3916671,POINT (4.9092907 52.3916671)
7,,dentist,5.1032973,52.7725368,POINT (5.1032973 52.7725368)
8,Biesheuvel,dentist,5.1088955,52.7693680,POINT (5.1088955 52.769368)
9,Bergman Clinics | Ogen | Hilversum,hospital,5.1650629,52.2294050,POINT (5.1650629 52.229405)
10,,doctors,4.8089732,52.3462184,POINT (4.8089732 52.3462184)
11,Lieffeld,doctors,4.8169090,52.3473109,POINT (4.816909 52.3473109)
12,Gezondheidscentrum Vlaanderen,doctors,4.8124972,52.3453265,POINT (4.8124972 52.3453265)
13,Tandartspraktijk Luiksingel,dentist,4.8143411,52.3448250,POINT (4.8143411 52.344825)
14,Dierenziekenhuis Amsterdam,veterinary,4.8165769,52.3456723,POINT (4.8165769 52.3456723)
15,Aemstelgroep,dentist,4.8631052,52.3167031,POINT (4.8631052 52.3167031)
16,Noordwest Ziekenhuisgroep,hospital,4.8229495,52.6691587,POINT (4.8229495 52.6691587)
17,,doctors,4.7868900,53.0555406,POINT (4.78689 53.0555406)
18,Huisartsenpraktijk de Mare,doctors,4.7592111,52.6538854,POINT (4.7592111 52.6538854)
19,Tandarts Niels Koning,dentist,4.6119097,52.3761939,POINT (4.6119097 52.3761939)
20,Heinsdijk,doctors,4.6249766,52.3849371,POINT (4.6249766 52.3849371)
21,Sterkliniek dierenartsen,veterinary,4.9205593,52.3542507,POINT (4.9205593 52.3542507)
22,Kammeijer,dentist,4.6247059,52.3719910,POINT (4.6247059 52.371991)
23,,dentist,5.0455554,52.2626066,POINT (5.0455554 52.2626066)
24,Centrale Huisartsenpost Alkmaar,doctors,4.7635895,52.6431946,POINT (4.7635895 52.6431946)
25,Medisch Centrum Oost,doctors,4.9245091,52.3589831,POINT (4.9245091 52.3589831)
26,Asdonk,dentist,4.5991001,52.3614967,POINT (4.5991001 52.3614967)
27,Huisartsenpraktijk,doctors,4.6304944,52.6174630,POINT (4.6304944 52.617463)
28,,doctors,4.6362068,52.3783925,POINT (4.6362068 52.3783925)
29,Dental Care East & West,dentist,4.9256890,52.3589736,POINT (4.925689 52.3589736)
30,Tandartspraktijk Liem en Oei,dentist,4.8662314,52.3539470,POINT (4.8662314 52.353947)
31,,veterinary,5.0398545,52.4526343,POINT (5.0398545 52.4526343)
32,Dierenkliniek Europaplein,veterinary,4.8917327,52.3434801,POINT (4.8917327 52.3434801)
33,Dierenartspraktijk Loosdrechtseweg,veterinary,5.1580182,52.2229065,POINT (5.1580182 52.2229065)
34,Dierenartspraktijk Römer,veterinary,5.1544645,52.2234805,POINT (5.1544645 52.2234805)
35,,veterinary,4.7561279,52.2639191,POINT (4.7561279 52.2639191)
36,Hospice Kajan,hospital,5.1703747,52.2326912,POINT (5.1703747 52.2326912)
37,Dierenambulance Amsterdam,veterinary,4.9508032,52.3418020,POINT (4.9508032 52.341802)
38,Tandheelkundig Centrum Heerhugowaard,dentist,4.8260809,52.6640380,POINT (4.8260809 52.664038)
39,Lingzhi,doctors,4.7952746,52.3508759,POINT (4.7952746 52.3508759)
40,Van de Veer Zuidas,dentist,4.8731326,52.3363176,POINT (4.8731326 52.3363176)
41,Easy Cosmetics,clinic,4.8724968,52.3319059,POINT (4.8724968 52.3319059)
42,Dr. J. van Keimpema & Mok,doctors,4.7985647,52.3620815,POINT (4.7985647 52.3620815)
43,Tandartspraktijk Laan van Kronenburg,dentist,4.8777209,52.3207585,POINT (4.8777209 52.3207585)
44,,dentist,4.6362921,52.3862038,POINT (4.6362921 52.3862038)
45,Huisartsenprackijk,hospital,4.9074852,52.7462246,POINT (4.9074852 52.7462246)
46,Van de Veer,dentist,4.7935603,52.3570610,POINT (4.7935603 52.357061)
47,Huisartsen Westergracht,doctors,4.6198205,52.3781616,POINT (4.6198205 52.3781616)
48,Huisartsenpraktijk Buitenhof,doctors,4.9142910,52.3574500,POINT (4.914291 52.35745)
49,Dierenkliniek Noord Kennemerland,veterinary,4.6907419,52.7089153,POINT (4.6907419 52.7089153)
50,Huisarts Hartendorp,doctors,4.6924223,52.7069392,POINT (4.6924223 52.7069392)
51,Gezondheidscentrum Borgerstraat,doctors,4.8666836,52.3652610,POINT (4.8666836 52.365261)
52,Tandartsengroep Borgerstraat,dentist,4.8670162,52.3653479,POINT (4.8670162 52.3653479)
53,Huisartsenpraktijk van Lennep & Meiland,doctors,4.8725326,52.3622262,POINT (4.8725326 52.3622262)
54,Tandheelkundig Centrum Weesp Vestiging Aetsveld,dentist,5.0433084,52.2989054,POINT (5.0433084 52.2989054)
55,Dialysecentrum Beverwijk,doctors,4.6548055,52.4792385,POINT (4.6548055 52.4792385)
56,Sterkliniek Dierenartsen Hilversum,veterinary,5.1915651,52.2364370,POINT (5.1915651 52.236437)
57,Expat Medical Centre,doctors,4.8798061,52.3746719,POINT (4.8798061 52.3746719)
58,Huisartsenpraktijk Om de Noord,doctors,5.1754212,52.6960584,POINT (5.1754212 52.6960584)
59,Tandartsen om de Noord,dentist,5.1749304,52.6962160,POINT (5.1749304 52.696216)
60,Kraay & Ensink,doctors,4.6348646,52.3790232,POINT (4.6348646 52.3790232)
61,Merels Dierenkliniek,veterinary,4.6255851,52.3847309,POINT (4.6255851 52.3847309)
62,Kirsten Knetsch,dentist,4.6282550,52.3804839,POINT (4.628255 52.3804839)
63,Harder,veterinary,4.6240917,52.3714843,POINT (4.6240917 52.3714843)
64,Oogziekenhuis Zonnestraal,clinic,4.6622749,52.3814745,POINT (4.6622749 52.3814745)
65,Total Health Therapy,clinic,4.6613268,52.3807243,POINT (4.6613268 52.3807243)
66,Dermicis,doctors,4.6205618,52.3854017,POINT (4.6205618 52.3854017)
67,Tandarts Vet & de Ponti,dentist,4.6338190,52.3917209,POINT (4.633819 52.3917209)
68,Kennemerland,dentist,4.6358660,52.3993681,POINT (4.635866 52.3993681)
69,Tandarts Haarlem (Noord) Mondzorgpraktijk & Mondzorghygiënist,dentist,4.6512874,52.4127211,POINT (4.6512874 52.4127211)
70,LINDENDOKTERS,doctors,4.8827590,52.3796121,POINT (4.882759 52.3796121)
71,Studentist,dentist,4.8942631,52.3678034,POINT (4.8942631 52.3678034)
72,Huisartsenpraktijk A.M. Heijnen,doctors,4.8982679,52.3721251,POINT (4.8982679 52.3721251)
73,Tandartsenpraktijk Floriande,dentist,4.6383850,52.3060130,POINT (4.638385 52.306013)
74,Sterkliniek Dierenartsen Hoofddorp,veterinary,4.6586849,52.3154937,POINT (4.6586849 52.3154937)
75,,doctors,4.6919728,52.3045690,POINT (4.6919728 52.304569)
76,Mondhygiënepraktijk Ricky Lê,dentist,4.6915552,52.3043189,POINT (4.6915552 52.3043189)
77,Centrum voor Tandheelkunde J. Jong Pian Kie,dentist,4.6649945,52.3009896,POINT (4.6649945 52.3009896)
78,Huisartspraktijk de Pionier,doctors,4.6266928,52.2730588,POINT (4.6266928 52.2730588)
