,name,type,x,y,geometry
0,Eiburgh Snacks,fast_food,4.9630011,52.3707789,POINT (4.9630011 52.3707789)
1,Boerderij Meerzicht,cafe,4.8206896,52.3262661,POINT (4.8206896 52.3262661)
2,Bar Botanique Cafe Tropique,pub,4.9303211,52.3634368,POINT (4.9303211 52.3634368)
3,Burger King,fast_food,4.6378141,52.3877579,POINT (4.6378141 52.3877579)
4,Burger King,fast_food,4.7624238,52.3098821,POINT (4.7624238 52.3098821)
5,Kiosk,cafe,4.8735401,52.3392121,POINT (4.8735401 52.3392121)
6,Burger King,fast_food,4.8835118,52.3641780,POINT (4.8835118 52.364178)
7,Burger King,fast_food,4.8504678,52.3923260,POINT (4.8504678 52.392326)
8,Burger King,fast_food,4.9181737,52.3463966,POINT (4.9181737 52.3463966)
9,Burger King,fast_food,4.8927282,52.3737828,POINT (4.8927282 52.3737828)
10,Burger King,fast_food,4.8943072,52.3668263,POINT (4.8943072 52.3668263)
11,Burger King,fast_food,4.9467114,52.2925820,POINT (4.9467114 52.292582)
12,Sizzling Wok,restaurant,4.9475644,52.2929232,POINT (4.9475644 52.2929232)
13,McDonald's,fast_food,4.7606842,52.9586181,POINT (4.7606842 52.9586181)
14,De Roode Leeuw,restaurant,4.8935952,52.3737497,POINT (4.8935952 52.3737497)
15,McDonald's,fast_food,4.8934827,52.3666856,POINT (4.8934827 52.3666856)
16,Eeuwige Jeugd,pub,4.9247379,52.3614013,POINT (4.9247379 52.3614013)
17,Five Brothers Fat,restaurant,4.9251710,52.3605996,POINT (4.925171 52.3605996)
18,De Biertuin,pub,4.9241200,52.3622606,POINT (4.92412 52.3622606)
19,Zizi Snackbar,fast_food,4.9197977,52.3546056,POINT (4.9197977 52.3546056)
20,snackbar 't Snorretje,fast_food,4.9203864,52.3544607,POINT (4.9203864 52.3544607)
21,Meram,restaurant,4.9255604,52.3559890,POINT (4.9255604 52.355989)
22,Café Maxwell,restaurant,4.9186348,52.3567889,POINT (4.9186348 52.3567889)
23,ThaiCoon,restaurant,4.9177233,52.3571259,POINT (4.9177233 52.3571259)
24,Mojo,restaurant,4.9280958,52.3548104,POINT (4.9280958 52.3548104)
25,La Vallade,restaurant,4.9269471,52.3542500,POINT (4.9269471 52.35425)
26,Café-Restaurant Dauphine,restaurant,4.9173053,52.3483698,POINT (4.9173053 52.3483698)
27,Café Kale,pub,4.8973945,52.3594947,POINT (4.8973945 52.3594947)
28,Gambrinus,pub,4.8912207,52.3512974,POINT (4.8912207 52.3512974)
29,Fonk,pub,4.8894806,52.3512963,POINT (4.8894806 52.3512963)
30,cafe BUHRS,pub,4.8950989,52.3518527,POINT (4.8950989 52.3518527)
31,Volt,restaurant,4.8911767,52.3514961,POINT (4.8911767 52.3514961)
32,Dusart,pub,4.8895103,52.3511266,POINT (4.8895103 52.3511266)
33,Arie,pub,4.8904847,52.3566892,POINT (4.8904847 52.3566892)
34,de Plek,pub,4.9082519,52.3451944,POINT (4.9082519 52.3451944)
35,Kong Kha,restaurant,4.9058841,52.3452521,POINT (4.9058841 52.3452521)
36,I Trulli,restaurant,4.9061298,52.3445658,POINT (4.9061298 52.3445658)
37,Pizzeria San Marco,restaurant,4.8909926,52.3481204,POINT (4.8909926 52.3481204)
38,Le Pain Quotidien,cafe,4.8912435,52.3511182,POINT (4.8912435 52.3511182)
39,Kong Ming,restaurant,4.9056866,52.3457197,POINT (4.9056866 52.3457197)
40,Papa,restaurant,4.9047332,52.3482353,POINT (4.9047332 52.3482353)
41,Phukradung,restaurant,4.9034904,52.3514674,POINT (4.9034904 52.3514674)
42,Frango,restaurant,4.9027669,52.3532960,POINT (4.9027669 52.353296)
43,Sarphaat,pub,4.8992429,52.3543825,POINT (4.8992429 52.3543825)
44,Puyck,restaurant,4.8937863,52.3532883,POINT (4.8937863 52.3532883)
45,Stigter,pub,4.8941377,52.3529885,POINT (4.8941377 52.3529885)
46,Kam Kee,restaurant,4.8925030,52.3531295,POINT (4.892503 52.3531295)
47,Bax,pub,4.8679756,52.3656085,POINT (4.8679756 52.3656085)
48,Vermeer,restaurant,4.9004724,52.3764859,POINT (4.9004724 52.3764859)
49,In't Aepjen,pub,4.9001456,52.3763121,POINT (4.9001456 52.3763121)
50,Skek,pub,4.9001777,52.3760606,POINT (4.9001777 52.3760606)
51,Geheim van de Smidt,pub,4.9007535,52.3757843,POINT (4.9007535 52.3757843)
52,Park Plaza Brasserie,restaurant,4.8979096,52.3770851,POINT (4.8979096 52.3770851)
53,Bravi Ragazzi,restaurant,4.8963754,52.3759544,POINT (4.8963754 52.3759544)
54,Stock,cafe,4.8956474,52.3753858,POINT (4.8956474 52.3753858)
55,Players,pub,4.8955245,52.3737173,POINT (4.8955245 52.3737173)
56,Durty Nelly's,pub,4.8965373,52.3741125,POINT (4.8965373 52.3741125)
57,Irish Pub Slainte,pub,4.8973185,52.3746948,POINT (4.8973185 52.3746948)
58,Sweet Asia,restaurant,4.9289933,52.3631525,POINT (4.9289933 52.3631525)
59,De Groene Olifant,pub,4.9200038,52.3640109,POINT (4.9200038 52.3640109)
60,Cafe Stevens,pub,4.9011235,52.3728379,POINT (4.9011235 52.3728379)
61,Nam Kee,restaurant,4.9011882,52.3729769,POINT (4.9011882 52.3729769)
62,Cotton Club,pub,4.9010196,52.3726299,POINT (4.9010196 52.3726299)
63,Bern,pub,4.9009348,52.3724859,POINT (4.9009348 52.3724859)
64,Song Kwae,restaurant,4.8991163,52.3719150,POINT (4.8991163 52.371915)
65,Temple Bar,pub,4.8993518,52.3721371,POINT (4.8993518 52.3721371)
66,De Bekeerde Suster,pub,4.8992627,52.3720321,POINT (4.8992627 52.3720321)
67,Café 't Loosje,pub,4.8995000,52.3723799,POINT (4.8995 52.3723799)
68,Café Del Mondo,pub,4.8995457,52.3724585,POINT (4.8995457 52.3724585)
69,Down Town Burger,fast_food,4.8995992,52.3724981,POINT (4.8995992 52.3724981)
70,Toko Joyce,fast_food,4.8994598,52.3723193,POINT (4.8994598 52.3723193)
71,Café Poco Loco,pub,4.8996205,52.3725409,POINT (4.8996205 52.3725409)
72,Gewaeght Café,pub,4.8997837,52.3727127,POINT (4.8997837 52.3727127)
73,Coffeeshop Rock-it,cafe,4.8998649,52.3728646,POINT (4.8998649 52.3728646)
74,Chao Phraya,restaurant,4.8998889,52.3729121,POINT (4.8998889 52.3729121)
75,A Fusion,restaurant,4.9001515,52.3732425,POINT (4.9001515 52.3732425)
76,Nam Kee,restaurant,4.9003096,52.3737013,POINT (4.9003096 52.3737013)
77,Ristorante Italiano Piccolo Mondo,restaurant,4.9017078,52.3740711,POINT (4.9017078 52.3740711)
78,Club Smokey,pub,4.8962329,52.3656246,POINT (4.8962329 52.3656246)
79,El Torado Grill,restaurant,4.8947159,52.3666908,POINT (4.8947159 52.3666908)
80,Kitchen & Bar Van Rijn,pub,4.8967400,52.3664515,POINT (4.89674 52.3664515)
81,Subway,fast_food,4.8948042,52.3666732,POINT (4.8948042 52.3666732)
82,Rain,cafe,4.8972735,52.3657475,POINT (4.8972735 52.3657475)
83,The Old Bell,pub,4.8974530,52.3657690,POINT (4.897453 52.365769)
84,De Jaren,restaurant,4.8953278,52.3680203,POINT (4.8953278 52.3680203)
85,Café Scharrebier,pub,4.9111074,52.3704414,POINT (4.9111074 52.3704414)
86,Tears,bar,4.8669580,52.3759540,POINT (4.866958 52.375954)
87,de Kluis,restaurant,4.9117046,52.3711340,POINT (4.9117046 52.371134)
88,The Grasshopper,restaurant,4.8974337,52.3754583,POINT (4.8974337 52.3754583)
89,Lust,pub,4.8890862,52.3507166,POINT (4.8890862 52.3507166)
90,Nova & Kim,restaurant,4.8889175,52.3526542,POINT (4.8889175 52.3526542)
91,Hermes,pub,4.8892794,52.3526942,POINT (4.8892794 52.3526942)
92,Joe & The Juice,cafe,4.8912806,52.3529767,POINT (4.8912806 52.3529767)
93,De Magere Brug,pub,4.9032166,52.3636562,POINT (4.9032166 52.3636562)
94,Loungebar & Restaurant Vanzz,restaurant,4.9450524,52.3113257,POINT (4.9450524 52.3113257)
95,Cafe Eik en Linde,pub,4.9109737,52.3665415,POINT (4.9109737 52.3665415)
96,Water en Brood,cafe,4.9058121,52.3641405,POINT (4.9058121 52.3641405)
97,Het Paardje,pub,4.8927389,52.3561778,POINT (4.8927389 52.3561778)
98,Cobra Café,pub,4.8842999,52.3589397,POINT (4.8842999 52.3589397)
99,Café Heuvel,pub,4.8879212,52.3624354,POINT (4.8879212 52.3624354)
100,Het Pannenland,restaurant,4.5663578,52.3309016,POINT (4.5663578 52.3309016)
101,Gruter,pub,4.8749907,52.3570184,POINT (4.8749907 52.3570184)
102,Gent,pub,4.8530144,52.3546759,POINT (4.8530144 52.3546759)
103,Kamerz,pub,4.8744439,52.3842987,POINT (4.8744439 52.3842987)
104,Café-Restaurant Amsterdam,restaurant,4.8682145,52.3842205,POINT (4.8682145 52.3842205)
105,Wildschut,pub,4.8824008,52.3534426,POINT (4.8824008 52.3534426)
106,Geitenboerderij Ridammerhoeve,cafe,4.8244491,52.3128478,POINT (4.8244491 52.3128478)
107,al Ponte,cafe,4.9082272,52.3819050,POINT (4.9082272 52.381905)
108,Cedars,restaurant,4.8444223,52.3519506,POINT (4.8444223 52.3519506)
109,Santé,pub,5.0590461,52.6396581,POINT (5.0590461 52.6396581)
110,Bella Italia,restaurant,5.0595544,52.6396641,POINT (5.0595544 52.6396641)
111,Wijn & Spijshuis Vinck,restaurant,5.0595494,52.6396035,POINT (5.0595494 52.6396035)
112,Café Fet,pub,5.0595462,52.6395634,POINT (5.0595462 52.6395634)
113,Ridderikhoff,restaurant,5.0595467,52.6394891,POINT (5.0595467 52.6394891)
114,d’Oude Waegh,restaurant,5.0595412,52.6394264,POINT (5.0595412 52.6394264)
115,,pub,5.0596121,52.6391878,POINT (5.0596121 52.6391878)
116,The Eighties,pub,5.0595296,52.6391507,POINT (5.0595296 52.6391507)
117,La Sfida,restaurant,5.0591316,52.6388957,POINT (5.0591316 52.6388957)
118,De Kermis,pub,5.0531445,52.6425396,POINT (5.0531445 52.6425396)
119,Groot Melkhuis,cafe,4.8683025,52.3585322,POINT (4.8683025 52.3585322)
120,Paal 17,restaurant,4.7363089,53.0807941,POINT (4.7363089 53.0807941)
121,,cafe,4.6329496,52.4625733,POINT (4.6329496 52.4625733)
122,Moods coffee corner,cafe,4.8806733,52.3794724,POINT (4.8806733 52.3794724)
123,As,restaurant,4.8802689,52.3415463,POINT (4.8802689 52.3415463)
124,Theeschenkerij,pub,4.6430937,52.4603240,POINT (4.6430937 52.460324)
125,Planetariumcafé,cafe,4.9131881,52.3673089,POINT (4.9131881 52.3673089)
126,'t Roode Hert,restaurant,4.6470383,52.4617714,POINT (4.6470383 52.4617714)
127,Harbour Club Café,restaurant,4.8545360,52.3424865,POINT (4.854536 52.3424865)
128,Sphinx,fast_food,4.9231091,52.3685263,POINT (4.9231091 52.3685263)
129,Il Forno,restaurant,4.9217468,52.3689488,POINT (4.9217468 52.3689488)
130,Waaghals,restaurant,4.8890623,52.3571106,POINT (4.8890623 52.3571106)
131,Deliasias,restaurant,4.7046570,52.3092927,POINT (4.704657 52.3092927)
132,Kikkie,restaurant,4.8865875,52.3780018,POINT (4.8865875 52.3780018)
133,Jan en Jan,fast_food,4.9395639,52.3327384,POINT (4.9395639 52.3327384)
134,Kaagzicht,restaurant,4.5610368,52.2189746,POINT (4.5610368 52.2189746)
135,Bridges,restaurant,4.8952550,52.3709275,POINT (4.895255 52.3709275)
136,Brouwerij 't IJ,pub,4.9263454,52.3666601,POINT (4.9263454 52.3666601)
137,Ferdinand Deegspecialiteiten,fast_food,4.8911783,52.3516358,POINT (4.8911783 52.3516358)
138,Desa,restaurant,4.8918487,52.3530404,POINT (4.8918487 52.3530404)
139,Pizza Taxi Da Paolo & Seba,restaurant,4.8925821,52.3531385,POINT (4.8925821 52.3531385)
140,Toko Talaad Thai,restaurant,4.8938587,52.3540322,POINT (4.8938587 52.3540322)
141,Boca's Park,restaurant,4.8936555,52.3543439,POINT (4.8936555 52.3543439)
142,FEBO,fast_food,4.8909587,52.3538862,POINT (4.8909587 52.3538862)
143,Subway,fast_food,4.8914518,52.3529905,POINT (4.8914518 52.3529905)
144,Samba Kitchen,restaurant,4.8899633,52.3527876,POINT (4.8899633 52.3527876)
145,El Rocio Tapas Bar,restaurant,4.8875543,52.3521524,POINT (4.8875543 52.3521524)
146,La Roca,pub,4.8878802,52.3521945,POINT (4.8878802 52.3521945)
147,Thai Deum,restaurant,4.8880745,52.3522209,POINT (4.8880745 52.3522209)
148,Pahop Thai,restaurant,4.8889814,52.3523455,POINT (4.8889814 52.3523455)
149,'t Ceintuurtje,pub,4.8885330,52.3522794,POINT (4.888533 52.3522794)
150,Tapas bar Castro,pub,4.8577378,52.3519743,POINT (4.8577378 52.3519743)
151,Onder de Ooievaar,pub,4.8991929,52.3619174,POINT (4.8991929 52.3619174)
152,De Chinese Pagode,restaurant,4.7452636,52.8992534,POINT (4.7452636 52.8992534)
153,Kruimeltje,restaurant,4.7453940,52.8997810,POINT (4.745394 52.899781)
154,Kokerij Brammetje,restaurant,4.7446519,52.8998046,POINT (4.7446519 52.8998046)
155,Pizzeria Ristorante Italia,restaurant,4.7451622,52.8989836,POINT (4.7451622 52.8989836)
156,de Pels,pub,4.8853647,52.3687836,POINT (4.8853647 52.3687836)
157,Café Americain,cafe,4.8813718,52.3638967,POINT (4.8813718 52.3638967)
158,Wok to Walk,fast_food,4.8836169,52.3647338,POINT (4.8836169 52.3647338)
159,Wok to Walk,fast_food,4.8953344,52.3762173,POINT (4.8953344 52.3762173)
