,name,type,x,y,geometry
0,Nesserlaan,bus_stop,4.8389000,52.2770100,POINT (4.8389 52.27701)
1,Station,bus_stop,4.7025782,52.5218213,POINT (4.7025782 52.5218213)
2,A. Slickerstraat,bus_stop,4.9320175,52.7140877,POINT (4.9320175 52.7140877)
3,Dorpshuis Marijke,bus_stop,4.6798988,52.2401390,POINT (4.6798988 52.240139)
4,Cornelis Edelmanstraat,bus_stop,4.9632598,52.4902347,POINT (4.9632598 52.4902347)
5,Cornelis Edelmanstraat,bus_stop,4.9628212,52.4902398,POINT (4.9628212 52.4902398)
6,Mergelland,bus_stop,4.9654732,52.4950649,POINT (4.9654732 52.4950649)
7,Mergelland,bus_stop,4.9662556,52.4946806,POINT (4.9662556 52.4946806)
8,Gaasperdamstraat,bus_stop,4.8043113,52.4451925,POINT (4.8043113 52.4451925)
9,Badhoevelaan,bus_stop,4.7900155,52.3404890,POINT (4.7900155 52.340489)
10,Oostzanerdijk,bus_stop,4.8810259,52.4204310,POINT (4.8810259 52.420431)
11,Oostzanerdijk,bus_stop,4.8814458,52.4202190,POINT (4.8814458 52.420219)
12,Kometensingel,bus_stop,4.8828852,52.4166172,POINT (4.8828852 52.4166172)
13,Kometensingel,bus_stop,4.8825447,52.4165291,POINT (4.8825447 52.4165291)
14,Neckerstraat,bus_stop,4.9367251,52.5092522,POINT (4.9367251 52.5092522)
15,Neckerstraat,bus_stop,4.9365236,52.5099046,POINT (4.9365236 52.5099046)
16,Standerdmolen,bus_stop,4.8920308,52.4161839,POINT (4.8920308 52.4161839)
17,Standerdmolen,bus_stop,4.8932820,52.4162683,POINT (4.893282 52.4162683)
18,Meteorenweg,bus_stop,4.8811392,52.4147289,POINT (4.8811392 52.4147289)
19,Westkolkdijk,bus_stop,4.8641859,52.4299931,POINT (4.8641859 52.4299931)
20,Moeder Terresastraat,bus_stop,4.9600481,52.4875284,POINT (4.9600481 52.4875284)
21,Moeder Terresastraat,bus_stop,4.9590718,52.4868376,POINT (4.9590718 52.4868376)
22,Splitsing,bus_stop,4.9527727,52.4225328,POINT (4.9527727 52.4225328)
23,Splitsing,bus_stop,4.9523131,52.4225883,POINT (4.9523131 52.4225883)
24,Minneweg,bus_stop,5.1095838,52.4619153,POINT (5.1095838 52.4619153)
25,Nieuwpoortslaan,bus_stop,5.0310588,52.4555038,POINT (5.0310588 52.4555038)
26,Ringshemmen,bus_stop,5.0300709,52.4498729,POINT (5.0300709 52.4498729)
