,name,type,x,y,geometry
0,Nieuw Vennep,station,4.6453582,52.2588593,POINT (4.6453582 52.2588593)
1,Schiphol Airport,station,4.7621813,52.3095230,POINT (4.7621813 52.309523)
2,Diemen Zuid,station,4.9560598,52.3302613,POINT (4.9560598 52.3302613)
3,Surinameplein,tram_stop,4.8521827,52.3580481,POINT (4.8521827 52.3580481)
4,Alexanderplein,tram_stop,4.9193627,52.3635043,POINT (4.9193627 52.3635043)
5,Meester Visserplein,tram_stop,4.9053602,52.3679611,POINT (4.9053602 52.3679611)
6,Nassaukade,tram_stop,4.8792047,52.3813125,POINT (4.8792047 52.3813125)
7,Zoutkeetsgracht,tram_stop,4.8851416,52.3880840,POINT (4.8851416 52.388084)
8,Hoorn,station,5.0546461,52.6450893,POINT (5.0546461 52.6450893)
9,Hoorn Kersenboogerd,station,5.0849124,52.6533353,POINT (5.0849124 52.6533353)
10,Bovenkarspel-Grootebroek,station,5.2363181,52.6950724,POINT (5.2363181 52.6950724)
11,Enkhuizen,station,5.2879930,52.6995600,POINT (5.287993 52.69956)
12,Den Helder,station,4.7606663,52.9568469,POINT (4.7606663 52.9568469)
13,,subway_entrance,4.9021531,52.3678364,POINT (4.9021531 52.3678364)
14,Ingang Nieuwe Herengracht,subway_entrance,4.9048986,52.3662505,POINT (4.9048986 52.3662505)
15,Van Limburg Stirumplein,tram_stop,4.8749198,52.3844185,POINT (4.8749198 52.3844185)
16,Nieuwmarkt,subway_entrance,4.9003380,52.3705305,POINT (4.900338 52.3705305)
17,Wibautstraat,subway_entrance,4.9125252,52.3531267,POINT (4.9125252 52.3531267)
18,Dapperstraat,tram_stop,4.9289422,52.3609314,POINT (4.9289422 52.3609314)
19,Roelof Hartplein,tram_stop,4.8820871,52.3531224,POINT (4.8820871 52.3531224)
20,Concertgebouw,tram_stop,4.8796377,52.3566951,POINT (4.8796377 52.3566951)
21,Marnixplein,tram_stop,4.8791849,52.3785896,POINT (4.8791849 52.3785896)
22,Marnixplein,tram_stop,4.8785423,52.3783985,POINT (4.8785423 52.3783985)
23,Frederik Hendrikplantsoen,tram_stop,4.8752680,52.3784783,POINT (4.875268 52.3784783)
24,Hugo de Grootplein,tram_stop,4.8729548,52.3750097,POINT (4.8729548 52.3750097)
25,Hugo de Grootplein,tram_stop,4.8725310,52.3742987,POINT (4.872531 52.3742987)
