,name,type,x,y,geometry
0,Vestzaktheater,theatre,6.8943460,52.2197141,POINT (6.894346 52.2197141)
1,Concordia,cinema,6.8957989,52.2211147,POINT (6.8957989 52.2211147)
2,Deventer Schouwburg,theatre,6.1615569,52.2556465,POINT (6.1615569 52.2556465)
3,ZINiN Theater,theatre,6.4612704,52.3643592,POINT (6.4612704 52.3643592)
4,Vue,cinema,6.1659473,52.2528672,POINT (6.1659473 52.2528672)
5,Stadstheater De Bond,theatre,6.9316807,52.3157466,POINT (6.9316807 52.3157466)
6,De City/Movie Unlimited,cinema,5.9161680,52.5580786,POINT (5.916168 52.5580786)
7,Schouwburg Odeon,theatre,6.0918538,52.5104825,POINT (6.0918538 52.5104825)
8,Theater De Spiegel,theatre,6.0976158,52.5159850,POINT (6.0976158 52.515985)
9,Kunstcircuit Deventer,arts_centre,6.1612809,52.2554318,POINT (6.1612809 52.2554318)
10,Bios Hardenberg,cinema,6.6173865,52.5777379,POINT (6.6173865 52.5777379)
11,Stadsgehoorzaal Kampen,theatre,5.9143179,52.5586039,POINT (5.9143179 52.5586039)
12,Kinepolis,cinema,6.8355973,52.2383165,POINT (6.8355973 52.2383165)
13,Kamak,theatre,6.7890961,52.2576587,POINT (6.7890961 52.2576587)
14,Atelier De Ganzebos,arts_centre,6.7759118,52.2033610,POINT (6.7759118 52.203361)
15,Galerie Aly Schutte,arts_centre,6.4085852,52.4883027,POINT (6.4085852 52.4883027)
16,Theaterhotel,theatre,6.6671899,52.3556818,POINT (6.6671899 52.3556818)
17,De Voorveghter,theatre,6.6175108,52.5773249,POINT (6.6175108 52.5773249)
18,Menthol en Roosje,arts_centre,6.7945394,52.2642265,POINT (6.7945394 52.2642265)
19,Movie Unlimited,cinema,6.6668559,52.3543271,POINT (6.6668559 52.3543271)
20,Openluchttheater Brilmansdennen,theatre,7.0160359,52.2678133,POINT (7.0160359 52.2678133)
21,Ateliers Koewegje,arts_centre,6.1028212,52.5140962,POINT (6.1028212 52.5140962)
22,Hedon,theatre,6.0943225,52.5169757,POINT (6.0943225 52.5169757)
23,Theater Podium Heino,theatre,6.2336482,52.4351522,POINT (6.2336482 52.4351522)
24,Theaterschip,theatre,6.1698146,52.2478361,POINT (6.1698146 52.2478361)
25,Kunstcircuit Deventer (dependance),arts_centre,6.2078146,52.2544181,POINT (6.2078146 52.2544181)
26,Burgerweeshuis,theatre,6.1555813,52.2545464,POINT (6.1555813 52.2545464)
27,B93,arts_centre,6.9091773,52.2227480,POINT (6.9091773 52.222748)
28,Theaterschuur Okkenbroek,theatre,6.3257832,52.2778580,POINT (6.3257832 52.277858)
29,Nationaal Muziekkwartier,theatre,6.8953189,52.2226206,POINT (6.8953189 52.2226206)
30,Cineast,cinema,6.8953037,52.2216108,POINT (6.8953037 52.2216108)
31,Concordia,arts_centre,6.8958614,52.2201069,POINT (6.8958614 52.2201069)
32,Vue Cinema,cinema,6.8958343,52.2172488,POINT (6.8958343 52.2172488)
33,Kulturhus de Bijenkorf,theatre,6.7581469,52.3022979,POINT (6.7581469 52.3022979)
34,Wresinski theater,theatre,6.1138536,52.5200708,POINT (6.1138536 52.5200708)
35,Openluchttheater,theatre,6.7579655,52.3204016,POINT (6.7579655 52.3204016)
36,Theater Hof 88,theatre,6.6707928,52.3537499,POINT (6.6707928 52.3537499)
37,Kaliber Kunstenschool,arts_centre,6.8950657,52.2224665,POINT (6.8950657 52.2224665)
38,,theatre,6.2337829,52.2292814,POINT (6.2337829 52.2292814)
39,Pathé Zwolle,cinema,6.0867462,52.5140510,POINT (6.0867462 52.514051)
40,De Kleine Willem,theatre,6.8957794,52.2197053,POINT (6.8957794 52.2197053)
41,Fraterhuis,cinema,6.0919026,52.5105416,POINT (6.0919026 52.5105416)
42,Popfront,theatre,6.0940836,52.5168269,POINT (6.0940836 52.5168269)
43,Chez Ratatouille,theatre,6.7977586,52.2647550,POINT (6.7977586 52.264755)
44,Amfitheater Het Lommerrijk,theatre,6.3661718,52.4033122,POINT (6.3661718 52.4033122)
45,El Teatro,cinema,6.5639052,52.6225303,POINT (6.5639052 52.6225303)
46,Atelier Harry JolinG,arts_centre,6.1402557,52.2499244,POINT (6.1402557 52.2499244)
47,High Dive Stuntshow,theatre,6.4367652,52.3898711,POINT (6.4367652 52.3898711)
48,American Circus Theater,theatre,6.5639143,52.6254082,POINT (6.5639143 52.6254082)
49,Bioscoop,cinema,6.2230456,52.4238066,POINT (6.2230456 52.4238066)
50,Mimik,theatre,6.1529393,52.2521244,POINT (6.1529393 52.2521244)
51,Parkgebouw,theatre,6.5290525,52.3104511,POINT (6.5290525 52.3104511)
52,Domusica,arts_centre,6.1097499,52.5219154,POINT (6.1097499 52.5219154)
53,Muziekkoepel Overdinkel,theatre,7.0338798,52.2369336,POINT (7.0338798 52.2369336)
54,Muziekkoepel,theatre,6.0948083,52.5893772,POINT (6.0948083 52.5893772)
55,Amphitheater,theatre,6.3317394,52.5228052,POINT (6.3317394 52.5228052)
56,Theater de Stoomfabriek,theatre,6.2578632,52.5020465,POINT (6.2578632 52.5020465)
57,Openluchttheater,theatre,6.4248358,52.4664929,POINT (6.4248358 52.4664929)
58,Bioscoop,cinema,6.6793840,52.3518707,POINT (6.679384 52.3518707)
59,,theatre,6.4539103,52.3502317,POINT (6.4539103 52.3502317)
