,name,type,x,y,geometry
0,Tandartsenpraktijk De Leeuwenbrug,dentist,6.1626181,52.2560476,POINT (6.1626181 52.2560476)
1,Abma,veterinary,6.6291707,52.4077721,POINT (6.6291707 52.4077721)
2,Tandzorg Steenwijk,dentist,6.1376610,52.7857350,POINT (6.137661 52.785735)
3,,doctors,6.1208445,52.7934250,POINT (6.1208445 52.793425)
4,ZGT Almelo,hospital,6.6408034,52.3371550,POINT (6.6408034 52.337155)
5,ZGT Hengelo,hospital,6.7706320,52.2631750,POINT (6.770632 52.263175)
6,Ruinemans,dentist,6.8991864,52.4099412,POINT (6.8991864 52.4099412)
7,Huisartsenpraktijk Ootmarsum,doctors,6.8976625,52.4095327,POINT (6.8976625 52.4095327)
8,JRJ Evenhuis,veterinary,6.9957154,52.3279645,POINT (6.9957154 52.3279645)
9,Eshuis Dierenartspraktijk,veterinary,6.9522800,52.3247381,POINT (6.95228 52.3247381)
10,,doctors,6.1488060,52.2582330,POINT (6.148806 52.258233)
11,Huisartsenpost,doctors,6.5782491,52.2954773,POINT (6.5782491 52.2954773)
12,medisch centrum De Muiden,doctors,6.0423715,52.6230982,POINT (6.0423715 52.6230982)
13,Gezondheidsspectrum Slagharen,clinic,6.5530787,52.6295190,POINT (6.5530787 52.629519)
14,,veterinary,6.5905873,52.2350454,POINT (6.5905873 52.2350454)
15,,veterinary,6.8264962,52.2852997,POINT (6.8264962 52.2852997)
16,Zuyderhart,doctors,6.1094035,52.4822626,POINT (6.1094035 52.4822626)
17,Tandartsengroepspraktijk Vrijheid,dentist,6.1091989,52.4821901,POINT (6.1091989 52.4821901)
18,Fempoli,clinic,6.0891268,52.5029629,POINT (6.0891268 52.5029629)
19,Praktijk voor Mondhygiene,dentist,6.0957230,52.5053074,POINT (6.095723 52.5053074)
20,Wesselink,dentist,6.1045041,52.5039750,POINT (6.1045041 52.503975)
21,Kattenkliniek Zwolle,veterinary,6.1058719,52.5027939,POINT (6.1058719 52.5027939)
22,Huisartsen Centrumzorg,doctors,6.0961244,52.5078544,POINT (6.0961244 52.5078544)
23,La Roi,dentist,6.0961076,52.5077415,POINT (6.0961076 52.5077415)
24,Dimence Grasdorpstraat,clinic,6.1038010,52.5075625,POINT (6.103801 52.5075625)
25,De Zwolse Tulp,doctors,6.1090803,52.5036143,POINT (6.1090803 52.5036143)
26,Stimezo Abortuskliniek,clinic,6.0935323,52.5050211,POINT (6.0935323 52.5050211)
27,Excellentia,dentist,6.0941793,52.5057448,POINT (6.0941793 52.5057448)
28,Blanker & Thiele,doctors,6.0507767,52.5255354,POINT (6.0507767 52.5255354)
29,Tandenbleken,dentist,6.0852621,52.5094938,POINT (6.0852621 52.5094938)
30,Chiropractor Elzerman,clinic,6.0855198,52.5101842,POINT (6.0855198 52.5101842)
31,Atiq,dentist,6.0812680,52.5265695,POINT (6.081268 52.5265695)
32,Fysiotherapie Holtenbroek,clinic,6.0892926,52.5259596,POINT (6.0892926 52.5259596)
33,huisartsenpraktijk Holtenzorg,doctors,6.0848180,52.5221832,POINT (6.084818 52.5221832)
34,Huisartsen Holtenbroek,doctors,6.0847646,52.5224955,POINT (6.0847646 52.5224955)
35,Tandartsenpraktijk Holtenbroek,dentist,6.0867221,52.5267685,POINT (6.0867221 52.5267685)
36,De Vries,dentist,6.0987198,52.5128150,POINT (6.0987198 52.512815)
37,F.S.B. van de Werken,dentist,6.0984756,52.5145604,POINT (6.0984756 52.5145604)
38,Bergman Clinics,clinic,6.0891315,52.5107513,POINT (6.0891315 52.5107513)
39,Tandartsen Noordereiland,dentist,6.0938436,52.5150879,POINT (6.0938436 52.5150879)
40,Tandartspraktijk De Brink,dentist,6.1026288,52.5149294,POINT (6.1026288 52.5149294)
41,Huisartsenpraktijk Turfmarkt,doctors,6.1047007,52.5127419,POINT (6.1047007 52.5127419)
42,Mondhygiëne Praktijk Sarkisian,dentist,6.1009467,52.5167772,POINT (6.1009467 52.5167772)
43,Wesselink Dental,dentist,6.1048209,52.5159790,POINT (6.1048209 52.515979)
44,4Dental,dentist,6.1032682,52.5274152,POINT (6.1032682 52.5274152)
45,Huisartsenpraktijk AA-Landen,doctors,6.1022871,52.5313281,POINT (6.1022871 52.5313281)
46,Boersma & Boersma,dentist,6.0995634,52.5302656,POINT (6.0995634 52.5302656)
47,Bergman Clinics,clinic,6.0871740,52.5171240,POINT (6.087174 52.517124)
48,De Bolle Bieste Gezondheidsplein,doctors,6.0927181,52.5195733,POINT (6.0927181 52.5195733)
49,"Smaal Rugzorg, Echografie en Shockwave",clinic,6.0930891,52.5199188,POINT (6.0930891 52.5199188)
50,Dede,dentist,6.0930135,52.5183392,POINT (6.0930135 52.5183392)
51,Klikgebit,dentist,6.0928526,52.5190364,POINT (6.0928526 52.5190364)
52,Veenstra,dentist,6.2339053,52.4373763,POINT (6.2339053 52.4373763)
53,Diergeneeskundig Centrum Midden Salland,veterinary,6.2612438,52.3878909,POINT (6.2612438 52.3878909)
54,Tandartspratijk Elders,dentist,6.2606979,52.3826159,POINT (6.2606979 52.3826159)
55,Fysiostad,clinic,6.1106549,52.4825623,POINT (6.1106549 52.4825623)
56,FysioZwolle,clinic,6.1085093,52.4836734,POINT (6.1085093 52.4836734)
57,Geert Groote,doctors,6.1073915,52.5217498,POINT (6.1073915 52.5217498)
58,Huisarts Rook,doctors,6.0908377,52.5910205,POINT (6.0908377 52.5910205)
