,name,type,x,y,geometry
0,McDonald's,fast_food,6.8988016,52.2188669,POINT (6.8988016 52.2188669)
1,McDonald's,fast_food,6.9286120,52.2850742,POINT (6.928612 52.2850742)
2,De Muur,fast_food,6.8952145,52.2212884,POINT (6.8952145 52.2212884)
3,Molly Malone,pub,6.8954136,52.2212172,POINT (6.8954136 52.2212172)
4,De Beiaard,pub,6.8965814,52.2206672,POINT (6.8965814 52.2206672)
5,Proeflokaal België,pub,6.8963062,52.2209673,POINT (6.8963062 52.2209673)
6,De Kater,pub,6.8948201,52.2206707,POINT (6.8948201 52.2206707)
7,De Tor,pub,6.8945406,52.2193811,POINT (6.8945406 52.2193811)
8,Samsam,cafe,6.8959460,52.2210758,POINT (6.895946 52.2210758)
9,Loetje,restaurant,6.8786075,52.2202982,POINT (6.8786075 52.2202982)
10,De Egel eten en drinken,fast_food,7.0091279,52.2553687,POINT (7.0091279 52.2553687)
11,Budde,restaurant,6.4544780,52.3656147,POINT (6.454478 52.3656147)
12,Isis,fast_food,6.4559523,52.3655511,POINT (6.4559523 52.3655511)
13,Sirtaki,restaurant,6.4575667,52.3656802,POINT (6.4575667 52.3656802)
14,Il Gusto,restaurant,6.4568038,52.3657352,POINT (6.4568038 52.3657352)
15,Sultana Grill,restaurant,6.4566933,52.3658528,POINT (6.4566933 52.3658528)
16,Hooked Seafood,restaurant,6.4564434,52.3657627,POINT (6.4564434 52.3657627)
17,Dynasty,restaurant,6.4554094,52.3658310,POINT (6.4554094 52.365831)
18,Uncle Sam,pub,6.4551343,52.3658325,POINT (6.4551343 52.3658325)
19,Restaurant Stromboli,restaurant,6.4541557,52.3662115,POINT (6.4541557 52.3662115)
20,Café Borrels,pub,6.4541441,52.3662639,POINT (6.4541441 52.3662639)
21,,pub,6.4540716,52.3664691,POINT (6.4540716 52.3664691)
22,Marktzicht,cafe,6.2335572,52.4359993,POINT (6.2335572 52.4359993)
23,Het Bolwerk,pub,6.8950556,52.2214276,POINT (6.8950556 52.2214276)
24,Landgoed Het Laer,restaurant,6.4137120,52.5136931,POINT (6.413712 52.5136931)
25,Café & cafetaria Wouter,fast_food,6.9058566,52.2117793,POINT (6.9058566 52.2117793)
