,name,type,x,y,geometry
0,Glanerbrug,station,6.9742518,52.2187220,POINT (6.9742518 52.218722)
1,Enschede Kennispark,station,6.8387936,52.2374190,POINT (6.8387936 52.237419)
2,Hengelo,station,6.7949086,52.2617754,POINT (6.7949086 52.2617754)
3,Hengelo Oost,station,6.8197673,52.2690072,POINT (6.8197673 52.2690072)
4,Oldenzaal,station,6.9340349,52.3062438,POINT (6.9340349 52.3062438)
5,Wijhe,station,6.1410453,52.3909959,POINT (6.1410453 52.3909959)
6,Enschede De Eschmarke,station,6.9514664,52.2212722,POINT (6.9514664 52.2212722)
7,Zoutindustrie,station,6.7853221,52.1917806,POINT (6.7853221 52.1917806)
8,Haaksbergen,station,6.7381799,52.1584703,POINT (6.7381799 52.1584703)
9,Boekelo,station,6.8008997,52.2048225,POINT (6.8008997 52.2048225)
10,Hardenberg,station,6.6276030,52.5723383,POINT (6.627603 52.5723383)
11,Mariënberg,station,6.5742267,52.5090250,POINT (6.5742267 52.509025)
12,Olst,station,6.1134201,52.3354376,POINT (6.1134201 52.3354376)
13,Zwolle,station,6.0912373,52.5050086,POINT (6.0912373 52.5050086)
14,Enschede,station,6.8897811,52.2223649,POINT (6.8897811 52.2223649)
15,Deventer,station,6.1611049,52.2572928,POINT (6.1611049 52.2572928)
16,Almelo,station,6.6544143,52.3577052,POINT (6.6544143 52.3577052)
17,Kampen Zuid,station,5.9132744,52.5329839,POINT (5.9132744 52.5329839)
18,Zwolle Stadshagen,station,6.0512888,52.5278636,POINT (6.0512888 52.5278636)
19,Wierden,station,6.5921524,52.3615400,POINT (6.5921524 52.36154)
20,Vroomshoop,station,6.5696271,52.4573120,POINT (6.5696271 52.457312)
21,Rijssen,station,6.5192167,52.3117493,POINT (6.5192167 52.3117493)
22,Goor,station,6.5850946,52.2302772,POINT (6.5850946 52.2302772)
23,Holten,station,6.4211684,52.2840788,POINT (6.4211684 52.2840788)
24,Deventer Colmschate,station,6.2156789,52.2503500,POINT (6.2156789 52.25035)
25,Kampen,station,5.9216300,52.5597878,POINT (5.92163 52.5597878)
26,Hengelo Gezondheidspark,station,6.7679488,52.2616919,POINT (6.7679488 52.2616919)
27,Delden,station,6.7151462,52.2600838,POINT (6.7151462 52.2600838)
28,Borne,station,6.7484512,52.2986128,POINT (6.7484512 52.2986128)
29,Almelo de Riet,station,6.6666467,52.3420988,POINT (6.6666467 52.3420988)
30,Nijverdal,station,6.4624207,52.3663780,POINT (6.4624207 52.366378)
31,Heino,station,6.2220279,52.4269658,POINT (6.2220279 52.4269658)
32,Raalte,station,6.2782300,52.3914177,POINT (6.27823 52.3914177)
33,Dalfsen,station,6.2594892,52.4982281,POINT (6.2594892 52.4982281)
34,Ommen,station,6.4172206,52.5097013,POINT (6.4172206 52.5097013)
35,Vriezenveen,station,6.6004536,52.4020925,POINT (6.6004536 52.4020925)
36,Gramsbergen,station,6.6763620,52.6098651,POINT (6.676362 52.6098651)
37,Steenwijk,station,6.1164515,52.7911743,POINT (6.1164515 52.7911743)
38,Daarlerveen,station,6.5760173,52.4411354,POINT (6.5760173 52.4411354)
