,name,type,x,y,geometry
0,Thomas a Kempisleerhuis,school,5.0867812,52.0953797,POINT (5.0867812 52.0953797)
1,Franciscusschool,school,4.8593640,52.0793120,POINT (4.859364 52.079312)
2,Constantijnschool,school,4.8567674,52.0792770,POINT (4.8567674 52.079277)
3,Kalsbeek College Bredius,school,4.8868730,52.0904421,POINT (4.886873 52.0904421)
4,Haarstylisten college,school,5.1032387,52.0942594,POINT (5.1032387 52.0942594)
5,Kinderdagverblyf Aspelin,school,5.0886708,52.0943020,POINT (5.0886708 52.094302)
6,OBS de Cirkel,school,5.0860910,52.1143551,POINT (5.086091 52.1143551)
7,Minkema College,college,4.9083190,52.0892024,POINT (4.908319 52.0892024)
8,Basisschool De Schakel,school,4.9016975,52.0904839,POINT (4.9016975 52.0904839)
9,Bibliotheek De Beuk,library,4.8829856,52.0866057,POINT (4.8829856 52.0866057)
10,Agatha Snellen School,school,5.1249635,52.0826736,POINT (5.1249635 52.0826736)
11,,school,4.9735501,52.2746968,POINT (4.9735501 52.2746968)
12,Basisschool 'De Regenboog',school,5.0003895,52.1755201,POINT (5.0003895 52.1755201)
13,Jeugdbibliotheek Waterwin,library,5.0434039,52.1048276,POINT (5.0434039 52.1048276)
14,"Chr. Jenaplanschool ""De Brug""",school,5.0935876,52.0903328,POINT (5.0935876 52.0903328)
15,'t Kockenest,school,4.9487205,52.1491591,POINT (4.9487205 52.1491591)
16,'t Hooghe Landt College,school,5.4026341,52.1782214,POINT (5.4026341 52.1782214)
17,Willibrordusschool,school,4.9999092,52.1770120,POINT (4.9999092 52.177012)
18,obs De Gondelier,school,5.4227774,52.2044114,POINT (5.4227774 52.2044114)
19,De Zeven Gavenschool,school,5.0915991,52.0770170,POINT (5.0915991 52.077017)
20,Lukasschool,school,5.0915873,52.0762557,POINT (5.0915873 52.0762557)
21,Basisschool De Wijde Blik,school,4.8919807,52.1139659,POINT (4.8919807 52.1139659)
22,Basisschool De Wijde Blik,school,4.8932274,52.1141630,POINT (4.8932274 52.114163)
23,CBS Eben-Haëzer,school,4.8926613,52.1162758,POINT (4.8926613 52.1162758)
24,Bibliotheek Vianen,library,5.0954860,51.9941828,POINT (5.095486 51.9941828)
25,Op Dreef,school,5.2306824,52.1019238,POINT (5.2306824 52.1019238)
26,Bibliotheek Z-O-U-T,library,5.3759664,52.0652463,POINT (5.3759664 52.0652463)
27,Kinderdagverblijf 't Kruimeltje,kindergarten,5.2310645,52.0934385,POINT (5.2310645 52.0934385)
28,Damiaanschool,school,5.2379209,52.0890822,POINT (5.2379209 52.0890822)
29,Kinderdagverblijf Waterpret,kindergarten,5.1134213,52.0769116,POINT (5.1134213 52.0769116)
30,Vrije School Utrecht,school,5.1266171,52.0907447,POINT (5.1266171 52.0907447)
31,ODBS Pieterskerkhof,school,5.1254205,52.0912152,POINT (5.1254205 52.0912152)
32,Openbare Montessori School,school,5.2477369,52.0993530,POINT (5.2477369 52.099353)
33,Wilhelminaschool,school,4.8865237,52.0894000,POINT (4.8865237 52.0894)
34,Willem van Oranjeschool,school,4.8742080,52.0840498,POINT (4.874208 52.0840498)
35,R.K. basisschool De Molenwiek,school,4.8687510,52.0773334,POINT (4.868751 52.0773334)
36,CBS 't Kompas,school,5.0383064,52.1393820,POINT (5.0383064 52.139382)
37,CBS De Klaroen,school,5.0423558,52.1463637,POINT (5.0423558 52.1463637)
38,OBS Het Palet,school,5.0538635,52.1362258,POINT (5.0538635 52.1362258)
39,CBS 't Kompas,school,5.0533141,52.1360625,POINT (5.0533141 52.1360625)
40,Peuterspeelzaal Waterwereld,kindergarten,5.0935691,52.0206736,POINT (5.0935691 52.0206736)
41,Universiteit Utrecht - Parnassos Cultuurcentrum,university,5.1302840,52.0941811,POINT (5.130284 52.0941811)
42,Sint Nicolaasschool,school,5.2335423,52.0470998,POINT (5.2335423 52.0470998)
43,Protestants Christelijke Basisschool Beurthonk,school,5.2330584,52.0467872,POINT (5.2330584 52.0467872)
44,Prinses Wilhelminaschool,school,5.0333542,51.9637696,POINT (5.0333542 51.9637696)
45,,library,5.0333362,51.9635677,POINT (5.0333362 51.9635677)
46,,kindergarten,5.0331377,51.9635790,POINT (5.0331377 51.963579)
47,Het Fundament,school,5.0143134,51.9028012,POINT (5.0143134 51.9028012)
48,Berg en Boschschool,school,5.2099538,52.1533720,POINT (5.2099538 52.153372)
49,Kinderdagverblijf Spikkels,kindergarten,5.1120969,52.0795482,POINT (5.1120969 52.0795482)
50,SBO De Kristal,school,5.0197473,52.1368305,POINT (5.0197473 52.1368305)
51,Bibliotheek Hoograven,library,5.1234387,52.0727750,POINT (5.1234387 52.072775)
52,Bibliotheek Houten-Centrum,library,5.1675968,52.0340708,POINT (5.1675968 52.0340708)
53,De Wegwijzer,school,4.9510161,52.1476342,POINT (4.9510161 52.1476342)
54,de Breede Hei,school,5.3943491,52.1897211,POINT (5.3943491 52.1897211)
55,Gabrie Mehen,school,5.3923537,52.1910825,POINT (5.3923537 52.1910825)
56,Jorai,school,4.8361004,52.1134252,POINT (4.8361004 52.1134252)
57,OBS De Achtsprong,school,4.8687169,52.0778364,POINT (4.8687169 52.0778364)
58,KDV Het Palet,kindergarten,5.1176048,52.0786643,POINT (5.1176048 52.0786643)
59,Open Universiteit Nederland,university,5.1156350,52.0779211,POINT (5.115635 52.0779211)
60,Openbare Basisschool De Bongerd,school,5.2334489,52.0472824,POINT (5.2334489 52.0472824)
61,Peuterspeelzaal Grutje,kindergarten,5.2336774,52.0470021,POINT (5.2336774 52.0470021)
62,Kinderopvang Humanitas,kindergarten,5.2335995,52.0470149,POINT (5.2335995 52.0470149)
63,Praktijkschool Woerden,school,4.8639062,52.0843974,POINT (4.8639062 52.0843974)
64,OBS De Triangel,school,5.0099530,52.1417200,POINT (5.009953 52.14172)
65,De Bijenschans,school,4.9990511,52.1716736,POINT (4.9990511 52.1716736)
66,"Faculteit Recht, economie, bestuur en organisatie",school,5.1206492,52.0930845,POINT (5.1206492 52.0930845)
67,Universiteit Utrecht,university,5.1233895,52.0904604,POINT (5.1233895 52.0904604)
68,Universiteit Utrecht,university,5.1231525,52.0906639,POINT (5.1231525 52.0906639)
69,Universiteit Utrecht,university,5.1232736,52.0905682,POINT (5.1232736 52.0905682)
70,TIO - University for applied sciences,university,5.1127847,52.0969853,POINT (5.1127847 52.0969853)
71,Margrietschool,school,4.9098395,52.0839066,POINT (4.9098395 52.0839066)
72,De Pijlstaart,school,5.1092235,52.0958781,POINT (5.1092235 52.0958781)
73,De Sint Jozefschool,school,4.9315322,52.2141571,POINT (4.9315322 52.2141571)
74,Willem Alexander school,school,5.0941829,52.0073751,POINT (5.0941829 52.0073751)
75,Speeldorp Kinderdagverblijf,kindergarten,5.1958686,52.0693167,POINT (5.1958686 52.0693167)
76,Basisschool De Wegwijzer,school,5.2507100,52.1016870,POINT (5.25071 52.101687)
77,Volksuniversiteit Het Groene Hart,university,4.8863911,52.0848991,POINT (4.8863911 52.0848991)
78,,kindergarten,4.9752374,52.2665912,POINT (4.9752374 52.2665912)
79,De Jutter,kindergarten,5.1169989,52.0713002,POINT (5.1169989 52.0713002)
80,Het Kevertje,kindergarten,5.1223021,52.0791585,POINT (5.1223021 52.0791585)
81,Bibliotheek Vleuterweide,library,5.0116456,52.0941002,POINT (5.0116456 52.0941002)
82,,school,5.0157347,52.0826408,POINT (5.0157347 52.0826408)
83,Ensaid,tailor_school,5.1250325,52.0810037,POINT (5.1250325 52.0810037)
84,Bibliotheek Vleuten,library,5.0108608,52.1073056,POINT (5.0108608 52.1073056)
85,Kiekeboe KleineKasteel,kindergarten,5.2341205,52.0959053,POINT (5.2341205 52.0959053)
86,Kosmos,kindergarten,5.4091989,52.1190219,POINT (5.4091989 52.1190219)
87,Waldheim-mavo,school,5.2904336,52.2004213,POINT (5.2904336 52.2004213)
88,Bibliotheek AVV,library,4.9734425,52.2745591,POINT (4.9734425 52.2745591)
89,Bibliotheek Maarssen,library,5.0269050,52.1356317,POINT (5.026905 52.1356317)
90,Bibliotheek Bunnik,library,5.1948130,52.0700186,POINT (5.194813 52.0700186)
91,Bibliotheek Houten-Schoneveld,library,5.1738966,52.0161380,POINT (5.1738966 52.016138)
92,,kindergarten,5.1742900,52.0160231,POINT (5.17429 52.0160231)
93,Ariënsschool,school,5.1202812,52.0644425,POINT (5.1202812 52.0644425)
94,Da Costaschool,school,5.1207459,52.0643840,POINT (5.1207459 52.064384)
95,o.b.s. De Hoge Raven,school,5.1204136,52.0647684,POINT (5.1204136 52.0647684)
96,Het Dozijntje,kindergarten,5.2390962,52.0220693,POINT (5.2390962 52.0220693)
97,Delteykschool,school,5.2390361,52.0222678,POINT (5.2390361 52.0222678)
98,De Werkhof,school,5.2393953,52.0219333,POINT (5.2393953 52.0219333)
99,De Blauwe Ezel,kindergarten,5.2392808,52.0221344,POINT (5.2392808 52.0221344)
100,Bibliotheek Breukelen,library,4.9974760,52.1776994,POINT (4.997476 52.1776994)
101,KBS De Langenoord,school,5.3816014,52.1907050,POINT (5.3816014 52.190705)
102,,library,4.9300671,52.2137000,POINT (4.9300671 52.2137)
103,De Hummeltjes,kindergarten,4.9316202,52.2143589,POINT (4.9316202 52.2143589)
104,"Kinderdagverblijf ""Petit Petit""",kindergarten,4.9995117,52.1756187,POINT (4.9995117 52.1756187)
105,"Kinderdagverblijf ""De Klimboom""",kindergarten,4.9975109,52.1779133,POINT (4.9975109 52.1779133)
106,gro-up kinderopvang,kindergarten,5.0224176,52.0804758,POINT (5.0224176 52.0804758)
107,Boomgaard,kindergarten,4.9139709,52.0888495,POINT (4.9139709 52.0888495)
108,"Kind & Co, locatie Lolbroeken",kindergarten,4.9129570,52.0888462,POINT (4.912957 52.0888462)
109,PCB De Schakel,school,4.9250392,52.2145665,POINT (4.9250392 52.2145665)
110,O.B.S. de Pijlstaart,school,4.9237331,52.2145467,POINT (4.9237331 52.2145467)
111,St. Gregorius college,school,5.1258264,52.0925645,POINT (5.1258264 52.0925645)
112,KDV De Vrije Vogels,kindergarten,5.0759618,52.0253588,POINT (5.0759618 52.0253588)
113,RKB Het Vogelnest,school,5.0754791,52.0252862,POINT (5.0754791 52.0252862)
114,de Bibliotheek Leusden-Zuid,library,5.4094541,52.1194982,POINT (5.4094541 52.1194982)
115,Openbare bibliotheek,library,5.1362260,52.0640879,POINT (5.136226 52.0640879)
116,Bestuursgebouw (UU),university,5.1756637,52.0852978,POINT (5.1756637 52.0852978)
117,Universiteitsbibliotheek Binnenstad,library,5.1235846,52.0946054,POINT (5.1235846 52.0946054)
118,PCB De Trompetvogel,school,5.0773065,52.0214544,POINT (5.0773065 52.0214544)
119,Jojo,kindergarten,5.0324285,52.0771838,POINT (5.0324285 52.0771838)
120,Openbare Basisschool Apollo 11,school,5.0325156,52.0773272,POINT (5.0325156 52.0773272)
121,Medisch kinderdagverblijf Prikkebeen,kindergarten,5.1973531,52.0658250,POINT (5.1973531 52.065825)
122,Openbare basisschool De Krullevaar,school,5.0752771,52.0259036,POINT (5.0752771 52.0259036)
123,BSO De Vrije Vogels,kindergarten,5.0756230,52.0255439,POINT (5.075623 52.0255439)
124,2e van der Huchtschool,school,5.2792641,52.1680265,POINT (5.2792641 52.1680265)
125,Basisschool de Bron,school,5.2769252,52.1700401,POINT (5.2769252 52.1700401)
126,Basisschool de Wegwijzer,school,5.2819543,52.1679969,POINT (5.2819543 52.1679969)
127,De Cultuurfabriek / Bibliotheek,library,5.5594696,52.0273336,POINT (5.5594696 52.0273336)
128,Winford,school,5.1254453,52.0874363,POINT (5.1254453 52.0874363)
129,Volksuniversiteit,school,5.1244007,52.0885083,POINT (5.1244007 52.0885083)
130,Vathorst College,school,5.4320277,52.1942017,POINT (5.4320277 52.1942017)
131,Bibliotheek Vathorst,library,5.4313994,52.1943233,POINT (5.4313994 52.1943233)
132,Openbare Daltonschool 't Palet,school,5.4099077,52.1191104,POINT (5.4099077 52.1191104)
133,Protestant Christelijke basisschool Loysder Hoek,school,5.4098783,52.1187599,POINT (5.4098783 52.1187599)
134,KBS de Marke,school,5.4155530,52.1970033,POINT (5.415553 52.1970033)
135,GBS Het Zwaluwnest,school,5.4162511,52.1969418,POINT (5.4162511 52.1969418)
136,Kinderdagverblijf Schatkamer/BSO Schateiland,kindergarten,5.1208754,52.0646546,POINT (5.1208754 52.0646546)
137,,library,5.3084787,51.9970925,POINT (5.3084787 51.9970925)
138,Kinderopvang Polly,kindergarten,5.0983959,52.0891371,POINT (5.0983959 52.0891371)
139,Bibliotheek Rhenen,library,5.5680514,51.9614726,POINT (5.5680514 51.9614726)
140,MBO Utrecht,college,5.0852133,52.1259675,POINT (5.0852133 52.1259675)
141,Regio Bilbiotheek Z-O-U-T,library,5.4247174,52.0104305,POINT (5.4247174 52.0104305)
142,OBS De Eendracht,school,4.8628982,52.2131028,POINT (4.8628982 52.2131028)
143,RK Basisschool Hofland,school,4.8620824,52.2129554,POINT (4.8620824 52.2129554)
144,Utrechtse Schoolvereniging,school,5.1439301,52.0850562,POINT (5.1439301 52.0850562)
145,Mytylschool Ariane de Ranitz,school,5.1539178,52.0798012,POINT (5.1539178 52.0798012)
146,Openbare bibliotheek Doorn,library,5.3439423,52.0335247,POINT (5.3439423 52.0335247)
147,OBS De Toonladder,school,5.0875687,52.0439388,POINT (5.0875687 52.0439388)
148,OBS De Beatrixschool,school,5.0866785,52.0441692,POINT (5.0866785 52.0441692)
149,De Veldrakker,school,5.0741310,52.0406351,POINT (5.074131 52.0406351)
150,Lucas Batau,school,5.0728489,52.0408627,POINT (5.0728489 52.0408627)
