,name,type,x,y,geometry
0,Louis Hartloopercomplex,cinema,5.1241932,52.0817878,POINT (5.1241932 52.0817878)
1,Theater Kikker,theatre,5.1191869,52.0922123,POINT (5.1191869 52.0922123)
2,Het Huis Utrecht,theatre,5.1049209,52.0968781,POINT (5.1049209 52.0968781)
3,Paardenkathedraal,theatre,5.1376714,52.0975660,POINT (5.1376714 52.097566)
4,Springhavertheater,cinema,5.1191885,52.0881455,POINT (5.1191885 52.0881455)
5,Pathé Rembrandt Utrecht,cinema,5.1161390,52.0938693,POINT (5.116139 52.0938693)
6,City,cinema,5.1232353,52.0949992,POINT (5.1232353 52.0949992)
7,De Bundeling,arts_centre,5.3056212,52.1647855,POINT (5.3056212 52.1647855)
8,Hogeschool voor de Kunsten Utrecht,arts_centre,5.1210704,52.0928296,POINT (5.1210704 52.0928296)
9,Academie Galerie,arts_centre,5.1210088,52.0926338,POINT (5.1210088 52.0926338)
10,Schiller Theater,theatre,5.1207826,52.0924355,POINT (5.1207826 52.0924355)
11,Sophies Kunstprojecten,arts_centre,5.1114825,52.0741014,POINT (5.1114825 52.0741014)
12,Figi,cinema,5.2393406,52.0817518,POINT (5.2393406 52.0817518)
13,Cinelounge Houten,cinema,5.1691463,52.0345169,POINT (5.1691463 52.0345169)
14,,arts_centre,5.1738668,52.0157926,POINT (5.1738668 52.0157926)
15,Theater 4-en-1,theatre,4.9974397,52.1775533,POINT (4.9974397 52.1775533)
16,Het Cultuurhuis,arts_centre,5.1222835,52.0866461,POINT (5.1222835 52.0866461)
17,Fulcotheater,theatre,5.0406442,52.0176898,POINT (5.0406442 52.0176898)
18,Theater De Lampegiet,theatre,5.5529666,52.0244718,POINT (5.5529666 52.0244718)
19,Pathé Amersfoort,cinema,5.3810157,52.1587785,POINT (5.3810157 52.1587785)
20,Openluchttheater Cabrio,theatre,5.3045889,52.1544485,POINT (5.3045889 52.1544485)
21,MAPLAB,arts_centre,5.1389522,52.1151685,POINT (5.1389522 52.1151685)
22,Pop-up onder Max,arts_centre,5.1086287,52.0672235,POINT (5.1086287 52.0672235)
23,Musketon Theater,theatre,5.1359164,52.0640306,POINT (5.1359164 52.0640306)
24,Kunstliefde,arts_centre,5.1250945,52.0931125,POINT (5.1250945 52.0931125)
25,Poppentheater Toermalijn,theatre,5.3987486,52.1491469,POINT (5.3987486 52.1491469)
26,De Lieve Vrouw,theatre,5.3882471,52.1554354,POINT (5.3882471 52.1554354)
27,Theaterhuis de Berenkuil,theatre,5.1359988,52.0957919,POINT (5.1359988 52.0957919)
28,De Schuur,theatre,5.1248882,52.0822479,POINT (5.1248882 52.0822479)
29,Vue Amersfoort,cinema,5.3823928,52.1534375,POINT (5.3823928 52.1534375)
30,Holland Opera,theatre,5.3622272,52.1565821,POINT (5.3622272 52.1565821)
31,Spullenmannen,arts_centre,5.3769144,52.1626355,POINT (5.3769144 52.1626355)
32,Slachtstraat,cinema,5.1196662,52.0930924,POINT (5.1196662 52.0930924)
33,Het Werftheater,theatre,5.1168001,52.0947655,POINT (5.1168001 52.0947655)
34,CitySense,theatre,5.1141878,52.0944945,POINT (5.1141878 52.0944945)
35,TivoliVredenburg,theatre,5.1127685,52.0924542,POINT (5.1127685 52.0924542)
36,'t Podium,theatre,5.5304518,52.0740711,POINT (5.5304518 52.0740711)
37,De Hasselbak,theatre,5.2571176,52.2540443,POINT (5.2571176 52.2540443)
38,De Vrijstaat,arts_centre,5.0665998,52.0950119,POINT (5.0665998 52.0950119)
39,De Kunststudio,arts_centre,5.2917472,52.2121066,POINT (5.2917472 52.2121066)
40,De Speeldoos,theatre,5.2947274,52.2154089,POINT (5.2947274 52.2154089)
41,Muziekpodium Azotod,theatre,5.0325375,52.0745800,POINT (5.0325375 52.07458)
42,Cultuurcampus Vleuterweide,arts_centre,5.0110394,52.0938674,POINT (5.0110394 52.0938674)
43,Het Beauforthuis,theatre,5.3028552,52.0878313,POINT (5.3028552 52.0878313)
44,De Egeling,theatre,5.2409370,52.0954555,POINT (5.240937 52.0954555)
45,Kunsthal KAdE,arts_centre,5.3830900,52.1591062,POINT (5.38309 52.1591062)
46,Annex Cinema,cinema,4.8840186,52.0758049,POINT (4.8840186 52.0758049)
47,Amati Art Center,arts_centre,5.2139509,52.0586276,POINT (5.2139509 52.0586276)
48,RIE theater,theatre,4.8860450,52.0867558,POINT (4.886045 52.0867558)
49,Het Klooster,theatre,4.8863982,52.0847256,POINT (4.8863982 52.0847256)
50,Antropia,arts_centre,5.2614285,52.0642799,POINT (5.2614285 52.0642799)
51,De CultuurHoek,arts_centre,5.2804022,52.0513759,POINT (5.2804022 52.0513759)
52,De Kom,theatre,5.0849865,52.0273057,POINT (5.0849865 52.0273057)
53,Springintheater,theatre,5.1116219,52.0739585,POINT (5.1116219 52.0739585)
54,De Helling,theatre,5.1217676,52.0768342,POINT (5.1217676 52.0768342)
55,ZIMIHC theater Stefanus,theatre,5.1023394,52.1186564,POINT (5.1023394 52.1186564)
56,ZIMIHC Theater,theatre,5.0841284,52.1161238,POINT (5.0841284 52.1161238)
57,Muziekhuis Utrecht,theatre,5.1091782,52.1076799,POINT (5.1091782 52.1076799)
58,Villa Concordia,theatre,5.0973031,52.0998090,POINT (5.0973031 52.099809)
59,Stichting z25.org,arts_centre,5.0973401,52.0998742,POINT (5.0973401 52.0998742)
60,Sylvia's Jazz,arts_centre,5.1001186,51.9835462,POINT (5.1001186 51.9835462)
61,KunstenCentrum Idea,theatre,5.2825282,52.1683232,POINT (5.2825282 52.1683232)
62,Bioscoop Calypso Theater,cinema,5.3451069,51.9730485,POINT (5.3451069 51.9730485)
63,Studio Ayqido,arts_centre,5.1205680,52.0946196,POINT (5.120568 52.0946196)
64,Cereolcomplex,theatre,5.0899211,52.0887215,POINT (5.0899211 52.0887215)
65,De Tuin,theatre,5.4286236,52.1289823,POINT (5.4286236 52.1289823)
66,De Nieuwe Stad Paviljoens,arts_centre,5.3807838,52.1602753,POINT (5.3807838 52.1602753)
67,Pathé Utrecht Leidsche Rijn,cinema,5.0697559,52.0967164,POINT (5.0697559 52.0967164)
68,Beatrixtheater,theatre,5.1074666,52.0881851,POINT (5.1074666 52.0881851)
69,RAUM,arts_centre,5.0680507,52.0960764,POINT (5.0680507 52.0960764)
70,Podium Hoge Woerd,theatre,5.0421862,52.0871866,POINT (5.0421862 52.0871866)
71,Voormalig Tivoli Oudegracht,theatre,5.1214655,52.0872432,POINT (5.1214655 52.0872432)
72,Stadsschouwburg,theatre,5.1274954,52.0933912,POINT (5.1274954 52.0933912)
73,Theater Zimihc (Bouwstraat),theatre,5.1324778,52.0967647,POINT (5.1324778 52.0967647)
74,Kinepolis Jaarbeurs,cinema,5.1048540,52.0862635,POINT (5.104854 52.0862635)
75,EKKO Poppodium,theatre,5.1144630,52.0974996,POINT (5.114463 52.0974996)
76,Central Studios,arts_centre,5.0826920,52.1031587,POINT (5.082692 52.1031587)
77,Amfitheater,theatre,5.2803146,52.0843610,POINT (5.2803146 52.084361)
78,Afas theater,theatre,5.4211143,52.1419261,POINT (5.4211143 52.1419261)
79,Kosmik,arts_centre,5.4052024,52.1460095,POINT (5.4052024 52.1460095)
80,Erotic Cinema,cinema,5.3932696,52.1576925,POINT (5.3932696 52.1576925)
81,Vogelfrei,arts_centre,5.0824793,52.1006682,POINT (5.0824793 52.1006682)
