,name,type,x,y,geometry
0,Sint Antonius Woerden,hospital,4.8918902,52.0800905,POINT (4.8918902 52.0800905)
1,Diakonessenhuis,hospital,5.2621641,52.0912691,POINT (5.2621641 52.0912691)
2,Julius Gezondheidscentrum Terwijde,doctors,5.0395265,52.1016832,POINT (5.0395265 52.1016832)
3,Huisartsenpraktijk Primec,doctors,5.0965767,52.0696213,POINT (5.0965767 52.0696213)
4,Gezondheidscentrum Het Zand,doctors,5.0471719,52.0941457,POINT (5.0471719 52.0941457)
5,Dierenartsenpraktijk Dijkshoorn,veterinary,5.2257496,52.0903036,POINT (5.2257496 52.0903036)
6,Willem Arntsz Huis,hospital,5.1249119,52.0845865,POINT (5.1249119 52.0845865)
7,Wijkzorgcentrum Vleuterweide,doctors; pharmacy,4.9983209,52.0984306,POINT (4.9983209 52.0984306)
8,Meander Medisch Centrum Baarn,hospital,5.2768616,52.2146645,POINT (5.2768616 52.2146645)
9,,doctors,4.9639619,51.9542725,POINT (4.9639619 51.9542725)
10,,veterinary,5.2725718,52.2158533,POINT (5.2725718 52.2158533)
11,Dierenkliniek Meerkerk,veterinary,4.9971161,51.9121940,POINT (4.9971161 51.912194)
12,Gezondheidscentrum Maarssenbroek,doctors,5.0178298,52.1374244,POINT (5.0178298 52.1374244)
13,Huisartsenpraktijk Rasi,doctors,5.1208106,52.0698317,POINT (5.1208106 52.0698317)
14,,dentist,5.2350534,52.0468814,POINT (5.2350534 52.0468814)
15,,doctors,5.2348468,52.0468430,POINT (5.2348468 52.046843)
16,Van der Hoevenkliniek,hospital,5.1122897,52.1051479,POINT (5.1122897 52.1051479)
17,Haptotherapiepraktijk Maaike Plomp,doctors,5.1155469,52.0802744,POINT (5.1155469 52.0802744)
18,Huisartsenpraktijk Catharijnesingel,doctors,5.1209273,52.0805563,POINT (5.1209273 52.0805563)
19,tandarts Alderliesten,dentist,5.2477609,52.0871442,POINT (5.2477609 52.0871442)
20,Huisartsenpraktijk Biltstraat / Gezondheidscentrum Wittevrouwen,doctors,5.1316717,52.0954815,POINT (5.1316717 52.0954815)
21,Gezondheidscentrum Lombok,doctors,5.0972030,52.0912208,POINT (5.097203 52.0912208)
22,DAP Dierenkliniek Vinkeveen,veterinary,4.9335201,52.2183465,POINT (4.9335201 52.2183465)
23,Vechtzorg,doctors,4.9953088,52.1767948,POINT (4.9953088 52.1767948)
24,Mondzorgkliniek Stichtse Vecht,dentist,4.9952898,52.1761549,POINT (4.9952898 52.1761549)
25,,dentist,5.1127647,52.1148875,POINT (5.1127647 52.1148875)
26,,doctors,5.0470102,52.0278814,POINT (5.0470102 52.0278814)
27,Wijkgezondheidscentrum Lunetten,doctors,5.1347233,52.0645941,POINT (5.1347233 52.0645941)
28,Dierenklieniek Duurstede,veterinary,5.3275552,51.9733757,POINT (5.3275552 51.9733757)
29,P.J. Noordijk,veterinary,5.3869082,52.1739274,POINT (5.3869082 52.1739274)
30,Dierenarts De Laak,veterinary,5.4350525,52.1954494,POINT (5.4350525 52.1954494)
31,OrthoCare Leusden,dentist,5.4284397,52.1292239,POINT (5.4284397 52.1292239)
32,Dierenkliniek Leusden,veterinary,5.4261095,52.1300984,POINT (5.4261095 52.1300984)
33,Gezondheidscentrum de Plantaan,doctors,5.2839168,52.2159007,POINT (5.2839168 52.2159007)
34,Ecocare,clinic,5.1128957,52.0895128,POINT (5.1128957 52.0895128)
35,,doctors,5.5564628,52.0174071,POINT (5.5564628 52.0174071)
36,Tandartsenpraktijk Clevers,dentist,5.5567774,52.0174350,POINT (5.5567774 52.017435)
37,HAP Voorwijk,doctors,5.3378210,51.9809086,POINT (5.337821 51.9809086)
38,Huisartspraktijk De Kaap,doctors,5.1150895,52.0805019,POINT (5.1150895 52.0805019)
39,Huisartsenpraktijk Nieuwesteeg,doctors,5.1375838,52.0644538,POINT (5.1375838 52.0644538)
40,Huisartsenpraktijk De Watertoren,doctors,5.0990103,52.1011072,POINT (5.0990103 52.1011072)
41,De Watertoren Huisartsenpraktijk,doctors,5.0952859,52.1029344,POINT (5.0952859 52.1029344)
42,Sterkliniek Dierenartsen,veterinary,5.1084547,52.1004221,POINT (5.1084547 52.1004221)
43,Gezondheidscentrum Ondiep,doctors,5.1031136,52.1038621,POINT (5.1031136 52.1038621)
44,Hwa To Chinees Medical Center,clinic,5.0983460,52.1026507,POINT (5.098346 52.1026507)
45,Tandenservice Utrecht V.O.F.,dentist,5.0995141,52.1039404,POINT (5.0995141 52.1039404)
46,Therapeuticum Artemis,doctors,5.3827270,52.1444611,POINT (5.382727 52.1444611)
47,Tandheelkunde Eemland,dentist,5.3800095,52.1425339,POINT (5.3800095 52.1425339)
48,Dierenkliniek de Berg,veterinary,5.3792559,52.1416321,POINT (5.3792559 52.1416321)
49,Beterbeest,veterinary,5.3916125,52.1512510,POINT (5.3916125 52.151251)
50,Tandartspraktijk J.W. Hagen,dentist,5.3881606,52.1446397,POINT (5.3881606 52.1446397)
51,Evi Dierenartsen Vossegat,veterinary,5.1409252,52.0822687,POINT (5.1409252 52.0822687)
52,Gezondheidscentrum Galgenwaard,clinic,5.1444663,52.0786786,POINT (5.1444663 52.0786786)
53,Tandartspraktijk Verkade,dentist,5.1433135,52.0892255,POINT (5.1433135 52.0892255)
54,Wilhelminapark,dentist,5.1390320,52.0886571,POINT (5.139032 52.0886571)
55,Huisartsenpraktijk Homeruslaan,doctors,5.1368819,52.0853658,POINT (5.1368819 52.0853658)
56,Dentalcare Utrecht,dentist,5.1377997,52.0889226,POINT (5.1377997 52.0889226)
57,"Huisarts Verhaak, P. Ph.M.",doctors,5.4014415,52.1510035,POINT (5.4014415 52.1510035)
58,huisartsenpraktijk Stadsring - Mevr. H.L. de Vries & Dr. C. Hauck,doctors,5.3916335,52.1526302,POINT (5.3916335 52.1526302)
59,Huisartsenpraktijk van Es/Veldhuis,doctors,5.3917483,52.1453393,POINT (5.3917483 52.1453393)
60,Mondzorgcentrum Amersfoort,dentist,5.3995247,52.1420572,POINT (5.3995247 52.1420572)
61,Gezondheidscentrum Schuilenburg,doctors,5.4148740,52.1535596,POINT (5.414874 52.1535596)
62,Huisartsenpraktijk Vogelplein,doctors,5.4078835,52.1659586,POINT (5.4078835 52.1659586)
63,Huisartsenpraktijk Sagenhoek,doctors,5.3955793,52.1694538,POINT (5.3955793 52.1694538)
64,Huisartsenpraktijk Zielhorst,doctors,5.4073376,52.1818259,POINT (5.4073376 52.1818259)
65,St. Antonius Polikliniek Houten,clinic,5.1778019,52.0249604,POINT (5.1778019 52.0249604)
66,Dreamskin,clinic,5.3857350,52.1520639,POINT (5.385735 52.1520639)
67,"Medisch Centrum Tollius, Huisartsen",doctors,5.3818350,52.1498881,POINT (5.381835 52.1498881)
68,,doctors,5.3767219,52.1461076,POINT (5.3767219 52.1461076)
69,KTA Tandartsen,dentist,5.3780507,52.1496620,POINT (5.3780507 52.149662)
70,Tandartsenpraktijk Niers,dentist,5.3723290,52.1519641,POINT (5.372329 52.1519641)
71,Mondhygiënistenpraktijk Engelaer,dentist,5.3734694,52.1523889,POINT (5.3734694 52.1523889)
72,Praktijk Bergkwartier,dentist,5.3734725,52.1524700,POINT (5.3734725 52.15247)
73,Bakker Orthodontie,dentist,5.3795871,52.1530733,POINT (5.3795871 52.1530733)
74,De Tandenbleker,dentist,5.3707166,52.1592028,POINT (5.3707166 52.1592028)
75,Huisartsencentrum Soesterkwartier,doctors,5.3625645,52.1602701,POINT (5.3625645 52.1602701)
76,Fysio Domstad Centrum,clinic,5.1265449,52.0896285,POINT (5.1265449 52.0896285)
77,Huisartsenpraktijk Dokters bij Jansen,doctors,5.3960171,52.1627255,POINT (5.3960171 52.1627255)
78,Huisartspraktijk Kruiskamp,doctors,5.3981953,52.1643199,POINT (5.3981953 52.1643199)
79,ABC voor dieren,veterinary,5.3987419,52.1649469,POINT (5.3987419 52.1649469)
80,AVT-Kliniek,dentist,5.1235776,52.0915793,POINT (5.1235776 52.0915793)
81,Studentist,dentist,5.1229414,52.0922026,POINT (5.1229414 52.0922026)
82,Gezondheidscentrum Orion,doctors,5.3842560,52.1658443,POINT (5.384256 52.1658443)
83,Tandartsenpraktijk Edith van Noort,dentist,5.3792242,52.1875913,POINT (5.3792242 52.1875913)
84,Huisartsenpraktijk Sassen,doctors,5.3722708,52.1826035,POINT (5.3722708 52.1826035)
85,Huisartsenpraktijk Kattenbroek,doctors,5.3887892,52.1868858,POINT (5.3887892 52.1868858)
86,Huisartsenpraktijk Amersfoort De Jonkvrouw,doctors,5.3861730,52.1936463,POINT (5.386173 52.1936463)
87,Tandartspraktijk Marcel Kruger,dentist,5.3829421,52.1887468,POINT (5.3829421 52.1887468)
88,Dierenkliniek Nieuwland,veterinary,5.3771011,52.1999231,POINT (5.3771011 52.1999231)
89,Ortholuna,dentist,5.3892934,52.1955061,POINT (5.3892934 52.1955061)
90,Bergman Clinics,clinic,5.3922545,52.2001299,POINT (5.3922545 52.2001299)
91,Huisartsenpraktijk Nieuwland,doctors,5.3741995,52.2003881,POINT (5.3741995 52.2003881)
92,Dental care 4U,dentist,5.3761327,52.1987811,POINT (5.3761327 52.1987811)
93,Huisartsenpraktijk Watersteeg,doctors,5.3740776,52.2002264,POINT (5.3740776 52.2002264)
94,Dierenkliniek De Molen,veterinary,5.1164238,52.0992219,POINT (5.1164238 52.0992219)
95,,clinic,5.1169866,52.0882060,POINT (5.1169866 52.088206)
96,Huisartsenpraktijk Janskerkhof,doctors,5.1234805,52.0932830,POINT (5.1234805 52.093283)
97,Huisartenpraktijk Mariahoek,doctors,5.1181792,52.0852665,POINT (5.1181792 52.0852665)
98,Tandarts praktijk Verstand,dentist,5.1084053,52.0840606,POINT (5.1084053 52.0840606)
99,Tandartspraktijk Jaffapark,dentist,5.0911458,52.0932748,POINT (5.0911458 52.0932748)
100,Gezondheidscentrum Oog in Al,doctors,5.0859637,52.0862473,POINT (5.0859637 52.0862473)
101,Tandartspraktijk Oog in Al,dentist,5.0880397,52.0897225,POINT (5.0880397 52.0897225)
102,Gezondheidscentrum MediMel,doctors,5.0939487,52.0756463,POINT (5.0939487 52.0756463)
103,Mondzorgcentrum Utrecht,dentist,5.0955795,52.0750107,POINT (5.0955795 52.0750107)
104,Dierenkliniek Leidsche Rijn,veterinary,5.0573649,52.0859281,POINT (5.0573649 52.0859281)
105,Julius Gezondheidscentra,doctors,5.0531905,52.0883632,POINT (5.0531905 52.0883632)
106,Tandartspraktijk,dentist,5.2859600,52.2127882,POINT (5.28596 52.2127882)
107,Dierenarts Bob,veterinary,5.2821317,52.2142120,POINT (5.2821317 52.214212)
108,Huisartsenpraktijk van Brummen,doctors,5.2937676,52.2083815,POINT (5.2937676 52.2083815)
109,Dierenkliniek de Tromp,veterinary,5.2998244,52.2128693,POINT (5.2998244 52.2128693)
110,Tandheelkundig Centrum Meerndijk,dentist,5.0362729,52.0805246,POINT (5.0362729 52.0805246)
111,De Leerdamsche Huisartsenpraktijk Wouters,doctors,5.1068811,51.8913451,POINT (5.1068811 51.8913451)
112,Mondzorg Leerdam,dentist,5.0882815,51.8923954,POINT (5.0882815 51.8923954)
113,Huisartsenpraktijk Poort van West,doctors,5.0858791,51.8913990,POINT (5.0858791 51.891399)
114,Dierenkliniek Leerdam,veterinary,5.0952574,51.8954091,POINT (5.0952574 51.8954091)
115,Huisartsenpraktijk het Trefpunt,doctors,5.0921083,51.8991936,POINT (5.0921083 51.8991936)
116,Tandartsenpraktijk Leerdam-Noord,dentist,5.0866647,51.8988410,POINT (5.0866647 51.898841)
117,Huisartsenpraktijk de Wiel,doctors,5.1220138,51.9204401,POINT (5.1220138 51.9204401)
