,name,type,x,y,geometry
0,Averechts,pub,5.1179062,52.0979188,POINT (5.1179062 52.0979188)
1,Ledig Erf,pub,5.1235152,52.0816566,POINT (5.1235152 52.0816566)
2,De Beurs,pub,5.1190619,52.0928680,POINT (5.1190619 52.092868)
3,De Vingerhoed,cafe,5.1209929,52.0898173,POINT (5.1209929 52.0898173)
4,Kafé België,pub,5.1215186,52.0890362,POINT (5.1215186 52.0890362)
5,De Poort,pub,5.1235891,52.0818883,POINT (5.1235891 52.0818883)
6,'t Oude Pothuys,pub,5.1218902,52.0862082,POINT (5.1218902 52.0862082)
7,Café Wout,restaurant,5.1091575,52.0989986,POINT (5.1091575 52.0989986)
8,O Leary's,pub,5.1155985,52.0991034,POINT (5.1155985 52.0991034)
9,De Drie Dorstige Herten,pub,5.1234338,52.0872993,POINT (5.1234338 52.0872993)
10,De Windhoek,pub,5.0902081,52.0912299,POINT (5.0902081 52.0912299)
11,West,restaurant,5.0932616,52.0940454,POINT (5.0932616 52.0940454)
12,Kopi Susu,pub,5.0976018,52.0911523,POINT (5.0976018 52.0911523)
13,Lombok eten & drinken,restaurant,5.0968016,52.0931656,POINT (5.0968016 52.0931656)
14,Juliana,restaurant,5.0884569,52.1069779,POINT (5.0884569 52.1069779)
15,Pannekoekhuis de Grebbeberg,restaurant,5.5886029,51.9561327,POINT (5.5886029 51.9561327)
16,Burger King,fast_food,5.5551541,52.0407747,POINT (5.5551541 52.0407747)
17,Burger King,fast_food,5.1091455,52.0894929,POINT (5.1091455 52.0894929)
18,Burger King,fast_food,5.3732999,52.1532875,POINT (5.3732999 52.1532875)
19,McDonald's,fast_food,5.1173611,52.0919678,POINT (5.1173611 52.0919678)
20,Coffeeshop 208,cafe,5.1215810,52.0887976,POINT (5.121581 52.0887976)
21,Spaghetteria,restaurant,5.1266853,52.0952096,POINT (5.1266853 52.0952096)
22,Snackbar van Schaick,fast_food,4.9734721,52.2698786,POINT (4.9734721 52.2698786)
23,Jasmijn Chin-Ind,restaurant,4.9746226,52.2719893,POINT (4.9746226 52.2719893)
24,Wakende Haan,restaurant,4.9739672,52.2719821,POINT (4.9739672 52.2719821)
25,De Eendracht,restaurant,4.9741141,52.2702489,POINT (4.9741141 52.2702489)
26,Café Walzicht,pub,4.8854731,52.0842990,POINT (4.8854731 52.084299)
27,Drinkerij 't Bierhuys,pub,4.8811590,52.0859813,POINT (4.881159 52.0859813)
28,Roka snacks,fast_food,5.0664827,52.1057646,POINT (5.0664827 52.1057646)
29,pizzeria Basilico,fast_food,5.1012319,52.0623764,POINT (5.1012319 52.0623764)
30,Pleyn,restaurant,5.1066066,52.0881408,POINT (5.1066066 52.0881408)
31,Giros snackbar,fast_food,5.0952145,52.0892764,POINT (5.0952145 52.0892764)
32,Bistro Bientje,restaurant,4.9629690,51.9575540,POINT (4.962969 51.957554)
33,La Place de Meern - Utrecht,restaurant,5.0277346,52.0722465,POINT (5.0277346 52.0722465)
34,De Tweede Steeg,restaurant,5.4228514,52.1619754,POINT (5.4228514 52.1619754)
35,Shizen,restaurant,5.0916448,51.9818861,POINT (5.0916448 51.9818861)
36,Kwalitaria,fast_food,5.0541100,52.0879010,POINT (5.05411 52.087901)
37,Sushi San,restaurant,5.2374971,52.1073154,POINT (5.2374971 52.1073154)
38,Boer Bertus,restaurant,5.0582878,51.9856740,POINT (5.0582878 51.985674)
39,Snackbar De Dreef,fast_food,5.2373740,52.1030185,POINT (5.237374 52.1030185)
40,Het Vuursche Bos,restaurant,5.2227278,52.1789055,POINT (5.2227278 52.1789055)
41,Van Der Valk,restaurant,5.0841407,51.9900813,POINT (5.0841407 51.9900813)
42,Zuiver,restaurant,5.0450823,52.1090980,POINT (5.0450823 52.109098)
43,Boschoord,restaurant,5.2120719,52.2001980,POINT (5.2120719 52.200198)
44,Groot Kievitsdal,restaurant,5.2173076,52.2058107,POINT (5.2173076 52.2058107)
45,Cafetaria Lunetten,fast_food,5.1363680,52.0650749,POINT (5.136368 52.0650749)
46,Snackbar Popeye,restaurant,5.2439899,52.0963227,POINT (5.2439899 52.0963227)
47,Mister Shi - Wok Restaurant,restaurant,5.1287361,52.0650443,POINT (5.1287361 52.0650443)
48,Chinees Indisch Restaurant Lunetten,restaurant,5.1371132,52.0651339,POINT (5.1371132 52.0651339)
49,'t Waal,fast_food,5.1293842,51.9990125,POINT (5.1293842 51.9990125)
50,Luigi IJssalon,fast_food,5.0958811,52.0040012,POINT (5.0958811 52.0040012)
51,NOLA,restaurant,5.1170841,52.0900796,POINT (5.1170841 52.0900796)
52,Louis Hartloopercomplex,restaurant,5.1242627,52.0816957,POINT (5.1242627 52.0816957)
53,Cafetaria Jolidé,fast_food,5.1128166,52.0700965,POINT (5.1128166 52.0700965)
54,Winkel van Sinkel,restaurant,5.1186673,52.0919332,POINT (5.1186673 52.0919332)
55,Peter's Bistro,restaurant,5.1279568,52.0998870,POINT (5.1279568 52.099887)
56,De Kleine Baron,restaurant,5.0890742,52.1092099,POINT (5.0890742 52.1092099)
57,De Veldkeuken,restaurant,5.1702164,52.0674533,POINT (5.1702164 52.0674533)
58,Stayokay Cafe,cafe,5.1771286,52.0691287,POINT (5.1771286 52.0691287)
59,Prins Heerlijk,restaurant,5.2843615,52.2114010,POINT (5.2843615 52.211401)
60,Prins Hendrik,pub,5.2842533,52.2115972,POINT (5.2842533 52.2115972)
61,Kasteel Oudaen,restaurant,5.1166435,52.0927486,POINT (5.1166435 52.0927486)
62,McDonald's,fast_food,5.0600818,52.1038508,POINT (5.0600818 52.1038508)
63,Restaurant Wilhelminapark,restaurant,5.1409065,52.0871012,POINT (5.1409065 52.0871012)
64,Satriale's Pizzabar,restaurant,5.0988494,52.1016617,POINT (5.0988494 52.1016617)
65,No Time,cafe,5.3671681,52.1575843,POINT (5.3671681 52.1575843)
66,Verdi's,restaurant,5.3658340,52.1574749,POINT (5.365834 52.1574749)
67,Pamukkale ADA,fast_food,5.3664208,52.1599171,POINT (5.3664208 52.1599171)
68,Petershof,cafe,5.2857857,52.2136089,POINT (5.2857857 52.2136089)
69,Karseboom,pub,5.2832948,52.2125951,POINT (5.2832948 52.2125951)
70,Farao,fast_food,5.2838803,52.2124993,POINT (5.2838803 52.2124993)
71,Chinees afhaalcentrum Hong Kong,restaurant,5.2948465,52.2073110,POINT (5.2948465 52.207311)
72,Spoorzicht,fast_food,5.2902100,52.2032026,POINT (5.29021 52.2032026)
73,Hemels,restaurant,5.3898461,52.1555561,POINT (5.3898461 52.1555561)
74,Bergse Bossen,cafe,5.3093709,52.0622884,POINT (5.3093709 52.0622884)
75,Wok Het Oosten,restaurant,5.3750867,52.1533340,POINT (5.3750867 52.153334)
76,De Wagenmeester,cafe,5.3749666,52.1533445,POINT (5.3749666 52.1533445)
77,Délifrance Amersfoort,cafe,5.3748292,52.1533498,POINT (5.3748292 52.1533498)
78,Smullers,fast_food,5.3738593,52.1533287,POINT (5.3738593 52.1533287)
79,De Gooyer,pub,5.3704509,52.1566752,POINT (5.3704509 52.1566752)
80,Mylos,restaurant,5.3855624,52.1518063,POINT (5.3855624 52.1518063)
81,Cafe de Don,pub,5.0368358,52.0819126,POINT (5.0368358 52.0819126)
82,Georgie's,fast_food,5.3851356,52.1503579,POINT (5.3851356 52.1503579)
83,El Ternero,restaurant,5.3878166,52.1557574,POINT (5.3878166 52.1557574)
84,Mon-Chouette,cafe,5.4355542,52.1060097,POINT (5.4355542 52.1060097)
85,De Generaal,restaurant,5.2831813,52.2070576,POINT (5.2831813 52.2070576)
86,Cafetaria de Veste,fast_food,5.0916187,52.0180212,POINT (5.0916187 52.0180212)
87,ZORBA de Griek,fast_food,5.0114548,52.1056052,POINT (5.0114548 52.1056052)
