,name,type,x,y,geometry
0,Rosarium,bus_stop,5.1416232,52.0914794,POINT (5.1416232 52.0914794)
1,Hobbemastraat,bus_stop,5.1431622,52.0848764,POINT (5.1431622 52.0848764)
2,Station Lunetten,bus_stop,5.1429369,52.0658130,POINT (5.1429369 52.065813)
3,Hertenkamp,bus_stop,4.8962252,52.0887352,POINT (4.8962252 52.0887352)
4,Hertenkamp,bus_stop,4.8968373,52.0886325,POINT (4.8968373 52.0886325)
5,De Hommel,bus_stop,5.1509198,51.9573048,POINT (5.1509198 51.9573048)
6,'t Lot,bus_stop,5.1670481,51.9641123,POINT (5.1670481 51.9641123)
7,Kortenoever,bus_stop,5.1324068,51.9669852,POINT (5.1324068 51.9669852)
8,Poort van Nieuwegein,bus_stop,5.0681360,52.0277686,POINT (5.068136 52.0277686)
9,Hasebroekstraat,bus_stop,5.0974202,52.0933768,POINT (5.0974202 52.0933768)
10,Zwembad Blauwkapel,bus_stop,5.1415680,52.1210140,POINT (5.141568 52.121014)
11,Rubenslaan,bus_stop,5.2010321,52.1322322,POINT (5.2010321 52.1322322)
12,Oud Aa,bus_stop,4.9856095,52.1688271,POINT (4.9856095 52.1688271)
13,Groningenhaven,bus_stop,5.1015693,52.0191367,POINT (5.1015693 52.0191367)
14,Oosterstraat,bus_stop,5.1328570,52.0858773,POINT (5.132857 52.0858773)
15,Oudwijkerdwarsstraat,bus_stop,5.1340886,52.0872481,POINT (5.1340886 52.0872481)
16,Oudwijkerdwarsstraat,bus_stop,5.1349245,52.0878256,POINT (5.1349245 52.0878256)
17,Ir. Enschedeweg,bus_stop,4.9232849,52.1034025,POINT (4.9232849 52.1034025)
18,Blokhoeve Noord,bus_stop,5.0958919,52.0518505,POINT (5.0958919 52.0518505)
19,Koningin Wilhelminalaan,bus_stop,5.1007342,52.0754866,POINT (5.1007342 52.0754866)
20,P+R Westraven,bus_stop,5.1069191,52.0559856,POINT (5.1069191 52.0559856)
21,De Liesbosch,bus_stop,5.1200027,52.0507982,POINT (5.1200027 52.0507982)
22,De Liesbosch,bus_stop,5.1188686,52.0497152,POINT (5.1188686 52.0497152)
23,Planetenbaan,bus_stop,5.0362542,52.1272626,POINT (5.0362542 52.1272626)
24,Geroplein,bus_stop,5.2557281,52.1010248,POINT (5.2557281 52.1010248)
25,Handelscentrum,bus_stop,5.2547653,52.1034428,POINT (5.2547653 52.1034428)
26,Handelscentrum,bus_stop,5.2551578,52.1035629,POINT (5.2551578 52.1035629)
27,Het Zand,bus_stop,5.0457022,52.0954197,POINT (5.0457022 52.0954197)
28,Vrijheidsplein,bus_stop,5.2453306,52.1025875,POINT (5.2453306 52.1025875)
29,Vrijheidsplein,bus_stop,5.2453723,52.1025237,POINT (5.2453723 52.1025237)
30,De Dreef/Panweg,bus_stop,5.2385639,52.1024273,POINT (5.2385639 52.1024273)
31,Het Zand,bus_stop,5.0457782,52.0954389,POINT (5.0457782 52.0954389)
32,Stelviobaan,bus_stop,5.1317905,52.0650506,POINT (5.1317905 52.0650506)
33,Stelviobaan,bus_stop,5.1325881,52.0657298,POINT (5.1325881 52.0657298)
34,Brennerbaan,bus_stop,5.1370506,52.0669085,POINT (5.1370506 52.0669085)
35,Brennerbaan,bus_stop,5.1383823,52.0669724,POINT (5.1383823 52.0669724)
36,De Koppel,bus_stop,5.1359516,52.0586121,POINT (5.1359516 52.0586121)
37,Simplonbaan,bus_stop,5.1318392,52.0595691,POINT (5.1318392 52.0595691)
38,Lunettenbaan,bus_stop,5.1285380,52.0647990,POINT (5.128538 52.064799)
39,Lunettenbaan,bus_stop,5.1287646,52.0645525,POINT (5.1287646 52.0645525)
40,Dolomieten,bus_stop,5.1321790,52.0637121,POINT (5.132179 52.0637121)
