,name,type,x,y,geometry
0,Veenendaal West,station,5.5315679,52.0281017,POINT (5.5315679 52.0281017)
1,Utrecht Lunetten,station,5.1432619,52.0664082,POINT (5.1432619 52.0664082)
2,Utrecht Centraal,station,5.1098210,52.0893925,POINT (5.109821 52.0893925)
3,Utrecht Terwijde,station,5.0435521,52.1002155,POINT (5.0435521 52.1002155)
4,Maarssen,station,5.0330252,52.1359470,POINT (5.0330252 52.135947)
5,Amersfoort Centraal,station,5.3740976,52.1538980,POINT (5.3740976 52.153898)
6,Vleuten,station,5.0076189,52.1029729,POINT (5.0076189 52.1029729)
7,Kanaleneiland-Zuid,tram_stop,5.1069313,52.0628510,POINT (5.1069313 52.062851)
8,Winkelcentrum Kanaleneiland,tram_stop,5.0962183,52.0750679,POINT (5.0962183 52.0750679)
9,P+R Westraven,tram_stop,5.1066509,52.0562580,POINT (5.1066509 52.056258)
10,Vasco da Gamalaan,tram_stop,5.1022489,52.0685715,POINT (5.1022489 52.0685715)
11,24 Oktoberplein-Zuid,tram_stop,5.0930629,52.0784635,POINT (5.0930629 52.0784635)
12,Graadt van Roggenweg,tram_stop,5.1005413,52.0876186,POINT (5.1005413 52.0876186)
13,Zuilenstein,tram_stop,5.0894487,52.0459641,POINT (5.0894487 52.0459641)
14,Wijkersloot,tram_stop,5.0779176,52.0355376,POINT (5.0779176 52.0355376)
15,Fokkesteeg,tram_stop,5.0885604,52.0184929,POINT (5.0885604 52.0184929)
16,Wiersdijk,tram_stop,5.0886739,52.0119033,POINT (5.0886739 52.0119033)
17,Nieuwegein-Zuid,tram_stop,5.0864211,52.0060732,POINT (5.0864211 52.0060732)
18,Merwestein,tram_stop,5.0861350,52.0256880,POINT (5.086135 52.025688)
19,Doorslag,tram_stop,5.0739833,52.0205972,POINT (5.0739833 52.0205972)
20,Clinckhoeff,tram_stop,5.0473522,52.0268126,POINT (5.0473522 52.0268126)
21,Eiteren,tram_stop,5.0354490,52.0251334,POINT (5.035449 52.0251334)
22,Achterveld,tram_stop,5.0283187,52.0220756,POINT (5.0283187 52.0220756)
23,Binnenstad,tram_stop,5.0400751,52.0165893,POINT (5.0400751 52.0165893)
24,IJsselstein-Zuid,tram_stop,5.0385157,52.0094290,POINT (5.0385157 52.009429)
