,name,type,x,y,geometry
0,PSZ Het Hummelhonk,kindergarten,3.7961762,51.2277962,POINT (3.7961762 51.2277962)
1,Pippeloentje,kindergarten,3.8798008,51.5123525,POINT (3.8798008 51.5123525)
2,ROC Scalda,college,3.6345009,51.4800443,POINT (3.6345009 51.4800443)
3,Basisschool 't Oventje,school,5.6749518,51.6785094,POINT (5.6749518 51.6785094)
4,Bibliotheek,library,3.9076829,51.6514226,POINT (3.9076829 51.6514226)
5,Het Mozaïek,school,3.8370652,51.2800483,POINT (3.8370652 51.2800483)
6,De Statie,school,3.7957579,51.2275959,POINT (3.7957579 51.2275959)
7,KDV 't Zonnehuisje,kindergarten,3.7960352,51.2276658,POINT (3.7960352 51.2276658)
8,Sas van Gent,library,3.7952702,51.2277070,POINT (3.7952702 51.227707)
9,Bibliotheek Zeeuws-Vlaanderen,library,3.7565792,51.2850223,POINT (3.7565792 51.2850223)
10,Bibliotheek Biervliet,library,3.6883856,51.3269285,POINT (3.6883856 51.3269285)
11,Bibliotheek,library,3.7803149,51.3140499,POINT (3.7803149 51.3140499)
12,De Geule,school,3.8532768,51.3119643,POINT (3.8532768 51.3119643)
13,De Hille,school,3.8545181,51.3116871,POINT (3.8545181 51.3116871)
14,De Meerpaal,school,3.8563124,51.3129000,POINT (3.8563124 51.3129)
15,Irisschool,school,3.8631835,51.3300250,POINT (3.8631835 51.330025)
16,CBS de Parel,school,3.8639786,51.3302010,POINT (3.8639786 51.330201)
17,Prins Willem van Oranjeschool,school,3.8394393,51.3328365,POINT (3.8394393 51.3328365)
18,BS De Nieuwe van Dale,school,3.3928062,51.3097192,POINT (3.3928062 51.3097192)
19,Sint Jan,school,3.3928790,51.3101259,POINT (3.392879 51.3101259)
20,OBS Vorsterman van Oyen,school,3.4460116,51.2722499,POINT (3.4460116 51.2722499)
21,'t Getij,school,4.0166548,51.3723355,POINT (4.0166548 51.3723355)
22,,library,4.0512565,51.2814965,POINT (4.0512565 51.2814965)
23,Bibliotheek,library,3.8188685,51.4736902,POINT (3.8188685 51.4736902)
24,De Linden,school,3.9062951,51.4589319,POINT (3.9062951 51.4589319)
25,Bibliotheek,library,3.9064867,51.4596832,POINT (3.9064867 51.4596832)
26,CBS De Rank,school,3.9061901,51.4589009,POINT (3.9061901 51.4589009)
27,Bibliotheek,library,3.7390933,51.6944598,POINT (3.7390933 51.6944598)
28,Het Kompas,school,3.6080167,51.4729141,POINT (3.6080167 51.4729141)
29,'t Mozaïek,school,3.6080952,51.4729633,POINT (3.6080952 51.4729633)
30,Bibliotheek,library,4.0957632,51.6623852,POINT (4.0957632 51.6623852)
31,Bibliotheek,library,4.1636550,51.6184345,POINT (4.163655 51.6184345)
32,School Met De Bijbel,school,4.1021151,51.5976505,POINT (4.1021151 51.5976505)
