,name,type,x,y,geometry
0,Scheldetheater,theatre,3.8231688,51.3386553,POINT (3.8231688 51.3386553)
1,Trappentheater,theatre,3.4824404,51.5000938,POINT (3.4824404 51.5000938)
2,De Meiboom,theatre,4.1199727,51.4299807,POINT (4.1199727 51.4299807)
3,,theatre,3.4918837,51.5607928,POINT (3.4918837 51.5607928)
4,CineCity,cinema,3.8244997,51.3392289,POINT (3.8244997 51.3392289)
5,'t Kerkje van Ellesdiek,arts_centre,3.8159332,51.3895533,POINT (3.8159332 51.3895533)
6,CineCity,cinema,3.5687734,51.4448517,POINT (3.5687734 51.4448517)
7,DaVinci Cinema,cinema,3.8724105,51.4904565,POINT (3.8724105 51.4904565)
8,de Mythe,theatre,3.8872910,51.5042913,POINT (3.887291 51.5042913)
9,Theater De Wegwijzer,theatre,3.6558779,51.4797062,POINT (3.6558779 51.4797062)
10,Cinema Middelburg,cinema,3.6064737,51.4970296,POINT (3.6064737 51.4970296)
11,Filmtheater Zierikzee,theatre,3.9152671,51.6497417,POINT (3.9152671 51.6497417)
12,janssen,arts_centre,3.4967668,51.5585399,POINT (3.4967668 51.5585399)
13,'t Beest,cinema,3.8868554,51.5048909,POINT (3.8868554 51.5048909)
14,Ledeltheater,cinema,3.4890763,51.3254861,POINT (3.4890763 51.3254861)
15,Vleeshal,arts_centre,3.6104865,51.4990383,POINT (3.6104865 51.4990383)
16,Mozart,arts_centre,4.0407530,51.4890579,POINT (4.040753 51.4890579)
