,name,type,x,y,geometry
0,Admiraal De Ruyter,hospital,3.9286712,51.6564964,POINT (3.9286712 51.6564964)
1,Huisartsenpraktijk Sas Van Gent,doctors,3.7997679,51.2302425,POINT (3.7997679 51.2302425)
2,Huisartsenpraktijk Duysens,doctors,3.6868897,51.3308400,POINT (3.6868897 51.33084)
3,,doctors,3.7793985,51.3084950,POINT (3.7793985 51.308495)
4,Huisartsenpraktijk Zaamslag,doctors,3.9141186,51.3118324,POINT (3.9141186 51.3118324)
5,Huisartsenpost De Honte,doctors,3.8582757,51.3087295,POINT (3.8582757 51.3087295)
6,Huisartsencentrum Zuid,doctors,3.8472254,51.3194807,POINT (3.8472254 51.3194807)
7,,doctors,3.8558448,51.3346684,POINT (3.8558448 51.3346684)
8,Maatschap Mathijssen,dentist,3.8289125,51.3359857,POINT (3.8289125 51.3359857)
9,Huisartsenpraktijk Triniteit,doctors,3.8338974,51.3350271,POINT (3.8338974 51.3350271)
10,Huisartsenpraktijk Triniteit (locatie Zeezicht),doctors,3.8345179,51.3343197,POINT (3.8345179 51.3343197)
11,Tandartspraktijk Melkweg,dentist,3.4964764,51.3273369,POINT (3.4964764 51.3273369)
12,Antonius,hospital,3.4815907,51.3249615,POINT (3.4815907 51.3249615)
13,Huisartsenpraktijk Hooge Platen.,doctors,3.5554206,51.3972588,POINT (3.5554206 51.3972588)
14,Huisartspraktijk Van der Maas,doctors,3.6167446,51.3227201,POINT (3.6167446 51.3227201)
15,Tandartspraktijk Groenendijk,dentist,4.0083000,51.3713009,POINT (4.0083 51.3713009)
16,Huisarts Helmers,doctors,4.0144829,51.3672476,POINT (4.0144829 51.3672476)
17,Tandprothetische Praktijk Waerzeggers-Kongs Van Hoorde-Broekaart,dentist,4.0505812,51.2785811,POINT (4.0505812 51.2785811)
18,'t Ravelijn,doctors,4.0504518,51.2865061,POINT (4.0504518 51.2865061)
19,Huisartsenpraktijk Pallion,doctors,4.0615454,51.2916310,POINT (4.0615454 51.291631)
20,Aerts-Bosch,veterinary,4.0501793,51.2924003,POINT (4.0501793 51.2924003)
21,Huisartsenteam Zorg op Zak (‘s-Heerenhoek),doctors,3.7694857,51.4521729,POINT (3.7694857 51.4521729)
22,Dierenkliniek Dierzorg,veterinary,3.8199387,51.4805299,POINT (3.8199387 51.4805299)
23,Apotheekhoudende Huisartsenpraktijk de Drieweg,doctors,3.8200292,51.4759122,POINT (3.8200292 51.4759122)
24,Huisartspraktijk Heukels,doctors,3.8121591,51.4702513,POINT (3.8121591 51.4702513)
25,Huisartsenteam Zorg op Zak (Ovezande),doctors,3.8206534,51.4309255,POINT (3.8206534 51.4309255)
26,Dierenarts s-gravenpolder Dier & Arts,veterinary,3.8969186,51.4576559,POINT (3.8969186 51.4576559)
27,Huisartsenteam Zorg op Zak ('s-Gravenpolder),doctors,3.8984209,51.4573381,POINT (3.8984209 51.4573381)
28,Huisartsenpraktijk Baas,doctors,3.7456715,51.7000715,POINT (3.7456715 51.7000715)
29,Kwadrant Zierikzee,dentist,3.9231673,51.6542228,POINT (3.9231673 51.6542228)
